cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,4.496629664531661,1.0407238309712241,1.2734570520729604,-2.0,-7.0,-12.0,-17.0,-18.4991774678077,-3.996517155161294,-1.6311925439339987,-6.631192543933999,-11.631192543933999,-11.125102022426201,-7.143354691877024,-8.130010446847322,-9.763255369219852,-11.003934573968008,-13.235659041032937,-12.459265578317556,-11.68066919234659,-13.741614949046811,-12.717386225871405,-14.134457923523897,29,21,23,20,0.0,0.6,1.4,3.0,3.0,3.0,3.0,3.0,3.0,3.4,5.8,6.0,6.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,1.0,1.2,3.0,3.0,3.0,3.0,3.0,3.2,5.0,5.0,5.8,6.4,7.6,8.0,8.0,8.0,8.0,8.0,8.0,39.666666666666664,169.8402507777443,165.12059034664347,54.333333333333336,82.66666666666667,103.66666666666667,133.4,216.46666666666667,287.0,0.0,0.02666666666666667,0.11555555555555556,0.23111111111111113,222.25848197717661,111.89398055161021,13452.822958734301
2.0,1.797843074277747,0.7620913702661705,0.82322685844444,-2.0,-7.0,-12.0,-5.610386149651982,-10.610386149651982,-10.892653622645383,-12.272610132607042,-14.71931719253171,-11.417368530161133,-9.772247680368025,-11.024838656664649,-11.114334115267308,-6.596657693596994,-6.15164294991812,-4.718433876419408,-4.9074714570508515,-5.3882712882906905,-4.859514199738212,-4.751240647797078,-5.42054402194467,0,39,14,11,0.0,2.2,3.6,4.0,4.0,4.4,5.0,5.2,6.0,6.0,6.0,6.0,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.6,1.8,2.0,2.0,3.0,3.0,3.0,3.0,3.4,4.0,4.0,4.0,5.0,5.8,6.0,6.4,7.0,7.0,7.6,8.0,41.0,71.87216629694072,92.41741364915543,42.06666666666667,51.53333333333333,62.0,70.33333333333333,105.86666666666666,148.53333333333333,0.008888888888888889,0.035555555555555556,0.3111111111111111,0.6222222222222222,104.4932042439282,39.74123263923271,1620.8761430465297
4.0,3.9981347973608723,1.0822786573265388,1.261186263314472,-2.0,-7.0,-12.0,-17.0,-22.0,-13.787767662591662,1.1789659939160146,-0.17456642709429246,-4.457663492127907,-8.834701179886178,-8.81777586956155,-8.297504960788443,-5.07506837048643,0.7492531631275142,-0.6775639670032803,-5.67756396700328,-8.372085278798824,-5.80472397897465,-3.695552314898819,-4.58566708950635,32,25,26,23,0.8,2.8,3.0,3.0,4.0,4.0,4.0,4.8,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.6,1.6,2.0,2.0,2.0,2.4,4.0,4.4,5.8,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.8,8.0,8.0,8.0,8.0,45.38095238095238,185.1427785479148,173.45315935913425,78.33333333333333,103.0,122.19047619047619,167.33333333333334,236.1904761904762,286.23809523809524,0.0,0.022675736961451247,0.07709750566893424,0.1678004535147392,242.82533233195258,110.74792467891365,12900.571580479218
5.0,3.7572212740247495,0.792605450445961,0.9563176269859884,-2.0,-7.0,-12.0,-17.0,-22.0,-7.452280581073535,-12.452280581073534,-8.975221265561453,-7.2292865840980856,-11.07261912095175,-14.083180126106129,-0.5376815318810586,0.22980321467674117,2.3303166786735803,3.393060310153578,4.166925132543534,1.5965416870706264,-3.4034583129293736,-8.403458312929374,-12.284773758786425,75,22,24,21,0.4,1.6,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,6.0,6.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53.416666666666664,125.84914175407546,128.2065037892793,47.25,66.25,66.25,87.58333333333333,163.08333333333334,250.08333333333334,0.0,0.027777777777777776,0.2222222222222222,0.3194444444444445,170.05873760488387,84.57510173059701,7654.441696361223
7.0,1.4886410321386332,0.9602639241573495,0.9833204474836066,-2.0,-7.0,-12.0,-17.0,-22.0,-23.91648616111504,-6.2078222425143,-1.3902801640951423,-3.712759865732656,-4.7789616768515355,-6.020823918044835,-5.22727777703858,-3.907144686749868,-5.3008297716087,-6.975513820381687,-4.2285023161917366,-4.789653652359559,-5.497419825331596,-7.31042332771788,-8.711217339979243,0,27,28,25,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,6.8,8.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,3.4,4.6,6.0,6.2,7.0,7.2,9.0,11.0,13.0,13.0,14.8,15.0,15.0,15.0,15.0,15.0,15.8,16.0,16.0,39.0,152.6316140190079,167.51526405935533,55.892857142857146,84.28571428571429,105.5,132.85714285714286,208.46428571428572,252.42857142857142,0.0,0.033163265306122444,0.12244897959183673,0.21683673469387754,211.74640911876625,97.65655430056333,9766.777306440777
11.0,3.43597479116279,0.7843376549577661,0.9074643536511453,-2.0,-7.0,-12.0,-17.0,-7.007358817530859,-6.857681462890905,-1.9672612678279044,-3.434814123312715,-4.667028413120346,-5.833160219563095,-4.384463243214398,-4.603019822046356,-4.649818569723623,-4.0053615155315425,-7.571353147260837,-8.263838473065434,-7.765876094359209,-6.772182570094162,-6.325453168614305,-8.013550196202965,0,18,19,16,0.0,2.4,3.0,3.0,3.8,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.2,7.0,7.6,8.8,10.0,10.0,10.0,10.0,2.4,4.4,5.2,6.6,7.0,7.0,7.0,7.0,7.0,7.2,8.0,8.4,10.0,11.0,11.0,11.2,12.4,13.0,13.0,13.0,49.24,139.99812069932656,133.5403135737856,60.32,72.28,88.72,125.24,192.68,258.28,0.0,0.032,0.11199999999999999,0.28800000000000003,185.72422608099416,83.6915278801557,7293.783820468287
12.0,3.0213141332332207,0.5736259364326154,0.6699701281429017,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-14.786818982729221,-6.53899829961194,-11.53899829961194,-10.321288229420944,-10.211566995091268,-8.261157462793479,-6.731866221356974,-5.0281735388906625,-4.258924123549171,-0.7800187292755425,4.002404074215903,2.378602332427897,4.472371077637831,1.2820894664878608,80,29,31,28,0.0,0.0,0.8,1.0,1.6,3.0,4.2,5.2,6.0,6.0,6.0,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,0.8,1.0,1.0,1.8,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,47.916666666666664,99.81771979637176,101.47966508101598,48.083333333333336,64.66666666666667,64.66666666666667,81.0,124.41666666666667,198.08333333333334,0.0,0.041666666666666664,0.25,0.4166666666666667,136.04111365657968,62.69000777872111,4198.3513041668275
14.0,3.337734146480265,0.7085113689239501,0.8570468689915075,-2.0,-7.0,-12.0,-17.0,-22.0,-19.261738595281034,-11.872845979737798,-3.6038984060590495,5.038857759042362,5.8567851032904015,1.1706491986491159,-2.7403260818386626,-4.394067967696698,-1.508064835351466,-0.08963383087727834,-0.46171412343421425,-2.875991275983435,-5.0388286524287365,-8.536557868632494,-8.449334567204374,45,25,26,23,1.2,2.0,2.2,3.8,5.0,5.0,5.0,5.0,5.6,7.6,8.0,8.4,9.0,9.4,10.0,10.2,11.0,11.0,11.4,12.0,1.2,2.0,2.2,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,53.72222222222222,99.2566137488491,94.60436627643801,36.72222222222222,59.05555555555556,75.16666666666667,98.11111111111111,136.05555555555554,190.5,0.0,0.05555555555555555,0.2037037037037037,0.4012345679012346,138.7595401551565,56.83267333799134,3309.4842118709066
16.0,3.102569030585835,0.7498713762471217,0.8298684325966322,-2.0,-7.0,-12.0,-12.103302428528734,-10.254205969265126,-5.887445894580981,-5.016401029515712,-1.3403281370717592,-2.6886137272202246,-2.5483774643585533,-1.372172517179824,-2.6932040836288946,0.8098415077763562,4.989537093315784,5.682318484697123,4.70446690994199,4.740582764191018,5.9718290930588696,6.125471796600772,7.945759141662345,69,15,16,13,0.8,3.0,4.0,5.6,7.0,8.0,8.0,9.8,12.0,15.4,16.8,17.0,19.0,20.0,20.2,21.0,21.2,22.0,22.0,22.0,1.4,2.0,4.4,6.0,6.6,8.8,10.0,11.0,12.0,13.8,16.0,17.0,17.2,18.0,18.0,18.0,18.0,18.4,19.0,19.0,75.35555555555555,165.67113194305395,178.1066009867323,69.77777777777777,88.26666666666667,106.33333333333333,146.17777777777778,230.88888888888889,283.3777777777778,0.0009876543209876543,0.01975308641975309,0.09382716049382717,0.1925925925925926,224.2000381045489,98.21894733425383,9916.449817431556
17.0,5.849136186725047,0.3193619607409058,0.6181147472109417,-2.0,-7.0,-12.0,-17.0,-22.0,-16.893152017248603,-6.732880043121514,-11.732880043121515,-9.354227519222395,-0.20217050116804244,2.8263323519074985,5.945946826681549,1.4116761389134211,-1.2103394518340138,-0.7834025365564685,5.218758042423522,7.27298541545529,10.207201541139748,7.778679088804381,4.932000714026421,88,25,27,24,0.4,1.4,2.0,2.0,2.8,3.0,3.0,4.0,5.6,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.4,1.4,2.0,2.6,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,32.0,100.7211140365258,114.00479279246366,46.583333333333336,58.916666666666664,58.916666666666664,76.5,112.16666666666667,145.41666666666666,0.0,0.027777777777777776,0.2777777777777778,0.5694444444444444,113.33623091066966,46.56081615749846,2245.225822282684
