cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,0.6033078116428592,0.9389898196834063,0.9428613565566164,-2.0,-7.0,-12.0,-11.425789783311837,-5.558924141761062,-9.93253656263143,-14.93253656263143,-14.169415084631499,-12.254039425861485,-13.623174599373726,-14.94475806328155,-9.573057918457117,-5.823288659325849,-4.130128732831865,-3.673567422126118,-2.974449307830443,-3.7553206820491396,-4.294611602753529,-6.454853722426918,-7.427035118389105,0,34,17,14,0.8,1.0,1.8,4.0,5.2,8.4,9.2,10.0,10.4,11.4,12.0,12.0,12.0,13.4,15.0,15.2,16.0,16.0,16.0,16.0,0.2,2.4,3.0,3.0,3.6,5.8,8.6,9.0,11.2,12.0,12.0,12.0,12.0,12.0,12.0,12.4,13.0,13.0,13.0,13.0,63.96875,155.12698526654216,161.88499678137535,63.40625,88.625,99.71875,135.96875,218.3125,274.25,0.00390625,0.01171875,0.103515625,0.201171875,213.67916203996919,91.55985328779305,8630.568595787425
4.0,0.21387404151521938,0.9264114834119092,0.9269367594977198,-2.0,-7.0,-12.0,-11.972265808717069,-12.926257784516347,-8.924322496886921,-4.876195028350815,-3.533235214483188,-4.636283899278946,-5.879691115502337,-7.042760367621886,-7.268727494833347,-7.713691698322165,-9.026428989013901,-8.223583512919244,-7.130517288186195,-7.169165354469226,-8.697852168906556,-9.154533668248083,-9.731840453560531,0,15,16,13,1.6,3.4,5.6,6.0,7.2,8.2,9.8,10.0,10.6,11.0,12.0,12.0,12.0,12.6,14.8,16.0,16.0,16.0,16.4,17.0,0.8,3.0,4.4,5.0,6.0,6.2,7.0,7.2,9.0,9.2,10.0,10.0,10.0,12.0,12.0,12.0,12.2,14.0,14.6,15.0,69.21621621621621,141.49123608187267,151.25420106925895,58.91891891891892,84.54054054054055,104.43243243243244,139.67567567567568,199.8918918918919,263.2972972972973,0.0014609203798392988,0.02629656683710738,0.09934258582907232,0.21183345507669835,197.66773672000707,82.98328742046144,7075.468901564689
9.0,0.47766527512363816,1.1940564520799477,1.1966359803029198,-2.0,-7.0,-12.0,-17.0,-11.040931165580599,-9.27927076723946,-2.0990559006475564,-0.033876911987913164,-1.2196260910360337,-3.0896850432337173,-3.4271685397977523,-2.447810336958324,-1.8450231778364596,-3.2102506830166733,-3.386455785107626,-4.971549412242354,-7.4080471937409955,-5.8183617774768805,-6.1050902228920645,-8.714288022838584,34,18,19,16,0.8,1.4,2.0,2.6,4.0,4.0,4.8,6.0,7.0,8.0,8.8,9.0,9.0,9.0,9.6,10.0,10.0,10.0,10.2,11.2,0.8,4.4,5.8,6.6,7.0,7.4,9.2,10.2,11.4,13.0,13.0,13.0,14.0,15.0,15.8,16.6,17.0,17.0,17.0,17.0,58.85294117647059,184.62783800085256,185.93528312333717,64.1470588235294,98.94117647058823,126.6470588235294,167.26470588235293,252.44117647058823,292.20588235294116,0.0,0.022491349480968856,0.07439446366782007,0.1522491349480969,255.07011270633873,116.14007793920896,14351.86707476447
10.0,2.6732872440829962,0.6601154458494369,0.7282773028092051,-2.0,-7.0,-12.0,-17.0,-22.0,-7.112784672823485,17.718038317941286,12.718038317941286,7.718038317941286,2.7180383179412857,-2.2819616820587143,3.054441472089498,0.6385422606265507,-4.361457739373449,-3.484788198583473,13.431305711639311,8.431305711639311,7.453335800526171,5.13468919311741,0.1346891931174099,30,25,27,24,0.0,0.0,0.0,0.8,1.6,4.0,4.0,4.0,4.0,4.0,4.0,4.6,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,2.0,2.0,2.0,2.0,2.0,2.0,50.25,121.05966822300232,123.41706635582511,75.125,75.125,106.625,106.625,163.5,225.0,0.0,0.0625,0.21875,0.28125,178.71776324077325,76.82072602304494,6142.648002645014
11.0,1.0752796765032535,0.8854139402395524,0.8987840542528651,-2.0,-7.0,-10.324344725011915,-7.233565343535412,-6.856332090434918,-6.513019065627671,-6.036459759070904,-6.114104358145807,-5.644129226490703,-4.5519449519389354,-5.66443625378204,-6.5669034375093105,-5.319275922955252,-6.829082389486804,-7.975619580810289,-6.159526600259971,-4.144879564212905,-0.996347845163936,-1.7436780079087781,-2.937204260484583,0,12,13,10,2.0,4.0,6.0,6.0,6.0,6.2,7.0,7.0,7.8,8.0,8.0,8.0,8.2,9.8,10.0,10.0,10.0,10.6,11.8,12.0,0.4,4.2,6.0,6.8,7.8,8.8,10.0,10.8,11.8,13.8,14.0,14.0,14.0,14.0,14.2,16.6,17.0,17.0,17.0,17.6,62.25714285714286,132.35259482778034,155.7534765821427,57.6,78.51428571428572,100.65714285714286,124.91428571428571,188.2,252.88571428571427,0.0032653061224489793,0.026122448979591834,0.1126530612244898,0.24653061224489795,186.22127061365754,79.9264276516439,6583.671280328422
12.0,4.7532452845577104,0.9820721831278401,1.3120556446108629,-2.0,-7.0,-12.0,-17.0,-13.47136419398563,-5.6784104849640755,-8.930757416448333,-0.7833058874898583,0.1831483200509453,1.8516193242479688,2.2067756919231982,-2.7932243080768018,-5.913642606320471,-8.094270053685975,-10.773224789193112,-4.932420599472104,-3.3235480663895034,-3.303079755982631,-6.538890015991839,-3.2204908752201646,49,20,22,19,0.0,0.6,1.0,1.6,2.0,2.0,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,0.0,0.8,1.8,2.0,2.0,3.4,4.0,4.0,4.0,4.6,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,33.2,133.29480469237288,138.45244378895333,50.7,50.7,74.5,110.6,151.7,253.9,0.0,0.06000000000000001,0.22000000000000003,0.33999999999999997,171.97340200499053,85.54386976433139,8014.2794979081245
13.0,1.7079725941528598,0.6496808297403173,0.6919043001715841,-2.0,-7.0,-12.0,-17.0,-14.643939343156699,-7.054118249964452,-5.8311978182552515,-3.2326740596788257,-0.11613214301934818,-0.9923015711197252,-1.9242415025130597,1.1224155633854593,-1.0376110348141836,-3.258850550227507,-4.5127778740213955,-5.7823307202043965,-10.257823436500672,-12.171353101769364,-7.405743824143082,-10.431604596056797,55,20,22,25,0.6,2.0,2.4,3.4,4.0,4.0,4.8,6.4,7.0,7.6,8.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48.45454545454545,84.45749767472321,92.99868010865649,43.36363636363637,56.09090909090909,56.09090909090909,85.63636363636364,130.72727272727272,167.63636363636363,0.0,0.06611570247933884,0.23140495867768596,0.42975206611570244,118.76587511988023,46.068679591994645,2177.5484618954115
14.0,1.697610500890358,1.1000114342202925,1.149160434519086,-2.0,-7.0,-12.0,-17.0,-22.0,-5.741314068153804,-7.5844308649151175,-7.51879447643002,-10.792916181383594,-13.204098738813954,-18.204098738813954,-19.49777336080968,-17.945996363974007,-15.529571092898564,-17.974625634116286,-20.441729661829534,-24.839443326979975,-22.05132896963258,-20.672571156090868,-24.340792349936198,0,83,25,21,0.0,1.4,2.0,2.0,2.8,3.0,3.6,4.8,5.0,5.0,5.4,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,2.6,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.2,5.0,5.0,5.0,35.5,107.96708160275354,107.2740806829953,50.333333333333336,88.08333333333333,88.08333333333333,106.0,150.91666666666666,224.66666666666666,0.0,0.041666666666666664,0.13888888888888887,0.3194444444444445,159.1002025396339,65.59038206867194,4502.593650834901
15.0,1.6439608381011959,0.8078199202720173,0.8528549422944212,-2.0,-7.0,-12.0,-17.0,-22.0,-14.207372604898836,-2.0203766253062874,-7.0203766253062865,-9.902513189571625,-11.725718035969628,-14.908963254436605,-14.69003761176952,-6.941373415911215,-5.278671809513909,-9.736927565783706,-12.569950590862888,-16.261138287861822,-19.297919833360233,-21.380383911817127,-22.348842780212834,31,24,27,23,0.0,0.8,1.8,3.0,3.6,5.6,6.0,6.0,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.6,1.8,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,41.9,86.45048726860149,89.44670235307319,42.5,42.5,68.5,88.7,125.0,170.0,0.0,0.06000000000000001,0.24,0.44000000000000006,121.29083066193884,48.83324035744165,2575.974129121144
17.0,2.835022068429091,0.6888715565437075,0.7439844886443429,-2.0,-7.0,-12.0,-17.0,-16.136084096790462,-9.869445152819939,-8.249665715074034,-4.5453935188158905,-4.903116120719135,-6.775271836017433,-2.1382387501820856,0.2542673139440296,-1.5648934146403293,-2.7412611092313113,-4.804435929371413,-6.0745620143942265,-8.24082997006352,-9.77349567595897,-9.46106727671581,-10.35303719879381,58,20,22,19,0.4,1.0,2.8,3.4,4.2,5.6,6.0,6.0,6.2,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.6,11.0,11.0,1.2,2.0,2.0,3.0,4.8,6.4,9.0,10.0,11.0,11.2,12.0,12.0,12.2,13.0,13.0,13.0,13.0,13.0,13.8,14.0,33.0,176.76621646109623,168.7698603412179,61.96551724137931,75.17241379310344,115.20689655172414,153.17241379310346,222.58620689655172,284.2413793103448,0.0,0.028537455410225922,0.10463733650416171,0.19976218787158145,237.79003439704368,117.133335479101,14372.246857407592
