cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,0.8736415863625057,1.198384417940937,1.2100307919809394,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-12.040629926058928,-15.788095300475362,-6.40677534331095,-8.756651242899073,-9.309901655278374,-12.528614309817868,-9.158289433440753,-3.2602580244080883,-2.50877692405048,-5.307083820301637,-7.272499579301581,-11.475667569343273,-10.768096313690307,-13.92671608502829,0,28,29,26,0.0,0.4,1.0,1.8,4.0,6.8,7.0,7.0,7.8,9.0,9.0,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.6,1.0,1.4,2.8,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,32.214285714285715,132.02673999249694,135.59923050598266,44.07142857142857,66.35714285714286,103.35714285714286,123.64285714285714,171.85714285714286,262.2857142857143,0.0,0.02040816326530612,0.19387755102040818,0.2959183673469387,185.06181940425486,90.64373402807792,8635.122150617917
7.0,3.8064937965479326,1.019988073312278,1.212826919042053,-2.0,-7.0,-12.0,-17.0,-11.503993245156385,-1.2206803192147297,3.090025830709874,4.105318342740773,2.351045520765614,-0.7285725378338966,-1.8450275499448239,-3.588481557625826,-2.9328984647523084,-4.017422770957755,-2.920111566818565,-2.4761171845466863,-2.3941185588619645,1.8924088131858923,-0.04870750003963167,-3.9260800650674925,37,19,24,17,0.0,0.6,1.0,1.6,2.8,3.0,3.0,4.2,5.0,5.2,6.0,6.0,6.8,7.0,7.8,8.0,8.0,8.0,8.0,8.0,1.2,3.0,5.6,7.0,7.8,8.0,8.0,8.4,9.4,10.2,12.8,13.0,13.2,14.0,14.4,15.2,16.0,17.0,17.8,18.0,42.0,150.76615540417436,163.90697115668172,61.92307692307692,75.15384615384616,90.76923076923077,126.15384615384616,203.5,261.7307692307692,0.0,0.038461538461538464,0.1242603550295858,0.2366863905325444,195.87596740288365,85.27618423942384,7458.599357338013
8.0,0.5056767904786913,0.9460710371996275,0.9503874943433466,-2.0,-7.0,-12.0,-17.0,-11.147409405296827,-7.024618453844624,-8.2153473542509,-6.884573267609605,-7.09035853904691,-7.438298225268028,-8.003412167362056,-9.355781193828015,-10.173393621879113,-11.380760228602124,-8.784643338626125,-8.06893329765548,-10.630475589696013,-13.41127578220366,-14.061953221765211,-13.261006146770494,0,19,21,17,0.0,2.2,3.2,4.4,5.0,5.6,7.2,8.0,9.0,10.2,11.6,12.0,12.0,12.0,13.6,14.0,14.0,14.0,14.0,14.0,1.0,2.6,3.2,4.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,39.80952380952381,99.74054356270948,101.10557783859895,50.42857142857143,63.38095238095238,78.57142857142857,97.04761904761905,144.8095238095238,192.66666666666666,0.0,0.04988662131519274,0.19954648526077096,0.4036281179138322,138.63482821131888,57.49617867190606,3454.910754196388
11.0,3.290835314415919,0.7411735253112459,0.9266185807357744,-2.0,-7.0,-12.0,-17.0,-22.0,-19.06838095976511,-9.00286448955011,-12.461833931231547,-5.625177353631607,-6.039683199872293,-3.922547188250114,-0.5885088743629225,-5.5885088743629225,-8.522251344641784,-6.311556627170527,-6.931686833943758,-4.760390792173467,-7.049730684830732,-9.260186705818459,-13.318326816710439,55,26,27,24,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,1.0,1.0,1.0,1.8,3.2,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26.181818181818183,84.36290779528521,82.29030482851807,48.18181818181818,66.45454545454545,66.45454545454545,75.45454545454545,119.0909090909091,168.36363636363637,0.0,0.04958677685950413,0.24793388429752064,0.5123966942148761,115.7892496257976,45.00477199381281,2131.2870748316873
12.0,2.0531242036479678,0.8162306529038426,0.8615994538584992,-2.0,-7.0,-12.0,-17.0,-22.0,-24.140660865217285,-12.056991656201992,-11.343349210564266,-12.76715920309525,-11.639664667434435,-14.284662642341198,-12.426776353876262,-10.277142736843215,-8.132351959627545,-5.395952207365522,-5.383935556064114,-4.046763060619978,-5.858940558223102,-7.061958633981118,-6.730687463485097,0,26,29,25,0.0,0.0,0.0,0.6,1.0,1.2,3.4,6.8,7.0,7.8,8.0,8.0,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.6,1.8,3.8,4.2,5.0,5.4,6.4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.4,43.94736842105263,135.99922348405235,143.85919207648865,55.0,73.84210526315789,86.6842105263158,118.36842105263158,191.3684210526316,258.57894736842104,0.0,0.0221606648199446,0.13296398891966757,0.26592797783933514,185.1931236125093,80.68214356707225,6735.315441713926
16.0,3.79674600548799,1.080796678673967,1.3019710968516776,-2.0,-7.0,-12.0,-17.0,-22.0,-15.480550140281352,-5.795131773898493,-6.001294533933217,-4.482379022445478,-2.0531921223879577,-2.513736395472333,-3.8177424660834602,-7.913429071834983,-9.178580791254214,-10.188042144262033,-14.411215149098307,-14.393764231292725,-12.48152558258229,-7.787088201595358,-9.199477837369766,0,24,25,22,0.0,2.4,4.2,5.0,5.2,6.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2,2.6,3.8,4.0,4.8,5.8,6.0,7.4,9.8,10.2,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,26.0,131.26538090934372,131.9834777653571,41.68421052631579,67.6842105263158,82.26315789473684,115.52631578947368,172.26315789473685,232.73684210526315,0.0,0.038781163434903045,0.13850415512465372,0.3268698060941828,172.08390967011093,80.68598456629799,6770.394969618059
18.0,1.6097131178734883,1.1624240878855103,1.2014233602798952,-2.0,-7.0,-12.0,-17.0,-22.0,-23.06437910229547,-14.740316962688263,-10.270695885241778,-9.651924009077149,-12.266948287135222,-12.935950351314323,-8.643078758435172,-4.601976539129216,-4.689941189793518,-7.060897676474042,-9.563424319689762,-11.509241194554221,-13.595896711548704,-15.455275595886423,-13.064184724206285,0,26,28,24,1.2,2.4,3.8,5.0,5.0,5.0,5.0,5.4,6.0,6.0,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.8,3.0,3.0,3.2,4.0,4.0,4.4,5.6,6.0,6.0,6.4,7.0,7.4,8.0,8.0,8.0,8.0,8.0,8.8,9.0,42.88,138.29877527513656,168.0907390865382,60.6,78.68,92.84,129.36,201.04,256.64,0.0,0.0256,0.1184,0.2528,189.91473478515357,80.50044667486617,6731.915806385526
19.0,2.533769445121288,0.959708128239127,1.041297967552205,-2.0,-7.0,-12.0,-15.40945226643384,-7.010024866199494,-6.830717564592715,-7.813257577929299,-7.8382880541044,-8.53713086774155,-6.8349801232668455,-7.354197032424899,-7.448968681223022,-7.388990721921344,-5.660874216168679,-5.669316567137917,-6.824852883417901,-6.691236928862187,-6.3724289823135365,-6.0672885365247025,-7.644462606219861,0,17,19,15,0.0,0.6,1.0,2.8,5.0,6.0,6.0,6.0,6.0,6.4,7.8,9.0,9.0,9.0,9.6,10.0,10.0,10.0,10.0,10.0,0.2,1.0,1.0,1.0,1.2,4.4,5.0,5.0,5.0,5.0,5.2,8.2,9.0,9.0,9.0,9.2,12.2,13.4,14.0,14.0,47.233333333333334,128.29014913961714,142.60072297384332,50.666666666666664,64.36666666666666,78.5,108.33333333333333,169.1,243.26666666666668,0.0022222222222222222,0.03111111111111111,0.15333333333333332,0.3333333333333333,176.84315748007646,87.80870023578204,8114.24370701827
22.0,0.9077778341678097,1.0948230864585007,1.1028173165094093,-2.0,-7.0,-12.0,-14.128563863221299,-9.574901095206481,-9.47030163634216,-7.7428954871671305,-6.594481378804106,-5.849109421265732,-5.768997958099102,-5.508236339694551,-6.383424271440992,-6.956625248329296,-7.247906315192442,-5.920740315537445,-6.945217974810253,-7.715775021352551,-7.532579307063193,-7.107420536541016,-7.719368691625334,0,16,18,14,1.4,8.2,10.4,12.8,14.0,14.0,14.0,14.0,15.0,15.0,16.2,17.0,18.0,18.8,20.0,20.0,20.0,21.4,23.4,24.0,2.4,5.2,7.4,10.6,11.0,11.0,12.0,12.8,16.2,19.6,22.0,22.0,23.0,24.6,25.0,25.2,26.4,27.0,27.0,27.2,142.6551724137931,193.41503122314845,195.57723717425122,61.189655172413794,89.94827586206897,116.10344827586206,156.5344827586207,246.55172413793105,295.7068965517241,0.0011890606420927466,0.02140309155766944,0.07907253269916766,0.16587395957193818,262.1899372287372,127.86889715592898,17276.759468560987
23.0,9.60450989488171,0.4491298950531545,1.1154888561002338,-2.0,-7.0,-12.0,-17.0,-22.0,-5.3526722822335575,3.1204547355263728,1.1717170993374324,15.369204156439542,10.369204156439544,12.233873036054074,15.487779296486394,15.233264286287413,16.34102819169977,20.526448997985323,23.567071130539688,25.7586068622968,24.317802980892438,29.486276241630982,33.381984426321544,80,23,25,22,0.0,0.0,0.8,2.4,3.0,3.0,3.2,5.0,5.0,6.6,7.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.2,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2,5.0,68.26666666666667,193.1591419663253,194.7942288743575,50.13333333333333,72.0,86.13333333333334,104.06666666666666,187.2,273.93333333333334,0.0,0.02666666666666667,0.16,0.32,194.58855687371295,97.8037517647016,10052.171619037408
