cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,0.3085262020451463,1.0208565635026654,1.0220017625484152,-2.0,-7.0,-12.0,-17.0,-13.96487817943697,-13.414541763625248,-12.746157698852311,-11.293886582759521,-8.137323532219629,-6.569070720986291,-6.095909172820058,-6.349646900794495,-7.89373514504005,-6.92712173456717,-6.878016819545067,-8.765199319306845,-8.263334904765046,-7.972533606070965,-9.991709818576686,-12.15825103100033,0,18,19,16,0.8,3.2,9.0,11.0,12.4,13.2,14.8,16.0,16.8,19.4,20.8,23.0,25.0,27.0,28.0,29.2,30.8,31.0,31.0,31.6,0.2,1.6,2.0,2.4,3.0,3.4,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,55.857142857142854,145.6052237485717,147.3558845198888,64.85714285714286,85.5,101.35714285714286,132.21428571428572,200.14285714285714,261.4047619047619,0.0,0.01927437641723356,0.10544217687074828,0.22789115646258504,202.31551406962458,90.94623883390743,8643.60128606113
3.0,0.49941201695108733,0.8766340698892467,0.8799488489882358,-2.0,-7.0,-12.0,-17.0,-17.294672599325533,-13.629989973631535,-14.420070567365219,-11.205277792352867,-9.091642390326593,-7.2377817061309315,-6.42817574377036,-8.432281737095906,-8.50800990577681,-8.787460894997976,-10.770620704117848,-10.784168222477707,-9.574579718420182,-9.201448256047792,-9.66220145052948,-8.992498314228907,0,20,35,18,2.0,4.0,5.0,7.0,10.0,11.0,11.0,13.0,14.0,14.2,15.6,16.0,16.4,17.2,19.2,21.0,22.2,23.0,23.0,23.6,3.0,5.4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,41.766666666666666,110.37389952976663,110.46337147132462,52.2,64.6,85.76666666666667,108.0,154.1,207.76666666666668,0.0,0.02888888888888889,0.15333333333333332,0.33555555555555555,157.08381254513375,66.58884193501939,4527.751211626158
4.0,0.8254722300255697,0.9997303986078655,1.009074958558452,-2.0,-7.0,-12.0,-17.0,-20.00135611553946,-11.608746652928517,-7.91550325643936,-6.8781221187949395,-7.133276503014036,-5.412253116223793,-5.444030294924453,-6.447419414113483,-8.4609883708425,-8.720629778269839,-6.0813809045487215,-4.611576412358252,-5.472144852508876,-5.872299727818446,-6.3404756491284475,-8.852300684795257,0,22,24,20,2.8,6.0,6.0,7.2,8.0,9.8,12.2,13.0,15.0,15.4,16.0,16.0,16.0,16.0,16.4,17.6,19.0,19.2,20.6,21.0,0.8,4.2,5.0,5.2,6.0,7.4,10.0,10.0,12.2,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,66.21052631578948,128.9367067511665,133.75208944953957,48.3421052631579,68.15789473684211,85.05263157894737,123.1842105263158,182.0,244.44736842105263,0.0,0.027700831024930747,0.1371191135734072,0.25900277008310246,178.0240839892393,75.63036379353865,5895.320907861915
6.0,2.4934748342700686,0.8258945063418294,0.8825202137644638,-2.0,-7.0,-12.0,-14.082075408344977,-10.366509021853144,-10.29227924752874,-8.191014909218275,-7.590713627927268,-7.078073340775141,-4.721342484133254,-2.495569796888499,-3.0476093403026354,-1.9514322746157915,-2.5712485671240346,-2.305520754432641,-2.369469960370407,-2.5963225615775856,-2.0108944662773127,-1.9648978833868456,-1.226160019426726,0,16,17,14,0.8,4.0,5.4,8.0,9.2,11.0,12.0,13.8,17.0,17.8,19.0,22.2,23.0,24.4,25.8,28.2,31.4,33.0,33.0,33.4,0.4,1.2,3.8,4.2,5.0,5.8,6.0,6.4,7.0,7.0,7.0,7.6,8.0,8.0,8.2,10.0,11.0,11.0,11.0,11.0,78.38983050847457,161.5354149009218,158.6440079397778,60.86440677966102,89.42372881355932,111.49152542372882,144.47457627118644,219.83050847457628,275.864406779661,0.0011490950876185005,0.016087331226659007,0.08848032174662454,0.19592071243895431,221.34990399000412,97.13278059661641,9731.455276787889
10.0,1.3025369767981925,0.8471339513838851,0.8732235233641809,-2.0,-7.0,-12.0,-17.0,-22.0,-15.460216808951873,-12.907130358835587,-15.407489843313687,-15.90598446463635,-15.750893686188386,-9.072168546187251,-6.809584698825344,-6.567888897612612,-8.048245894481294,-4.874782334015018,-6.529601818800745,-8.026779824995472,-7.592465405934249,-7.009893636644714,-10.410203194583707,0,23,25,22,0.2,1.2,4.0,6.0,7.2,8.4,9.0,10.0,10.0,10.6,11.4,12.2,14.0,15.2,16.0,16.4,17.0,17.0,17.0,17.0,1.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,42.7,94.88629662254334,95.27068351346452,41.35,55.3,62.8,87.9,131.55,179.4,0.0,0.025,0.22000000000000003,0.41,135.78120494797483,56.16790720301282,3283.915586117767
13.0,0.8056170575315179,1.0177187083391026,1.0288087676081084,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-28.716952176534118,-28.19492029422354,-27.235040682859914,-16.297849659786714,-13.334765951584256,-12.142483687521267,-11.165875152547903,-13.0706868919555,-12.368159881551785,-13.69780334222645,-17.680347880934477,-19.73824156267208,-21.088375660094847,0,35,36,33,0.0,1.6,2.4,3.6,4.6,5.2,6.0,7.0,9.6,10.0,10.8,11.0,11.0,11.2,12.0,12.0,12.0,12.0,12.0,12.0,0.8,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,30.857142857142858,96.39134129542126,96.5617107022872,56.07142857142857,69.0,85.78571428571429,99.92857142857143,138.92857142857142,184.07142857142858,0.0,0.01020408163265306,0.21428571428571427,0.3979591836734694,141.716788483705,59.75812707706591,3695.0713217301186
18.0,5.147198427403118,0.44233727431213077,0.75308779684654,-2.0,-7.0,-12.0,-17.0,-13.967060784139829,-4.078901200533991,-4.275709312133721,-3.858368778758593,-3.884916518612731,-3.693592560573154,-0.27630280015098097,0.020846006994432287,-3.9124043611869284,-2.5671029753893135,-4.537629384412588,-1.2294372217630893,-0.8389207594031148,-3.7187124103652565,-1.9491492917042847,2.8599981121012745,55,20,21,18,0.4,2.6,3.8,4.0,5.2,6.0,6.4,7.0,7.0,8.8,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.6,1.4,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,28.0,87.7348222005982,91.24244442229708,37.285714285714285,56.0,64.28571428571429,77.07142857142857,105.92857142857143,146.14285714285714,0.0,0.08163265306122448,0.3163265306122449,0.5510204081632654,108.78236413689045,44.011688011952245,1996.340393851944
22.0,1.19309114185305,1.012524572040445,1.0366938896623419,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-9.265012912117651,-14.265012912117651,-19.26501291211765,-14.720656249867654,-19.720656249867652,-23.53802540580554,-13.269236404021473,-12.204870797885084,-13.497492629524956,-16.690116071888337,-17.44111380391984,-20.134207656649494,-25.134207656649494,-28.4091985617827,0,27,29,26,0.2,1.0,1.8,2.0,2.2,3.0,3.0,3.0,3.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.8,2.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,36.77777777777778,95.00591943731905,106.35358708219049,51.333333333333336,51.333333333333336,89.0,114.66666666666667,144.55555555555554,227.77777777777777,0.0,0.024691358024691357,0.19753086419753085,0.3950617283950617,146.53306069157065,64.62457349666393,4528.675471128059
23.0,1.041970188660872,0.9847633437776545,1.0012861870335537,-2.0,-7.0,-12.0,-15.276782787793874,-8.498951279203123,-9.81885116277136,-11.001058009001397,-5.62002013159576,-6.093897833427214,-6.742202518524339,-6.1179727307942,-5.408919604037817,-5.58935789374854,-6.208409423004999,-8.023697854419341,-8.402350513969774,-4.415971183298339,-5.121444194309291,-6.766630750138558,-9.358119900551694,0,17,19,15,1.2,4.0,4.6,5.0,7.2,9.0,9.8,12.6,14.0,14.2,15.8,16.4,18.4,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,2.2,3.0,3.0,3.6,4.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,49.75,110.38437010081911,112.89539084771484,49.541666666666664,59.291666666666664,66.5,85.33333333333333,143.33333333333334,221.79166666666666,0.003472222222222222,0.052083333333333336,0.21875,0.3923611111111111,152.6174845750969,73.96251892057232,5732.409138288105
24.0,0.660842387473387,1.0443233914250578,1.0514393714242558,-2.0,-7.0,-12.0,-17.0,-15.03160514788459,-16.15863695848515,-15.746475184860756,-10.618921036932713,-7.925628846314152,-7.259502082512339,-8.58867943969669,-9.010234412588833,-10.50015234883087,-12.38326987135166,-14.027112881683871,-13.067210349673129,-13.12396937661892,-15.08411794238489,-13.238694300299775,-13.124676194171723,0,19,20,17,2.4,4.6,6.0,6.0,7.2,8.0,10.8,12.0,12.0,12.0,12.6,13.4,14.0,15.0,15.0,16.4,17.0,17.0,17.0,17.0,0.4,2.0,3.0,3.6,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,33.166666666666664,111.3231445719449,111.84491493642348,56.041666666666664,68.70833333333333,82.125,104.625,159.58333333333334,208.625,0.0,0.03125,0.15625,0.3194444444444445,155.80584493654416,64.73708982027226,4321.88053020978
