cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,4.186084497765386,0.8570063934658841,1.0737458153723691,-2.0,-7.0,-12.0,-17.0,-22.0,-9.76882205065846,-14.76882205065846,-6.915063333565482,-1.546421814424113,0.8254820869024158,1.558046483002292,-0.6095575702962691,-1.147139241963491,-1.742089931316059,-3.8575323709972027,-6.536635948894241,-9.45125704297828,-10.384091073593263,-11.671312320007317,-8.560311845442603,51,22,36,21,1.0,2.0,2.0,2.0,2.0,2.4,4.0,4.2,5.0,5.0,5.0,5.0,5.0,6.6,7.8,8.0,8.0,8.0,9.0,9.0,0.2,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.4,4.2,5.0,6.0,6.0,6.0,6.0,6.0,6.0,47.0,140.3583857972254,142.32140997623603,49.375,82.1875,111.0625,120.5,177.4375,247.875,0.0,0.0390625,0.1171875,0.2421875,182.67327034444008,75.94301432808962,5956.465329537527
4.0,1.2396841426011915,1.078568854992113,1.0980631577050048,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-26.97426165804496,-6.2338171924665815,-7.47548979396111,-12.47548979396111,-17.47548979396111,-18.683981938124084,-17.996720154368553,-21.71269499843293,-21.576594374690444,-26.576594374690444,-31.576594374690444,-32.744623500957076,-14.44864697803639,-12.086532913477924,0,86,33,30,0.2,1.0,1.0,1.0,2.0,2.0,2.4,3.4,4.0,4.2,5.0,5.4,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.0,3.0,3.2,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,58.333333333333336,144.67416959436773,150.7159403523511,72.5,108.83333333333333,108.83333333333333,124.75,193.83333333333334,271.1666666666667,0.0,0.027777777777777776,0.05555555555555555,0.20833333333333334,209.89064815728253,92.2164510958951,9115.810000173746
8.0,1.7831327223054527,0.8843851695956043,0.9314293146973699,-2.0,-7.0,-12.0,-17.0,-19.244670875541903,-12.109880021723821,-11.797901040856031,-13.365574813156025,-11.030030408596128,-11.821255640882644,-10.321272296097513,-7.983103504225793,-9.098238361806379,-5.751251544867356,-2.791465844776249,-2.74116728006297,-5.888836863293022,-9.952916633048725,-10.767842982529979,-13.120418434472038,0,22,23,20,1.6,2.0,2.6,3.0,3.0,3.8,4.0,4.0,4.2,5.0,5.6,6.0,6.0,6.8,7.0,8.4,9.0,9.0,10.4,11.4,0.8,1.0,1.0,1.2,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,52.705882352941174,107.50495037966878,105.67163514756012,50.470588235294116,65.94117647058823,78.52941176470588,111.58823529411765,154.58823529411765,201.94117647058823,0.0,0.020761245674740483,0.18685121107266436,0.31833910034602075,150.69127971943644,61.19486203777684,3832.5954491188677
9.0,1.9899246028434636,0.747311411605965,0.8309168551077689,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-23.84496498070836,-12.510785058660357,-12.055375062653319,-14.323932433946567,-6.434638010796793,-8.201954884753132,-12.549271743240062,-13.493111956581345,-10.003468174242425,-6.4022429625353965,-7.066084657730585,-11.374688939689136,-13.063092393706118,0,33,35,32,0.8,3.0,4.0,4.0,4.0,4.4,6.0,6.0,6.0,6.0,6.0,6.6,7.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.77777777777778,65.23091147327197,65.05029573536746,48.44444444444444,48.44444444444444,61.44444444444444,74.0,102.55555555555556,129.22222222222223,0.0,0.024691358024691357,0.345679012345679,0.6419753086419753,95.54126751039207,32.63186424865691,1112.165033471528
10.0,2.5721696834947707,1.3067653550579696,1.4369750400205314,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-36.734512360688996,-0.672561803444971,-5.672561803444971,-10.672561803444971,-15.672561803444973,-20.67256180344497,-1.9264326894809614,-6.926432689480961,-11.926432689480961,-16.92643268948096,-21.92643268948096,51,46,48,45,0.4,1.0,1.0,1.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.4,126.6462324427268,126.1590750834954,77.0,77.0,77.0,172.0,225.2,265.0,0.0,0.0,0.16,0.16,184.8866149400011,72.97351299081302,5844.546030097187
11.0,1.3456276554758346,1.0876455284884603,1.1150552246275343,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-29.28106772275923,-12.182827961383149,-3.8718304805117554,-6.8092168037992735,-8.206145460262613,-9.629603338238233,-11.860595315135118,-8.255682354340088,-13.255682354340086,-15.163421698416794,-11.992831041869845,-15.582460149564369,-20.58246014956437,0,35,38,34,0.4,1.2,2.2,3.8,4.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.8,1.0,1.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.4,4.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,32.57142857142857,130.8101885153616,136.95168098649324,56.07142857142857,76.71428571428571,107.42857142857143,132.64285714285714,180.42857142857142,255.14285714285714,0.0,0.01020408163265306,0.1020408163265306,0.22448979591836735,180.8345194805498,73.39348864147546,5609.353193199544
13.0,3.2474023012214976,0.8589847916103951,1.0458482326122314,-2.0,-7.0,-12.0,-17.0,-1.7093069575116218,-6.709306957511622,-5.176687256079232,-3.404749363049138,-4.779462224936388,-9.779462224936388,-14.77946222493639,-12.07080904512823,-8.927666745053516,-12.85503948092853,-15.648788347345981,-12.671842863539965,-11.566773825989028,-10.996112378139056,-12.611215519225453,-15.028904018607836,22,17,19,16,0.8,1.2,2.0,2.2,3.0,3.8,4.6,5.8,6.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.77777777777778,85.78133894936838,92.12564075198206,49.888888888888886,49.888888888888886,76.44444444444444,99.88888888888889,135.22222222222223,179.88888888888889,0.0,0.07407407407407407,0.2222222222222222,0.41975308641975306,127.49297479788912,53.36759062893169,2997.4583063194054
14.0,1.7874408023405082,0.9409409168429747,0.9994852526449641,-2.0,-7.0,-12.0,-17.0,-22.0,-16.33150969793586,-6.132522254428011,-6.843323429044109,-2.4187115269379915,1.2854715678032604,-0.03739229587378219,1.345140909562194,0.17106957103913914,-3.553284925522668,-4.159988771832454,-8.04981318993139,-8.135173175260169,-7.620227219248503,-10.30300252625743,-9.452635680947484,58,25,27,23,0.8,2.6,3.0,3.2,4.2,5.0,6.0,6.6,8.4,9.0,9.0,9.0,9.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,1.6,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,35.285714285714285,93.12922178476867,94.57686942943454,39.07142857142857,49.0,62.142857142857146,77.07142857142857,123.92857142857143,182.5,0.0,0.07142857142857142,0.25510204081632654,0.4693877551020408,126.32843448290237,59.65053114890861,3808.5859220724265
15.0,4.067648581173252,1.0615087743218072,1.3736185311230245,-2.0,-7.0,-12.0,-17.0,-22.0,-9.344344212715592,-2.5739070211926567,-7.573907021192656,-12.573907021192657,-12.295358803799735,-11.99311923920416,-9.860289560536323,-14.860289560536325,-19.860289560536323,-18.61165456108385,-17.33748979544125,-15.867513865482413,-13.93508779236831,-17.606354769712212,-22.606354769712212,29,24,26,23,0.8,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.2,2.6,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,20.125,113.38452398261244,119.57224068838299,63.375,63.375,96.625,96.625,145.5,213.5,0.0,0.03125,0.15625,0.34375,152.4677373411042,62.639115533479625,4232.776697755563
16.0,5.962582598651775,1.040335182410502,1.5629475230042855,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-33.710599824721115,-2.8242751864532663,3.0906205621559906,-1.9093794378440094,-6.909379437844009,-11.90937943784401,-16.90937943784401,-21.90937943784401,-26.909379437844006,-31.909379437844006,-36.90937943784401,-41.90937943784401,50,41,43,40,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.2,145.74310003657902,145.88422576940818,90.0,90.0,90.0,144.4,168.2,288.2,0.0,0.0,0.16,0.32,189.51560279683076,96.04080337930732,10065.732642590052
