cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,6.009272215727931,0.6513916506319405,0.927322400123199,-2.0,-7.0,-12.0,-17.0,-22.0,-6.79264538401417,-7.6408179476167035,-3.7778840860170915,-8.061282947396613,-8.568646433362641,-8.528739424646828,1.259691201916158,-0.5922670130840956,-1.9347468910753236,-1.1610193706001382,6.892112543706043,9.4408314492885,8.643370024889183,5.635090047860999,7.022115149344094,80,23,24,21,1.2,2.0,3.0,3.6,4.8,7.0,7.4,9.2,10.0,10.2,11.0,11.8,12.0,12.0,12.0,12.0,12.0,12.2,14.0,14.2,0.8,2.0,3.0,3.0,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,73.04347826086956,174.72629829644265,173.8646550580377,85.82608695652173,96.56521739130434,109.82608695652173,136.2608695652174,214.47826086956522,275.9130434782609,0.0,0.01890359168241966,0.12098298676748583,0.21928166351606806,219.6761737902137,103.63440513244242,11382.66656617802
3.0,1.575362443814498,0.6336961944269093,0.6522319323344695,-2.0,-7.0,-12.0,-17.0,-22.0,-21.57270054689635,-15.081293459233413,-12.782194463662846,-11.077587739065319,-14.746055655973032,-10.061286490688985,-7.42168234074705,-6.569860726275945,-3.067414111574726,3.7197788322217633,1.541636411996143,0.7013340562537337,-0.8008384406459783,-0.27843290884505334,-2.096070289683138,71,26,27,24,0.0,2.0,2.8,3.0,3.0,4.6,6.0,6.0,6.0,7.8,8.0,8.0,9.2,11.6,12.6,13.0,13.0,13.0,13.8,14.0,0.4,1.6,2.8,4.0,4.8,5.0,5.0,5.0,5.8,6.2,8.0,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,54.96,148.8377835610479,167.82130601106215,70.92,84.56,102.16,142.76,213.48,266.36,0.0,0.0128,0.1024,0.1984,208.0062004132737,90.76911705554103,8641.569471390305
7.0,2.4102560935324906,1.3395853531239514,1.4660459608783476,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-35.55196256427281,-14.759812821364036,-19.759812821364036,-24.759812821364036,-29.75981282136404,-26.292417045583722,-5.268210885636677,-10.268210885636677,-15.268210885636677,-20.268210885636677,-25.268210885636677,-30.268210885636677,0,41,43,40,0.4,1.0,1.0,1.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,29.0,110.35718899043817,102.84046369247157,60.2,60.2,60.2,125.4,198.8,259.2,0.0,0.0,0.24000000000000005,0.32,161.1939081903435,77.59856634164127,6250.649187418001
8.0,2.2991534665079905,0.7529124334138819,0.8552694519559235,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-58.37216117913863,-28.860805895693176,-20.520502791233376,-22.185427015118428,-27.185427015118428,-32.18542701511843,-37.18542701511843,0,66,68,65,0.0,0.0,1.4,2.0,2.6,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,71.21685396349444,71.92919432420732,79.75,79.75,79.75,79.75,111.0,151.25,0.0,0.0,0.25,0.5,113.58821321687601,31.94310211679381,1144.0431432299074
10.0,1.8854454172261208,0.4420082041340409,0.483453009140499,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-26.008325921294563,-7.041629606472822,-12.04162960647282,-17.04162960647282,-9.586826534658464,-7.7270865903669925,-7.1080278258601695,-12.10802782586017,-15.535329762964551,-10.968427351244035,0.8530030292045779,1.1869943220240287,2.3241676979939,0.6446703925779872,88,31,33,30,0.0,0.8,1.0,1.0,1.0,2.0,3.2,4.4,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.285714285714285,74.9100176844314,79.62661509425045,55.285714285714285,55.285714285714285,83.57142857142857,83.57142857142857,114.85714285714286,172.57142857142858,0.0,0.04081632653061224,0.2040816326530612,0.5306122448979591,109.32311984650963,38.48357706399317,1555.638941763778
13.0,2.251805240816902,0.845750748495966,0.9051797285675645,-2.0,-7.0,-12.0,-17.0,-22.0,-15.079970213122431,-9.98382045784518,-14.98382045784518,-17.006101651139513,-13.510216398903022,-13.61924425585481,-16.090766533193896,-16.68432170132045,-20.64451139523045,-13.313661264820388,-11.624900383653642,-7.35407468950589,-11.637680231219932,-14.40649081507577,-13.6155647815744,0,25,26,23,0.0,0.0,1.2,2.2,3.4,5.0,6.0,7.6,8.0,8.0,8.0,8.4,9.0,9.0,9.0,10.6,11.0,11.0,11.4,12.4,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,56.0,128.6591949718586,125.26909569957883,57.0,78.41176470588235,96.58823529411765,120.11764705882354,181.05882352941177,230.35294117647058,0.0,0.01384083044982699,0.11764705882352941,0.2906574394463668,177.9932620249395,77.13440804186212,6241.080436883967
15.0,2.9787693835307607,0.7079134804656914,0.7778249918892179,-2.0,-7.0,-12.0,-17.0,-15.64552303878042,-4.533531249139745,-8.419126515439668,-5.805269845072097,1.4798217056285679,7.259322911554291,9.61582202386733,10.165595084593164,5.919198192862908,0.9191981928629076,-2.568769409614956,-2.7256122571179078,3.2501994186288927,4.28303122831961,2.533322680559871,0.8582452858628272,55,20,22,19,1.8,4.0,4.0,4.0,4.6,5.0,5.0,6.6,7.0,7.0,8.0,8.0,8.6,9.0,10.0,10.0,10.6,11.0,11.4,12.0,0.2,1.0,1.0,2.2,3.0,4.0,4.0,4.2,6.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,105.20833333333333,161.92877613843345,164.12325893970157,66.95833333333333,90.33333333333333,108.58333333333333,141.5,217.83333333333334,274.625,0.0,0.01736111111111111,0.08680555555555554,0.1909722222222222,222.6884263171988,103.3890614561558,11285.376057185085
16.0,2.950513412023455,0.3433321441465166,0.46682324626209054,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-18.203692253725524,-2.509230634313802,-7.509230634313802,-12.509230634313802,-0.09492197105146971,0.8525047265721852,16.31873232848618,13.091528631777692,8.091528631777692,3.0915286317776918,4.9140116805776985,9.906118192817374,4.906118192817374,-0.09388180718262618,62,30,32,29,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.6,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.8,56.57676260033816,60.00893038447905,45.8,45.8,45.8,65.4,92.4,118.0,0.0,0.08,0.4,0.72,79.79986299519526,28.125506577552972,821.2822557654268
17.0,3.6168524377197913,0.6376434451088063,0.8553683085839086,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-12.17794748876604,-12.633684982216785,-5.542676755159549,-7.355894977532081,-10.482741273837336,-6.584581655721996,-8.193985176653271,-10.391251356515141,-8.40874952774706,-5.168052560463929,-5.794047433745732,-10.794047433745732,-15.794047433745732,-17.58485252057749,0,27,29,26,0.0,0.2,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.4,5.4,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.5,69.94362485453237,69.88666584569651,49.625,49.625,68.625,68.625,97.75,138.75,0.0,0.09375,0.375,0.59375,104.44910957164717,43.00666991668619,1939.3582784072685
18.0,43.66356329530063,0.0012479729752909207,15.246063527723413,-2.0,-7.0,-12.0,-17.0,-22.0,52.87428830367992,101.12381383946652,96.12381383946652,91.12381383946652,86.12381383946652,81.12381383946652,76.12381383946652,71.12381383946652,66.12381383946652,61.123813839466514,56.123813839466514,51.12381383946652,46.12381383946652,41.12381383946652,36.12381383946652,29,24,26,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,376.52375252254774,362.1901386111347,28.0,28.0,28.0,28.0,28.0,300.0,0.0,0.5,0.5,0.5,27.459060435491963,0.0,0.0
