cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
4.0,2.2360941238601377,0.6992698955498116,0.7544319325726292,-2.0,-7.0,-12.0,-17.0,-11.976778647693745,-12.394734305510088,-9.605349063613835,-6.583629262982845,-8.558508808188407,-13.558508808188407,-13.917869053331819,-15.741276382225106,-14.48628714805999,-10.772815007952905,-11.856532900158467,-11.20215973251058,-13.571612857059014,-9.201157899739343,-5.6888373126944884,-5.104972822046216,0,19,20,17,0.2,1.6,2.2,3.0,4.0,7.6,9.0,9.8,10.0,10.0,10.0,10.0,10.4,11.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,33.0,108.61842441618143,105.66739054603833,43.9375,68.125,79.4375,89.1875,136.9375,208.75,0.0,0.046875,0.1875,0.421875,150.4217890138797,73.25241013138995,5621.407647502993
7.0,1.1457947116682217,0.8394267732251406,0.8610814477466555,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-6.421006466750121,-6.076907548546876,1.7435791760543338,-2.20075411804968,-0.5026612373372217,1.1045811692662568,-1.9888854750020357,-6.988885475002036,-8.140036267130398,-11.443426054324027,-9.656985203098543,-12.799625975313011,-16.561386490122658,-21.561386490122658,42,28,29,26,0.0,0.0,1.2,2.0,4.0,5.2,6.0,6.0,6.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.4,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,36.5,91.9253859955841,93.4043596692842,39.7,39.7,71.5,95.9,140.9,184.7,0.0,0.08,0.24,0.32,130.19615434817902,53.100445605908895,2880.1658049168373
9.0,0.30193080579639514,0.6909253907798484,0.6926204116610305,-2.0,-7.0,-12.0,-17.0,-22.0,-14.522225772683806,-11.203709621139673,-16.203709621139673,-18.040233057590562,-10.386326803394113,-9.892438226967649,-9.461438536819259,-14.461438536819259,-16.205380365197882,-14.01320942579413,-14.82714964234368,-10.963214232373772,-9.56592430408379,-7.815848093010715,-8.443341144446919,0,24,26,46,0.0,0.0,0.0,1.0,1.6,2.8,3.6,4.0,4.0,4.6,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.57142857142857,60.09402264707237,61.478784173610485,48.57142857142857,48.57142857142857,67.71428571428571,67.71428571428571,91.0,152.71428571428572,0.0,0.04081632653061224,0.4489795918367347,0.6530612244897959,95.15342824912425,37.953760000718646,1487.911475881249
10.0,2.3489838731065786,0.6175703240997247,0.706647765887058,-2.0,-7.0,-12.0,-17.0,-13.579475306448938,-4.84505158297317,-7.526867459504226,-7.240172247495505,-1.6131698961681138,-0.517523015448431,-3.1162111467515374,-2.142039691322938,-1.950802650504663,-3.9094537126586175,-5.777157792859453,-4.2164223650795005,-0.993465114006915,-2.9710546168387224,-2.511569045992286,-4.421753466697448,47,19,24,17,0.8,1.4,2.6,3.6,5.0,5.8,6.4,9.0,9.4,10.0,10.0,10.4,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.533333333333335,69.37199870342171,68.10284716240976,33.6,45.733333333333334,55.266666666666666,64.33333333333333,98.86666666666666,141.33333333333334,0.0,0.10666666666666667,0.3911111111111111,0.6933333333333334,96.13865810202732,41.29516519496512,1774.4040671407924
11.0,2.8526388630658057,1.0944198859536627,1.230031691299501,-2.0,-7.0,-2.406406828096216,-7.406406828096216,-11.611647547357723,-9.505812296329196,-14.505812296329196,-15.001577806958792,-14.644583867448597,-14.71390499585236,-10.902564773561236,-3.901140283892707,-4.143510741086478,-4.164528725314763,-3.4452932832683216,-4.764180772381391,-6.088917865625265,-6.641210901344965,-9.602313929307481,-8.77839438491734,0,35,54,6,1.0,2.4,4.0,5.2,6.6,7.0,7.8,8.0,8.0,8.6,9.4,11.2,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,1.2,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2,4.0,4.0,4.4,5.0,5.0,5.0,32.285714285714285,118.22339677723114,110.7016135153484,55.666666666666664,68.57142857142857,78.0,106.42857142857143,157.33333333333334,218.61904761904762,0.0045351473922902496,0.027210884353741496,0.19954648526077096,0.3900226757369614,158.62791050523325,76.14282795070228,6091.508877536343
12.0,1.2908891858574207,0.6320465599676164,0.6475598243290969,-2.0,-7.0,-12.0,-17.0,-22.0,-17.772772663338316,-7.738620782861031,0.2552862919084774,-1.0241057500433641,0.7748151014328073,2.162095161796681,3.075203565393605,0.9360357118290039,-0.4074862215904801,0.9189122176501769,2.030526681488547,0.403029516710032,-0.6256575257691139,-0.8252860707666031,-2.086007673561929,59,25,27,23,0.4,1.4,4.4,5.0,6.6,8.0,8.4,10.0,10.2,12.4,13.0,15.4,16.0,16.0,16.8,17.0,17.0,17.0,17.0,17.0,0.8,1.4,3.0,3.0,3.0,3.0,3.2,4.6,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.8,7.0,7.4,8.0,8.0,53.76923076923077,111.93126869352567,111.71122035256606,49.19230769230769,58.65384615384615,71.57692307692308,103.6923076923077,148.34615384615384,220.76923076923077,0.0,0.04733727810650888,0.19230769230769232,0.38461538461538464,159.35954157411967,77.92684660616258,6373.659016927315
13.0,0.5075821021048876,1.0088773708829326,1.0142591088938642,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-28.339368292073125,-24.33786773436163,-15.696645636148371,-10.130211449120255,-7.396496424271346,-11.329038504342641,-13.865737744213567,-18.86573774421357,-20.48434044209657,-16.460552376784165,-16.555859681201383,-16.632496293919022,-15.653088260649676,0,34,36,39,0.6,1.0,1.8,2.0,2.0,2.0,2.6,3.0,4.0,5.8,7.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,31.833333333333332,87.12913323599032,88.29326398534994,47.833333333333336,64.33333333333333,64.33333333333333,78.58333333333333,125.25,165.41666666666666,0.0,0.013888888888888888,0.20833333333333334,0.4583333333333333,123.87998818019624,46.52146508084624,2241.2065850897893
15.0,2.104382900364223,1.1063572825376828,1.168275079768799,-2.0,-7.0,-12.0,-6.723643328884981,-10.872322067893165,-9.854069907928707,-10.654512368697564,-6.089044939112634,-4.130968783738773,-5.056617507563409,-1.429810157442303,-0.9786236698481374,-1.2418938926645922,-1.6694413371983061,-3.077224566918184,-4.646088212316957,-2.677941696084807,-4.184609626193864,-5.109645645661482,-3.5690883571717817,56,13,14,11,0.8,2.2,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.2,2.0,2.8,4.0,4.0,4.0,5.2,6.0,6.4,7.2,8.0,8.0,8.6,9.8,10.0,11.2,12.0,12.2,13.0,13.8,43.44,145.53676347424383,153.55691741501306,59.48,70.88,83.52,114.6,204.88,263.44,0.0032,0.0352,0.1408,0.2816,191.98598307556557,90.3678392857271,8503.64029935871
16.0,0.6245907875294497,1.0806060573161405,1.0876621281281564,-2.0,-7.0,-12.0,-17.0,-22.0,-22.192976094993092,-14.171521366906116,-14.527593970185242,-13.132673998606563,-13.145399650508352,-16.81127761365014,-19.409130105400596,-17.240397158370904,-15.682958060993446,-13.689258440562725,-15.32871843703283,-16.8055940671506,-16.646905552222623,-15.338939227728087,-15.830685150123946,0,25,28,24,0.0,1.4,3.0,3.0,3.8,5.0,6.0,6.8,7.6,8.0,8.8,9.0,9.0,9.2,10.0,10.0,10.0,10.0,10.0,10.0,1.8,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,26.0,96.61506769756996,96.44478355745186,43.714285714285715,63.07142857142857,80.0,91.57142857142857,132.78571428571428,201.07142857142858,0.0,0.0510204081632653,0.20408163265306123,0.42857142857142855,140.64540763684556,64.35637246225728,4330.6838809958945
17.0,0.9445414338667437,0.7631308652291339,0.7773687761037383,-2.0,-7.0,-12.0,-17.0,-15.537627597599059,-14.44484446654505,-13.374389628183627,-6.534073846609542,-6.80494627694987,-6.486972741703115,-6.212328501733538,-6.970880544769768,-6.527187692549576,-6.711368003621831,-5.737370999727037,-6.332461963632502,-5.667189444953758,-7.838169473940008,-8.70964599430163,-9.937825940831928,0,20,21,24,0.0,2.4,4.4,5.0,5.8,6.0,7.0,7.0,7.2,8.0,8.0,8.0,8.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.8,2.0,2.4,3.0,3.4,4.0,4.0,4.6,5.0,5.6,7.0,7.0,7.2,8.0,8.0,8.0,8.0,8.0,8.0,43.888888888888886,84.24859385732829,91.26301797240487,36.77777777777778,50.833333333333336,60.111111111111114,85.27777777777777,117.94444444444444,159.55555555555554,0.0,0.0617283950617284,0.25925925925925924,0.5061728395061729,119.85359661681115,48.22261333940703,2402.4813703004747
