cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,1.278056411516854,0.9121951408900258,0.9314969307949647,-2.0,-7.0,-12.0,-15.827698090893568,-9.311990518572477,-7.911016459695705,-6.295191940172449,-3.840281545420221,-3.621564267761491,-2.353956431687453,-2.737594186779039,-1.4894684498980566,-2.4257043569594727,-3.5302953581672867,-3.1269076470500465,-3.062666547868747,-4.682647584193913,-3.8555927502694063,-3.917991792024128,-4.6903559236735815,0,17,18,15,2.4,5.2,6.8,10.2,11.8,14.6,18.4,19.6,23.0,25.0,26.8,28.0,29.8,32.6,33.0,33.8,35.8,37.2,38.0,38.0,0.6,1.8,2.4,3.6,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,63.48936170212766,134.02527033369407,137.03242212711075,51.340425531914896,68.25531914893617,88.93617021276596,115.85106382978724,189.12765957446808,253.27659574468086,0.0009053870529651426,0.032593933906745136,0.1385242191036668,0.2761430511543685,184.33337382580524,83.95318626280546,7328.182321704358
3.0,0.12163171287535064,0.9698312491824265,0.9700893044542082,-2.0,-7.0,-12.0,-14.176115263333179,-12.35865443349376,-6.237173752217669,-7.9337544792953025,-6.185456684658809,-8.082169292122284,-7.207605072917993,-5.707454240731279,-5.6578037828337155,-6.871261741851721,-7.190965584938283,-7.013607128989401,-7.2534709193899545,-9.146473866446035,-11.100751058896572,-10.766728054434068,-11.530708990883188,0,16,23,30,0.8,3.0,4.4,5.2,6.6,8.0,8.8,10.6,12.4,14.0,15.2,16.6,18.0,18.6,19.8,21.0,21.0,21.4,22.2,23.0,0.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.8,5.4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,44.96551724137931,96.13575736030546,98.45459250142105,44.793103448275865,55.310344827586206,72.89655172413794,95.03448275862068,137.44827586206895,182.86206896551724,0.0023781212841854932,0.04756242568370987,0.2140309155766944,0.4114149821640904,135.7267798782912,56.91900172989735,3345.0099996425824
5.0,2.8563417444261465,0.7724041877334736,0.8866749379229724,-2.0,-7.0,-12.0,-17.0,-17.805381719587274,-9.692988188796715,-6.222394968771455,-6.200686482478332,-6.9725199507439966,-6.042569740319982,-5.531000881187383,-5.230521003239086,-3.0999494180571134,-0.40206952033746146,1.537422112880924,0.9735743645568078,0.11688192524755152,-1.5634169291952191,-3.7547802771814474,-6.136630759241174,73,21,26,19,0.6,3.6,5.6,6.4,7.6,8.8,10.8,12.6,13.8,14.4,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.6,1.0,1.0,2.0,2.0,2.4,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,31.7,98.61960809888733,94.45917680103732,37.45,49.75,59.2,74.6,125.5,187.8,0.0,0.05500000000000001,0.28500000000000003,0.465,132.91587888358112,64.29611373488842,4369.87578463611
6.0,2.807360163324685,0.9162756302573698,1.0263644769561289,-2.0,-7.0,-12.0,-11.327689217204883,-10.19660063911259,-11.22640642416276,-9.04393972456027,-4.234989440711722,-2.247869321922039,-2.121434798890648,-1.297456475300153,-4.616810035414669,-4.202183706604599,-6.288954438697412,-7.989784536578315,-7.93992419625188,-8.523975256355843,-9.5502339249025,-11.132966332323003,-11.738792004103615,0,15,16,13,0.6,1.0,2.2,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.4,5.0,5.4,7.0,7.0,7.6,8.0,9.4,10.0,10.4,0.0,1.2,2.4,4.0,6.8,8.8,10.2,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,52.88,116.70328995015454,117.78872485997425,52.0,62.04,76.6,113.96,162.6,232.56,0.0032,0.044800000000000006,0.15360000000000001,0.3264,162.03456655874618,72.36725613370677,5600.234987823355
8.0,5.974730743484402,0.6812588132373045,1.1182083331520232,-2.0,-7.0,-12.0,-17.0,-13.748924821617072,-5.8464694560050265,-2.2736002941391833,0.8893923755697344,2.07977536593697,0.9080557998350599,3.581123824717726,1.2767004000568036,3.864026432303471,4.774973152633189,5.60183427671241,4.699421893008704,4.310599654440793,5.082721351299105,5.6221680233090465,6.075570820112401,72,19,20,17,1.2,3.8,4.2,5.0,6.0,9.6,11.4,12.6,13.8,16.4,17.2,18.2,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0,1.6,2.4,4.0,4.4,5.2,6.0,6.0,6.0,6.0,6.2,7.0,7.0,7.0,7.8,8.0,8.0,8.0,8.0,44.806451612903224,122.61607970629888,102.39506280549111,46.74193548387097,62.935483870967744,71.09677419354838,93.7741935483871,142.6451612903226,196.67741935483872,0.0,0.06243496357960458,0.2247658688865765,0.4328824141519251,146.89210376141273,71.29583302795012,5326.920928113391
9.0,1.681025207360701,0.8693303277294894,0.9158762378482143,-2.0,-7.0,-12.0,-17.0,-10.956333589799021,-6.493070065309773,-9.706374616584208,-5.786228034407435,-4.705494751063691,-6.175377822358854,-9.701751128065393,-7.051768338797395,-4.813194725091199,-5.740841261799416,-9.150242630554098,-10.324860133685764,-10.656113081799797,-12.31302941457379,-11.691452058198937,-9.74277878238687,0,19,21,17,1.4,2.8,3.0,3.0,3.6,5.0,7.0,7.6,9.0,9.0,10.0,12.0,13.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,0.6,2.6,3.0,3.6,4.0,4.8,5.0,5.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,34.333333333333336,90.40581311275632,90.3615901663458,49.714285714285715,63.285714285714285,74.95238095238095,93.0952380952381,131.04761904761904,170.66666666666666,0.0,0.06349206349206349,0.22675736961451248,0.48526077097505665,128.25502224968264,55.04407228473583,3120.0521899999
10.0,0.6198631892685807,0.6590252010484571,0.6668312863614305,-2.0,-7.0,-12.0,-17.0,-22.0,-11.160201743871172,-4.96783605069196,-2.3283966217098695,-4.208150014433374,-4.2859842551569285,-2.9311766158173027,-1.7024245149086823,-0.19395316199446738,1.5184178756311695,0.0024490922493583867,-0.6644138013174086,-5.664413801317409,-10.349038357391692,-12.068673576053243,-9.674768355151514,69,22,25,21,0.0,0.0,1.8,2.8,4.0,4.0,4.4,5.0,6.4,7.4,8.6,10.6,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.63636363636363,54.795119661837276,54.7482171284435,36.81818181818182,46.0,46.0,54.72727272727273,78.72727272727273,121.45454545454545,0.0,0.1322314049586777,0.5289256198347108,0.7603305785123967,82.09871243259275,33.85329959337252,1175.2135936998072
11.0,2.23238968803952,0.9452211949438173,1.0103694889190444,-2.0,-7.0,-12.0,-17.0,-11.443635568885663,-7.263857331766512,-9.844321528375048,-7.131637579789836,-7.696822225586203,-8.378809825860165,-4.697673814469759,-3.9910656238013034,-4.760488436077329,-4.715347475114832,-5.314337285671604,-5.966571236652453,-6.38139042600699,-4.844587247104505,-6.249668126676451,-5.469654259540102,0,18,19,16,0.4,4.0,5.6,6.0,7.0,8.0,8.0,8.0,9.6,11.0,13.4,14.4,16.0,16.0,16.0,16.0,16.0,16.4,17.0,17.0,0.6,1.2,2.8,3.0,3.0,3.0,3.6,4.4,6.0,6.0,6.8,7.0,7.0,7.0,7.0,7.0,7.4,8.8,10.0,10.0,46.81818181818182,126.4400327708424,138.3921363166719,51.27272727272727,71.36363636363636,79.57575757575758,110.6969696969697,171.54545454545453,237.21212121212122,0.0,0.02938475665748393,0.14508723599632692,0.3085399449035813,173.9334376900203,80.09359591153401,6799.460836801804
13.0,2.6801748360981072,0.6687292307163027,0.760303019050086,-2.0,-7.0,-12.0,-17.0,-14.157228900114808,-7.7193538603941665,-4.235522617967777,1.6531792918744217,3.630251050178637,4.451562067029632,3.008860816726191,2.664896852658731,3.6828448234047215,5.0568678710372605,3.97447576692021,3.079417851439865,2.6982295048959486,4.01754387579764,3.304675864828886,1.4137568245892624,46,19,22,18,0.0,0.6,1.8,2.8,3.0,4.8,6.4,7.0,7.6,8.6,9.8,11.4,12.0,13.6,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.4,1.0,3.0,3.0,3.0,3.4,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,54.42857142857143,97.08133584156587,92.5291124387186,53.95238095238095,64.14285714285714,72.9047619047619,88.0,125.42857142857143,170.57142857142858,0.0,0.07709750566893424,0.2675736961451247,0.5079365079365079,129.15159646964153,58.0719895949337,3469.041743325096
15.0,0.3782744189361011,1.2721123061441824,1.2754702754204486,-2.0,-7.0,-12.0,-17.0,-15.196842066296876,-15.66140344382813,-10.756182924404143,-9.241890907815383,-9.081179945389835,-12.554277226071386,-12.33093408738953,-11.053679629984638,-9.599205464405774,-5.582260601840562,-8.562443461436779,-13.562443461436777,-16.052389532647815,-19.74979618003156,-19.476236034390404,-21.475825617047406,0,87,21,18,1.2,2.8,4.4,5.6,6.0,6.0,6.6,7.0,7.2,8.0,8.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.8,1.4,3.0,4.0,4.0,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.214285714285715,94.44110960871932,94.05113227233129,37.785714285714285,51.285714285714285,63.785714285714285,76.21428571428571,132.71428571428572,196.0,0.0,0.061224489795918366,0.2755102040816326,0.4489795918367347,130.76511348775972,62.33498286780612,4074.026961771969
