cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,5.936959644923328,1.1054093602654504,1.339699974707065,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-9.66176795229352,-6.247622257302791,0.07072847495363987,5.421707153334867,8.395265956418777,12.779466535416267,15.675563191010681,10.675563191010681,5.675563191010681,0.6755631910106814,1.005327768419957,15.522553190560526,11.986383445716584,6.986383445716584,61,28,30,27,1.0,3.6,6.8,8.0,8.0,8.0,8.0,9.2,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,0.6,1.4,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,32.88235294117647,292.37166128552053,294.62175013497307,80.41176470588235,140.2941176470588,183.11764705882354,229.41176470588235,294.05882352941177,300.0,0.0,0.01384083044982699,0.04844290657439446,0.11764705882352941,396.8481865247704,198.7622215449604,40757.20501365721
2.0,3.112212389645338,0.6275029261266973,0.7553790072204553,-2.0,-7.0,-12.0,-17.0,-22.0,-16.35720225730141,-9.615931763472819,-4.117680122246033,-3.930254588304139,-1.972792074655095,-0.3953943381876769,-0.4100987768332587,-3.865238706478472,-8.865238706478472,-13.86523870647847,-14.971297897814319,-11.482224272136534,-16.482224272136534,-19.40494232058427,-18.82557781701484,54,24,26,29,0.0,1.8,2.6,3.0,3.0,4.0,5.0,5.8,6.0,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.5,80.95537500001585,79.21523774638655,52.75,52.75,67.625,67.625,111.5,149.5,0.0,0.09375,0.375,0.5,113.63093028701556,51.800032146121424,2847.745343857914
7.0,4.460229146370361,0.7413788748897354,0.8986621989024794,-2.0,-7.0,-12.0,-17.0,-11.569140494359981,-10.134382516396728,-7.005274342956978,-8.049827219801807,-7.539881703129604,-4.871029991964685,-4.508732627616453,-5.073905955968425,-4.776602352122019,-3.7768637494092245,-3.2055214081187358,-3.056716705144987,-2.4615446155585206,-3.2921017977749614,-2.274386860313109,-1.9488605024444894,0,18,20,16,1.4,6.0,7.8,8.4,10.2,12.2,13.2,17.4,20.0,22.0,22.0,22.4,23.2,26.6,27.6,28.6,29.0,30.6,33.0,33.0,0.0,1.8,4.4,5.0,5.0,5.0,5.0,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,58.17391304347826,176.420626515417,168.29786185289518,69.1304347826087,90.08695652173913,108.58695652173913,159.08695652173913,230.08695652173913,284.8478260869565,0.0,0.015122873345935728,0.0831758034026465,0.17296786389413987,232.88947344460067,102.87471581326285,11018.770854773189
8.0,1.5524801678216162,0.8924532220410978,0.9311547578605381,-2.0,-7.0,-10.090906136577871,-7.454530682889353,-12.454530682889352,-16.411778946683604,-9.461523710264961,-7.267531229806677,-8.352418426357747,-7.978902936982846,-7.88480527470702,-10.400067965263524,-11.435743762875305,-10.218092562744904,-10.224812920134271,-11.324976304123542,-11.711551659037733,-11.959945594744374,-10.746143592004703,-13.15931780364365,0,27,29,10,2.4,3.2,4.8,6.6,7.4,8.2,9.0,9.0,10.6,11.6,13.8,15.0,15.0,15.0,15.8,16.0,16.0,16.0,16.0,16.0,1.4,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,42.10526315789474,94.33738669809311,93.96422432194835,36.21052631578947,48.73684210526316,64.36842105263158,83.94736842105263,136.21052631578948,186.10526315789474,0.0110803324099723,0.055401662049861494,0.23268698060941825,0.48753462603878117,132.7239254627296,60.216861029824244,3796.5954226305735
10.0,1.6656948948643522,0.7833541349323704,0.8215570595831065,-2.0,-7.0,-9.900121145420972,-6.500605727104857,-7.221823535404104,-8.109509140643388,-8.99494284721543,-8.245630586591414,-4.71228845317156,-3.0635901933642757,-1.5048451006615167,-3.2872897424050125,-1.4463135498843969,-2.1662431848260413,-2.316276171794951,-3.5269846690885145,-4.002528140193658,-3.4458674145690225,-1.1524770896573102,-1.6115161542805823,0,12,13,10,1.4,2.0,2.4,3.0,4.0,6.6,9.0,9.2,10.0,10.0,10.8,12.0,12.4,13.8,15.4,16.6,17.6,19.0,19.0,20.0,0.4,1.0,1.2,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,48.73913043478261,100.75975376764003,98.77229509122813,50.34782608695652,62.73913043478261,73.26086956521739,93.78260869565217,138.52173913043478,193.08695652173913,0.003780718336483932,0.04158790170132325,0.2003780718336484,0.41965973534971646,139.6965590660232,61.40478506340332,3960.5741559018825
13.0,2.4584071532163105,0.5251714446399157,0.5706809120689379,-2.0,-7.0,-12.0,-17.0,-11.175701392767486,-1.882127668250213,-1.0657051676632747,-1.6550573237638617,-1.6409533026761962,16.538980495314775,18.28490835984867,20.05563283193077,16.948804204357792,16.456190676266576,18.981956936385405,22.64995873087196,21.80549370202503,21.297575743841143,23.233177858319095,25.874514704626886,77,19,44,26,0.2,1.6,2.4,4.2,6.8,7.0,7.4,8.2,9.0,9.0,10.0,10.0,10.8,12.6,13.0,13.0,13.0,14.0,14.6,15.0,1.6,2.0,2.0,2.6,3.0,3.0,3.0,3.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.8,6.0,6.0,6.0,104.88,126.90092692211348,133.0959519539523,63.96,78.24,93.08,124.04,174.28,231.16,0.0,0.019200000000000002,0.14400000000000002,0.2912,177.57846519505927,80.07082692884448,6580.966163372251
16.0,4.701107040684731,1.2224880055047938,1.740624690242224,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-24.054310221876186,-17.13577555469047,-15.744167209818261,-13.720943433760624,-14.577716114546382,-19.577716114546384,-19.388551289733076,-15.28816824348046,-16.695164724880435,-16.903443810459912,-17.788281570086383,-22.788281570086383,-27.788281570086383,-32.78828157008638,0,30,32,29,0.2,1.8,2.0,2.0,2.8,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.833333333333332,77.72128696035766,74.89966968437348,70.0,70.0,70.0,83.5,108.16666666666667,248.83333333333334,0.0,0.05555555555555555,0.4444444444444444,0.5555555555555555,126.52327940672758,64.93995905329477,4529.326486991119
18.0,2.7472761841832485,0.8254421402930208,0.9146563480307552,-2.0,-7.0,-12.0,-17.0,-18.049162775235175,-8.41885409710144,-3.119896297270652,1.6017113202377147,0.023515483122825743,-2.596488409656172,-1.3362355553443392,-4.392942683316261,-2.1824862195286725,-3.1730819120621705,-6.4799477259325355,-8.507214103224864,-8.796386258795133,-8.901672847869103,-5.724629308963588,-4.328689539312927,37,21,23,19,1.4,2.6,3.0,4.4,5.8,6.2,8.4,10.6,11.2,12.6,13.0,13.2,14.0,14.6,15.0,15.0,16.2,17.0,17.0,17.0,2.2,4.0,5.0,5.0,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,53.32,122.38020952097519,123.9061776843778,54.08,69.04,84.0,118.8,163.92,226.28,0.0,0.054400000000000004,0.14400000000000002,0.32,169.0181624612508,75.5899903199896,5909.284521429255
19.0,1.4203964680744028,1.0924970605723645,1.1226525871893906,-2.0,-7.0,-12.0,-13.50579389982733,-13.264484749568322,-13.744499085855955,-6.481201250021135,-2.0298767372437765,-4.011321494796503,-4.98894232712658,-4.220658260508523,-2.7058924329750043,-3.3944448128363915,-2.774187211480202,-5.269166633569162,-7.574897230132763,-8.066474114219194,-5.856043044554781,-6.669479362290747,-7.802202449685472,0,16,31,14,0.6,1.8,4.0,6.8,9.0,9.0,10.2,11.4,14.2,16.4,19.6,20.0,21.0,22.0,23.0,23.0,23.0,23.0,23.6,24.0,3.0,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,38.774193548387096,133.72027310965697,133.19507350351037,53.225806451612904,75.58064516129032,86.16129032258064,113.93548387096774,195.3548387096774,248.25806451612902,0.0020811654526534857,0.03954214360041623,0.13527575442247658,0.26222684703433924,179.69027335444702,77.6745875860805,6191.564053841293
20.0,0.7166407939730656,0.8261150333778718,0.8406471560061818,-2.0,-7.0,-12.0,-17.0,-22.0,-17.19884736759054,-3.2925204273672932,-5.6959388007834635,0.14361247589022952,-1.0410766215770848,-3.497536019888628,-8.497536019888628,-13.497536019888628,-18.497536019888628,-19.52153548880133,-21.870868468076466,-26.87086846807647,-28.108915700378862,-27.46598654883245,-32.46598654883245,41,86,27,24,0.0,0.8,1.0,1.0,1.6,2.8,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.8,45.36333121643876,44.62800503782834,43.6,43.6,43.6,53.6,70.6,124.6,0.0,0.24000000000000005,0.48,0.72,72.48532603810443,32.19902678281058,1101.0135872958954
