cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,1.108478131136829,0.7209727444266014,0.7352835392266481,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-19.83823435824864,-10.302385112734243,-15.302385112734243,-20.302385112734243,-25.302385112734243,-22.00600017916493,-16.945705022174145,-14.51176776662778,-14.103330374673263,-19.103330374673263,-24.103330374673263,-25.60932897835918,-27.195539939441414,0,35,36,33,0.0,0.0,0.8,1.0,1.6,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.6,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,44.9,101.66069022370611,105.27918763685446,72.2,72.2,94.6,108.7,151.5,219.0,0.0,0.04,0.13999999999999999,0.33999999999999997,153.29899544631897,57.46939168686911,3421.01334700889
4.0,1.7814195621620992,0.7368081030179028,0.7696993473676603,-2.0,-7.0,-12.0,-15.611703792109603,-11.17608487876066,-7.423154971042498,-5.1928050766107035,-1.6181352662063353,0.3123951113054503,-1.357165703461203,-0.32155741467641547,-0.7232800930132199,-0.2864784416714329,-0.6658285130805467,0.4393181043360016,-1.6304982204247978,-1.9983435888036922,-1.530152504351878,-2.877758330115532,-1.2578261944214262,71,17,18,15,1.4,3.6,5.0,5.8,8.0,8.8,10.4,14.6,17.8,18.6,20.6,22.0,22.4,23.8,27.0,28.8,29.0,29.0,29.0,29.0,0.0,2.0,3.0,4.2,5.0,5.0,5.0,5.0,6.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.4,10.0,10.0,10.0,60.375,120.90212939981507,123.48445085940571,46.6,67.9,83.125,112.05,164.0,215.85,0.00125,0.03875,0.14375,0.315,170.45512510061167,76.5613271524718,5986.283307445679
5.0,1.7207099793121527,0.9093967564963114,0.9404170239988644,-2.0,-7.0,-10.563390712982109,-9.816953564910548,-14.816953564910548,-14.115633983962827,-12.329108647031564,-10.726945509463478,-7.417273237055395,-7.315588586778309,-6.931446956661683,-5.989361550741288,-5.783134199674457,-6.772600719665469,-5.198454830053231,-3.972691739638691,-4.545950249468103,-5.213043738639323,-6.096141592161596,-6.291912901442567,0,24,13,10,0.6,1.4,3.2,4.0,5.2,7.2,8.2,9.0,9.6,10.0,11.2,13.2,14.0,15.0,18.2,19.8,20.2,21.0,22.0,22.0,2.0,3.2,4.2,6.0,6.0,6.2,8.2,11.0,11.0,11.0,12.0,12.0,12.0,12.8,13.0,13.6,14.6,15.0,15.0,15.2,61.25581395348837,151.34111927659575,157.24823251398308,66.74418604651163,87.44186046511628,103.30232558139535,136.6046511627907,203.25581395348837,270.6046511627907,0.001081665765278529,0.017306652244456464,0.10924824229313143,0.22606814494321253,207.70332618677327,92.65751961926489,8914.34613792995
6.0,10.854367407443302,0.21995509412834524,1.0653197972375514,-2.0,-7.0,-12.0,-17.0,-9.477887784338261,-3.868825431152108,2.8666434601780337,9.91224108139561,8.509466304428441,13.600171441647358,16.4505879892384,21.063394003507995,22.531169424866167,25.902491841086693,31.950463666179996,34.73380903745347,36.28395109703555,36.408116768413876,35.001634696625274,36.00902308644515,79,18,20,17,0.4,3.4,6.0,6.6,7.0,7.4,8.0,9.6,10.8,11.0,12.0,12.6,14.0,14.6,15.4,16.0,16.8,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,57.78947368421053,151.7727768246594,89.03623058272541,36.31578947368421,54.31578947368421,63.78947368421053,85.26315789473684,126.6842105263158,175.26315789473685,0.0,0.055401662049861494,0.2825484764542936,0.4709141274238227,125.92971018794756,53.76375112601879,3007.384713271498
7.0,2.332343843460782,0.6203097834723748,0.7093153345528329,-2.0,-7.0,-12.0,-17.0,-13.634543546206814,-13.057572577011356,-16.891824386505537,-6.256230684393176,-1.496740955788954,0.9445550059718884,-2.3446097267315436,0.48065053869793106,0.5301405693287891,6.062097191011492,3.9942342280158245,1.1903016467452374,-0.05520981583671301,2.974031350320999,1.2089654336624704,0.5886813072727705,66,20,21,18,1.2,3.0,3.0,3.4,4.0,4.6,6.2,7.0,7.6,9.0,10.8,12.0,12.0,12.0,12.8,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.69230769230769,73.52610191376094,73.92446147573258,37.92307692307692,52.69230769230769,52.69230769230769,74.61538461538461,103.84615384615384,136.69230769230768,0.0,0.07100591715976332,0.33136094674556216,0.6153846153846154,100.79750609991599,40.392226383480846,1703.9040266027212
8.0,1.5342068644569782,1.076075359631189,1.1120589956833158,-2.0,-7.0,-12.0,-17.0,-22.0,-17.102086092122022,-14.145583837760928,-11.609105512688794,-9.104465621466451,-7.613682341968686,-8.103589636418299,-10.219273774446021,-11.21585479928406,-9.615077396147559,-8.843821445680451,-7.373300635333334,-6.918191910653059,-8.313351959920553,-11.16299198777123,-11.678397087432694,0,24,25,22,0.0,0.0,2.0,3.0,4.0,4.2,5.4,6.2,7.0,7.0,7.0,7.0,7.8,8.0,8.8,9.0,9.0,9.0,9.0,9.0,0.6,1.0,4.4,5.8,6.0,6.0,6.0,6.0,6.6,9.0,9.0,9.4,10.0,11.0,12.0,12.0,12.2,13.0,13.0,13.0,38.95454545454545,122.04535211934045,120.840674030213,56.90909090909091,70.86363636363636,81.5,99.0,159.6818181818182,244.4090909090909,0.0,0.03305785123966942,0.17355371900826447,0.359504132231405,167.6072933964126,80.59099910589431,6848.067591849468
9.0,2.9487717280519705,0.6707241215543343,0.7667740241284268,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-19.038365923703726,-20.79795740462966,-21.51502523918013,-11.546125090797275,-3.752710711310023,-8.752710711310023,-11.773179833234298,-5.079313262263959,-0.9972537352706382,-1.2964309240838645,-4.189099585114292,-3.6773777502107263,-3.542829313743101,-3.188218558879896,72,28,30,27,0.8,2.8,3.6,4.0,4.0,4.0,4.0,4.8,5.8,6.6,7.0,8.0,8.0,8.0,8.0,8.0,8.6,9.0,9.0,9.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.6,3.0,3.0,3.0,4.6,6.0,6.0,6.0,6.0,6.0,6.0,54.6875,114.35075536350041,115.67495117735686,51.125,72.75,89.0,99.0625,153.8125,208.75,0.0,0.0078125,0.15625,0.3359375,156.04496765810643,65.52491969990224,4501.803106246475
10.0,4.258433239878483,0.4919590212529745,0.6386317988009625,-2.0,-7.0,-12.0,-17.0,-22.0,-6.315375497683462,-11.315375497683462,-13.26941450959448,-1.7921465279055042,-0.6798788451200437,-2.972100323269953,-2.8035879757414053,-3.182694498864676,4.155654880945832,3.096456605130058,3.483589335507747,1.524360518197426,2.731100662989391,1.1887974798218437,1.1436863879290684,66,22,24,21,0.0,0.4,1.4,3.0,3.2,4.2,5.0,5.0,6.0,6.6,7.2,8.0,8.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.6,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,47.84615384615385,132.92504438415355,119.00719248437788,50.38461538461539,73.0,73.0,114.38461538461539,174.6153846153846,246.0,0.0,0.03550295857988166,0.16568047337278108,0.28402366863905326,167.46590681596948,74.86456919718059,5852.702401510206
12.0,4.370835280289453,0.6782627066120375,0.8258311834874605,-2.0,-7.0,-12.0,-17.0,-14.920898835000145,-7.56671311777373,-3.3810910717065235,-2.9229388882882716,-2.0412941548717596,1.1027658567897887,4.936938026558633,7.68726639016584,7.310252466300557,8.329504665010703,7.466909042267565,8.213475917068838,8.286536021657119,9.759930306348528,10.256676229634195,12.668699800371389,88,20,21,18,0.6,3.2,5.8,9.4,12.2,13.0,14.6,16.0,16.0,19.4,20.8,22.6,23.0,23.6,24.6,25.8,27.0,29.8,30.4,31.0,1.2,2.0,3.8,5.0,5.8,7.8,8.8,10.2,11.0,11.6,12.0,12.0,12.0,12.2,13.4,15.0,15.0,15.0,15.0,15.2,95.75862068965517,173.196718336802,162.14369555937768,61.827586206896555,87.08620689655173,110.3103448275862,149.0,220.27586206896552,275.1896551724138,0.0,0.017241379310344827,0.09334126040428062,0.1967895362663496,223.17791753960168,99.44674078361413,10170.46925566889
13.0,4.732177373548817,0.4068113183043228,0.5586942899392526,-2.0,-7.0,-12.0,-13.439884667011347,-4.1994233350567285,-7.72477528052042,-2.3000340623096704,5.700808449615677,7.0074122034035415,16.173737689133816,18.59428606619535,20.99405163999267,19.17931176937756,20.542908375475353,22.57906975261006,25.640165080756752,23.403303907067823,24.387287573742483,25.947466250543393,25.483284473792825,78,16,18,15,0.0,0.0,0.0,1.0,1.0,2.0,4.2,7.4,8.0,8.0,8.4,10.2,11.0,12.0,13.0,13.0,13.0,14.8,15.0,15.0,0.0,0.0,0.4,1.8,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,151.14285714285714,133.49832821843543,121.21131565547883,64.33333333333333,75.95238095238095,89.61904761904762,113.0,165.95238095238096,217.71428571428572,0.0045351473922902496,0.036281179138321996,0.1678004535147392,0.33106575963718815,167.48041331747532,75.85693348287313,5986.991965547348
