cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,5.67857776262941,0.718020728471309,1.0918415860384163,-2.0,-7.0,-12.0,-17.0,-22.0,-24.33401765363566,-11.590706897147232,-9.738752188079578,-0.38732595910427536,0.5993937108475876,1.7672672297955743,2.788830825106855,0.639455854463651,-1.845481419359976,-2.5493396707891067,-2.1707847600348145,1.9995921534460535,1.827665296359416,-1.0892510340155923,-3.5260142624773634,58,26,29,25,0.0,0.2,1.0,2.8,3.0,4.0,4.8,6.0,6.0,7.0,7.0,7.8,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8,1.0,1.0,2.0,2.0,2.0,2.2,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,37.8125,130.35628467950085,105.3201126504047,47.0625,54.1875,82.0625,90.6875,135.375,217.75,0.0,0.0546875,0.234375,0.421875,157.10696353014345,79.76739539209696,6586.521687375762
4.0,3.9179907671353367,0.9859145526390768,1.166909105430298,-2.0,-7.0,-12.0,-17.0,-20.13971775940677,-9.361302167122227,-6.254971934414867,-7.081522017225092,-5.117552605533874,-3.356249750176113,-1.2175202715578677,-2.131297482265731,-2.4140979186913283,-2.2625768821182435,-1.327065165458316,-0.7885230884950971,-1.0550402609720464,-2.182532282336979,-0.8676757589691022,-1.162881854455287,80,22,24,20,0.8,1.0,2.6,4.4,5.0,5.0,6.8,8.0,8.0,8.8,10.6,13.0,13.0,13.0,14.6,15.0,17.6,18.0,18.0,18.0,0.8,2.6,4.0,4.0,4.4,5.8,6.0,6.0,6.0,6.4,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,43.26923076923077,145.67761687617303,141.30123418608767,53.15384615384615,64.53846153846153,78.15384615384616,110.92307692307692,176.65384615384616,257.38461538461536,0.0,0.038461538461538464,0.1804733727810651,0.3313609467455621,194.29146651353602,106.1856807117625,11835.565443801419
7.0,0.7687295283994656,0.758939262660945,0.7664299526641737,-2.0,-7.0,-12.0,-12.868512276699818,-9.959962443980666,-10.423274057526466,-11.342561383499088,-12.27354200023569,-6.651549851854935,-7.0768670908787,-7.006719346623347,-4.74640950690239,-2.5537452338847855,-3.725988265519463,-4.150679980372658,-3.9862287654968354,-5.867614502821357,-3.6124515027139723,-3.552333156100471,-4.531229557570162,0,16,17,14,0.0,1.4,2.4,3.2,4.8,6.6,7.0,7.8,10.2,12.0,12.0,13.0,13.6,15.0,15.0,15.0,16.2,17.0,17.0,17.0,0.8,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.6,6.0,59.5,104.60615218512982,111.1495649179587,58.375,68.33333333333333,78.54166666666667,99.70833333333333,148.95833333333334,191.20833333333334,0.003472222222222222,0.027777777777777776,0.16319444444444445,0.34375,148.12672574095225,61.05165305823172,3838.1176881668957
8.0,2.2232146560329444,0.8329484758519028,0.8801365042489773,-2.0,-7.0,-12.0,-17.0,-15.82132890900169,-9.578586127845256,-8.505626233975178,-8.774581606477435,-6.2144698266656935,-6.3135987424111075,-5.80815828653981,-5.952140999915746,-5.295195219290889,-4.435667232643757,-1.8311337228487816,-1.2458199269324184,-1.5635211817470407,-1.5494627970967514,-2.1637437451390524,-2.551050522009592,74,20,22,18,0.0,0.0,0.2,1.0,1.6,4.8,7.8,9.0,9.8,11.0,11.2,14.8,16.6,17.0,18.4,19.0,19.0,19.6,22.6,24.0,1.0,4.0,6.4,9.8,11.0,12.0,12.0,12.6,13.6,15.0,15.2,17.0,18.2,19.0,19.0,19.0,19.0,19.0,19.0,19.0,81.3076923076923,157.55523492144962,155.54790970021668,66.8076923076923,93.32692307692308,108.0576923076923,138.1346153846154,214.76923076923077,271.61538461538464,0.0,0.015532544378698224,0.09097633136094675,0.20266272189349113,214.7319447853576,92.1714088824498,8726.665812563202
10.0,2.522289414403659,1.058931335944918,1.1538335380108378,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-20.464209483747247,-13.52522592295908,-11.061341134351455,-7.317804836379219,-8.589026066819908,-7.6983346784533735,-9.266712504253778,-6.391397182450882,-10.390220638214007,-12.21861161024276,-10.127186989432792,-12.930522048074891,-14.200620488023,-17.362794017137517,0,29,37,27,0.6,3.0,3.2,4.4,5.0,6.4,7.8,9.0,9.0,9.0,9.0,9.0,10.2,11.0,11.0,11.4,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,3.0,3.0,3.0,37.1875,118.49161470318184,114.89186368216899,44.25,73.375,87.0625,104.1875,151.125,197.8125,0.0,0.0390625,0.1796875,0.390625,162.83451151713047,81.29294353123368,6934.059522438396
12.0,0.5199320544070838,0.7069074545336524,0.710649760910429,-2.0,-7.0,-12.0,-17.0,-22.0,-9.363548933672586,-13.208744632953493,-14.899418933570923,-8.709445196962198,-8.803631311477668,-6.2691622926682316,-8.017115303167635,-7.686845932176453,-6.965572189000445,-7.439914176825352,-7.671664468288554,-11.135012759179517,-8.01470266603638,-7.807743599749824,-6.653347550030782,0,23,24,21,0.2,1.0,1.0,2.0,2.8,3.0,3.0,3.4,4.0,4.4,5.0,5.6,7.4,8.0,8.0,8.2,9.0,9.0,9.0,9.0,0.2,1.6,3.0,3.0,3.0,4.6,5.0,5.0,5.0,5.0,5.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,41.733333333333334,84.13442393279601,84.63743156153014,43.46666666666667,61.6,73.66666666666667,83.46666666666667,125.0,172.73333333333332,0.0,0.05333333333333334,0.23111111111111113,0.5066666666666666,125.37511309729841,51.826872242646644,2777.884672810878
13.0,0.7861357424626453,0.6961190647933595,0.70152899899595,-2.0,-7.0,-8.53025432167224,-8.325635804180598,-12.607027945206202,-4.784107600973524,-4.896019548212179,-2.7875507844863234,-1.2722800344564988,-0.37069534128236087,1.1129585301569194,1.9761387303054831,1.8098646573312394,3.8587379969719935,4.806534194147545,5.155451338024906,5.122695252650305,4.2002291134283976,5.306437896568985,5.25214567873058,74,22,24,9,1.0,4.0,5.0,5.6,6.0,7.4,9.0,9.0,10.0,11.0,12.2,14.0,14.4,15.0,15.8,16.6,17.8,18.6,20.2,21.0,0.2,2.0,4.4,6.0,6.0,6.8,7.0,8.0,8.0,8.4,9.0,9.0,9.4,10.8,11.6,12.0,12.4,13.0,13.0,13.0,94.1219512195122,142.46850617052553,142.33381411089815,65.4390243902439,87.04878048780488,104.26829268292683,137.390243902439,201.46341463414635,264.0975609756098,0.001189767995240928,0.022605591909577633,0.10826888756692446,0.23319452706722188,197.35531649048022,83.90447850724138,7258.507048500848
14.0,4.292602351349299,0.4859390553132387,0.7689362572474607,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-18.721080910303762,-23.721080910303762,-28.721080910303762,-13.558433595041043,-12.632563676467754,-14.475422889594146,0.8340943785089536,7.355525559421949,2.355525559421949,89,52,54,51,0.8,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,71.9680890469405,64.63862717773628,71.4,71.4,71.4,82.6,113.0,143.0,0.0,0.0,0.24000000000000005,0.5599999999999999,101.90873313915476,28.738826908313875,890.3856342088624
19.0,3.3163556182466247,0.7489017845919423,0.9071339380070322,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-17.67083507722697,-13.649507792466173,-10.009173192882553,-8.27816642906639,-1.5456213078305965,-3.441995875064413,-2.4154386953408364,-3.569038474995523,-6.580934183912137,-7.990818063576404,-6.186946515612829,-7.701855301096899,-8.659481560823304,0,32,34,31,1.2,2.0,2.6,3.2,4.8,6.0,7.8,9.0,9.2,10.0,10.2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,40.07692307692308,96.74993319580473,91.76034897502889,50.53846153846154,61.23076923076923,61.23076923076923,92.15384615384616,134.6153846153846,182.46153846153845,0.0,0.02366863905325444,0.2366863905325444,0.44970414201183434,132.76837956193893,58.20274921901625,3530.4087553847376
21.0,3.042111171475316,0.28883854590713054,0.35947643667689905,-2.0,-7.0,-12.0,-9.024225043849256,-1.789237434898061,2.4558060441964598,4.9514174915286,3.215108452156362,5.642008074652177,4.344823782181647,3.5834786207601637,6.606205333772101,9.339060153085692,8.889193851801243,11.12039206094386,13.546727033292902,12.723828926727952,13.376210506606228,13.067489960823082,11.867531090409887,80,15,16,13,0.0,0.8,2.0,2.0,4.4,6.0,6.2,7.6,10.2,12.0,13.6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,42.23529411764706,84.09436710474581,78.08440074922439,31.58823529411765,46.588235294117645,62.64705882352941,83.82352941176471,113.05882352941177,151.0,0.006920415224913495,0.06228373702422146,0.31833910034602075,0.5467128027681661,110.87820544397495,46.06761282666714,2203.1686524452894
