cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,2.560627939435057,0.8004011158263866,0.8824405320907563,-2.0,-7.0,-12.0,-12.658099269569389,-8.82989880702805,-6.071490141727553,-6.2976899397671575,-2.966471298423097,-1.6006115405107593,-2.200267728429715,-0.03314274143431106,-2.098404952086703,-1.6470221480839584,-3.0194986584629264,-6.479724666394082,-6.990094322064058,-5.405377555187639,-6.702717952125792,-6.986857368152849,-3.3707617183072527,53,15,21,13,0.0,0.8,1.8,2.8,3.8,5.6,7.0,9.4,12.2,13.0,14.0,16.0,16.0,16.0,17.4,18.4,19.0,21.0,21.0,21.0,1.2,4.0,5.8,7.0,7.0,7.2,8.6,9.0,9.0,9.4,10.0,10.2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,50.40625,113.33580438708852,111.5915196523917,46.78125,63.46875,72.1875,92.4375,147.71875,208.5,0.001953125,0.052734375,0.181640625,0.390625,153.56292801750774,73.13947847412113,5604.486897628416
3.0,4.646461114147513,0.4912144596942123,0.9281464438328947,-2.0,-7.0,-12.0,-17.0,-17.597863872476005,-4.989319362380012,-9.989319362380012,-14.989319362380012,-19.989319362380012,-16.585757155609663,-21.585757155609663,-16.11532027638536,-7.32802123387471,-7.261265187262391,-2.781398148362817,-1.5307069121374952,-1.6911995263570332,0.6902328529678016,-2.7117126443126267,-7.711712644312627,87,54,23,20,0.0,0.0,0.2,1.0,1.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,26.833333333333332,59.076492312427725,58.02264136802487,43.0,43.0,43.0,66.16666666666667,74.0,117.5,0.0,0.05555555555555555,0.5,0.6666666666666666,78.37239104899179,26.60535044439575,745.8838401546922
4.0,1.400050426297828,0.7244632278127227,0.7488187324456399,-2.0,-7.0,-12.0,-17.0,-22.0,-13.203286190621085,-14.30098623354032,-8.755179916217472,-7.0498323544036365,-7.76240191833743,-6.697140226169539,-5.558328318853354,-7.220003324380396,-7.921685107698328,-8.435126313911159,-7.2694370029880675,-5.492400315053706,-5.431041983406397,-8.78533999685304,-7.166180832960643,0,23,24,21,0.0,0.4,1.4,3.6,4.0,5.4,6.2,7.4,8.0,8.8,9.0,9.6,10.0,11.0,11.2,12.0,12.0,12.0,12.2,13.0,0.0,0.0,0.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.125,102.62796487804425,100.82014445097984,47.1875,63.3125,73.375,94.8125,141.4375,192.9375,0.0,0.0390625,0.203125,0.375,143.32643356548513,62.25463493425384,4019.626297616882
8.0,2.8181966914657517,0.9211817655763932,1.0309601458474176,-2.0,-7.0,-12.0,-13.550789450812346,-8.186914201795924,-8.3300774468206,-3.455394488513808,-1.167024314404287,-3.233981039273145,-5.8520634936953915,-5.813362796459498,-4.6095731187777105,-4.182698422026225,-4.42273446955569,-6.305137795828981,-8.264559189488745,-7.632402283081666,-6.087599131914596,-5.934291791295459,-9.078608154513919,0,16,18,14,0.8,4.2,5.0,5.0,5.4,6.0,6.8,8.6,9.4,10.0,10.2,11.6,13.0,13.0,13.2,14.0,14.0,14.0,14.0,14.0,0.0,0.4,1.8,3.8,4.8,5.0,6.6,8.0,8.0,8.4,10.0,11.0,11.0,11.0,11.6,12.0,12.0,13.0,13.6,14.0,48.310344827586206,124.632606600151,130.74210781497223,51.3448275862069,66.86206896551724,85.82758620689656,121.48275862068965,175.6206896551724,224.17241379310346,0.0023781212841854932,0.03804994054696789,0.13079667063020214,0.2806183115338882,168.23419115776895,70.43826460110344,5108.253716544548
16.0,0.8900501350021464,0.8995569465048037,0.913362530373446,-2.0,-7.0,-12.0,-17.0,-16.80572967231606,-9.148211583518647,-6.462135146673868,-3.5290713873400725,-4.237911506575545,-3.5792218674911696,-4.416048175543591,-3.7482579865183965,-2.707864728592817,-2.705827626308225,-3.156869799831324,-4.982242466661484,-6.102196705647745,-4.803141401484936,-6.734339374129894,-9.2808434730621,0,20,25,18,1.4,3.6,5.2,6.8,7.0,7.4,8.0,9.6,11.8,12.4,13.0,15.0,15.8,16.8,17.4,18.4,19.0,19.0,19.0,19.0,1.2,2.0,2.6,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,42.26086956521739,89.20543272310996,91.14707912762955,43.56521739130435,52.56521739130435,62.21739130434783,76.43478260869566,127.21739130434783,179.6086956521739,0.0,0.06805293005671077,0.2684310018903592,0.4877126654064272,124.39161061168343,56.53145820123677,3378.522261517549
17.0,2.210139164591046,0.9169184524961964,0.9749648237169941,-2.0,-7.0,-8.59642477936089,-7.882234458317962,-8.869170679291035,-8.545959662159513,-5.353464431226021,-3.2935747015329646,-3.84263959730085,-2.521513582494349,-2.417360604116271,-3.0334455062039014,-2.2573259093108105,-2.4001901786104667,-3.394983596354481,-3.6054003437571454,-2.957674722804401,-3.843967005725068,-4.691993069231552,-4.701191780154332,0,10,11,8,0.4,2.6,3.6,6.0,7.8,11.6,13.4,14.8,16.6,18.4,20.0,20.8,23.0,24.2,25.4,26.0,26.4,27.0,27.8,29.0,2.0,4.0,4.2,6.6,7.6,8.6,11.2,13.6,14.6,16.0,17.2,18.0,19.0,19.8,20.0,20.0,20.0,20.8,21.0,21.4,65.62711864406779,138.91304248143527,137.10580271833123,51.83050847457627,74.83050847457628,95.01694915254237,127.44067796610169,190.45762711864407,247.83050847457628,0.002298190175237001,0.02930192473427176,0.12180407928756105,0.2522263717322608,189.11525205662355,81.96130575139765,6896.332081763088
18.0,1.2264224820615675,0.6297367526264268,0.6527327747041307,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-14.278541664366093,-12.095215087222353,-9.276507520770831,-4.306440821828941,-5.981662051059463,-10.333581894537886,-10.132704498957825,-8.92029406540785,-8.46919362990124,-7.660334569549292,-10.573216333512317,-10.085235730741474,-10.060650847539492,-10.893345716805126,0,27,29,26,0.0,0.4,1.0,2.8,3.8,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.4,2.0,2.0,2.2,3.0,3.2,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,30.818181818181817,71.23184016244457,74.14260784255151,43.27272727272727,60.45454545454545,60.45454545454545,80.27272727272727,112.45454545454545,148.8181818181818,0.0,0.04958677685950413,0.2975206611570248,0.5454545454545454,106.69840757217412,39.979538893883074,1645.7314815400844
19.0,3.335805797638473,0.9738627358979474,1.2573982395469214,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-15.402771922154415,-5.855815048393449,-10.855815048393449,-6.306223646239651,-4.939829378137119,-9.93982937813712,-14.93982937813712,-19.93982937813712,-14.96495999928086,-10.186916718916407,-7.75846601933894,-12.75846601933894,-17.75846601933894,-21.72100862232638,0,30,31,28,1.2,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,19.333333333333332,72.92492470111868,71.18038061841092,48.666666666666664,48.666666666666664,48.666666666666664,71.33333333333333,88.16666666666667,177.66666666666666,0.0,0.1111111111111111,0.38888888888888884,0.5555555555555555,101.09106270049092,46.28897334297542,2255.9973526718654
21.0,3.1501493446196163,0.562584597604312,0.6344784126653642,-2.0,-7.0,-12.0,-17.0,-10.825205472594481,-7.6775892164280695,-2.751898670412109,-0.7030243631201458,2.881193741372222,5.1855975666699505,8.674794673129025,9.623792720434318,10.951206167117586,12.434203647010563,9.949300292449674,9.88993084783414,12.681241260519537,13.384430522252647,14.3170629661167,13.893164521510448,85,18,19,16,0.0,1.0,2.0,3.4,4.0,6.6,7.8,8.0,9.8,10.0,10.0,10.2,12.0,13.4,14.4,15.0,16.6,18.2,20.0,20.0,0.8,1.8,3.0,3.0,3.6,5.8,6.0,6.0,6.0,6.6,7.0,7.0,7.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,84.8108108108108,138.14484883804073,135.06451619839257,59.16216216216216,86.5945945945946,100.94594594594595,129.45945945945945,180.72972972972974,237.45945945945945,0.0,0.02629656683710738,0.1241782322863404,0.27757487216946675,191.6306143213846,89.15216532567723,8118.14282042736
22.0,1.4730755963904103,0.8386973170479024,0.8722502852992938,-2.0,-7.0,-12.0,-17.0,-18.047277247616147,-13.215489119043985,-8.94273862753785,-6.269094808241331,-1.6863754597390979,0.4585709564062384,-1.881168840493011,-3.8350134808027887,-3.3371202058218485,-4.337332850131377,-5.592113160126305,-7.555075970815016,-6.844842124701853,-6.009541327849473,-7.5513381476806245,-6.313091261455318,46,21,22,19,0.4,2.0,3.0,3.0,3.0,4.6,5.0,5.0,5.4,7.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.8,2.0,2.4,3.0,5.8,7.0,7.0,7.6,9.0,9.0,9.0,10.2,12.0,12.0,12.0,12.4,13.0,13.0,13.0,52.40909090909091,96.58247192643039,98.02171554020056,45.36363636363637,58.90909090909091,74.63636363636364,92.5,137.04545454545453,189.5,0.0,0.04958677685950413,0.1983471074380165,0.4090909090909091,135.47323344235573,56.525409286326024,3297.6868118415728
