cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,1.8284316562040188,0.8936653260925296,0.9265049195621708,-2.0,-7.0,-12.0,-17.0,-12.921316979456416,-10.30093601135135,-7.19180597982122,-6.4425401311617465,-2.580315908832823,-0.5932064732270845,-1.1136971934822057,-1.653645922570948,-1.9748106393505125,-2.174116022617551,-2.6221161034346494,-3.3801373219064432,-5.04843962196396,-3.4801897251724627,-2.369198125331013,-2.3611357728847167,46,19,20,17,1.4,2.8,4.2,5.0,5.2,6.6,7.4,9.0,11.6,14.2,17.0,17.6,19.0,19.8,20.6,23.2,24.0,24.0,24.0,24.0,1.2,3.0,3.4,4.0,4.4,5.0,7.4,8.0,8.0,8.0,9.0,11.0,11.0,11.0,11.0,11.8,12.0,12.0,12.0,12.0,50.75675675675676,157.50883910076476,169.1875533193397,52.21621621621622,72.67567567567568,91.8108108108108,127.97297297297297,202.32432432432432,271.3783783783784,0.0,0.029218407596785977,0.1256391526661797,0.254200146092038,209.69245036105795,105.7704123439636,11612.717554180248
7.0,5.213216267714384,0.7312796312555216,1.001414829771764,-2.0,-7.0,-12.0,-17.0,13.087814347502919,18.949313657075685,13.949313657075686,10.170962844648772,11.371486843383018,19.87307598737634,21.32913631297849,24.466435014304746,25.66566405228905,24.54282012536747,20.512109143637076,20.892350141349212,16.675449225991148,14.807845564558889,14.024055632572132,10.078108149575442,61,18,19,16,0.0,0.8,1.0,2.6,3.0,3.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.0,3.0,22.0,138.86123260779215,118.16731835317948,70.11111111111111,70.11111111111111,97.77777777777777,108.33333333333333,136.55555555555554,237.0,0.0,0.09876543209876543,0.2962962962962963,0.3703703703703704,173.3244809591718,99.61808975916917,10205.465492607715
9.0,0.3859170582951865,0.7932344265341822,0.7954959550418319,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-14.707570065127172,-8.646992964032837,-13.646992964032837,-18.646992964032837,-20.575297598863877,-16.34779871315549,-17.992700662301424,-11.278590257959369,-7.422669587328632,-10.198867716479825,-15.198867716479825,-20.198867716479825,-25.198867716479825,-30.19886771647982,0,28,30,27,0.4,1.0,2.2,3.0,3.0,4.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,24.375,83.41625710747674,86.87166647678647,53.375,53.375,75.75,75.75,118.75,186.5,0.0,0.0625,0.28125,0.4375,128.22553321754347,56.36879377475351,3297.9144119052544
12.0,1.1536152744702524,0.7375567822347198,0.7503913572035625,-2.0,-7.0,-12.0,-17.0,-20.010360771163807,-12.443178775951733,-10.773919040097363,-6.473871472952356,-5.2613093505758215,-2.9395272561356807,-3.506351920979077,-3.8186446737892936,-2.8834134221784793,-1.2097366482293495,1.6323423122506084,4.228752614604028,3.034648283319106,1.6952196391057641,1.17495650953652,1.3096757136402146,78,22,23,20,0.0,0.0,2.2,4.6,5.2,6.0,7.0,8.2,9.4,11.0,12.2,13.6,15.4,16.0,16.8,19.6,20.6,22.8,23.0,23.0,0.8,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,84.63636363636364,136.44820648586568,144.8513962802397,57.96969696969697,83.0909090909091,93.93939393939394,131.15151515151516,196.0909090909091,252.3030303030303,0.0,0.020202020202020204,0.12304866850321396,0.24058769513314968,189.61111644178033,80.32705290781487,6644.447473806696
13.0,1.2793738786481403,0.823745183507823,0.8462290375161119,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-12.449824967809043,-15.878572468583076,-13.381521082994317,-12.482998577864395,-13.281570776303022,-16.053361627680406,-17.71104790474648,-15.133626251263852,-9.679569299009966,-7.2214342968601475,-7.7879576670722965,-4.66575862140414,-0.6217740910557978,-0.8455215589083025,0,27,29,26,0.2,1.0,2.0,3.2,4.0,4.0,4.2,5.0,5.4,6.0,6.0,6.0,7.0,8.0,8.0,8.6,9.0,9.4,10.0,10.0,0.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48.416666666666664,103.2201762784836,106.7455495375941,55.5,70.16666666666667,70.16666666666667,84.0,142.75,188.75,0.0,0.041666666666666664,0.18055555555555555,0.4305555555555556,148.45233096046138,66.49640782074658,4591.7432528998925
14.0,1.4043925223132256,0.5015872306468715,0.5183136387853626,-2.0,-7.0,-8.323665172027479,1.3816741398626107,-3.6183258601373893,0.16408900185659547,5.514007186366593,8.025722260776263,6.53344688950442,9.871455854697723,10.04946451503545,14.044999966259649,16.841647157392117,14.372751495881744,11.937073779522922,13.70445732396152,13.091879059447175,11.294446118051368,13.625473973220812,12.761503946977973,59,11,13,10,1.2,2.8,5.8,6.0,6.8,7.4,8.0,9.0,10.2,11.0,11.0,11.6,12.2,13.6,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.375,102.20606542366981,114.70718476800009,44.8125,66.0,83.5625,92.9375,137.9375,199.125,0.0078125,0.046875,0.1953125,0.4140625,148.28818471122312,70.27744399772018,5067.120079270021
15.0,3.4982531492851696,0.6299715565085418,0.8322546937453923,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-14.525409880096209,-8.936002038911877,-9.788828498106284,-7.901543148599103,-12.901543148599103,-17.901543148599103,-20.722507203424954,-7.501031556259436,-7.798896604567818,-6.8198066193996425,-10.841511539958455,-11.928331222193705,-7.695461035399336,-6.893689297457911,0,28,30,33,0.0,0.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.2,1.4,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,34.142857142857146,74.9715071743922,93.09639569546933,46.285714285714285,46.285714285714285,72.42857142857143,72.42857142857143,103.71428571428571,168.42857142857142,0.0,0.08163265306122448,0.32653061224489793,0.6122448979591837,102.16991216666892,41.04141910608456,1763.0434275186594
18.0,1.7376759695839976,0.9013783762444098,0.9260775141952081,-2.0,-7.0,-12.0,-12.80568489028659,-9.853656625874864,-10.458367266675301,-7.620239919541303,-6.254119552800373,-6.245211215971052,-6.774850163222288,-6.093469312332411,-4.7480718986847155,-4.560941784306147,-3.6163406693868323,-3.87321971552405,-3.4111590478826344,-2.8963141391489957,-3.4861579045105855,-3.2069935941253194,-2.994649788629741,0,15,16,13,3.8,8.6,9.6,10.0,10.8,12.8,13.6,14.2,16.0,17.0,18.8,20.0,20.0,20.0,20.0,21.0,23.2,25.0,26.6,28.0,1.2,2.0,6.8,9.0,11.6,12.0,12.0,12.0,14.6,16.2,18.0,18.8,22.2,24.0,24.6,26.0,27.4,29.0,29.8,30.8,156.1904761904762,196.60722131113167,217.7951093225327,78.5,108.30952380952381,131.77380952380952,175.0,260.1309523809524,295.5238095238095,0.0008503401360544217,0.011904761904761904,0.059807256235827666,0.1349206349206349,267.5336558799566,117.23758067520625,14179.814042377446
19.0,5.404661653629615,0.9576439969670919,1.191284430632684,-2.0,-7.0,-12.0,-9.796379321117312,-8.999353074067354,-10.020903229554698,-11.79631162955636,-7.706498948563905,-5.085793443056924,-2.652025609332482,0.35146131842897005,-0.741373319892314,0.5685804496259564,0.04104224109788106,-1.2350490103741294,2.3186750347487814,3.4586144984786187,1.4707383438590056,0.2859703762889666,-0.6155090214403913,81,15,16,13,0.4,3.8,9.4,12.6,15.4,17.0,17.0,17.0,18.0,19.8,21.0,22.4,23.0,23.0,23.0,24.2,27.0,27.0,27.0,27.0,0.0,0.0,0.2,1.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,154.46666666666667,219.3170335974967,208.24885412061278,61.9,80.06666666666666,114.5,154.36666666666667,251.6,300.0,0.0022222222222222222,0.015555555555555555,0.09111111111111111,0.17333333333333334,283.63596909979844,152.11174026033547,24697.08047794091
21.0,2.9508064833244547,0.8085248968386038,1.007357999378941,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-20.655813378358765,-14.519821640747782,-14.160020655972527,-14.975751030200863,-12.785114412965273,-11.182051609637881,-16.18205160963788,-12.671408438271634,-16.96951103748566,-14.973142764806687,-12.934130764563832,-17.934130764563832,-22.934130764563832,-23.476864857358933,0,29,31,34,1.4,2.2,3.0,3.0,3.0,3.0,4.6,5.6,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.25,69.86346846732886,70.16354377700928,46.875,46.875,65.625,65.625,98.375,131.25,0.0,0.0625,0.3125,0.65625,99.14849720015057,33.46666737139523,1151.1765355450625
23.0,6.658084221119477,0.810554258661986,1.2496749534882428,-2.0,-7.0,-12.0,-17.0,-22.0,-7.266282197880105,2.7162267189840805,3.832470214501292,9.4599343047461,6.818454676572422,2.3430128827205166,-0.5587542926871052,-3.559781433065426,-0.48331885997736207,1.9114077432107877,-3.0885922567892123,-3.282876094235206,0.15666126782167566,-3.9297189106448287,-6.809846575347666,43,24,26,22,0.0,1.6,2.0,2.6,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,0.0,0.4,1.0,1.6,2.0,2.0,2.0,2.0,3.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,62.89473684210526,177.8287901740363,204.7631481122553,60.578947368421055,90.0,110.15789473684211,149.68421052631578,204.52631578947367,273.63157894736844,0.0,0.03324099722991689,0.0886426592797784,0.19390581717451524,218.3356287896902,99.13337410740628,10266.76077072393
