cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,1.6284100531266121,0.7773466717658262,0.8135083968515633,-2.0,-7.0,-12.0,-17.0,-19.866113541486996,-12.116800267179114,-9.292091962886374,-7.29227482534756,-9.149527353239677,-4.781608055725317,-8.214582705992793,-7.899611486463746,-5.472308470783078,-2.7253093788013443,-3.065755519988565,-2.9352446006383643,-3.944865606786698,-6.754645792938817,-6.2891366493088245,-7.482366413600377,0,22,24,20,0.0,1.4,2.4,5.4,6.0,6.0,8.0,10.0,12.6,14.4,15.0,15.8,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.1578947368421,99.84748739001532,100.02369470951267,36.89473684210526,51.578947368421055,64.21052631578948,82.3157894736842,140.89473684210526,202.1578947368421,0.0,0.0443213296398892,0.2493074792243767,0.4044321329639889,138.6396000318238,62.591987330985795,4135.720776048147
3.0,3.314877772408897,0.817283123484188,0.9147620261007177,-2.0,-7.0,-12.0,-17.0,-22.0,-23.226374467659053,-21.562113756479835,-17.209226347986167,-13.77005626831858,-11.327043243526886,-8.510379819408513,-6.1779284966083825,-5.862453775825775,-6.400450320042462,-6.133960972320322,-7.272632950919555,-8.79196041544555,-9.427559993362996,-9.183277959508677,-7.2988943758446485,0,26,27,30,0.0,0.0,1.8,3.8,5.8,7.0,8.8,10.2,11.0,11.0,12.8,16.0,16.0,16.0,17.0,18.0,19.0,19.4,20.0,20.8,0.0,0.4,2.4,4.2,5.0,5.0,5.0,5.0,5.2,6.2,7.0,7.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,81.07894736842105,166.18769598355672,161.64483989629926,68.26315789473684,94.39473684210526,114.60526315789474,151.05263157894737,217.31578947368422,275.9736842105263,0.0,0.009695290858725761,0.07756232686980609,0.18421052631578946,226.9637935306554,99.80510446231499,10319.206582491825
5.0,3.6011197232572165,0.4853300882462091,0.572729128495246,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-15.910633184754285,-2.444185501305421,3.29254196871087,2.1016992239589003,2.807536871670385,3.5927091158213145,7.678083110546083,11.537660678080647,14.468694109007155,20.91728473478254,21.275398574054822,20.353733655317427,19.859839113226776,21.271964723912014,79,28,33,26,1.6,2.0,2.0,3.4,4.4,5.8,6.0,6.8,8.0,8.0,11.2,12.0,13.8,14.0,14.4,15.0,15.0,15.0,15.0,15.0,1.0,2.6,4.4,5.0,5.0,5.8,6.8,8.0,8.6,10.0,10.6,11.0,11.0,11.0,11.0,11.0,11.6,12.0,12.2,13.0,79.74193548387096,142.01485868068568,133.02266718129778,57.12903225806452,83.74193548387096,92.90322580645162,123.25806451612904,183.19354838709677,250.25806451612902,0.0,0.027055150884495314,0.14360041623309053,0.27055150884495316,187.2910303268562,83.9178446853317,7304.827094343409
7.0,2.635951689597383,0.7183385588128978,0.7709136820782371,-2.0,-7.0,-12.0,-13.591659485499894,-13.479148713749733,-14.407765483458414,-12.373165586325959,-11.606408309507334,-6.758740545872854,-1.4592120244383309,1.2789893404810884,0.9430705896672066,1.4694568051153738,0.5094795201609401,2.080797942309155,1.9222236315657142,1.3508370522418631,1.8298384169404103,2.716106803865435,0.3434454461077735,89,16,41,14,0.6,3.2,5.4,6.0,6.0,7.2,8.0,8.8,11.0,13.6,14.0,15.0,15.0,15.0,15.2,16.0,16.6,18.8,19.8,21.0,0.2,1.8,3.0,4.0,4.8,5.0,6.0,6.0,7.6,8.0,8.0,8.6,9.4,10.6,12.0,12.2,13.0,13.6,14.0,14.0,78.93181818181819,163.42471257321972,167.64225219141719,72.31818181818181,95.3409090909091,115.81818181818181,151.5681818181818,222.11363636363637,273.9318181818182,0.0010330578512396695,0.010330578512396695,0.08574380165289255,0.1756198347107438,229.86380004076554,102.81716780524947,10924.733536193266
8.0,1.2176905079706768,1.2056218618730083,1.2449121979823694,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-24.765896699426143,-14.923279412844375,-14.026153536166627,-17.13738233602039,-17.52537874881785,-17.45519566855298,-16.464099173987314,-16.149655637296405,-21.149655637296405,-26.149655637296405,-30.39966030918514,-30.109502417941684,-27.227755126056984,0,34,36,33,1.2,2.2,3.8,6.0,6.0,6.0,6.6,7.0,7.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,76.41535812217424,76.61392698380789,47.44444444444444,47.44444444444444,70.44444444444444,89.11111111111111,128.44444444444446,156.55555555555554,0.0,0.024691358024691357,0.2469135802469136,0.4938271604938272,115.00807732088919,43.56363672043626,1979.0013983470162
9.0,6.221403082366212,0.5438998568879404,0.9012805757060739,-2.0,-7.0,-12.0,-17.0,-22.0,-16.973188269991986,-6.137346629958439,-3.502808004139152,-2.3280625260706884,1.0858638100283755,4.992838098842673,4.293187495976412,5.850867454778208,4.566496512834337,4.718861253842112,7.959527786976457,9.36659263743025,7.828175567985051,10.849940933181287,12.19054918184953,81,24,26,23,0.8,4.4,8.0,8.6,9.4,10.2,11.0,11.0,12.0,12.0,13.2,14.4,15.0,15.0,15.8,16.0,16.0,16.0,16.0,16.0,1.4,2.4,4.6,5.0,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.4,7.0,7.0,7.0,7.4,8.0,8.0,8.0,84.11538461538461,138.4402597262426,118.05701025857365,57.73076923076923,69.92307692307692,80.84615384615384,108.5,160.42307692307693,230.42307692307693,0.0,0.03254437869822486,0.15384615384615385,0.3313609467455621,164.63924715807997,73.53207468551128,5635.513105357696
10.0,3.8290601425422928,0.6714222750885963,0.7826331060804377,-2.0,-7.0,-12.0,-17.0,-22.0,-10.724328066314548,-11.415604260816668,-9.952518552569849,-14.952518552569847,-7.891170237164812,-2.4322828196649695,-3.8516558836225316,-3.799240472591798,-1.7222070642043235,2.8630670420712194,4.128103383535523,6.263950429281988,7.279563393813447,5.631274080527294,3.55531245833169,87,22,24,21,0.0,2.0,3.8,4.4,5.0,6.0,6.0,6.6,7.0,7.0,7.8,8.4,9.2,10.4,11.0,11.0,11.0,11.0,11.6,12.0,0.6,1.0,1.0,1.6,2.0,2.4,3.0,3.0,4.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.8,7.0,7.0,75.45833333333333,163.8092063806172,165.27133678889768,78.45833333333333,95.125,109.20833333333333,135.33333333333334,219.20833333333334,275.8333333333333,0.0,0.013888888888888888,0.1076388888888889,0.20138888888888887,222.95154832691924,98.51734854383011,10063.859417962149
11.0,1.1295631317180252,0.9573704594311113,0.977608872816114,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-23.094305728042393,-17.177702544307113,-4.6716275462060946,-4.565670274352638,-7.226020638897188,-7.234779340761257,-7.140699378660709,-8.19071775574546,-6.725791544230541,-6.435286122571722,-10.200521591854653,-15.200521591854653,-17.293884735439978,-16.434995650085575,0,29,38,34,0.8,2.0,2.6,4.0,4.0,5.4,6.0,6.0,6.0,6.4,7.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.2,3.0,3.0,3.0,4.0,4.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,33.5,109.56694440041396,109.44009615729787,44.285714285714285,64.64285714285714,84.64285714285714,102.85714285714286,156.28571428571428,214.92857142857142,0.0,0.04081632653061224,0.19387755102040813,0.30612244897959184,150.84230512679423,62.60999071511791,4130.619614557196
14.0,2.74221980579727,0.6930446289327706,0.7580456738788198,-2.0,-7.0,-12.0,-17.0,-19.897203292375874,-10.43312393369986,-4.239312756809919,-3.227971596015757,-1.8613240123815715,0.21025791496380322,4.463211492160189,6.695849367219696,9.592368142076646,9.721426593576414,12.775317648771978,12.246683131402438,11.896159503977383,12.037312716582628,12.345339976417426,10.850064050131422,89,22,24,20,0.0,1.6,2.4,4.0,4.6,6.2,7.0,7.6,8.4,10.0,10.0,11.2,13.0,13.0,13.0,15.0,16.0,17.2,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.6,2.0,2.6,3.6,4.0,4.0,4.0,4.0,85.45454545454545,146.09136967851467,139.29285931079238,60.42424242424242,83.0,96.15151515151516,132.57575757575756,184.9090909090909,253.21212121212122,0.0,0.023875114784205693,0.13774104683195593,0.26813590449954083,196.43427943824435,91.48326345714652,8683.037252684964
15.0,3.716465626633725,0.6974427162895339,0.8438024249695821,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-9.287777191938808,-3.3152938193073354,1.906179446018139,6.280341662542794,6.2736915331335865,2.845510485500057,1.4999468885876155,0.7955948692415973,3.2117165831430583,3.845480064117916,3.3156133739543434,3.663061020382264,1.8836312904740908,-0.4043224334672743,51,28,30,26,0.0,1.6,2.0,2.2,3.0,3.8,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.8,6.6,8.2,9.0,9.2,0.6,2.6,3.0,4.2,5.4,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.4,8.0,8.0,8.0,8.8,9.0,61.76190476190476,127.8404346213251,133.6835564209538,62.285714285714285,77.19047619047619,94.38095238095238,126.57142857142857,180.23809523809524,225.9047619047619,0.0,0.027210884353741496,0.13151927437641722,0.2766439909297052,171.23573750396469,71.54115394020954,5242.1695894407885
