cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,3.8380407597754105,1.1938918320754095,1.4445099849105463,-2.0,-7.0,-12.0,-17.0,-7.615887736377536,-8.60715978744224,-7.859091426710913,-5.784284113428529,-5.972089742938715,-9.119033941996484,-11.903318581905392,-6.676906997627218,-5.449567455185533,-8.103639179365597,-12.207879783358425,-13.152893011673092,-14.30843561938399,-9.698352768927796,-8.880439371634594,-11.570729181513249,0,18,19,16,1.0,4.6,6.0,7.0,7.6,8.8,9.0,9.0,9.8,10.0,10.0,10.0,10.4,11.0,11.0,11.8,12.0,12.0,12.0,12.0,0.6,2.0,3.4,4.0,4.4,6.0,6.0,6.2,7.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,24.8,121.32580532755688,127.66346802539825,37.4,59.45,74.95,103.2,157.4,216.85,0.0,0.05,0.16499999999999998,0.32999999999999996,168.8870165644703,81.26557809376844,6988.197882481855
4.0,4.365344048978289,0.6721889148730239,0.8522210764294285,-2.0,-7.0,-12.0,-17.0,-22.0,-16.979749025288026,-12.039362494323731,-3.8611348080744534,-5.296010202895839,-0.11677366695028013,2.529119829656557,3.455449893157828,2.8070703900231067,3.3103318493334,1.7099320941868057,-0.7104551788937841,-0.645312493507555,-0.461944334672134,-1.602725127687151,0.09755647219222396,61,24,32,28,0.6,1.0,2.0,2.0,2.4,3.0,4.2,5.2,7.4,8.6,9.8,10.0,10.0,10.0,10.0,10.8,12.6,13.2,14.4,15.8,0.8,2.6,4.0,5.0,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,78.84,140.42569617583794,140.49007546190694,58.12,75.92,92.04,127.24,195.16,254.84,0.0,0.022400000000000003,0.1184,0.2304,186.43852872915082,79.82526511124422,6622.741332458922
8.0,3.300036465256686,1.043544174676331,1.1735714978709786,-2.0,-7.0,-12.0,-17.0,-15.714217586714335,-16.523695977857223,-19.787925094051083,-14.813089117895283,-11.878069855759657,-10.871604342827435,-9.19453817702478,-11.927587329906633,-9.826236807392116,-8.802189149193449,-5.114295367383718,-4.795395071819607,-6.083820141663469,-4.560025599330288,-4.5806924431406575,-5.735364016584183,0,32,21,18,0.4,2.0,2.4,3.0,3.0,3.0,3.0,3.6,5.6,6.0,6.4,7.2,8.2,11.0,11.0,11.0,12.0,12.0,12.0,13.2,0.8,2.0,3.4,5.6,6.0,6.0,6.0,6.8,7.0,8.0,8.2,10.0,10.8,11.0,11.0,11.6,13.6,14.0,14.0,14.0,56.758620689655174,161.5221197774754,165.15151245595274,66.48275862068965,79.93103448275862,106.75862068965517,142.48275862068965,212.17241379310346,273.0689655172414,0.0,0.014268727705112961,0.10225921521997622,0.22116527942925088,215.36974174355487,98.77059467695227,10262.217526085231
9.0,5.869910608432997,0.7610528069256476,1.332641627291247,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-50.71946058787002,-31.29865146967503,-36.29865146967503,-41.29865146967503,-40.531949490408316,-9.083887836252874,-5.0291079170268205,0,65,67,64,0.0,0.2,1.0,2.0,2.0,2.8,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,103.62232942666849,101.3469471770932,93.0,93.0,93.0,113.4,144.0,220.0,0.0,0.0,0.08,0.4,141.97477813803846,49.607467600861796,2674.8289414919186
12.0,0.49509939872504166,1.0104002390043618,1.0136478697030777,-2.0,-7.0,-12.0,-17.0,-10.428086662895927,-8.669608194492085,-4.235165305402673,-4.227110079864379,-5.2901814323791445,-6.34685938215561,-3.821715144576339,-6.143848095208433,-10.833318826614317,-8.379912973406352,-8.376551787200409,-7.917294595876558,-10.505682924412593,-8.761385060345868,-9.349015229750506,-12.126356879534612,0,18,19,22,0.0,0.6,1.2,2.0,3.6,4.0,4.0,4.0,6.0,6.0,8.0,11.0,11.6,13.0,13.0,13.0,13.0,13.0,13.0,15.0,0.0,1.6,2.0,2.0,2.0,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,60.08695652173913,126.4169247638802,128.6664073340341,59.91304347826087,84.65217391304348,96.95652173913044,120.65217391304348,181.52173913043478,243.2173913043478,0.0,0.026465028355387527,0.11720226843100189,0.2684310018903592,182.9862830252043,81.828144675099,7021.159609787361
14.0,4.419349758700031,0.9387416651414716,1.1333872186171678,-2.0,-7.0,-12.0,-17.0,-19.370643826126578,-11.671943100842647,-11.2906825272547,-4.553464983713042,-5.078192632296772,-4.7536569854800295,-6.586474550085631,-4.835983472463525,-2.6751165473462764,-5.4457867316831,-6.8393154330439785,-6.16022177355074,-6.380970281988286,-7.811265626688706,-7.855302940736232,-9.42121266899775,0,22,23,20,0.0,0.0,0.0,0.0,2.4,5.0,5.0,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.2,0.4,1.2,3.0,3.0,3.2,4.0,5.0,6.0,6.0,6.0,7.0,7.0,7.2,8.8,10.0,11.0,11.0,11.8,12.0,12.0,50.791666666666664,176.83392337826925,172.37576278330982,80.04166666666667,96.0,109.54166666666667,143.375,232.33333333333334,287.625,0.0,0.020833333333333332,0.09027777777777778,0.1840277777777778,234.38260873801383,105.28006966047151,11683.647305593942
15.0,0.3378783046416521,0.8815430189531236,0.8829492191772256,-2.0,-7.0,-12.0,-17.0,-22.0,-25.255908788219887,-19.074792333659925,-12.762804354966296,-9.403624274838013,-10.92338901387954,-10.888137940701313,-12.954986673751375,-11.896594000060183,-11.273249856459397,-11.973242897897164,-10.911689624531238,-8.034728678617475,-7.718948144322212,-7.426162278009016,-7.864351528441188,0,27,28,31,0.0,0.6,2.0,4.2,6.0,7.0,7.0,7.2,8.0,8.4,10.0,11.0,12.0,12.0,12.4,13.0,14.0,15.2,16.4,17.0,1.0,3.2,5.6,9.0,9.8,10.2,11.0,11.0,11.0,11.0,11.2,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,52.7,122.98261669970536,122.95486312531203,58.2,71.43333333333334,90.5,118.7,171.73333333333332,234.26666666666668,0.0,0.017777777777777778,0.12444444444444444,0.26666666666666666,173.79217047453446,72.40441876011069,5428.637374406362
17.0,1.4901297576186756,1.0973976229468478,1.1268495966882999,-2.0,-7.0,-12.0,-17.0,-22.0,-15.253970765385215,-7.051588458446969,-6.519620021160215,-4.0436200204434005,-5.87157150282008,-9.952793431577405,-11.474278554355198,-8.28762703744008,-6.1937490043936645,-5.359597490252957,-5.46575375145049,-8.121753656836606,-10.203477848672515,-13.441127142904762,-16.512187810548124,0,24,26,22,0.6,1.0,1.4,2.0,2.0,4.2,6.4,7.0,7.0,7.8,8.0,8.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.2,2.0,2.0,3.2,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.6,9.0,9.0,9.0,9.0,9.6,10.0,39.31578947368421,141.07272102050115,151.86599465275194,45.578947368421055,66.78947368421052,82.42105263157895,113.94736842105263,197.57894736842104,265.05263157894734,0.0,0.038781163434903045,0.15512465373961218,0.2825484764542936,195.12324515984633,92.69322020314291,9123.412086790646
19.0,1.433593079965705,1.2296430947180048,1.2501507239146115,-2.0,-7.0,-10.187937359047897,-7.532435010045202,-6.653790380241107,-4.734825626659196,-1.9870843252279222,-1.5317890116409045,-2.2035692843453587,-4.161929636848539,-3.458592308650026,-3.238727873758543,-4.5058702495111005,-2.561838084042408,-3.5606160241005513,-6.624950380886179,-8.11021688587257,-8.835230532571988,-9.13943552388966,-9.423231995028939,34,12,13,16,0.6,2.2,4.0,5.0,5.8,7.0,7.2,8.0,8.4,9.0,9.0,9.0,9.0,9.0,10.2,11.0,11.0,11.0,11.6,12.0,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.4,7.2,8.0,11.8,13.6,14.0,14.0,14.4,15.4,16.0,16.0,18.0,20.0,103.01886792452831,209.9035380266843,217.01715317397594,62.81132075471698,91.79245283018868,113.33962264150944,170.79245283018867,262.24528301886795,296.8867924528302,0.0028479886080455675,0.0263438946244215,0.08259166963332147,0.16375934496262015,284.03982192761805,140.33869419886673,20704.41088022564
21.0,2.5225020245288508,0.9662550120394802,1.0594545658721966,-2.0,-7.0,-12.0,-17.0,-11.940111344906756,-7.482814581054335,-8.76110803657507,-8.749445193521217,-9.038401847004549,-7.907845821151862,-4.384686970175013,-2.6779975271271126,-3.841919956565802,-6.356952444564902,-4.649314337999283,-4.765008562851435,-5.550035950244862,-5.8933122743413175,-4.713348260180251,-6.477954634959713,0,19,20,17,2.0,4.6,5.4,7.4,8.4,9.0,9.0,10.2,11.4,14.0,14.4,15.0,15.0,15.0,15.8,16.0,17.6,18.0,18.0,19.0,0.4,1.2,2.4,5.2,6.0,6.0,6.6,7.2,10.2,11.0,11.0,11.0,11.0,11.4,12.0,12.0,12.0,12.0,12.0,12.0,52.15625,121.74067374874663,130.74565776512927,50.375,75.6875,86.625,108.34375,161.21875,220.03125,0.0,0.02734375,0.15234375,0.330078125,164.51265937058906,70.30757759895867,5104.2629591439945
