cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,7.281940100167203,0.5128852908858471,1.426873147654191,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-28.884042530594513,8.289893673513717,3.289893673513717,-1.710106326486283,-6.710106326486283,-11.710106326486283,-16.710106326486283,-21.710106326486283,-26.710106326486283,60,55,57,54,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,93.54203399595127,96.19855322433556,87.0,87.0,87.0,87.0,152.33333333333334,300.0,0.0,0.0,0.2222222222222222,0.2222222222222222,119.14130554435643,32.62405631626978,1397.011984889729
3.0,3.8197266030814667,0.6231907749144753,0.7883501891317449,-2.0,-7.0,-12.0,-17.0,-14.676898864208903,-14.79483144034817,-8.325552609063001,-5.024427813885901,-5.111941829917626,-7.057524317667941,-6.253874693878652,-4.3739136007228065,-3.391957064060621,-5.827419356255848,-4.8800695703744825,-2.2681566499121373,-2.0676254484719947,-3.9757291409821334,-1.1045038827246685,-3.63056064987484,0,20,21,18,0.8,3.6,6.0,7.4,8.0,8.0,8.0,8.4,9.0,9.0,9.8,12.0,13.0,13.0,14.2,15.0,15.0,15.0,15.8,16.4,0.0,0.0,0.0,0.0,0.4,1.0,1.0,2.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,62.666666666666664,108.85504486414803,103.40418698287064,60.61904761904762,75.42857142857143,85.33333333333333,104.14285714285714,147.9047619047619,194.04761904761904,0.0,0.04081632653061224,0.1678004535147392,0.37641723356009066,146.16516391287047,58.87890840117306,3550.026484142326
6.0,2.0109374162911937,0.6914326089376286,0.7571677596067518,-2.0,-7.0,-12.0,-17.0,-22.0,-24.441350230280225,-19.206751151401125,-19.991332173077687,-12.0426683482655,-6.12244426297274,-1.3917509948678386,-2.2227403632565896,-3.839231669965548,-4.634476530448343,-5.215555809569293,-6.12981709165268,-7.3141344736233975,-7.482656705678477,-7.350079537048302,-6.183811653147688,0,27,28,25,0.0,0.8,1.0,1.0,1.4,2.0,3.8,5.2,7.2,8.4,9.0,9.2,10.0,11.0,11.0,11.6,12.0,12.0,12.0,12.4,1.6,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,43.25,78.2858278962811,77.86339626664875,41.625,48.375,63.25,71.125,108.375,146.3125,0.0,0.0390625,0.2890625,0.5859375,110.46905826790622,42.27423698345154,1854.1553789816865
7.0,0.915135316461931,1.1712497688382102,1.1874223378781343,-2.0,-7.0,-12.0,-9.78887209072756,-12.239353368402503,-8.017914890834428,-8.27504041377042,-6.684625201038651,-6.499251639665897,-7.804810275741586,-10.935579648100608,-12.572075633654034,-10.913260496915015,-10.119793940090563,-10.182470712715688,-9.375515341438966,-7.265594185550881,-6.660438677778683,-7.658128804353959,-9.573897257959274,0,14,15,12,0.6,1.0,1.0,1.0,1.0,1.6,3.4,4.0,4.0,5.6,6.6,7.0,7.8,8.0,9.6,10.0,11.0,12.0,12.0,12.0,1.8,3.0,3.8,4.6,6.8,7.0,7.0,7.4,8.0,8.0,8.0,9.0,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.77272727272727,101.66992458131854,103.02816569544466,59.45454545454545,71.13636363636364,79.36363636363636,98.36363636363636,143.04545454545453,203.36363636363637,0.008264462809917356,0.04958677685950413,0.2024793388429752,0.371900826446281,147.38531724080858,63.89203342590974,4191.929120197475
9.0,1.7288405592370566,0.9157196238986137,0.9696253538808475,-2.0,-7.0,-12.0,-17.0,-12.394803806011058,-8.1637836278262,-5.425621554675004,-7.599087275059648,-8.076849569641706,-9.141368337943899,-7.060861877544336,-5.105496572444383,-6.820208387352485,-4.597587208978145,-4.360474502762466,-2.750254654241837,-0.713635669322889,-1.671852097279401,-3.782794071376492,-5.665738165956105,80,19,20,17,0.0,1.2,3.0,4.2,6.4,8.0,8.0,9.0,9.0,9.8,10.0,10.0,10.2,11.0,11.2,13.0,14.6,16.0,17.0,17.0,0.2,2.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,42.95238095238095,91.17556091615695,90.11951503043846,50.142857142857146,62.666666666666664,71.57142857142857,86.47619047619048,130.52380952380952,181.95238095238096,0.0,0.045351473922902494,0.25396825396825395,0.4625850340136054,127.10073267118943,53.90971714385676,3059.2548348949135
10.0,0.09218538083364378,0.9286198394560237,0.9287494148261164,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-14.77323985183646,-12.857793304842355,-8.43198478918605,-5.588513193435976,-7.415754754397087,-7.482437327305066,-10.381121868584806,-12.787821021521712,-15.234303613306565,-12.394762463886522,-15.105040373749087,-15.96079607692792,-15.712780514131751,-14.771959864338537,0,28,30,26,0.8,5.2,7.6,10.0,10.0,10.0,10.2,11.8,12.4,15.0,16.0,16.0,16.2,17.4,18.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,34.76190476190476,101.87370089604771,102.03701216031898,61.61904761904762,73.71428571428571,85.04761904761905,107.28571428571429,148.9047619047619,195.23809523809524,0.0,0.031746031746031744,0.16326530612244897,0.37188208616780044,147.16581479540048,60.38054632340256,3735.0778598914676
12.0,3.6867016649985325,0.9061866708407627,1.0900205343056062,-2.0,-7.0,-12.0,-17.0,-16.709690264837853,-13.774225662094633,-13.233661262610639,-8.820267831947124,-3.8378390619274443,-0.46081484533443556,-2.4636183438656487,-4.589862232540183,-2.704866065224189,-3.013298719359395,-5.109648671812141,-5.979389437018506,-7.038229041450632,-7.470620682650579,-8.418639866810995,-8.958063347097404,47,21,22,19,1.4,2.0,2.4,3.0,3.0,4.0,4.0,5.6,7.8,8.0,8.0,8.8,9.0,9.0,9.4,10.0,10.0,10.0,10.0,10.0,0.6,1.0,1.4,3.0,3.0,4.2,6.0,6.0,6.6,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,41.44444444444444,128.61505584267036,125.35518892333744,43.27777777777778,70.22222222222223,89.38888888888889,117.05555555555556,164.77777777777777,236.27777777777777,0.0,0.0308641975308642,0.16049382716049382,0.2716049382716049,170.442602436092,73.40243596294215,5539.232743714688
13.0,3.210383408830409,0.7122729828704163,0.8076871020643529,-2.0,-7.0,-12.0,-17.0,-15.407579152477368,-10.681065868982746,-4.378427350585925,-4.434139644102291,-6.1304570563699246,-4.969386428522435,-1.451013841826193,-0.4320549287584342,1.0381247839860421,0.9495053288377051,0.7560903087118277,-0.1782869257371118,0.11992019758268953,2.1893609916629204,1.5821457150157925,2.8327201051851176,88,20,21,18,0.0,0.0,1.2,2.4,3.0,3.8,5.0,5.0,7.2,8.8,9.4,10.0,12.2,14.0,15.0,15.8,16.2,17.0,17.0,17.8,0.8,3.0,3.6,5.0,5.0,5.8,7.6,8.8,11.2,12.0,12.2,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,81.97435897435898,144.39656656729164,157.1490919241793,51.82051282051282,77.76923076923077,97.07692307692308,127.58974358974359,199.71794871794873,255.46153846153845,0.0,0.019723865877712028,0.10519395134779749,0.23931623931623933,194.4999387652399,83.41132112812903,7141.720209834655
15.0,2.2738422850459292,0.9179012900314856,1.0006928410702474,-2.0,-7.0,-12.0,-17.0,-16.14831223763618,-7.895785160995663,-7.307233475507249,-11.520214077241056,-11.159409432883297,-12.132707168074866,-5.481386066749323,-3.325077060741374,-5.143823713299457,-6.578862596564512,-7.304059585724059,-10.958307097852147,-11.323601253729592,-9.01325423025914,-8.22922912430079,-7.3369144902289545,0,20,22,18,0.8,5.4,7.4,9.0,9.0,9.6,10.0,12.0,13.0,13.8,15.8,16.0,16.0,16.6,17.0,18.0,18.0,18.0,18.0,18.0,0.4,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,38.8,102.67804992666922,102.76556153262538,39.3,54.95,63.85,78.5,134.95,192.5,0.0,0.04,0.205,0.42000000000000004,139.65956771551635,63.754036700029225,4281.449122603042
17.0,0.39464691818977116,0.8753169419247319,0.8769861945340798,-2.0,-7.0,-12.0,-17.0,-17.602258539985574,-13.970383332242097,-9.514984389727964,-8.851021763590747,-8.913771777931881,-6.3934844624483365,-4.394484591378044,-4.254027710627442,-6.547968746126256,-6.77610795776432,-6.778839653637382,-6.615535213437761,-4.9590942056121605,-6.189745629140139,-7.3529448333628835,-7.87495372828152,0,20,28,18,1.4,2.0,2.6,4.0,4.4,6.0,7.4,9.2,10.0,10.0,10.0,10.8,13.2,14.0,14.0,14.0,14.2,15.0,15.0,15.0,1.4,2.0,3.4,4.0,5.0,5.0,6.4,7.8,9.0,9.0,10.0,11.4,14.0,14.2,15.4,16.2,17.6,19.0,19.6,20.0,71.93023255813954,141.0943419160997,162.91890807382308,67.55813953488372,87.6046511627907,105.27906976744185,134.46511627906978,199.53488372093022,262.8837209302326,0.0,0.017306652244456464,0.09951325040562467,0.22174148188209844,198.66501667188865,83.75646570392554,7200.539961004805
