cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,9.234570388181247,0.7074528335558388,1.038105011371357,-2.0,-7.0,-12.0,-17.0,-16.51569323518492,0.42153382407540363,7.448219465933313,11.540699878961057,24.557708323883354,23.95577699615386,29.336033208979483,29.03378317124026,26.50733142429894,24.913765785937443,30.09773638351828,33.43353462179776,31.963008797595286,38.87492868042379,44.559598520707105,44.79154056392221,89,21,23,20,0.2,2.8,4.4,8.6,10.0,10.0,10.8,12.0,12.2,13.6,14.0,14.0,14.0,14.4,15.4,16.0,16.2,19.4,20.0,20.2,1.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.8,361.8930494175459,362.42702654401035,98.8,131.72,167.76,228.96,288.08,300.0,0.0,0.016,0.0608,0.10880000000000001,437.5497396606773,247.35156166411252,63826.68325908485
3.0,1.8644889185275209,0.9054242123875578,0.9509755881565684,-2.0,-7.0,-12.0,-17.0,-22.0,-15.119212421927159,-7.42591088841471,-2.0596302768120625,-1.706122715345296,-2.1338791044564105,-6.3156215338171675,-7.75707313518478,-7.433390557039824,-9.794201038478617,-9.731360420128018,-8.341780920005874,-7.678226255833709,-8.409099463872305,-6.576951004005645,-5.996165876174246,0,23,29,21,0.6,2.0,3.0,3.0,4.0,6.0,6.2,8.0,9.0,9.0,9.2,10.0,11.0,12.0,12.0,12.8,14.6,15.0,17.2,19.2,0.0,1.8,2.8,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,55.4,120.81246791772801,121.32834577349608,57.0,71.92,85.12,120.52,176.48,227.24,0.0,0.038400000000000004,0.1376,0.2912,169.7630210592036,72.97634983669214,5463.451553855714
5.0,2.186355205799839,1.33718905231053,1.4149029798953148,-2.0,-7.0,-12.0,-17.0,-14.256283426631802,-14.093805711053,-16.152841434609428,-12.812091436567226,-9.423058684526177,-10.448901934444528,-8.509509878072073,-9.572315812127185,-7.52601999899664,-10.739912439359372,-11.580849103463041,-12.805613530897565,-15.03723787801996,-15.891951687490343,-17.93600734026947,-19.219380152639005,0,20,21,18,0.0,0.6,2.8,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.8,7.0,1.0,4.0,4.0,4.0,4.2,6.2,8.6,9.0,9.0,9.0,9.4,10.0,10.8,11.0,11.0,11.0,11.0,11.0,11.0,11.0,34.1578947368421,148.80877779676112,146.66544691491598,46.73684210526316,80.52631578947368,92.78947368421052,130.52631578947367,205.0,275.2631578947368,0.0,0.016620498614958446,0.09972299168975068,0.22160664819944598,203.0366385577025,92.62761015996576,9136.192833371091
6.0,1.9146535663064057,0.8864773229359977,0.9373239226008764,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-9.383767159166407,-8.964755777176137,-9.803043610388599,-10.19182987509499,-6.105022145343891,-5.373800672178855,-4.276532917871694,-6.5940731571816515,-4.424088611043118,-4.915826219698758,-9.127051607443192,-11.204116073880414,-10.405592292061803,-12.740710044539568,0,27,29,26,0.0,1.8,4.8,6.0,6.8,7.0,7.2,8.0,8.0,8.0,9.4,10.0,10.0,10.2,11.0,12.0,13.0,13.0,14.0,14.0,0.0,0.0,1.0,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,48.333333333333336,112.80873883849033,111.83235560109112,43.5,60.111111111111114,79.27777777777777,120.44444444444444,159.94444444444446,221.16666666666666,0.0,0.0308641975308642,0.15432098765432098,0.2962962962962963,159.87995569962243,65.6064032964972,4494.933638490179
7.0,1.2219437434683236,1.0285080725431233,1.0510408606081338,-2.0,-7.0,-12.0,-17.0,-22.0,-24.43291844904528,-13.638678155065111,-12.77846879186223,-9.25223117194503,-11.03524286809406,-11.920637147001695,-13.408320879340403,-10.706137755901167,-10.512781083747104,-12.026320895697374,-9.768218417580618,-10.708665766418557,-13.238662270661553,-12.800475889914173,-10.923636703403076,0,26,28,25,0.2,1.8,4.0,5.0,5.0,5.0,5.8,6.8,9.0,9.0,9.8,11.0,11.4,13.0,13.0,13.6,14.0,14.4,15.0,15.0,0.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,43.421052631578945,119.37806731017504,119.55556224821994,44.10526315789474,67.3157894736842,84.15789473684211,106.63157894736842,181.3684210526316,242.6315789473684,0.0,0.027700831024930747,0.13850415512465372,0.28808864265927975,168.15992737722047,71.18921221753608,5278.470097133702
8.0,0.8380920685860924,1.0092522516953286,1.0213090166030911,-2.0,-7.0,-12.0,-17.0,-13.462650113152478,-14.972377271216606,-12.145179646173165,-12.917167563044032,-13.874076280285717,-18.48277535179147,-16.637449889001857,-12.626239880792227,-8.087488719262602,-4.97176977662267,-7.754111260473351,-12.21485829716056,-12.390362819032669,-12.322970058207321,-13.583481523416301,-14.466860494871781,0,19,20,17,0.6,1.4,3.6,6.4,7.8,8.0,8.8,9.0,10.2,11.2,12.0,12.0,13.8,14.0,14.2,16.0,16.0,16.0,16.6,17.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,101.9553405375643,102.0771113961443,44.95,61.45,74.85,95.65,143.0,193.25,0.0,0.030000000000000006,0.155,0.385,145.98872198115816,59.57064941143243,3687.834362586472
9.0,0.8188736984567578,0.8515671073418056,0.8587475544024555,-2.0,-7.0,-12.0,-12.646404000215364,-10.214350746436383,-8.148376331860963,-7.866628908675106,-7.799233186299318,-6.311686399136666,-7.156183320102201,-7.15587294632409,-6.961101032363507,-7.9138805403585035,-9.366360359954097,-10.483450813208112,-10.117908872131746,-11.89651098432769,-13.544083853361133,-12.94750486172256,-14.30746752911993,0,16,17,20,0.8,2.0,2.0,2.0,3.0,3.4,4.0,4.8,5.0,6.0,6.0,6.6,8.4,9.6,10.0,10.0,10.0,10.2,11.0,11.0,0.2,2.8,4.0,4.0,4.4,5.0,5.0,5.0,5.0,5.4,6.0,6.0,6.0,6.0,6.0,6.0,6.4,8.0,11.0,12.0,78.51724137931035,138.82682734441153,171.61389631432718,67.3103448275862,81.58620689655173,110.48275862068965,141.55172413793105,194.89655172413794,258.6551724137931,0.0023781212841854932,0.019024970273483946,0.09036860879904875,0.2164090368608799,196.2497143446996,81.2719517211941,6814.699307908724
10.0,2.837096091312151,0.890558779273857,1.0121718730676057,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-25.89610365209533,-21.740259130238332,-26.740259130238332,-27.538556601787615,-14.122181892044221,-12.929373336924959,-10.819721838464385,-3.609769981745063,-2.567097290314905,-5.815773183225474,-10.815773183225474,-12.496272041567005,-13.12526336634465,-14.780136907831277,0,30,32,29,0.0,1.4,2.6,3.4,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.2,2.0,2.8,3.0,3.0,3.0,4.2,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.4,65.0,103.40024201320601,105.0323440961976,51.76923076923077,63.69230769230769,63.69230769230769,100.15384615384616,143.69230769230768,199.92307692307693,0.0,0.01183431952662722,0.21301775147928995,0.4260355029585799,145.36017815097296,65.50923699863846,4553.186555780681
11.0,2.054024075394275,0.8943924319415552,0.9657113122980201,-2.0,-7.0,-12.0,-17.0,-22.0,-24.68922613045102,-15.020233174688315,-14.27427164919951,-14.508542766568564,-10.42125571054152,-6.824134845486716,-7.878304143910334,-11.724862481002933,-8.556300680100515,-9.21463060318215,-6.505064864761979,-8.443301701655187,-8.673710243945493,-10.899403153889661,-10.35279598323838,0,27,32,25,1.6,2.6,4.2,5.0,6.2,7.0,8.2,9.0,9.0,10.0,11.8,13.0,13.0,13.0,13.0,13.2,14.0,14.0,14.0,14.0,1.2,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,37.11764705882353,97.15431478262262,97.54760804968605,43.35294117647059,56.529411764705884,68.3529411764706,95.0,144.64705882352942,182.1764705882353,0.0,0.02768166089965398,0.22145328719723184,0.41522491349480967,134.85090458701734,53.36669199273849,2918.738373931646
12.0,1.4345306656603147,1.1014976370175236,1.126829108277476,-2.0,-7.0,-12.0,-13.488628607382092,-4.555089822982238,-7.370837179645626,-10.653420649024318,-9.956688680807112,-7.3294396868603,-8.95984957562932,-8.1434457474953,-5.605741097864862,-4.2894460918121045,-4.497026363253933,-6.139507011626074,-7.6712183302931205,-8.339093837104048,-6.47585449894971,-7.1113495322250655,-7.344851812948193,0,16,18,14,0.8,1.6,2.2,5.8,7.8,8.0,8.0,8.8,9.0,9.0,10.2,13.6,15.8,16.0,18.4,20.2,22.8,24.0,24.2,25.8,0.8,1.6,2.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,57.06060606060606,150.89305077822877,150.8795831219592,59.0,79.18181818181819,91.15151515151516,137.0909090909091,205.1818181818182,275.7878787878788,0.0018365472910927456,0.018365472910927456,0.10835629017447199,0.22589531680440772,212.09861488498692,100.80146475156903,10736.105272852938
15.0,1.4730122517029596,0.8812549173858997,0.9072659455266854,-2.0,-7.0,-12.0,-12.909860435245543,-11.774651088113853,-11.079663437751744,-7.176420625288708,-5.758408299500949,-2.2145301721760347,0.6265882581869462,-0.22437201575664148,-0.8786429218740551,-3.4793427808409745,-2.602298014270862,-2.3224016523327236,-2.2544772792894974,-1.9831813551995991,-1.6286875267443777,-0.39775978557923397,-0.14797216144302183,46,16,17,14,0.8,3.8,6.0,7.0,7.2,10.4,11.0,11.0,12.8,15.6,17.2,18.0,18.6,20.0,21.0,21.0,21.6,22.0,22.0,22.0,0.6,1.4,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,37.88,129.03201264316291,130.64229782135638,52.04,67.56,79.28,120.04,176.8,235.84,0.0032,0.032,0.1664,0.3072,174.1880847989704,80.40880979216571,6832.937691808973
16.0,1.0161908873598653,0.8384974279068834,0.8480176757727146,-2.0,-7.0,-12.0,-17.0,-22.0,-19.883940973269056,-11.694377912206107,-7.04996374914362,-6.889587341538892,-3.6886735820697027,2.7389554949531645,1.5483351889800545,-1.3297311560394434,-2.56277904832307,-0.5440750437248909,-0.10778708019230691,-1.8512228162533262,-3.5507688166824636,-4.400838188535334,-5.579012253871423,53,25,26,23,0.2,1.0,1.0,1.6,2.0,2.4,3.8,4.0,4.6,5.0,5.2,6.0,6.8,7.0,7.0,7.0,8.4,9.0,9.8,11.0,1.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.6,6.4,7.2,8.0,8.6,9.0,9.2,11.2,12.0,12.0,85.93103448275862,153.0908374428927,157.34674243287694,61.310344827586206,78.6896551724138,104.89655172413794,141.13793103448276,210.24137931034483,274.7931034482759,0.0,0.019024970273483946,0.10225921521997622,0.21165279429250894,216.64665517001535,102.49304254939096,11117.295424183998
17.0,4.844087932228199,0.9691980592176664,1.3949489653094684,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-24.33632935429448,-10.340823385736194,-0.9692533276563466,-5.969253327656347,-10.969253327656347,-15.969253327656347,-20.969253327656347,-17.108628517024627,-22.108628517024627,-25.40976196322046,-23.61429574800379,-20.067437520731033,-19.0383051895741,47,35,37,34,0.0,1.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22.142857142857142,109.18371498331852,119.00164384182584,69.71428571428571,69.71428571428571,106.42857142857143,106.42857142857143,166.0,250.57142857142858,0.0,0.04081632653061224,0.12244897959183673,0.32653061224489793,149.98910700529026,60.74285002915549,3904.37065873219
18.0,1.635361825560515,1.0568240858648268,1.0911822101296795,-2.0,-7.0,-5.7937534823810015,-7.463692039420477,-7.731602762770862,-9.922341948101485,-9.332138169955877,-10.527889382161458,-8.28655468003414,-8.068312976187075,-5.9507216848176085,-6.0942422181764,-6.7467359681980765,-9.113024925873244,-11.603682894457053,-12.386439483833072,-12.002658990615728,-11.56686031766699,-11.861244647495989,-12.017257555913051,0,80,10,7,0.8,2.6,3.6,5.6,10.0,10.6,11.6,13.4,14.0,15.0,15.8,16.6,18.0,18.6,19.2,20.2,22.6,23.6,25.0,26.4,1.4,4.0,4.0,5.0,5.4,6.0,6.0,6.0,6.0,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,49.86486486486486,146.83559411693054,145.99695370865902,57.2972972972973,84.67567567567568,104.0,138.72972972972974,209.75675675675674,267.5945945945946,0.004382761139517896,0.017531044558071585,0.09349890430971512,0.21183345507669835,201.82802188086447,85.39698398137557,7478.297427767644
19.0,4.866075604103364,1.1715075634603163,1.7338074130773435,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-30.387392024422308,-8.367188933719296,-5.108340588686476,-2.676390214785762,-7.676390214785762,-12.676390214785762,-17.676390214785762,-22.676390214785762,-27.676390214785762,-32.67639021478576,-37.67639021478576,-29.523780463595244,0,40,42,39,0.2,1.0,1.6,2.2,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.8,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.166666666666666,98.95998457823536,99.26396683316322,73.5,73.5,73.5,103.66666666666667,136.83333333333334,218.0,0.0,0.0,0.16666666666666666,0.3333333333333333,142.46762188808393,53.05927424885562,3066.7643467938974
