cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
4.0,2.466675528355742,1.0818648341390908,1.1582719736844167,-2.0,-7.0,-12.0,-17.0,-22.0,-15.047847890335698,-1.6830114233670024,1.1485255811634574,8.730011442972266,8.952475284736423,6.702115018340325,8.826905894360447,6.97623371681413,11.908870612987286,12.943989137943262,13.361241947979423,8.698783415063417,6.115104934001709,5.332013499710413,2.6694389210262983,75,24,27,23,0.6,1.0,1.0,2.4,3.6,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.4,6.0,6.4,7.0,7.0,7.0,7.0,0.4,3.0,3.0,3.0,4.0,4.2,5.0,5.0,5.0,6.0,6.0,6.2,7.0,7.0,7.4,8.0,8.2,9.0,9.0,9.0,52.5625,157.96311286539952,155.55032900384313,44.1875,58.75,73.0,94.4375,216.6875,283.6875,0.0,0.046875,0.1875,0.2734375,208.73648070675583,106.33790958694888,11706.767126566185
5.0,6.371646186967142,0.5119876803488834,1.0084791210748112,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-27.100895713530782,7.495521432346109,2.4955214323461092,-2.5044785676538908,-7.504478567653891,-12.50447856765389,-17.50447856765389,-22.50447856765389,-11.966173434318918,-16.966173434318918,-21.966173434318918,-26.96617343431892,-31.96617343431892,41,36,38,35,0.6,1.0,1.6,2.0,2.0,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.4,104.91946494385436,107.14006951630077,67.6,67.6,67.6,141.8,166.8,187.0,0.0,0.08,0.16,0.24000000000000005,140.2700359810082,46.476567611678476,2226.4681189265443
14.0,2.658974755159451,0.9475485998479051,1.0531315582366456,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-20.31215823883681,-18.281614860617516,-9.824383731367199,-10.337143854988692,-5.45342174297874,-4.65802250155059,-9.058349132086414,-5.488759655718408,-8.730091841007251,-9.756335779243756,-13.05155888984314,0,43,44,41,0.6,1.0,1.0,1.0,1.0,1.4,3.0,3.8,4.0,4.4,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,0.2,1.0,1.0,1.8,2.8,3.4,4.0,4.0,4.0,4.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,35.81818181818182,113.83520798142519,115.36874497832424,55.54545454545455,77.36363636363636,77.36363636363636,99.81818181818181,166.1818181818182,233.0909090909091,0.0,0.0,0.18181818181818182,0.3140495867768595,161.1362382721475,69.41084720360945,5025.082412233757
15.0,1.9444579751568334,0.8172695830388303,0.8490359782086119,-2.0,-7.0,-12.0,-17.0,-14.949101315420785,-9.372753288551955,-14.372753288551957,-14.991886495444962,-13.24907754724932,-6.986604197571623,-7.012757577420165,-1.4010920960403168,-4.753097327499214,-1.6692068542810348,0.114144070928387,0.6430001852071143,-0.8388242777845847,-4.20944187695076,-2.379849645095453,-2.7370212388282424,75,20,22,19,0.0,0.0,0.4,1.0,1.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,0.4,1.0,1.2,2.0,2.4,3.0,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,87.26315789473684,157.5379716876574,156.51679624105645,66.57894736842105,84.57894736842105,101.05263157894737,138.8421052631579,214.10526315789474,284.4736842105263,0.0,0.0110803324099723,0.10526315789473684,0.2160664819944598,228.18033536588317,111.75238444027252,13084.157218605387
16.0,3.3966798395736544,0.9505823186008759,1.087771205133162,-2.0,-7.0,-12.0,-17.0,-22.0,-4.347165645478221,-9.34716564547822,-14.347165645478219,-19.34716564547822,-6.6726906966513635,-4.090369126878535,-1.5611407901747285,-0.3658858152970851,-2.4905872214959572,-7.490587221495957,-9.611563094434569,-7.8667286518495185,-9.55481587928146,-9.114827644001886,-12.182549425054916,63,22,24,21,0.0,1.0,2.0,2.0,2.0,2.8,3.0,3.0,4.0,4.4,5.0,5.0,5.0,5.8,7.0,8.0,8.0,8.0,8.0,8.0,0.0,0.6,1.6,2.0,2.8,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,39.75,149.31111645623272,154.05412866430106,60.916666666666664,101.0,101.0,113.91666666666667,219.83333333333334,263.8333333333333,0.0,0.013888888888888888,0.09722222222222221,0.20833333333333334,203.58693989156794,87.85284778915066,8211.04996044646
17.0,7.796506062811122,0.8747109461597071,1.5658394323236806,-2.0,-7.0,-12.0,-17.0,-22.0,-2.1883958628395037,-3.659057318317828,-7.3236796687479195,-3.7786898208302135,1.7343105736795963,3.3580191395108274,4.023012310758162,7.962836468117996,5.808635628875853,8.879528608178536,12.515593991420292,9.75679119744916,9.387097665237377,11.693075337198263,15.125241952022401,78,22,25,21,0.2,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.8,4.2,5.0,5.0,6.0,6.8,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.2,1.0,1.8,3.4,4.0,4.2,5.0,5.0,5.6,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,41.625,172.9042894734442,180.92732963480003,52.5625,80.875,91.25,113.3125,200.75,282.75,0.0,0.0234375,0.15625,0.265625,211.27924176056578,108.13364128466537,12437.14085845289
18.0,3.5995601912401263,1.0166649618251407,1.161018064914209,-2.0,-7.0,-12.0,-17.0,-8.022795776089819,-3.704659626816362,-8.704659626816362,-13.704659626816362,-8.830910597206028,-8.265408148307241,-1.8998399318120889,-6.899839931812089,-7.297215061787261,-5.237018804538053,-10.237018804538053,-15.237018804538053,-20.237018804538053,-16.746657509956982,-20.94810354779858,-24.045890456812526,24,83,21,18,0.6,1.0,1.0,1.8,2.0,3.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.4,1.0,1.0,1.8,2.0,2.0,2.0,2.4,3.0,4.0,4.8,5.0,5.0,5.0,5.2,6.6,7.0,7.0,7.0,7.0,52.714285714285715,175.74026507506343,187.54803329154385,77.5,115.57142857142857,141.07142857142858,162.28571428571428,229.92857142857142,288.85714285714283,0.0,0.01020408163265306,0.061224489795918366,0.17346938775510204,235.7715936761853,96.07789079711836,9465.274473336367
19.0,0.5900483342668291,0.8723329104010002,0.8770367655806849,-2.0,-7.0,-12.0,-17.0,-22.0,-17.91324961294139,-10.643002267814389,-13.238055213495613,-8.441206379166518,-9.361447517813524,-12.299577350302823,-9.088443843545313,-6.41430908533529,-6.784707934719324,-6.952902204738305,-1.5737635360242137,2.4169372264936158,0.24437793910214226,-2.562910576789494,-2.058148751775133,82,24,27,23,0.0,0.0,0.4,1.0,1.0,1.0,1.0,2.2,4.6,5.8,6.4,8.4,9.0,9.4,11.2,12.0,12.0,13.0,13.0,13.0,0.8,2.8,3.0,3.2,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,55.526315789473685,114.92640378379816,115.91435844380297,47.578947368421055,61.63157894736842,73.6842105263158,98.36842105263158,168.05263157894737,227.21052631578948,0.0,0.027700831024930747,0.16620498614958448,0.32132963988919666,160.24254194717165,68.36843979790831,4848.749815927752
20.0,1.18062873334289,1.1292307888391164,1.1493172676489112,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-21.772449104231907,-11.431122760579765,-14.046711570341774,-10.961631834031976,-15.961631834031976,-15.757073259399146,-15.586198432458076,-13.871759463775737,-7.547581538290276,-9.616105642354185,-9.110742163935393,-7.416175036554546,-8.98629292436608,-10.450725905882024,0,30,32,29,0.0,0.0,0.0,1.0,1.0,1.6,2.0,2.0,2.0,2.8,3.0,4.6,5.8,6.8,7.0,7.6,8.0,8.8,9.0,9.0,0.6,2.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,45.285714285714285,139.46391186375234,139.07434123630597,51.5,74.85714285714286,96.28571428571429,125.78571428571429,199.57142857142858,271.5,0.0,0.02040816326530612,0.13265306122448978,0.2755102040816327,191.954998070635,87.46060215392745,7968.55491465545
21.0,1.5415714106621703,0.93553887543762,0.9643910734594535,-2.0,-7.0,-12.0,-17.0,-22.0,-11.471524526441337,-5.500797764654503,-1.5012622036842842,1.3296649532032574,-1.5697619080769272,-5.365871407619503,-6.927049937728374,-4.871117417786037,-4.6623391690774865,-5.428544356274131,-3.0981302371701873,-3.964134846534924,-5.329870918575727,-5.404430919719905,-7.358565929820986,43,23,24,21,0.0,2.4,3.4,4.2,6.6,8.2,9.0,9.6,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.4,13.2,14.0,14.0,0.0,0.4,1.6,2.0,2.0,2.4,3.0,3.8,4.6,5.6,6.0,6.0,6.4,7.8,8.0,8.0,8.0,8.0,8.0,8.0,46.083333333333336,138.56043129228235,136.82750085133162,64.33333333333333,81.33333333333333,100.79166666666667,122.16666666666667,195.66666666666666,250.16666666666666,0.0,0.03125,0.12847222222222224,0.22916666666666666,189.76141472323152,79.8913200530326,6530.98026640762
