cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,0.8075540250536466,1.2053626559512511,1.21142751122378,-2.0,-7.0,-12.0,-17.0,-18.737576806876667,-17.215771823323,-14.97883503278475,-12.967573422208847,-11.03418836333276,-11.996680574141745,-8.435636422714927,-9.16452001142503,-9.238724261116856,-9.465448821484898,-9.520415266610508,-9.337071085828137,-8.032303126419416,-7.740581125044278,-7.563997575936218,-6.51627734729328,0,21,22,26,0.8,2.0,5.8,8.2,10.0,12.2,13.2,14.6,16.6,19.0,20.0,22.6,24.0,27.0,28.0,29.0,30.6,32.2,34.0,36.2,2.8,6.6,7.0,8.6,9.6,11.8,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,67.29508196721312,224.73184262800999,224.56848925991235,84.06557377049181,114.59016393442623,139.31147540983608,183.7377049180328,277.95081967213116,299.8524590163934,0.0,0.009674818597151304,0.05589895189465197,0.13061005106154258,303.99386895189537,147.03470658246889,22902.824744766946
4.0,1.3557864575268985,1.045765406515361,1.0646378118731075,-2.0,-7.0,-10.573822998835114,-9.869114994175568,-11.043640192564599,-5.526873658303149,-2.769206057560042,-1.950701187673826,-0.2217992658544091,2.669891584616093,0.9437672162076212,-0.04947425382568014,-1.1769483823401614,-2.0853833942819664,-1.8929487147710886,-4.445292992477098,-4.838825690670239,-4.746282219115486,-5.353677799031852,-5.545634402275837,48,12,24,10,1.4,3.0,4.6,7.6,9.6,13.2,14.0,15.0,15.2,16.0,16.2,19.0,20.0,20.0,20.2,22.6,24.4,26.4,28.4,31.0,0.4,2.6,4.6,5.8,8.0,9.0,9.8,11.6,12.2,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,71.0576923076923,182.71822831710963,183.9215047486712,63.21153846153846,100.40384615384616,120.46153846153847,156.23076923076923,245.6346153846154,291.75,0.0007396449704142013,0.019970414201183433,0.07322485207100592,0.15384615384615385,246.40373296668147,111.48160064862243,12982.052972596972
5.0,1.7751350100140941,0.9080261382371356,0.9549415459009184,-2.0,-7.0,-12.0,-9.061515588055158,-12.076894485068946,-7.535140964921157,-8.335897906748155,-11.253702803413587,-8.925034940573664,-6.698473414330072,-8.040041178391062,-8.679899558721676,-11.102279679697276,-11.160529395361152,-10.932358439274637,-13.028866613756293,-13.242275119133893,-14.223886693969323,-10.935399433888406,-11.459423049097785,0,88,25,12,0.0,0.8,1.0,2.4,3.0,4.4,5.4,6.0,6.0,6.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.8,3.0,4.2,6.4,8.8,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.36842105263158,103.59919236188695,110.03582143813769,40.8421052631579,58.421052631578945,73.0,95.21052631578948,143.26315789473685,190.57894736842104,0.00554016620498615,0.038781163434903045,0.20498614958448752,0.42105263157894735,143.24094078084624,65.64926249974928,4405.716070221096
7.0,3.1994359778913437,1.040082797085372,1.1719393026045533,-2.0,-7.0,-12.0,-17.0,-14.693231045475713,-8.99988756606021,-6.653010532381356,-5.0045626862262145,-3.451276651581652,-3.3584079131568445,-1.872144053922176,-3.57903438313775,-2.8428385529907643,-0.7639676717951744,-1.697197260217709,-1.265651848414393,-0.5038150397956173,-2.001159365362838,-4.752625527556438,-5.617243898066005,80,20,21,18,1.4,4.0,4.2,5.0,6.8,8.8,11.2,12.0,12.0,13.2,15.0,16.6,17.4,18.0,18.4,19.0,19.0,19.0,19.0,19.0,0.2,2.2,3.0,3.2,4.2,5.0,5.2,6.6,7.2,8.4,9.0,9.4,10.4,11.6,12.0,13.0,13.0,13.2,14.4,15.4,52.205128205128204,149.1442678947255,156.97013784337113,51.51282051282051,68.74358974358974,84.82051282051282,121.46153846153847,203.30769230769232,268.2564102564103,0.0,0.03155818540433925,0.1393819855358317,0.26429980276134124,197.88011923159274,92.42601080289654,8892.0302695007
13.0,1.8772845059053678,1.2404120852718714,1.3061210892259771,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-15.343819794253122,-2.7895316814888957,2.3308799492701313,-0.8304972011756263,-2.125931862447973,1.0025904083523414,-3.4202065501879275,-8.420206550187928,-10.719198633620861,-12.807996536236505,-14.580290535947402,-18.53901668876098,-14.801954696940607,-16.982375074785217,42,29,32,28,0.0,0.0,2.4,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.2,2.8,4.8,5.0,5.6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,27.923076923076923,120.78656941230484,129.8097051193905,47.15384615384615,83.92307692307692,83.92307692307692,125.38461538461539,172.3846153846154,237.07692307692307,0.0,0.03550295857988166,0.14201183431952663,0.2485207100591716,169.16162035128895,70.70655949272692,5129.695347958636
14.0,3.4074641374785957,1.0027619420538447,1.1857059042511255,-2.0,-7.0,-12.0,-17.0,-3.9978386593828867,-1.2929994166771217,-2.9212503314680953,-6.226999710183495,-9.024753814582896,-4.13656444593329,-3.0515954252254347,-6.949892172633047,-8.129967309560563,-9.307029674377175,-5.603824487183402,-6.281189187495931,-7.327768663320564,-9.081860202536873,-11.66743868021388,-13.914062722802743,26,18,19,16,0.6,4.0,5.0,5.0,6.8,8.0,8.0,8.8,9.2,10.0,10.0,10.0,10.0,10.2,11.6,12.0,12.0,12.0,13.0,13.0,0.4,1.0,1.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,35.9375,118.84878633255703,121.58659534283112,39.0,67.1875,76.625,88.5,161.625,224.5625,0.0,0.0390625,0.1953125,0.328125,158.78982093615025,73.51936848464773,5678.501660897045
15.0,1.0729269544726117,1.1542681375571107,1.1743118375314971,-2.0,-7.0,-12.0,-17.0,-22.0,-16.92058152669649,-15.712888551558143,-15.659655404717824,-11.38495682141426,-12.415844908616759,-6.532311515703154,-5.878735214083932,-6.871423193729733,-11.119187004886824,-14.40034668135755,-12.599462293909058,-13.312322722032974,-16.128051871761816,-15.914813745787821,-16.088111780968042,0,24,25,22,0.0,2.4,4.4,7.8,9.2,10.2,11.0,11.4,12.0,12.0,12.6,13.0,14.6,16.0,16.0,16.0,16.0,16.2,17.0,17.0,0.0,0.6,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,33.2,115.31861115831607,115.73046915553773,43.2,54.5,71.5,96.95,157.1,224.75,0.0,0.030000000000000006,0.16499999999999998,0.325,160.9975914223789,71.14991689309298,5398.520825352667
16.0,1.9523454383302976,0.8981799525353991,0.9475416174062771,-2.0,-7.0,-12.0,-17.0,-19.86899803507377,-12.534396026533615,-8.926736318996976,-7.919573445835127,-8.220337148349428,-7.286948117154891,-7.100634797645647,-4.860611264584405,-3.463550504124721,-4.230606755081332,-5.383986676416592,-7.352308054863348,-8.403284953309802,-10.227866220841065,-9.083178260122343,-9.978338096897483,0,22,23,26,0.0,3.0,4.0,4.6,7.6,8.6,9.6,11.6,12.4,13.2,14.6,15.8,16.0,17.2,20.0,20.0,20.0,21.0,21.0,21.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.54545454545455,116.68709896234462,119.14467050613048,52.45454545454545,67.0,77.54545454545455,98.22727272727273,152.5909090909091,229.95454545454547,0.0,0.0371900826446281,0.19008264462809918,0.36776859504132237,162.1739656808743,80.40541166379259,6762.639050215843
17.0,0.31702139685105374,0.840930281693499,0.8418048182468821,-2.0,-7.0,-12.0,-15.614063049223972,-11.318941073193262,-13.511991178960619,-14.48933169667285,-13.146631708080946,-12.49926893799211,-9.448385401265355,-5.593526107474429,-5.899959045340313,-4.723219778652897,-3.10528162996045,-4.0199998178892455,-4.722284879026245,-3.3260973875562967,-2.229146765602826,-1.8721137891711521,-1.6998467357739373,0,17,18,15,1.4,4.4,6.6,10.0,12.4,14.0,15.0,17.4,18.0,19.4,21.0,22.0,23.0,24.8,27.0,27.2,28.0,28.6,29.2,31.0,0.4,2.2,3.0,3.2,5.8,6.0,7.6,8.0,8.0,9.0,9.0,9.0,9.0,9.6,11.2,12.6,14.0,14.0,14.0,14.0,80.59615384615384,168.18741553027792,179.76372167294815,66.01923076923077,92.90384615384616,108.46153846153847,143.46153846153845,226.92307692307693,280.1923076923077,0.0014792899408284025,0.010355029585798817,0.08357988165680474,0.18639053254437868,230.00933408318667,104.69941181350012,11401.56513393686
18.0,0.9938381740396299,1.1948497710353732,1.2074739931846745,-2.0,-7.0,-12.0,-14.0258923942072,-10.796892644497479,-5.044330588712085,-3.8252161722165603,-4.478093615584905,-1.404842435845295,-1.7580756948779155,-1.9152611701445508,-2.529973826760127,-4.263971354250247,-5.045996965456379,-6.828243346816282,-7.645051479548082,-7.408515460973805,-8.401184057115405,-9.353907145330405,-11.984034847553284,0,16,26,14,1.0,3.8,4.4,6.0,6.0,8.6,9.8,12.0,12.0,12.0,12.0,12.6,16.2,17.8,18.8,19.0,19.0,20.8,22.8,23.0,1.4,7.0,9.8,10.0,11.6,12.0,14.0,14.0,14.0,15.8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,51.76190476190476,167.67244194196925,167.91913495728082,67.14285714285714,90.11904761904762,109.52380952380952,143.23809523809524,231.6904761904762,288.0,0.0022675736961451248,0.02494331065759637,0.09070294784580499,0.18820861678004533,227.0373147525411,102.72094565856005,11008.9551434544
