cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,1.60102122076019,0.9464672586642483,0.9758502393305614,-2.0,-7.0,-12.0,-17.0,-17.443891777088147,-15.097748464418117,-14.104704063557786,-10.588547865149668,-8.725421800916347,-6.656678452893847,-6.994923623769678,-6.720419016783408,-5.739721973173127,-7.081112203270737,-8.22191162763753,-7.3551951172463275,-3.989141525280232,-5.898900943990796,-5.637774766241958,-7.341848532848081,0,21,22,25,1.8,3.4,5.2,7.2,9.0,9.8,12.4,13.0,15.0,16.2,17.6,18.6,21.0,22.8,23.6,24.0,24.0,25.0,25.2,26.0,1.6,2.4,3.6,4.6,5.0,5.0,5.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,50.588235294117645,143.14536759643832,143.77731845545156,52.029411764705884,74.0,91.8529411764706,120.61764705882354,192.64705882352942,262.6764705882353,0.0,0.022491349480968856,0.12975778546712805,0.2577854671280277,194.97240505173195,92.75996649368518,9063.991258241384
5.0,1.7120004413878103,0.6306389644216911,0.6660899442710055,-2.0,-7.0,-12.0,-10.050631964919424,-4.62657991229856,-9.62657991229856,-6.325889691106635,-3.184198601050368,-7.25315982459712,-0.9846267181656586,-4.611251236876036,-6.011306253059314,-4.207139577141598,-4.052028267311951,-6.219265273828816,-5.820515919173661,-5.30792330779347,-7.802054182065436,-1.5764028456490764,-3.0699224068282005,47,15,17,14,2.0,3.8,5.0,5.2,6.0,6.4,7.0,8.2,9.0,9.0,9.0,9.0,9.8,10.0,10.8,11.2,12.0,12.0,12.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.71428571428571,95.15720848268045,102.08222896193857,41.07142857142857,65.5,89.85714285714286,102.07142857142857,135.57142857142858,187.0,0.01020408163265306,0.04081632653061224,0.17346938775510204,0.42857142857142855,136.16997041874194,53.616027520821795,3010.6524233379055
6.0,0.7953460145302332,0.9669525420147708,0.9741597048422155,-2.0,-7.0,-12.0,-15.377680480360635,-10.76569740778515,-10.148916180863173,-7.568882724731347,-7.849937848090913,-8.015280409844792,-5.6575678417736555,-4.890941872483933,-3.6398298398510702,-2.8128192219464196,-2.7441938077107606,-2.847621825354511,-3.702334375646333,-3.56855255713599,-4.644594158357907,-6.9218463508469625,-8.21431704955764,0,17,19,15,0.8,3.4,6.8,8.4,10.0,13.4,15.8,17.6,19.0,21.6,24.8,26.4,29.6,33.0,34.4,35.0,36.4,37.0,37.6,38.4,0.0,2.6,3.6,4.0,4.0,4.0,4.6,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,63.22222222222222,149.07814797921523,148.58629588200316,55.7037037037037,81.68518518518519,108.46296296296296,140.92592592592592,207.44444444444446,270.0,0.0013717421124828531,0.019204389574759943,0.10768175582990398,0.2064471879286694,205.62245239843404,88.28360121175838,8017.598625511684
7.0,0.9272476033073451,0.8496711901601419,0.8595388572823028,-2.0,-7.0,-12.0,-12.443158532117252,-13.776095707668372,-10.452997773263055,-7.552846167986426,-7.921236309262634,-8.189948298655482,-7.1359878360039275,-4.910449537389868,-5.957175088493328,-5.421868122986261,-6.234861844271262,-7.864026522577909,-8.997212401811305,-6.241724302636141,-3.8275026886830403,-1.73219032393435,-1.6411787031252487,0,15,16,13,1.4,4.0,4.0,4.0,4.6,8.8,9.6,11.0,12.4,14.2,16.6,17.8,20.0,20.0,20.0,20.2,21.0,21.2,22.8,24.8,0.0,0.6,1.0,2.4,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,71.43589743589743,130.95224006706678,133.69922030821746,54.46153846153846,74.66666666666667,91.17948717948718,120.8974358974359,183.4102564102564,241.82051282051282,0.0026298487836949372,0.023668639053254437,0.11308349769888232,0.2603550295857988,181.73315586627209,76.87829106831774,6085.991422771466
8.0,3.5633178794068985,1.0329393454334361,1.1890497484131939,-2.0,-7.0,-12.0,-17.0,-14.375943106848183,-7.939857767120465,-9.7818700016729,-10.044888353501552,-8.986865253163337,-10.022677576255052,-9.380226306466724,-9.46468290857852,-2.803949216811451,1.8926970463397397,-2.399342132940916,-4.632054881809006,-3.400166419044666,-2.4063165195426706,-6.468701581175461,-10.062279173624646,67,20,22,19,0.0,0.0,0.6,1.0,1.6,3.0,4.4,5.0,5.0,6.0,7.6,9.0,9.0,9.0,9.0,9.0,9.0,9.2,10.0,10.0,0.2,1.0,1.0,1.0,1.0,1.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,47.0,147.63309904892483,141.73786119779024,68.85714285714286,87.57142857142857,112.92857142857143,128.57142857142858,180.64285714285714,249.28571428571428,0.0,0.02040816326530612,0.14285714285714285,0.25510204081632654,201.9381987247188,96.64556088263404,9698.292044928266
10.0,0.7738175600228901,1.0354454415588317,1.0424476887373766,-2.0,-7.0,-12.0,-14.99333099709684,-10.141698950387196,-12.404264897741692,-13.241411936280258,-16.17977860623316,-15.474740303957976,-10.354305206800031,-7.023746488925619,-2.6282688431556367,-4.39148460579564,-6.066037765358952,-4.924367912358437,-5.4648848092437845,-7.866937817016674,-9.416823542129313,-11.212667055568208,-12.016950875992325,0,39,18,15,0.8,1.2,2.8,4.2,6.8,8.8,10.2,11.0,11.8,12.0,13.0,14.0,14.8,15.8,16.8,18.0,19.0,20.2,22.0,22.0,0.0,1.0,1.0,1.6,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,48.0,148.35489462226977,148.44732098533987,62.81481481481482,74.18518518518519,106.25925925925925,130.8148148148148,205.44444444444446,271.51851851851853,0.0027434842249657062,0.010973936899862825,0.12071330589849108,0.22770919067215362,206.85117304835498,97.00903163948063,9782.721105640945
14.0,5.478160623595016,0.5477837581701557,0.9016784891945357,-2.0,-7.0,-12.0,-17.0,-8.323275448426898,-1.935957439979898,4.255303633135999,2.433861883950071,4.50934205124327,6.521767334745609,3.066381438858694,2.5283835538941886,3.135351353156506,7.794040346350954,9.937502310758267,10.414474035058584,10.222499542926993,11.029397443188603,10.865906691932471,12.766641640812034,75,18,26,16,0.0,1.0,1.6,2.0,4.2,5.0,6.0,7.8,8.8,9.4,10.0,10.0,10.6,11.4,12.8,13.0,13.2,14.2,15.0,15.0,1.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.68421052631579,105.62924354192872,84.47228702652228,37.94736842105263,50.78947368421053,64.42105263157895,83.10526315789474,119.73684210526316,165.26315789473685,0.0,0.06648199445983378,0.28808864265927975,0.5484764542936288,124.78097542087677,60.1028510266771,3707.638573352581
15.0,3.1157638629204256,0.5703441958229282,0.7053838622468565,-2.0,-7.0,-12.0,-17.0,-13.65140411858079,0.8924562827975897,-0.0760070297796382,-2.338448158549646,-1.1660155044909644,-3.6034417056534025,-7.250103246549839,-10.220095557894496,-10.218187510707356,-9.733383463037597,-11.9769505126173,-10.398775797188751,-10.660553475276359,-11.922474011118322,-12.878866005383998,-16.36792908170087,28,21,22,19,0.0,0.6,1.0,1.6,4.8,5.4,6.0,6.6,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,33.1,79.15396872312326,82.17151255022313,38.5,38.5,63.5,79.5,111.3,148.2,0.0,0.08,0.28,0.58,109.05404501784702,43.931707998771586,2042.964673631565
17.0,0.5763910108209348,0.997919598367751,1.0024858350262407,-2.0,-7.0,-12.0,-17.0,-12.30817861068071,-11.779539110476236,-9.440973515227887,-12.192943560901673,-14.129759588531561,-15.389872359355584,-13.468807022322522,-10.584440137997131,-11.986362935051558,-14.849376242360634,-18.09922085251905,-14.43395412554143,-12.595990498557992,-12.649631214296338,-10.11417687320411,-10.7152309559071,0,19,20,23,0.0,3.0,4.0,4.6,6.0,8.4,9.0,10.0,10.0,10.0,10.0,10.0,10.4,11.0,11.0,12.8,15.4,16.0,16.0,16.0,0.8,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,45.36363636363637,125.57364281668585,126.23986726079569,64.0,84.63636363636364,99.5,116.36363636363636,177.77272727272728,238.27272727272728,0.0,0.02066115702479339,0.11983471074380164,0.2603305785123967,177.23561257339793,74.94714668814412,5860.70437350571
18.0,1.2834573413664148,0.6198585417257508,0.6338596216659906,-2.0,-7.0,-12.0,-17.0,-14.266853050531235,-6.086102571046757,-4.599163518148319,-4.438235885774062,-1.7992126928648289,-3.1042975772454797,-1.8686832984837138,-0.6273547070166515,1.9513447371334025,3.7989494745256254,2.0859446818056484,0.8814758419137008,0.7595270850246436,1.20751819651164,2.3100983448907755,-0.06606690935068968,66,20,22,18,0.8,2.2,5.0,5.0,6.4,7.8,9.0,11.4,12.8,13.4,14.0,14.0,14.4,16.0,17.6,20.0,20.6,21.2,23.0,23.2,0.8,1.4,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.75,122.546398699987,123.916883741196,59.642857142857146,71.14285714285714,92.46428571428571,109.89285714285714,171.21428571428572,218.25,0.0,0.030612244897959183,0.14540816326530612,0.29081632653061223,174.6037227394848,78.55737124418253,6293.90821522365
