cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,1.6544045344925553,0.8556928715953832,0.8741807516802801,-2.0,-7.0,-4.383314090826272,2.04171477293432,5.828386619577493,10.73670929972993,14.739539829770848,16.01331849954687,25.479721321446494,28.57139836052206,27.44531704739261,26.31872137114898,25.74538948182926,24.267269739546478,25.651874110142636,24.614692561307322,24.536105095486825,23.874898347318094,25.839678402372908,25.119298440160097,49,10,12,9,0.6,4.0,6.0,6.6,7.0,8.2,9.8,12.0,13.0,13.0,13.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.2,2.0,71.17647058823529,220.67236922547855,220.29737864563572,58.05882352941177,94.47058823529412,109.3529411764706,161.64705882352942,235.88235294117646,298.3529411764706,0.006920415224913495,0.05536332179930796,0.17993079584775085,0.26989619377162627,289.29310845840166,166.88999092144127,29855.99384165268
3.0,6.9545066021111905,0.6421469577563943,1.109877332527125,-2.0,-7.0,-12.0,-1.1399811146658259,5.993954790580552,11.416985737176399,9.792482125847076,8.555801105506813,11.529253223758262,15.509027606282853,12.099246316438641,9.014767943864573,5.873468415919897,5.692878061893109,2.165121858013026,0.25917403346884954,2.048404991098349,5.639502662060551,7.580444726890406,8.431116898424701,45,13,16,12,1.2,3.0,3.6,4.6,5.0,5.0,5.0,5.2,8.2,9.0,9.0,10.0,10.0,10.6,11.0,11.0,12.0,12.0,12.0,12.0,1.4,2.0,2.0,3.0,3.0,3.2,4.0,4.6,5.6,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,54.42857142857143,155.59140029339966,133.85633926124586,53.285714285714285,79.28571428571429,94.47619047619048,117.61904761904762,176.9047619047619,243.1904761904762,0.013605442176870748,0.05442176870748299,0.13151927437641722,0.29931972789115646,183.56489104306968,86.84091688638044,7904.3910757354015
5.0,2.8886280661213517,0.6888568813826822,0.8245823836575916,-2.0,-7.0,-12.0,-14.774830052328957,-10.874150261644793,-9.23950872813057,-7.091431416510217,-6.462434061324622,-5.425897668839191,-6.886324730628833,-2.1849852004555985,-4.121341268633256,-4.171149088803476,-4.083406118993381,1.2707907071082674,1.0492899019506126,0.42962949879406553,-2.625377774651858,-1.879828009894902,-0.7256561285130119,72,17,18,21,0.6,1.0,1.2,3.4,5.0,6.0,6.6,7.0,7.4,8.0,9.0,9.0,9.0,9.2,10.0,10.0,10.0,10.0,10.0,10.0,1.8,3.8,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26.466666666666665,80.03247023181976,81.97030648334699,39.46666666666667,51.266666666666666,65.0,76.86666666666666,110.26666666666667,156.53333333333333,0.008888888888888889,0.06222222222222222,0.3377777777777778,0.6044444444444445,108.10937394567544,45.37178198271919,2140.3081261059683
7.0,0.2741475354958399,0.8400843691809927,0.8411621277375281,-2.0,-7.0,-12.0,-17.0,-12.020280967192752,-4.950723414995218,-7.360888456379908,-9.713600237257397,-8.97715276867305,-10.262043916566501,-11.069125525861226,-10.608393741049692,-13.57202228536384,-12.414132634137692,-13.125676472000276,-13.719976212131215,-13.840111027520512,-17.13113515517655,-17.603331529187543,-17.915574468324238,0,20,21,18,0.8,2.0,3.0,3.4,5.0,6.0,6.0,6.4,7.0,7.0,7.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.6,3.2,4.0,4.0,4.0,4.6,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.285714285714285,92.76305861300628,94.17049122350645,41.0,57.214285714285715,77.71428571428571,93.57142857142857,130.35714285714286,211.71428571428572,0.0,0.061224489795918366,0.2346938775510204,0.4489795918367347,138.18128574799672,65.32003229423813,4474.4734670698845
8.0,3.5273132174284556,0.6140689289909298,0.7759317983099863,-2.0,-7.0,-12.0,-17.0,-22.0,-7.07104467062212,0.48935306729341194,6.955512013843325,7.352095917991782,3.7789694541989194,0.9192797585096244,0.5225303049538738,2.237161603100394,3.9871489676469567,2.4159556781404974,-0.413066317279484,-2.888850572486021,-3.0661246877335318,-6.287962322632609,-11.287962322632609,40,22,24,21,0.0,1.0,1.6,3.6,4.0,5.0,6.0,6.8,7.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,39.2,87.0175626327195,77.60779180067672,43.6,43.6,58.3,66.7,107.8,157.5,0.0,0.18,0.38,0.5599999999999999,115.1251442778203,60.18890909835564,3846.971968877538
9.0,4.998611244352135,0.5224143779443532,0.7851792182125338,-2.0,-7.0,-5.293346899769671,-4.140186873102235,1.4080442423016841,-0.5040803978942094,3.024572546364574,3.328061209082705,4.898666352590044,6.492143449241235,7.868217660086017,9.596771548875841,9.390855257431955,11.011326933670352,11.500422015166325,11.003582879085457,11.77471923169487,12.176152270611325,11.32545339777128,13.069968427176397,84,9,17,13,0.6,1.0,1.2,2.8,4.2,6.2,7.4,8.8,10.6,11.4,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.6,2.4,3.2,4.4,5.8,7.0,8.2,10.6,11.2,12.0,13.0,14.0,14.0,14.0,14.0,14.4,15.0,15.2,16.0,16.0,64.1,110.16598135340888,106.69865413210407,39.86666666666667,51.03333333333333,67.2,88.76666666666667,132.46666666666667,188.06666666666666,0.01111111111111111,0.060000000000000005,0.22888888888888886,0.44666666666666666,135.16667921517347,61.12743517428621,3864.614984719802
10.0,1.770533290100412,0.6246817047380596,0.6711881875547153,-2.0,-7.0,-7.933065721747985,-4.305795301371933,-2.961180685056593,-0.8135143116226274,1.5765441676504282,0.9971787690800795,-1.8697732829991451,-3.4055180031590906,-4.200362000035814,-6.224847237263964,-5.094728035008276,-0.8213731369020948,0.5360323380880715,-0.6447861277841327,1.0713958543479378,-1.0702298617113513,-3.7964708883476788,-7.407091510571561,33,11,12,9,0.0,1.8,2.0,3.0,4.6,5.2,8.6,9.6,10.0,11.0,11.0,11.0,11.6,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.8,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,36.64705882352941,77.15183836786903,77.00873826058901,29.470588235294116,43.529411764705884,52.588235294117645,69.47058823529412,108.29411764705883,152.8235294117647,0.01384083044982699,0.09688581314878893,0.34602076124567477,0.5674740484429065,105.78735810001984,46.90278340842253,2366.6249382847404
11.0,5.062489020498273,0.6724457333154029,1.1230237153489064,-2.0,-7.0,-6.727455748641011,9.362721256794945,4.362721256794945,-0.6372787432050551,-5.637278743205055,-10.637278743205055,-15.637278743205055,-9.99698628138665,10.103624684648771,6.245697175413923,2.8065648382493067,4.05003548959084,3.744811112267661,-0.0814949820631341,0.10577276342531831,2.331264666614942,-2.668735333385058,-0.2317220316381423,16,44,13,10,0.0,0.0,0.6,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.4,1.0,1.0,1.0,1.0,1.0,1.2,2.8,3.8,4.0,4.0,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,30.857142857142858,91.66361541034838,107.68485141995392,40.0,40.0,78.71428571428571,78.71428571428571,115.71428571428571,176.57142857142858,0.04081632653061224,0.04081632653061224,0.2857142857142857,0.5306122448979591,112.8823374686193,49.841707706932915,2643.4939125173682
12.0,4.558800254091488,0.45639159533476803,0.7551611196294447,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-22.91495862567377,-14.069569782668513,-9.50267855136251,-7.707095473413956,-9.002381874020877,-0.7148163028690163,0.3406322345364202,-1.6928135078052549,5.431878212147074,10.316451958757582,5.3164519587575825,0.3164519587575825,-4.6835480412424175,79,34,36,39,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6,1.0,1.0,1.0,1.6,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,29.857142857142858,71.52894857465735,75.5062486896292,51.42857142857143,51.42857142857143,69.71428571428571,69.71428571428571,94.71428571428571,158.28571428571428,0.0,0.04081632653061224,0.4489795918367347,0.6530612244897959,96.25007037536318,36.50088754794804,1395.9455283168966
16.0,3.5394674315997405,0.6961162530139906,0.9453691103335502,-2.0,-7.0,-12.0,-9.918310147553026,-1.1516606670536789,-2.8449683292922954,-3.1879868857414957,-6.3478952491457346,-7.974293079708484,-7.464464393370325,-8.399311488250893,-7.3819332602134935,-4.740353743811056,-4.092908019091828,-4.102559613375652,-4.15875506440149,-4.300070450897627,0.05546131101571063,-3.150744379524923,-7.891169131863921,86,15,17,14,1.4,2.4,3.8,7.0,8.0,8.0,8.4,9.0,9.0,9.0,9.0,9.0,10.8,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.916666666666668,69.47206807883187,67.47423225292687,29.333333333333332,49.916666666666664,49.916666666666664,61.833333333333336,91.75,128.33333333333334,0.027777777777777776,0.08333333333333333,0.40277777777777773,0.6805555555555555,93.71111810981778,40.285873537673424,1728.5547485886416
