cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
4.0,2.908515359500809,0.5933129936353762,0.6491189974395599,-2.0,-7.0,-4.161086405349006,-2.822456882738717,1.6961770642426288,4.167688241530459,3.409210636316742,5.059867211471349,7.609419891387539,8.752094292137004,10.854893134195034,11.619901846665599,12.086032234887062,12.48682370586911,11.753736474627832,12.204331977456269,12.4073195798204,13.512550472392912,13.873467130627343,13.340841613090623,89,8,10,6,1.0,2.8,5.0,5.0,6.8,9.8,13.6,15.6,17.2,20.4,24.6,26.4,28.0,31.4,33.0,33.0,34.4,35.4,37.0,38.8,2.0,4.0,4.8,6.0,6.8,8.0,8.8,9.0,10.0,10.0,10.6,11.0,11.8,12.0,12.0,12.0,13.0,13.0,13.2,15.0,110.55405405405405,164.96731187076728,160.11804926147343,65.47297297297297,92.54054054054055,114.4054054054054,146.9189189189189,216.71621621621622,272.0405405405405,0.003652300949598247,0.023009495982468958,0.09276844411979547,0.19576333089846604,222.9089321268386,100.63446273684153,10392.539341957614
7.0,1.4755954683511316,0.7254188886044572,0.7476460895041985,-2.0,-4.647217443204371,-0.2360872160218559,-2.5391764009460505,-0.9938791762813928,-3.472174432043712,-0.9019255749412132,1.8729311660877257,1.3989099456336191,2.1451103492389665,2.3724730301554415,-0.3645528715790377,0.4654362603902527,-1.5328340492208128,-3.1163775251115964,-4.604904169288639,-6.281440969788397,-5.685462784751681,-4.470673796668254,-5.602299996993031,50,7,8,5,1.6,2.0,3.2,4.4,6.6,7.0,8.4,10.0,11.4,13.0,13.0,13.0,13.6,14.0,14.2,15.0,15.2,16.0,16.8,17.0,0.4,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,61.083333333333336,128.1802283995519,127.2138696627784,56.5,71.25,84.08333333333333,112.5,183.33333333333334,229.0,0.010416666666666666,0.041666666666666664,0.125,0.2673611111111111,174.95938875583235,75.8787406497787,5898.336072014811
9.0,4.133128212207627,0.5254258651992658,0.6423206018706756,-2.0,-7.0,-10.601726151648759,1.0233084289178156,3.5894822395684605,7.194260392907475,7.841256598380612,6.317412093318508,6.686027367161094,7.6011083532707415,8.295681317187041,10.460413617902805,11.154464423383056,12.474636612524296,13.419210756081748,14.100376469445925,13.916556111013623,15.422309295110063,15.968008166636233,17.64408625926612,88,12,14,10,0.0,3.4,6.6,8.2,9.2,10.2,13.0,15.2,16.0,17.2,18.4,19.6,22.0,24.8,25.0,26.0,27.4,28.0,30.2,31.0,0.0,1.2,3.6,6.0,7.6,8.0,8.6,10.4,11.8,12.0,12.0,12.4,13.6,14.0,15.0,15.0,16.0,16.0,16.0,16.0,103.48214285714286,149.54044091517545,144.74540835334082,55.82142857142857,80.23214285714286,99.80357142857143,128.82142857142858,198.80357142857142,258.98214285714283,0.0063775510204081625,0.028698979591836732,0.11033163265306123,0.2315051020408163,199.93410988013673,88.6235891586716,8085.356731778154
12.0,6.603556679890396,0.30181683093707906,0.5955224471574246,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,2.639665958236512,14.831914507125754,23.10366713408866,21.618790425807262,17.680886545730147,19.511826414004325,16.233530006392755,11.233530006392755,9.894302796732006,18.553666571970822,16.2105126642712,19.55897725390956,19.89440936625821,19.308566478846657,45,27,30,26,0.6,1.0,1.4,2.8,3.8,4.0,6.6,7.2,8.2,9.6,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4,12.6,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,129.36531798740106,107.5461427459178,45.357142857142854,63.142857142857146,87.14285714285714,102.21428571428571,150.28571428571428,200.92857142857142,0.0,0.07142857142857142,0.16326530612244897,0.3469387755102041,147.10609390187614,58.62222135866303,3575.4474927682168
13.0,3.5336397995018314,0.3059336753740658,0.413196480025069,-2.0,-7.0,-12.0,-17.0,4.775982332926937,-0.22401766707306336,-5.224017667073063,-10.224017667073063,1.3952960388832736,-3.6047039611167264,-8.604703961116726,-7.527961410408866,-11.008775772731902,-14.61866446071696,-12.540826388721547,1.3285326178037367,3.196530808188632,9.81545844392453,8.92615759582994,14.128567102951578,87,17,19,16,0.0,0.0,0.4,1.0,1.8,2.0,2.0,2.8,4.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.2,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,38.125,77.00113924503265,76.6900277551252,51.625,51.625,81.0,81.0,107.75,145.5,0.0,0.03125,0.25,0.5625,110.09540621716502,39.08237101226045,1586.869427519255
15.0,2.036829307980549,0.7274762565352372,0.769077378904684,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-14.376462481999365,-12.51123615359263,-12.934418601321477,-17.934418601321475,-9.35134454934667,1.9083332625655118,-0.858869872718671,0.28502788170441706,-0.8385556695572802,-2.19834073212341,-1.7816722034663144,-6.781672203466314,67,37,39,36,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0.8,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,80.9090909090909,120.88992155872357,139.0860047544203,75.72727272727273,105.18181818181819,105.18181818181819,122.81818181818181,178.9090909090909,253.1818181818182,0.0,0.0,0.1322314049586777,0.24793388429752064,183.45996690186573,78.0659337181708,6255.777188120151
16.0,6.392518056236146,0.3105308521545405,0.6204077286746013,-2.0,-7.0,-0.9380041740613464,14.463254562984815,19.025388952633826,29.007401190999012,30.088839849813457,26.07202226870752,21.07202226870752,18.871384225087592,15.737625529340974,14.906772376585446,15.557400822249718,14.31058244891825,11.499540610823146,9.30760486990938,10.961348384028991,11.846216199464843,17.31786393103561,16.428912587315523,32,10,12,9,0.0,0.8,1.0,2.0,2.0,2.0,2.0,2.2,3.0,3.2,4.0,4.0,5.0,6.0,6.0,6.4,7.0,7.0,7.0,8.8,0.6,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,69.0,112.61155931089102,94.58450672098225,34.916666666666664,53.916666666666664,53.916666666666664,90.75,139.33333333333334,181.83333333333334,0.027777777777777776,0.08333333333333333,0.16666666666666666,0.40277777777777773,132.8497221213448,56.134526309459126,3359.0061617069327
17.0,4.680160925346152,0.41046244002350535,0.6056571781761847,-2.0,-7.0,-12.0,-13.596043416198365,-3.5702520982519985,1.3972245661535367,-2.5208712504849053,-7.5208712504849045,-2.3152415281850316,10.322959481887837,13.329255127713022,14.862406538045173,12.27258881868813,9.600508278800774,6.861561286473565,4.76501697304918,2.892500695230504,5.236052402723809,10.061764025055027,16.390002937209637,57,16,18,15,0.0,0.0,0.8,1.0,1.0,1.4,2.8,3.8,6.0,6.0,6.4,7.8,8.0,8.6,9.0,9.4,10.0,10.8,11.0,11.0,0.0,0.0,0.4,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,90.58823529411765,103.58775887385892,91.63010534386513,45.0,64.0,77.23529411764706,101.0,136.23529411764707,179.52941176470588,0.006920415224913495,0.020761245674740483,0.15916955017301038,0.4359861591695502,134.36133877130803,53.714030774340785,2926.9351562457723
18.0,2.8419363499264234,0.6783656378659273,0.7811742106276773,-2.0,-7.0,-8.163606413418885,-4.086601728652269,0.974358741862494,-0.559642306903482,-2.8315306668054747,-3.1690811487262502,-3.7358712988598457,-1.5085077607701265,-0.29468061231744114,2.207257107037498,3.731978798028899,4.6676130481072535,7.1049575919878665,7.309927288921742,5.979073794031024,5.0371231114894695,3.9917853190884984,3.0335341725865193,75,11,12,9,0.6,1.0,2.0,4.6,5.2,6.6,8.4,9.6,10.8,11.2,12.2,13.8,16.0,17.2,19.8,20.0,20.0,20.0,20.0,20.8,0.0,0.8,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,59.72,101.02282438238768,100.81327283328636,50.32,62.2,67.48,94.2,139.76,185.08,0.0128,0.044800000000000006,0.2368,0.41600000000000004,136.38304107268644,58.361006849448046,3482.1137816190826
20.0,9.015517297688685,0.10255955511415722,0.6825961102600294,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,6.788813416428226,27.648022360713707,22.64802236071371,17.64802236071371,12.64802236071371,7.6480223607137106,2.6480223607137106,-2.3519776392862894,9.769847903860537,39.64294179785628,34.64294179785628,29.64294179785628,24.64294179785628,19.64294179785628,77,29,31,28,0.0,0.0,0.0,0.2,1.8,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,113.66645212518966,53.02393408169932,53.75,53.75,53.75,53.75,88.25,118.5,0.0,0.125,0.375,0.625,86.2569478048711,26.80232719194163,829.6069517910173
