cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
5.0,3.3584994181339893,1.0051631398089496,1.1571404473945495,-2.0,-7.0,-8.404829795814829,0.020171536677101188,-3.5922119251950413,-3.567029608049141,-8.214326578939495,-8.71020574065319,-1.0552672518613206,1.263877769807425,1.2325851034793132,2.3075991406492875,-0.6257386573576312,-1.8132788146191914,-3.6158036102348063,-6.140078201207274,-8.786551721481706,-9.554955281487633,-11.00214072236073,-12.980229819502881,56,11,13,9,2.0,4.2,6.0,7.0,7.0,8.6,9.6,11.0,11.0,11.8,12.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.4,2.0,2.6,3.0,3.4,4.0,4.6,5.0,5.6,6.0,6.6,7.0,7.4,8.0,9.0,10.0,11.4,12.0,13.0,13.0,48.43333333333333,138.1431745580291,146.36251083583255,50.56666666666667,65.06666666666666,101.03333333333333,133.1,189.8,259.76666666666665,0.008888888888888889,0.026666666666666665,0.11555555555555556,0.22666666666666666,189.14737878518588,80.76006256733308,6769.7109930982715
6.0,4.815027301382208,1.0449154052089342,1.3380118799136949,-2.0,-1.6064005654659979,4.618606507183911,9.734173186579639,13.30697043063418,17.941567689701508,18.912709414458966,19.77840788303841,20.641557408048335,22.155863674398773,22.426398029826185,23.264681210562582,23.175782466084964,22.54260824254865,20.144497596735302,18.466828112156755,17.196961998439072,14.881951125596832,12.165967384412216,9.817534527275402,58,4,9,2,0.4,3.6,8.0,9.2,12.2,13.0,14.2,16.2,18.6,20.2,21.0,21.0,21.6,22.8,23.0,23.0,23.8,24.2,25.0,25.0,1.2,3.2,5.2,7.6,10.6,11.0,11.8,12.8,14.4,15.0,15.0,15.4,16.0,16.0,17.6,18.4,19.8,20.0,20.0,20.2,49.583333333333336,161.91780785290663,152.601425586417,40.020833333333336,53.6875,72.5625,93.54166666666667,167.66666666666666,278.6041666666667,0.030381944444444444,0.11371527777777778,0.2760416666666667,0.3680555555555556,194.82770997187166,113.32583860204561,13588.886935141863
8.0,2.7373215552425845,0.6919115102357033,0.7987244084560486,-2.0,-7.0,-12.0,-17.0,-22.0,-18.320371350706324,4.932481045262103,5.302161996867912,6.616699786870635,6.085882827425114,5.402346826334456,3.061463308754149,-1.9385366912458508,-6.083536947454922,-7.663537972291209,-12.66353797229121,-15.232012122301057,-14.303238554275154,-19.303238554275154,-24.303238554275154,34,25,27,24,0.0,0.4,1.2,3.0,3.8,4.0,4.0,4.0,5.2,6.0,6.4,7.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,92.19361910353611,90.10171217607002,34.22222222222222,34.22222222222222,69.0,93.0,131.33333333333334,175.44444444444446,0.0,0.1234567901234568,0.2222222222222222,0.4444444444444444,126.84553600901364,55.081182694532686,3208.785684676189
10.0,3.434212829133208,0.8366108292426372,0.9763196599705228,-2.0,-7.0,-12.0,-0.28223037856571975,-2.928014911488493,-2.5438286809903543,2.6473237523164372,1.3512125816023157,-0.28212662306366665,-0.9300061753404322,0.2849913881126881,-2.663884645812382,-5.326863525563769,-5.283263732625322,-4.847186071730972,-5.925097549086402,-6.968039990433036,-3.404432905858428,-4.0344911421218,-2.819150252691267,32,12,15,11,1.8,4.4,6.8,7.0,7.0,8.4,9.2,10.6,11.4,12.0,12.0,12.0,13.0,13.0,13.8,14.0,14.0,14.0,15.6,17.0,0.6,2.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,45.04761904761905,135.85679310311917,138.02797246580434,63.95238095238095,87.04761904761905,102.0,126.76190476190476,185.38095238095238,247.42857142857142,0.009070294784580499,0.036281179138321996,0.10884353741496598,0.2947845804988662,180.4530041721116,76.41628499448458,5951.804114279264
12.0,3.026811517592482,1.0074351842211824,1.1133144893519746,-2.0,-7.0,-5.842067764491029,-6.736779607485049,-8.335847543322,-6.604440789058662,-2.7027030592729346,-3.010093428851765,-1.7127172371892172,-0.05333446782058502,-0.4048183962940527,0.39028683969719113,0.7421800206641265,3.412875585975911,1.7064338829213086,-0.8703748626158415,0.5861015526913462,1.6524892576332946,1.804590652936568,0.40734532956062425,67,10,11,32,0.6,2.0,3.0,4.4,5.6,7.0,9.4,10.0,10.2,11.0,11.6,13.2,14.4,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.8,1.0,3.4,4.6,5.0,6.6,7.0,7.4,9.4,10.2,11.0,11.8,12.0,12.6,14.0,14.6,15.0,15.0,15.0,15.0,50.6,163.31801941061923,177.7093030710438,57.46666666666667,69.3,99.83333333333333,145.7,216.56666666666666,281.5,0.0022222222222222222,0.02666666666666667,0.11111111111111112,0.22,215.18178017098816,97.68127822253285,9951.792323361702
13.0,5.045473315895748,0.8265924041137418,1.1023392090562794,-2.0,-1.591119862333472,1.7551139373486588,10.958937268454353,10.56897340225461,9.906900662840421,13.278421337246055,14.622708473088394,14.740951670672322,14.722732848104124,14.416978311133168,12.1289916803127,9.865422691294361,9.885873552148436,8.95367119789113,7.185425567289568,6.730199448795238,7.2342419013855075,6.597778885287999,5.1889839667817625,39,4,13,2,0.8,3.4,9.2,10.6,11.6,13.8,16.0,17.6,18.2,19.2,20.0,21.0,21.4,24.8,25.8,26.0,26.0,26.0,26.6,27.0,2.2,5.0,5.2,6.2,7.0,7.0,7.2,8.0,9.2,10.0,10.0,10.2,11.8,12.6,13.0,13.0,13.0,13.0,13.0,13.8,48.07142857142857,156.0218834286245,158.08399879436348,51.69047619047619,70.28571428571429,94.14285714285714,121.66666666666667,180.71428571428572,253.11904761904762,0.023809523809523808,0.07482993197278912,0.1678004535147392,0.300453514739229,190.6375510127305,92.15625904885486,8784.89104738943
14.0,2.156009752558936,0.986144620263611,1.0392481029825817,-2.0,-7.0,-9.869116163518637,-1.0547381686028576,6.6222697055727,5.039265616787878,2.1128218277117754,0.8959567684993175,1.6057630400665446,3.435969377985239,3.428239142400739,3.1848130993677146,1.4609253779208473,-1.2333655613386298,1.1424592462000276,0.09719531029180928,-2.2770937467956514,-1.3890385540168153,-1.4649668807289344,-3.8977619936258776,21,12,14,10,1.2,3.0,3.6,4.8,5.0,6.0,8.2,9.0,9.6,10.2,11.0,12.2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.4,2.0,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,6.0,6.2,7.6,8.2,9.0,11.6,13.0,13.0,13.0,59.793103448275865,158.42243055642047,180.95756773439274,55.0,71.34482758620689,105.20689655172414,144.72413793103448,214.55172413793105,283.2413793103448,0.011890606420927468,0.03329369797859691,0.11652794292508918,0.22829964328180738,211.22521131697837,95.48436018732357,9489.412999480233
15.0,3.840345555406636,0.7424478156853352,0.9204624371301877,-2.0,-7.0,-8.802614953402236,5.947290176371612,15.774868738705726,15.564382057037568,15.87815104825108,16.496714442369758,14.912341368672326,12.442970773029081,14.086795934305707,16.31355243039054,15.59760629623899,13.68976984547819,13.19739730218392,12.881551936644474,10.828927175218968,8.439985560425347,7.731074980801656,6.874712874712344,39,12,13,10,1.2,2.8,4.2,6.0,7.6,10.0,10.6,11.0,11.8,12.0,12.0,13.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,0.2,1.0,1.0,2.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,48.17391304347826,122.81737827255553,117.90033601615643,50.17391304347826,64.3913043478261,74.30434782608695,97.34782608695652,154.34782608695653,224.52173913043478,0.02268431001890359,0.0945179584120983,0.22306238185255198,0.3667296786389414,154.9371804426803,73.68186604869776,5746.366599645305
16.0,4.483960930255857,0.507499707688206,0.8446030468488476,-2.0,-7.0,-0.18969301437572134,9.605822170377964,8.96575120175395,8.673319670434052,11.06065793347436,10.195088259380675,9.329678618448018,9.283167763991578,9.45757714419059,8.427109474012273,7.723752014236868,4.479112548162391,3.729117122370968,1.3024955134354457,-2.731474994363714,-4.687619146292889,-7.689200129417259,-11.009853841536005,19,9,11,7,0.2,1.0,2.0,4.4,6.8,10.0,11.4,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.357142857142858,70.92929180292117,60.45303547466345,24.928571428571427,37.07142857142857,46.857142857142854,51.07142857142857,68.28571428571429,109.0,0.11224489795918367,0.2653061224489796,0.5714285714285714,0.7142857142857143,77.57230850216304,41.874988425993216,1848.7608626714568
17.0,1.9157076693662645,1.2467237767744705,1.293372775977591,-2.0,-7.0,2.6112444071030345,-0.47425180166698055,-5.4742518016669806,-7.528017911320302,-7.512250225601662,-8.15605132463144,-6.274322492898953,-7.427331826992945,-6.781651613283505,-5.360949085591832,-4.335323604037667,-4.778303917765678,-4.112838306454833,-1.994069587662557,-5.597014840091958,-7.75367655046534,-8.251552033996692,-8.472715017684532,12,89,9,6,0.6,2.2,3.0,3.8,4.0,5.6,6.0,6.0,6.0,6.8,7.8,8.0,8.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.8,3.4,4.8,5.0,5.2,7.0,7.0,7.0,7.0,9.8,11.0,11.0,11.8,12.0,12.0,12.0,12.8,13.4,15.0,16.6,43.2962962962963,180.8793236533985,182.48011226097483,68.55555555555556,83.96296296296296,121.25925925925925,159.40740740740742,256.81481481481484,295.85185185185185,0.0054869684499314125,0.016460905349794237,0.09602194787379972,0.186556927297668,242.94935160425882,106.27570710095708,11534.898078128634
