cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,0.19029298359332422,0.9536630836518961,0.9541290572812489,-2.0,-5.514366891094956,-2.868906155930806,-0.10669441631387891,-1.458257843684364,-3.937663982404272,-3.21378830877772,-2.768468624932295,0.14331613539193028,3.525846130396377,4.512972372062234,5.69255105007055,5.617078408863475,2.997267253654994,1.5845720467510573,0.23740797359989188,-1.0756613827469181,-2.7910152661073484,-4.42234347246517,-4.455997307691888,56,7,8,5,0.0,0.0,1.4,3.2,5.4,8.0,9.0,9.6,10.6,11.0,12.0,14.0,15.4,16.6,17.8,19.0,19.8,20.0,21.0,21.2,0.4,1.0,1.0,2.4,5.6,7.4,8.0,8.0,8.2,9.4,11.0,11.6,12.0,12.0,12.2,13.8,14.0,14.0,14.0,14.0,61.083333333333336,127.89705630552473,130.5750606586263,46.138888888888886,62.861111111111114,81.66666666666667,109.16666666666667,179.22222222222223,228.16666666666666,0.009259259259259259,0.037037037037037035,0.16049382716049382,0.2916666666666667,176.11042649582467,82.6791513045886,7192.225813505339
5.0,3.7420228205484483,0.953141736064102,1.1352574792569787,-2.0,-7.0,0.9986039249805142,2.854307465614275,1.9727588613746931,-1.0082998570022887,-5.102156721606637,-4.406877134449607,1.531677605016877,1.1495029037007995,0.6163701700644765,-1.3099304238403762,0.7333748203315921,0.42092653720496004,-1.3664577828218314,-2.314076656437737,-4.485468330684282,-4.646899721640443,-2.6815155345122634,-4.105646991052376,13,9,10,13,0.6,2.0,5.0,5.0,5.4,6.8,7.0,7.0,7.0,7.4,8.0,8.0,8.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.4,3.2,5.6,6.2,8.2,9.0,9.0,9.0,9.8,10.0,10.0,10.0,10.0,10.0,11.0,12.2,13.0,13.0,13.0,13.0,39.875,139.27059911218,158.87405206665593,54.291666666666664,76.54166666666667,98.25,120.16666666666667,167.375,229.45833333333334,0.01736111111111111,0.041666666666666664,0.15625,0.3298611111111111,179.39684042589383,84.85881319079391,7491.547821898633
6.0,2.378281534575416,0.8041695020948205,0.8897403707585911,-2.0,-7.0,-12.0,-4.997238861313264,-0.7819155146806054,7.562504915387246,7.864154931648521,2.864154931648521,-0.49789881742875935,-0.8975216342060648,-1.56264635285914,-2.7007423001458064,-4.230123098187749,-1.1146127093431573,1.3623003167254382,-0.7102886805936407,-3.0431235434054145,-6.605841189737475,-8.617120261466507,-7.1826716076396675,29,13,15,12,0.2,1.2,2.8,4.0,4.0,4.0,4.0,4.8,5.2,6.0,6.0,6.0,6.8,7.0,7.8,8.0,8.0,9.8,10.8,11.0,0.0,0.0,0.0,0.2,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,54.285714285714285,88.98846470697104,89.33931091942335,38.0,65.85714285714286,77.07142857142857,89.07142857142857,129.78571428571428,179.21428571428572,0.01020408163265306,0.07142857142857142,0.24489795918367346,0.42857142857142855,131.72119377821755,60.1468345033752,3705.9086081618334
7.0,3.173508962889241,1.095129136020693,1.2619002998654483,-2.0,-7.0,-12.0,-3.283829165835732,1.7547445862220385,-3.2452554137779615,0.41763825874792815,6.584072193989056,2.8335238446003075,1.7803397070043459,3.3911817584037394,3.192744091746313,6.478167569736636,5.525340952032448,7.495211924247391,5.370173062325776,0.37017306232577596,-4.274630571496789,-7.853845106787048,-12.853845106787048,70,13,15,12,0.6,1.0,1.4,2.0,2.0,2.4,3.2,4.0,6.0,7.0,7.0,7.0,7.0,7.2,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.8,2.8,3.2,4.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,43.142857142857146,125.47621408901269,123.28847660832834,49.42857142857143,69.5,89.64285714285714,104.21428571428571,162.64285714285714,258.07142857142856,0.01020408163265306,0.07142857142857142,0.21428571428571427,0.2857142857142857,166.54755715586762,78.32889677578395,6612.623467231641
8.0,2.2374610576367133,0.7662990433092556,0.8208232623733281,-2.0,-7.0,-12.0,-10.83781503027664,-4.170674801303491,-2.300492621664907,0.8497679680484751,5.327319950252803,4.190339575527416,2.5248877642821568,3.4071835442444836,1.299459983180445,0.7173772920426288,0.23918476205749925,1.5151090376219685,0.3964666525325157,-0.5758730245400614,-2.416825036708036,-4.270142997734953,-1.2258479531754773,36,15,16,13,0.4,1.6,2.0,3.6,5.4,6.6,7.0,7.8,10.0,11.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.6,16.2,0.0,1.0,1.0,2.0,2.4,3.2,4.0,4.2,6.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,64.1923076923077,122.2308045925974,121.0669593517236,51.03846153846154,63.61538461538461,75.6923076923077,110.07692307692308,163.07692307692307,228.8846153846154,0.002958579881656805,0.05325443786982249,0.16272189349112426,0.3076923076923077,168.425782395086,80.93151167147711,6820.615585757035
11.0,3.134085394422365,0.8366099500607289,0.946938496706429,-2.0,-7.0,-12.0,-6.180064089521123,-7.406495484039309,-9.80080984076951,-7.3676121143575655,-5.182185307814214,-3.9933324111163926,-3.12346848170471,-4.278905905653214,-3.9824026980373404,-4.570288446461349,-3.78811205560594,-2.1941890329357703,1.1848700812079698,0.06117050636125896,-0.5322500024093415,-0.5703823410470733,-1.1022290631596008,79,14,15,12,0.4,2.4,4.8,7.2,9.0,9.0,10.8,11.6,12.0,12.0,12.0,13.6,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.8,1.2,3.6,4.0,4.0,4.8,6.0,6.0,6.0,6.0,6.0,6.0,6.8,7.0,7.0,7.4,8.0,8.0,8.8,9.0,38.0,135.01592664093855,134.31074615858557,57.26086956521739,65.17391304347827,76.04347826086956,94.30434782608695,180.56521739130434,256.8695652173913,0.007561436672967864,0.04158790170132325,0.1890359168241966,0.34782608695652173,177.35314393129494,91.2139320810215,8822.703100974551
14.0,3.87539041952463,0.5893134859652787,0.8022148478553165,-2.0,-7.0,-4.209508101101707,2.476229747245732,-2.523770252754268,-7.523770252754268,-12.523770252754268,-17.523770252754268,-13.932627664569058,-7.92181688203128,-10.856896712328512,-12.75951645777436,-9.67278462469777,-10.243116074873317,-12.290003708323681,-14.217219378163573,-0.4879439193942602,0.3067957688915186,-1.6318417824756466,-3.1027435298790635,15,39,12,9,0.6,1.0,1.0,1.0,1.0,2.0,2.0,3.2,4.0,4.0,4.0,4.0,4.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,0.6,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,50.3,86.82880915016372,98.24052250537727,50.5,50.5,68.0,89.5,113.4,160.7,0.02,0.02,0.22000000000000003,0.42000000000000004,116.48519056296888,43.31858485344815,1925.9419979553059
16.0,2.2664528962256973,0.8679655198403328,0.9339570895616969,-2.0,-7.0,-12.0,-1.0116902019518001,-5.016839705070453,-5.796046509400808,-4.684574561381234,-2.915377391312532,-3.948938703837925,-1.2831621377421114,0.2321381228374591,-2.2882884966425565,-5.4723667009572665,-7.716020479729787,-8.56230185198285,-10.741188805882938,-12.560638798155049,-11.382685821859727,-10.322279116333481,-12.71451193933898,17,13,14,11,0.8,1.8,3.0,3.6,4.0,4.0,4.8,5.0,5.4,6.0,6.0,6.0,7.0,7.0,7.8,8.0,8.0,8.0,8.0,8.0,0.0,1.0,1.2,2.2,3.2,5.2,7.0,8.0,8.0,8.0,8.0,8.0,8.8,10.0,10.2,11.0,11.0,11.0,11.8,12.0,51.285714285714285,119.55178566550988,122.84591093255217,66.76190476190476,79.23809523809524,94.80952380952381,119.85714285714286,171.52380952380952,227.52380952380952,0.009070294784580499,0.04081632653061224,0.13151927437641722,0.2766439909297052,167.54190064505178,71.87829656668018,5372.758687184493
20.0,0.9159114244026687,0.9206025330776001,0.9348955597100433,-2.0,-7.0,-12.0,-8.966217817804681,2.2988013956909428,0.10836535582603801,-4.891634644173962,-7.73040880841639,-9.488570054780034,-9.863458940001678,-14.863458940001678,-14.75603673107413,-15.886603796422895,-13.075778385024359,-15.37344254666607,-15.927886177280905,-16.419243223938164,-19.38493861966397,-18.10791575155629,-18.700882686782222,23,88,17,14,0.2,1.6,2.0,2.4,3.0,3.0,3.8,4.6,5.8,6.4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.2,1.0,1.0,1.8,2.0,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,34.5,93.06892627996969,95.37315518419042,43.0,43.0,76.4,99.6,139.5,201.2,0.02,0.06000000000000001,0.2,0.44000000000000006,134.90713536953766,56.227562460485935,3288.77435696991
21.0,0.993833807298,0.9186169860819465,0.9296465637013884,-2.0,-7.0,-1.979231279369182,1.9584606481354854,-0.030115632243445135,-4.277259702338178,-5.623797846089126,-5.657492964214519,-3.9149824147986108,-4.577890275727114,-9.577890275727114,-10.656014446174371,-11.89452644801875,-13.523596312903388,-10.84788868546004,-11.591745299278713,-9.266579514731339,-11.136681743556508,-10.912573589969483,-13.682205666943645,16,67,10,7,1.6,3.0,4.0,4.0,4.0,4.2,5.0,5.0,5.2,6.0,6.0,6.6,7.0,7.8,10.2,11.0,11.6,12.4,13.0,14.0,0.6,2.6,4.0,4.4,5.0,6.8,7.0,7.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,62.78260869565217,142.161956099056,145.17676658314826,69.91304347826087,91.91304347826087,105.47826086956522,133.0,205.04347826086956,267.7826086956522,0.007561436672967864,0.030245746691871456,0.09829867674858223,0.20793950850661624,199.70868176135627,84.61621803026308,7411.799319239014
