cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,0.5702401377889824,0.8407226220193629,0.8457034259458368,-2.0,-7.0,-12.0,-17.0,-16.91498038477888,-7.405532111784299,-1.6011225399022835,1.08862146063406,-0.18841817564620697,-3.6147169436458357,-3.9807754636318236,-4.973722023733901,-5.846122531406515,-8.642422424125893,-9.372916435644498,-10.619055732428905,-11.628697272296412,-10.288490016361186,-10.901542508424475,-12.16189922677648,36,20,23,19,1.0,2.0,2.0,2.0,2.8,3.8,4.0,4.0,4.2,6.8,7.0,7.0,7.2,8.0,8.6,9.0,9.0,9.0,9.0,9.0,0.6,1.2,2.0,2.0,2.0,2.2,3.6,4.4,5.6,6.0,6.2,7.0,7.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,56.470588235294116,96.15814370897205,104.78102795270661,33.0,51.76470588235294,69.11764705882354,98.88235294117646,150.23529411764707,185.23529411764707,0.0,0.07612456747404844,0.17993079584775087,0.42906574394463665,136.88915221363476,56.53108106109717,3321.5246845192423
6.0,1.0471692969332453,0.4866192454272596,0.49736221194498315,-2.0,-7.0,-12.0,-4.781680286545215,0.5113563734801996,4.057599031284628,3.088059702638432,4.456218834754921,1.9267433365190214,2.518988959483886,7.336728676297729,9.75691404909605,9.255735564996272,8.407543225660248,9.945856048456397,10.245377250498933,11.90136877167543,16.433485913283427,18.083763386100188,15.765209652929652,89,13,15,12,0.0,1.4,3.6,5.6,6.8,7.0,8.0,8.0,8.0,9.8,10.0,11.0,11.0,11.6,12.0,12.6,13.8,14.0,14.0,14.0,0.4,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.125,91.92138304380386,88.77594294980211,39.75,55.8125,72.0,85.8125,120.375,172.75,0.0078125,0.0546875,0.2265625,0.4765625,128.22581085276317,55.61028655396454,3226.0724028722734
7.0,4.186200028393579,0.7779267792817844,0.9890488000193731,-2.0,-7.0,-10.04979626770058,-3.585884068886601,-1.1443159127396072,0.28035167010983886,-0.7460091504792536,0.6648840773810079,1.0905847882497155,1.8560639802023444,1.8906775452024576,4.514926465321784,3.941402671744915,1.9241093692202782,1.0908199711918,2.9447992423198572,2.027181565762052,-1.433892176890143,-2.355522829517281,-3.18951854561883,56,12,13,10,0.8,2.0,2.0,2.6,3.8,4.6,7.2,8.0,10.8,12.2,13.0,14.0,16.0,17.0,17.4,18.6,20.0,20.0,20.0,21.0,0.6,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,3.4,4.0,4.0,55.53846153846154,123.7918170567581,114.97364532699363,49.07692307692308,60.19230769230769,77.53846153846153,106.53846153846153,157.8846153846154,210.69230769230768,0.01183431952662722,0.04733727810650888,0.19230769230769232,0.34023668639053256,162.01061902606185,76.276102327925,6101.831038018849
10.0,2.501576682560959,0.5925847854402988,0.6705995095712192,-2.0,-7.0,-12.0,-13.526328567070326,-3.192801016604173,4.016819290945312,3.5722757907065743,6.812977642415371,7.732217769227887,12.692988446422051,15.268553879172092,15.052085461619782,15.381321921883194,11.784779290024938,12.483259294276104,10.660694653860213,8.56727100015243,5.893711612676398,7.278915350356885,4.241147345259662,62,16,18,21,0.8,1.0,1.6,2.6,3.0,3.0,3.0,4.0,4.2,6.4,7.6,9.6,10.0,10.6,12.0,12.0,12.0,12.0,12.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07692307692308,87.90608551005565,89.52078862427652,35.23076923076923,50.61538461538461,50.61538461538461,70.61538461538461,136.92307692307693,188.30769230769232,0.01183431952662722,0.09467455621301776,0.3076923076923077,0.46153846153846156,122.78408769153056,58.593702888424374,3605.1153565616764
11.0,2.473883979928064,0.5218432035804285,0.6072096486521157,-2.0,-7.0,-9.57332884502244,2.7791869766638695,7.216979687898727,3.6537945641283103,8.892262888276257,12.139420309654403,11.185796335129412,11.876007721463061,13.659404879574122,14.885415936270633,13.905465077834089,12.524420894365392,13.745026461655083,12.905339566097055,10.173626967767209,6.79828893298353,5.69361148551782,4.090926209507171,74,11,14,10,0.0,0.8,1.0,1.2,2.0,2.0,2.4,3.0,4.2,5.0,6.2,7.2,9.4,10.0,10.2,11.6,12.0,13.2,14.6,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0625,66.03156868129528,64.66603858096992,30.1875,39.4375,54.25,62.1875,88.6875,130.1875,0.0390625,0.140625,0.421875,0.640625,96.78158427997148,44.72677352509001,2035.44286134713
14.0,2.7727573819672755,0.3600623691406952,0.4504573191955716,-2.0,-7.0,-12.0,-17.0,-14.793057188231035,9.03471405884482,12.990354426490796,23.12332073655955,30.073925121214387,25.073925121214387,20.073925121214387,15.073925121214387,10.073925121214387,5.073925121214387,0.07392512121438699,-4.926074878785613,-9.926074878785613,-14.926074878785613,-19.926074878785613,-16.815310132911264,41,21,23,20,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.4,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2,60.996487130822416,61.78996309289643,30.6,30.6,30.6,68.2,119.0,147.0,0.0,0.24000000000000005,0.32,0.48,90.75333159455964,47.104389471372045,2265.106331776128
16.0,0.5367631255055065,0.475383935713379,0.478873912389376,-2.0,-7.0,-12.0,-9.441004482626747,5.099295748449658,2.9857484643225263,-0.6416752007160597,-0.9133054303084307,7.859837489510738,7.3354523325897105,7.790440277881561,8.494286471087875,11.292179934164173,11.720807460844341,12.82127517180805,11.19285053393564,10.070128422706816,8.987469547076762,7.542654336329801,7.597360032155632,71,16,17,14,0.6,2.0,2.0,2.8,4.6,6.0,6.2,7.0,7.2,8.0,9.4,11.6,12.0,12.2,14.0,15.0,15.0,15.0,15.0,15.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.5625,68.2776294889126,67.67546045715928,31.3125,46.5625,59.125,68.0625,94.6875,131.25,0.0234375,0.0859375,0.40625,0.6484375,99.8766061913884,43.982174714397495,1989.4357018449023
18.0,2.91881512214925,0.7968460736973476,0.908397588015812,-2.0,-7.0,-12.0,-4.602646089515365,0.5139958583856163,-1.9595115448684701,-3.385375002390422,-6.065866051144163,-4.098672603206985,-7.8330241807521075,-5.834816071450263,-5.2615225174911915,-4.105217285766831,-2.364666554295489,-1.8844192870995016,-2.5283935191583735,-2.904178716644881,-3.785539528875509,-4.750802055400385,-8.112440489164157,20,13,16,12,1.4,3.0,3.0,3.0,3.8,6.0,6.0,6.0,6.2,7.4,8.0,8.2,9.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.8,4.4,5.8,6.0,6.2,7.0,7.0,7.0,7.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,30.555555555555557,111.71954971612104,109.5159945078305,39.888888888888886,61.22222222222222,76.44444444444444,102.55555555555556,158.16666666666666,211.94444444444446,0.012345679012345678,0.043209876543209874,0.19753086419753085,0.32098765432098764,151.79726072569093,64.02092248495252,4280.295182789854
20.0,1.325855443390194,0.6680182057349319,0.6965172163310569,-2.0,-7.0,-2.073194617201351,7.817013456996622,2.817013456996623,-2.182986543003377,-7.182986543003378,-12.182986543003377,-8.885718859009403,-8.61002911988302,-8.807969892691183,-6.559555499056735,-11.559555499056735,-14.168521716778951,-14.329001853957148,-3.817543888275509,-2.8189739336040502,2.488795850783802,5.276844054343641,0.27684405434364123,15,72,12,9,0.0,0.0,0.0,0.0,0.2,1.4,2.4,3.8,4.2,5.0,5.0,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.857142857142854,69.92719835908282,67.93249196113324,51.57142857142857,51.57142857142857,76.71428571428571,76.71428571428571,106.42857142857143,189.71428571428572,0.04081632653061224,0.04081632653061224,0.32653061224489793,0.5714285714285714,105.47394782538345,44.54021217424876,2116.2203267709597
21.0,4.026863241189671,0.23929320018611722,0.37637889937841096,-2.0,-7.0,-12.0,-17.0,-22.0,-7.1954346839765915,3.6292248383434993,6.4374577615599025,14.573952471213175,17.11114319013025,14.275322614267319,14.930295994878794,14.899744501632835,14.476192335836592,15.164109690203707,11.965672855734368,9.762163594239183,12.39625495915519,15.172518933503516,17.053225273790904,45,24,26,22,0.0,0.0,0.0,1.2,2.4,3.4,4.2,5.8,7.0,7.0,7.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.09090909090909,67.73173990359443,62.20260475878006,36.72727272727273,46.18181818181818,46.18181818181818,62.54545454545455,96.18181818181819,127.0909090909091,0.0,0.09917355371900825,0.36363636363636365,0.6942148760330579,90.44561848397908,37.27589095884041,1433.5863398229453
