cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
8.0,2.601694073327755,0.3962243495013137,0.46970177267195007,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-32.06882395438611,2.6558802280694422,-2.3441197719305578,-7.344119771930558,-12.344119771930558,-17.344119771930558,-22.344119771930558,-4.322797876661539,-9.32279787666154,-14.32279787666154,-19.32279787666154,-24.32279787666154,46,41,43,40,0.0,0.8,1.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75,67.3455049097337,68.08462599362241,69.5,69.5,69.5,69.5,104.25,165.25,0.0,0.0,0.25,0.5,112.38486870706916,40.877565070922074,1768.884971637814
9.0,2.643998339386007,0.6862618864739372,0.7665548378384073,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,4.86435901656791,-0.13564098343208997,-5.13564098343209,-10.13564098343209,-15.135640983432092,-20.13564098343209,-25.13564098343209,-30.13564098343209,-35.13564098343209,57,52,54,51,0.0,0.8,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,115.12538077403809,123.16332191275843,106.0,106.0,106.0,106.0,184.0,237.5,0.0,0.0,0.125,0.125,175.26514306078303,54.44559753497341,3631.204391606539
10.0,12.233751069998226,0.05038744232345942,1.1592242234590846,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-31.307569494528593,39.7310762636785,34.7310762636785,29.731076263678506,85,80,82,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,133.64608061891914,115.62156823969353,84.0,84.0,84.0,84.0,84.0,300.0,0.0,0.0,0.0,0.5,83.72574275573791,0.0,0.0
11.0,1.8105185173864726,0.8519968364603157,0.9033210418703609,-2.0,-7.0,-12.0,-17.0,-22.0,-18.943910088270083,8.280449558649579,3.280449558649579,-1.719550441350421,-6.719550441350421,-11.719550441350421,-16.71955044135042,-21.71955044135042,-26.719550441350417,-31.719550441350417,-36.71955044135042,-41.71955044135042,-46.71955044135042,-51.71955044135042,-56.71955044135042,31,89,28,25,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,47.6,94.68767968290582,100.14649646998734,81.8,81.8,81.8,142.2,177.0,202.6,0.0,0.08,0.08,0.32,150.54951553602166,45.973591039536394,2598.182491496743
13.0,1.4637398511813793,0.7813613946141575,0.815904539695278,-2.0,-7.0,-12.0,-7.635132684263061,1.4121682893423504,-3.5878317106576496,-2.7692491326535063,-3.890194080650744,-8.890194080650744,-7.086859834734938,-10.386026273255986,-9.577041719586843,-13.12479558116956,-18.124795581169558,-18.607832266016697,-20.596523389248127,-23.856470910946644,-19.09790933760422,-17.10272139691581,-15.912297076563917,20,82,17,14,0.6,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.2,4.8,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,0.4,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,39.875,83.82749642820723,83.48634708672331,49.25,49.25,78.875,78.875,128.875,157.5,0.03125,0.0625,0.15625,0.46875,125.13269656769201,50.680753398325535,2626.8952493142115
14.0,2.1345396485288233,0.8527206726154904,0.9082775461448934,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-56.20553715332572,1.972314233371364,-3.027685766628636,-8.027685766628636,-13.027685766628636,-18.027685766628636,76,71,73,70,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,28.0,122.6708550454379,134.49956943151042,124.0,124.0,124.0,124.0,271.3333333333333,300.0,0.0,0.0,0.2222222222222222,0.2222222222222222,197.3018266491614,73.52343147853013,6307.991900678193
15.0,1.223476135594155,0.7050995654742268,0.7275675761378756,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,13.273536462400978,16.04514769544504,11.045147695445038,6.0451476954450385,1.0451476954450385,-3.9548523045549615,-8.954852304554962,-13.954852304554962,-15.39551454774884,-18.022622709878092,-23.022622709878092,-25.13506843464965,42,38,40,36,0.0,0.8,1.8,2.2,3.0,3.0,3.6,4.2,5.0,6.2,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,87.54335418365166,88.40119775979088,41.625,41.625,72.875,72.875,138.125,165.75,0.0,0.0,0.1875,0.28125,124.95474678709998,48.612638035604476,2423.6228709604393
16.0,10.754477059307803,0.2991087862001287,1.2876404273486974,-2.0,-7.0,-12.0,-17.0,3.823630124791484,42.7132904884527,40.611901642035775,35.611901642035775,30.611901642035775,25.611901642035775,20.611901642035775,15.611901642035775,10.611901642035775,5.611901642035775,0.6119016420357752,-4.388098357964225,-9.388098357964225,1.44479782273622,-3.55520217726378,7.164412073445533,27,19,21,18,0.6,1.0,1.0,1.0,1.4,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,2.0,2.0,2.0,2.0,2.0,24.5,147.02399523401695,94.56339482365861,68.33333333333333,68.33333333333333,68.33333333333333,87.83333333333333,126.0,188.16666666666666,0.0,0.16666666666666666,0.16666666666666666,0.4444444444444444,132.25247080689888,58.779293866532306,4116.523505082306
17.0,11.879882834558472,0.2223552718395024,1.1244986664051526,-2.0,-7.0,-12.0,-17.0,-22.0,6.48302381700622,19.62859804374954,21.01156224697158,21.393224349070636,29.16108873187729,30.028531658959224,25.028531658959224,20.028531658959224,17.65674177001597,16.599056936601087,11.599056936601087,6.599056936601087,3.835916631603996,7.783355411615631,6.588252416186012,49,22,24,21,0.2,1.0,1.0,1.4,2.0,3.0,3.0,3.2,4.0,4.0,4.0,5.2,6.0,6.0,6.0,6.0,6.2,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.9,177.7538732997137,120.81014348426595,61.6,61.6,87.3,98.9,141.4,219.3,0.0,0.06000000000000001,0.13999999999999999,0.27999999999999997,148.53272121041493,61.49829739823557,3859.758446055127
18.0,7.714017512901868,0.6069519336092439,1.355896555646269,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-57.56993790258453,-4.849689512922637,-9.849689512922637,-14.849689512922637,-19.849689512922637,-24.849689512922637,76,71,73,70,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,36.75,121.76204231243624,117.13038627613872,110.5,110.5,110.5,110.5,163.0,229.5,0.0,0.0,0.125,0.125,167.13504115752647,49.354259118466075,3222.4535227004417
