cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,4.622519045564143,0.7431353668053733,0.9274754977587047,-2.0,-7.0,-12.0,-17.0,-22.0,-17.28093486423224,-12.265262356596574,-4.227519645439022,-8.320524486516128,-9.259231151812884,-8.390649003558146,-5.734043893124472,-0.4062475371264199,1.4138724297237986,-0.49539813525569515,1.8667687728500426,2.439552320050319,3.426084100194734,2.0413560743020382,-0.7470727214510987,85,24,32,28,1.0,3.0,3.8,4.6,5.8,6.6,8.2,10.2,11.0,11.6,13.0,14.4,15.4,16.8,17.6,20.0,20.2,21.4,22.0,22.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.208333333333336,158.03983542637394,154.3171835069161,62.0,76.79166666666667,91.54166666666667,115.16666666666667,209.75,270.4583333333333,0.0,0.024305555555555552,0.13194444444444445,0.2604166666666667,210.72707454648216,105.65225640579062,11818.196956125134
4.0,5.031087828524714,0.7569787249054193,1.0938719792569291,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-21.725207339949936,-2.8011014091463076,-5.673122173964174,-0.5675501547883783,1.5553570930531038,4.100973712302968,-0.8990262876970334,-0.5947000595513003,-5.5947000595513,-5.404078148864775,-0.4482299088469063,2.3042847570044245,1.3523269661236867,-2.6356624815964977,56,30,32,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.0,2.0,2.4,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.8,1.8,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,34.111111111111114,123.24322618034984,120.03840314759373,79.44444444444444,79.44444444444444,94.88888888888889,110.33333333333333,146.0,209.55555555555554,0.0,0.04938271604938271,0.1728395061728395,0.3950617283950617,155.7372719323128,63.396144523105576,4247.732131349475
5.0,0.8799310541904111,0.6867251271740753,0.6972296816798541,-2.0,-7.0,-12.0,-17.0,18.75726674947543,19.379935555089816,14.379935555089816,9.379935555089816,10.119936355383725,6.554936555457203,1.5549365554572034,-3.4450634445427966,-1.8615424290691749,-6.861542429069175,-8.831108496528646,-5.0094601347514125,-3.595463940301755,-8.595463940301755,-9.540532073415743,-7.598877837469425,22,18,20,16,0.8,1.0,1.0,1.8,2.0,2.0,2.0,2.6,3.0,3.0,3.4,4.4,6.4,7.0,7.0,7.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25,84.89199003260993,82.17709015982773,39.75,39.75,66.5,66.5,120.625,187.375,0.0,0.09375,0.25,0.46875,127.08014849610868,61.71666165924074,3926.2694426897833
6.0,6.429904618846485,0.31527724233446214,0.6375414966133862,-2.0,-7.0,0.8457149345556836,9.604346721357896,9.38769910723696,5.583537203706726,0.5835372037067259,8.277097308888685,8.644450395440613,9.502701593829444,10.993644217785834,8.77017968507566,8.859809481696654,8.280051253312411,7.534613426235083,7.35144875263407,7.886300807158179,8.165592747509939,10.176207014263673,10.495363237434315,52,9,11,8,0.2,1.8,2.0,2.0,2.8,4.0,4.8,5.6,6.8,8.0,8.6,9.4,10.0,10.0,10.0,10.0,10.0,10.8,12.0,12.0,0.8,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,104.35714285714286,113.73969664629965,90.75877539322973,33.142857142857146,57.0,77.71428571428571,95.57142857142857,136.92857142857142,190.0,0.02040816326530612,0.061224489795918366,0.20408163265306123,0.40816326530612246,129.4461821637041,53.2422056580163,2980.403900900765
7.0,1.309163616307018,0.8688212654601498,0.8932549461316589,-2.0,-7.0,-0.041537173368422484,-2.051921466710528,-0.8602246068039072,0.9418037601121227,0.5544122587359496,2.1918580189663857,-0.271017753328303,-4.0818441369982805,-4.240114705359344,-6.0903968865551885,-7.166281038147778,-9.180571560765802,-10.088434444729387,-15.088434444729387,-15.934035286507669,-13.906610482355006,-14.367914592985894,-13.645101617793273,36,79,10,7,0.0,1.4,2.0,2.4,5.4,7.0,7.4,9.4,10.0,10.0,10.0,10.0,10.0,10.2,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,1.2,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,41.46666666666667,108.33363554004177,107.95439255235574,40.666666666666664,54.06666666666667,85.53333333333333,107.6,156.8,214.66666666666666,0.008888888888888889,0.05333333333333334,0.14222222222222222,0.3022222222222222,152.31949205679894,62.82470997255596,4142.209482399484
8.0,2.115942696248826,0.7759143953528626,0.8379991952448059,-2.0,-7.0,-9.332408708893292,0.7577664221125555,-2.289421218969075,-1.7498663948570112,-1.203705343113917,0.9383155951509281,-0.4423263694887112,-1.3135406957635738,5.3075936960318115,4.422385557120047,0.7392370507282763,0.20358015708860933,0.5359781396028325,-0.5821987020763828,-4.3534383144351665,-5.584463056450664,-6.448148788207672,-7.388221351410243,52,11,13,10,0.0,1.0,1.0,1.2,2.8,4.0,4.0,5.0,5.0,6.0,8.2,10.0,10.8,11.0,11.0,11.2,12.4,13.0,13.0,13.0,0.0,0.8,1.0,1.8,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53.294117647058826,101.63448567653604,103.17456785484491,38.470588235294116,51.11764705882353,65.05882352941177,96.82352941176471,146.2941176470588,200.41176470588235,0.01384083044982699,0.05536332179930796,0.20761245674740483,0.3598615916955017,140.59928689875565,61.18718228462709,4084.146959710259
9.0,2.413491534976972,0.8341171030991867,0.9249002732434783,-2.0,-7.0,-12.0,-17.0,7.3714861555698095,12.25904905866623,11.149462044800742,6.149462044800742,5.267867412300717,0.267867412300717,-4.732132587699283,-9.732132587699283,-14.732132587699283,-17.94275986877123,-15.980200739526486,-13.28450718889805,-14.589331973468504,-16.872101952019065,-16.327521932925954,-8.59005961144797,28,18,20,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.6,2.6,3.8,5.0,5.0,5.0,5.8,6.2,7.0,0.0,0.6,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,57.27272727272727,92.67834799221691,91.69214733267074,56.0,66.63636363636364,66.63636363636364,97.0,135.63636363636363,189.1818181818182,0.01652892561983471,0.08264462809917356,0.18181818181818182,0.4628099173553719,135.1810670790105,57.90389112001733,3390.6763897276137
10.0,3.7507551183873207,0.6918697641369494,0.8734164036621439,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-59.92127972540872,-16.606398627043646,-21.606398627043646,-26.606398627043642,-31.606398627043642,-29.5251699763009,0,71,73,70,0.0,0.0,0.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,54.2,107.86195628431328,103.34897817858739,92.0,92.0,92.0,127.2,194.2,223.8,0.0,0.0,0.08,0.32,158.74636519771215,53.98213950332324,3169.8103812344275
11.0,13.014365623820712,0.06639783618132468,1.6404563097691318,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-20.320763204346445,30.349129859824984,25.349129859824984,20.349129859824984,15.349129859824984,10.349129859824984,5.349129859824984,11.85154987902332,24.105179907820826,62,54,56,53,0.0,0.0,0.8,2.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.333333333333332,128.20325087027132,62.69608543397374,59.0,59.0,59.0,59.0,83.0,300.0,0.0,0.0,0.4444444444444444,0.6666666666666666,70.55344838803245,11.851111078161319,198.6581904179319
12.0,2.3946020691218233,0.23627723674752552,0.29693238160341123,-2.0,-7.0,-5.270385159934895,30.585562881836587,25.585562881836587,20.585562881836587,15.585562881836585,10.585562881836587,5.585562881836587,11.280174091811318,6.280174091811318,3.0833689535792645,11.650734659238008,9.824084436918938,21.910463228386444,25.28998892844838,22.75782694392344,26.844767637634817,21.844767637634817,22.55587323325095,16,12,13,10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,3.0,3.0,3.2,4.0,4.4,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.16666666666667,50.74272230954375,57.17203783387273,34.0,34.0,34.0,62.0,77.16666666666667,116.5,0.1111111111111111,0.1111111111111111,0.5,0.7222222222222222,75.81018381660066,28.57093907958705,909.7815116499696
