cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,2.4665401043913335,0.9592440726191305,1.039583623360168,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-25.122977679013996,-19.807444197534988,-19.999091893167524,-14.128216109743548,-15.028941448701806,-15.871081403646865,-14.289807961683064,-16.327302604734314,-15.313737058666103,-4.982352939618243,-4.1428871600860875,-7.939720152784145,-10.042409894254163,-12.389522813957788,0,30,32,29,0.0,1.0,2.0,2.6,3.8,4.8,5.0,5.0,6.0,6.4,7.0,7.2,8.0,8.4,9.4,10.0,11.0,11.0,11.0,11.0,0.6,1.0,1.0,1.0,1.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,48.333333333333336,132.84441292468514,131.922967369955,59.333333333333336,77.2,102.46666666666667,120.8,192.0,248.46666666666667,0.0,0.008888888888888889,0.14222222222222222,0.2577777777777778,182.69532857043268,77.06600281277652,6219.065457392145
3.0,1.9032031998791517,1.1337268114935952,1.1842179845085594,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-24.58912505055968,-11.315208417599464,-7.705978057072189,-6.966491150054004,-11.966491150054004,-6.2909249156855225,-4.173880759439868,-9.173880759439868,-14.173880759439868,-19.173880759439868,79,49,51,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.8,2.6,3.0,3.2,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,46.142857142857146,144.0582680368422,150.96829651956392,77.14285714285714,77.14285714285714,117.28571428571429,117.28571428571429,243.85714285714286,283.0,0.0,0.0,0.12244897959183673,0.2040816326530612,210.5516506187568,96.75372178374185,9955.05400418244
8.0,4.163500574654635,1.11252853269145,1.3058718151042858,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-24.06455686867262,-23.330696085840778,-28.330696085840778,-33.33069608584078,-38.33069608584078,-20.976261639968442,-20.964318017840334,-8.22962464043826,-9.824430330696686,-9.716638866084324,-12.727553189242807,0,43,45,42,0.8,1.0,2.0,2.0,2.6,3.8,4.0,4.0,4.0,4.8,5.0,5.6,6.0,6.0,7.0,7.0,7.2,8.0,8.0,8.0,0.4,1.0,1.0,1.0,1.8,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,52.18181818181818,184.54067496048867,183.3682809575746,85.18181818181819,115.0,115.0,157.0,251.27272727272728,298.45454545454544,0.0,0.0,0.04958677685950413,0.14876033057851237,255.08559836621882,115.43177147279165,14178.101196398055
9.0,0.7507309031570768,1.507978563948632,1.5174550465976662,-2.0,-7.0,-12.0,-17.0,-13.38616093598568,-5.4654023399642,-10.4654023399642,-15.4654023399642,-10.503875915921018,-14.08956859588659,-13.432339315748886,-18.432339315748884,-14.207619502886265,-5.536811570245504,-10.536811570245504,-11.544712788746025,-10.613695785747009,-14.796291331913835,-18.73590314366603,-16.803983299011325,0,20,22,19,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,1.8,2.0,4.4,5.0,5.0,5.0,5.0,5.2,6.0,6.0,6.0,6.2,7.0,7.0,7.0,7.2,8.0,8.0,21.6,160.01858910292697,163.27519023690388,55.2,55.2,77.7,113.2,245.1,292.6,0.0,0.02,0.16,0.3,215.04623158268254,116.21280479786932,14210.91750151926
11.0,1.051099552662026,1.0505694589419228,1.0680838299435442,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-18.682122860670383,-10.748315364668496,-6.2465299805294165,-10.538167656112238,-9.118747568525565,-10.331120385053204,-13.706177477149504,-17.622882205213706,-18.48932727889916,-20.07050367177623,-21.132594408425522,-21.84003692199775,-24.186046470800125,-24.807478304084146,0,28,36,33,1.4,3.2,4.0,4.8,5.0,5.0,5.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.8,9.0,0.0,0.4,1.0,1.0,1.8,2.0,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2,4.0,44.285714285714285,112.99443365041998,122.23804601026428,47.857142857142854,86.71428571428571,103.64285714285714,123.64285714285714,160.64285714285714,227.92857142857142,0.0,0.04081632653061224,0.12244897959183673,0.3469387755102041,164.7710697477596,66.77769528706256,4610.134656100107
14.0,1.7205017010223624,1.1293963723919347,1.198651530073542,-2.0,-7.0,-12.0,-17.0,-3.1501187617018105,-1.4611457696481907,1.4448649602680987,-3.5551350397319013,-8.555135039731901,-13.555135039731903,-16.60019295016055,-13.780424591875152,-13.809170043189601,-14.259857384480586,-13.183268957009199,-9.137782318488107,-14.137782318488107,-15.327115362600097,-12.373662434403556,-12.265517164986562,30,18,20,17,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.2,2.0,2.2,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,37.0,82.94406698961497,94.18086539813783,60.0,60.0,85.57142857142857,85.57142857142857,112.85714285714286,206.14285714285714,0.0,0.08163265306122448,0.32653061224489793,0.5306122448979592,123.92908024082132,51.729406552729564,2799.2758456460497
15.0,2.119878389570041,0.8208267867978402,0.8758093122537578,-2.0,-7.0,-0.576395564376687,2.039340726038855,-1.3833886444876036,2.346258516089784,4.038051063292473,1.07868145207771,-3.92131854792229,-8.92131854792229,-13.921318547922288,-16.224571353047065,-16.17601212373042,-12.266005367988727,-8.001057317704939,-8.12190088850512,-1.0245545281682666,-1.7399338973605751,-2.737638009194214,-7.737638009194214,14,55,11,8,0.0,2.0,3.0,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.8,5.2,6.0,6.8,7.4,8.2,9.0,9.0,9.0,0.4,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,64.21428571428571,119.30575000820701,119.33538986417864,53.285714285714285,68.71428571428571,89.42857142857143,115.71428571428571,161.14285714285714,233.28571428571428,0.02040816326530612,0.0510204081632653,0.14285714285714285,0.2653061224489796,168.93330522290765,73.36869124420465,5735.520651986553
17.0,0.7956876549859624,1.123088802335828,1.1323745965574548,-2.0,-7.0,-12.0,-5.204360873289545,-7.255451091611931,-10.987101978878382,-7.335345052694929,-1.0232072243989379,-4.321157287147058,-2.8492250510535513,-4.522580205523776,-3.148290089386208,-1.7163105052039,-1.2642936985185913,-1.0354321464824636,-3.8679377899531233,-6.862940996856617,-7.69791201971473,-10.961929703697578,-14.310828027449489,35,13,15,12,0.0,0.6,2.0,3.2,4.0,4.6,6.4,7.0,7.0,7.2,8.0,8.0,8.4,10.6,11.8,12.0,12.0,12.8,13.0,13.0,1.0,2.0,2.0,2.6,3.2,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,45.666666666666664,139.08941082468758,139.17909495913065,42.05555555555556,70.83333333333333,93.11111111111111,136.22222222222223,204.5,257.1666666666667,0.006172839506172839,0.0308641975308642,0.13580246913580246,0.23456790123456792,191.46332762287474,80.43464722399237,6590.2140330561
19.0,5.720523548385619,0.6149438606900486,1.2324002404106107,-2.0,-7.0,-12.0,-17.0,-22.0,10.221223573973816,5.221223573973816,0.2212235739738162,-4.778776426026184,-1.4015144172263632,3.880036908747326,5.9251018889080385,0.9251018889080385,-4.0748981110919615,-9.074898111091962,-14.07489811109196,-19.07489811109196,-18.451167228597466,-15.015570904855721,-20.01557090485572,27,22,24,21,0.8,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15.8,87.73436985199673,87.83100738359136,40.4,40.4,40.4,91.8,129.4,162.0,0.0,0.08,0.24000000000000005,0.48,105.277923422442,46.666694857481104,2328.5744537291876
21.0,0.8792962499848782,0.9522282930726621,0.9691032853358508,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-36.41256946200879,-31.020949103347995,-27.81990271006499,-21.69538800110373,-15.060220898858631,-18.09428753109279,-23.09428753109279,-28.09428753109279,-33.09428753109279,-28.240058661524007,0,49,51,48,0.4,1.0,1.4,3.8,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,75.80501322356494,78.29915701184495,63.5,63.5,63.5,91.5,123.33333333333333,170.66666666666666,0.0,0.0,0.2222222222222222,0.4444444444444444,117.58762677395566,38.60490330704392,1559.9417751997992
