cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,1.0148382841328913,0.5484722541206756,0.5590664114805045,-2.0,-7.0,-12.0,-10.956954706126101,8.215226469369494,3.215226469369494,-1.7847735306305061,-6.784773530630505,-11.784773530630506,-4.269216936843129,-1.534500998209974,-2.9833293698605714,-1.5133587950961171,-6.513358795096117,-4.3864386765046675,-9.386438676504667,-8.839467129424747,-12.452724242654767,-12.600222868201845,-6.900418217821962,21,16,18,15,0.0,0.0,0.0,0.0,0.2,2.2,3.0,3.0,3.4,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.8,7.0,7.0,7.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.44444444444444,100.05515474037657,102.0849303448093,55.111111111111114,55.111111111111114,93.88888888888889,128.11111111111111,155.33333333333334,187.77777777777777,0.024691358024691357,0.024691358024691357,0.1234567901234568,0.32098765432098764,145.91938522571553,52.35800646525566,2892.8384121348313
5.0,7.732320859948952,0.2677619297299846,0.7753300246679822,-2.0,-7.0,-12.0,-12.85012876728079,-1.2506438364039596,-6.25064383640396,-2.6559791029327044,-5.0180118218833085,2.2391747867345986,10.14800366666335,12.337573029462373,22.961707996295956,23.901794938226253,26.012652747555045,25.551255479687548,24.53205961832839,24.174524229314674,23.28768943575583,19.88710255905876,16.555626425979007,75,16,18,15,0.2,1.0,1.0,1.0,1.0,1.6,3.0,4.0,5.4,6.0,7.0,7.6,8.0,8.4,9.2,10.0,10.0,10.0,10.0,10.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.84615384615384,113.32655249636306,84.59043932659823,42.84615384615385,54.30769230769231,54.30769230769231,89.53846153846153,123.0,154.0,0.01183431952662722,0.03550295857988166,0.2485207100591716,0.5088757396449705,115.69111079195685,44.76080308695643,2053.896971229485
7.0,7.299614193839041,0.6332819069075872,1.0226934660679416,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,2.4359875006174407,23.30158854130525,20.780388183812683,15.780388183812681,14.527671289102551,15.14859594703735,10.14859594703735,5.14859594703735,3.7873902695282338,12.476870421380482,14.33294570021792,9.33294570021792,4.33294570021792,-0.6670542997820803,37,28,31,27,0.0,0.0,0.0,0.0,0.8,1.0,1.6,2.0,2.0,2.0,2.0,2.4,3.8,4.0,4.0,4.0,4.0,4.4,5.0,5.0,0.0,0.0,0.0,0.2,1.8,2.0,3.2,4.0,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,67.63636363636364,207.5876733345144,189.94224864685603,71.72727272727273,116.0,116.0,157.63636363636363,258.0,300.0,0.0,0.04958677685950413,0.09917355371900825,0.18181818181818182,245.45264141401378,107.5453541928419,11843.747631050845
8.0,4.2058274551525265,1.0980362328051825,1.38477597555576,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-20.482503260268622,-18.85312907533578,-23.85312907533578,-28.85312907533578,-17.852561787223266,-22.852561787223266,-27.852561787223266,-26.231071732942645,-26.816745030088903,-29.26261137362306,-24.046076747759685,0,43,45,42,0.8,1.0,1.2,2.0,2.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.714285714285715,128.9746065583063,126.66678140568683,105.14285714285714,105.14285714285714,133.71428571428572,133.71428571428572,201.28571428571428,264.85714285714283,0.0,0.0,0.08163265306122448,0.2040816326530612,187.41082947087173,65.59653331036479,4483.967900684135
9.0,1.4292021433209134,1.25135966505855,1.277006409523899,-2.0,-7.0,-12.0,14.80865622796577,14.029811175317647,9.029811175317647,8.888320342633644,7.127326454177641,9.254836395347796,6.036713880640335,1.0367138806403347,3.430406964968708,0.27883023605080126,0.0981422138907206,-3.6970297916492996,-5.1084657769386865,-1.7060853968014698,-6.70608539680147,-9.416294529200982,-10.981608227800251,17,12,14,11,0.8,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.8,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.8,4.4,5.0,5.0,5.6,6.0,6.0,6.0,32.25,137.4272777167965,159.32724167465625,69.5,69.5,84.875,84.875,138.25,186.125,0.0625,0.09375,0.28125,0.40625,193.81493880992008,119.36522893764652,15382.973772217849
11.0,2.6379709198631303,1.0386935110683055,1.1495517283139312,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.6,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.5,124.12118327169352,125.17351006783267,138.0,138.0,138.0,138.0,204.25,247.25,0.0,0.0,0.0,0.0,195.80597755634597,46.19114207301625,2303.9646077948537
14.0,8.752960798612728,0.2746143785810613,0.917683950240938,-2.0,-7.0,-12.0,-17.0,2.591666825716436,13.98611137619406,8.98611137619406,3.98611137619406,2.631905960298819,12.215084296717855,7.215084296717855,8.10569792302829,11.94161836249394,20.547766544500117,18.949303590001662,13.949303590001662,8.949303590001662,3.949303590001662,-1.0506964099983378,-6.050696409998338,68,19,21,18,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2,36.8,121.96617386648305,150.67742744366285,63.0,63.0,63.0,86.6,113.0,204.2,0.0,0.08,0.32,0.48,116.18170623348901,54.54301535904084,3095.5828444248837
15.0,4.335389324278509,0.5850188099311036,0.8738603059961637,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-5.315366150962015,10.807723081729975,5.807723081729975,0.807723081729975,-4.192276918270025,9.910610736715881,4.910610736715881,-0.08938926328411867,2.521481441471167,8.937787498604095,3.937787498604095,-1.062212501395905,-6.062212501395905,39,34,36,33,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.4,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75,86.70664752997905,88.99761832642746,68.75,68.75,68.75,68.75,98.25,182.0,0.0,0.125,0.375,0.375,116.03096593882012,48.22332352135518,2658.8674181169827
16.0,1.8846898084091699,0.6113229139970303,0.6639095872368522,-2.0,-7.0,-9.499712736628647,2.269069620418507,-0.34687713161733313,-0.4990825571925527,2.7481850011683413,4.966619582602465,5.84412949864096,3.999198744604196,0.8286139838297529,-0.9442004902415689,-2.839232820175289,-3.203226817555475,-2.953432666935302,0.6310229934880909,0.9910638371004978,-1.043876386983547,-3.0746908594966724,-3.0699333537205975,41,12,13,10,0.0,0.6,1.0,1.2,2.0,2.0,2.0,3.2,4.8,7.0,8.8,10.0,10.0,10.0,10.4,11.0,12.0,12.0,12.0,12.0,0.8,1.0,1.0,1.0,1.6,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,45.4,73.03575354886429,74.21916200466573,32.333333333333336,49.266666666666666,59.93333333333333,75.66666666666667,106.0,149.53333333333333,0.026666666666666665,0.10666666666666667,0.3377777777777778,0.5866666666666666,106.12961893701502,44.34058114949791,2040.7669933989916
17.0,5.584984277903276,0.6330829808257318,0.9066603608055562,-2.0,-7.0,-12.0,-17.0,-22.0,1.3732456712998946,-3.6267543287001054,-8.626754328700105,-13.626754328700105,-18.626754328700105,-23.626754328700105,-19.232431627119997,-17.96954982606659,-14.421102788656487,-11.372463762367445,-16.372463762367445,-21.372463762367445,-16.949133815198138,-11.279389146297774,-11.531937187255261,27,54,24,21,0.0,0.0,1.0,1.0,1.4,2.2,3.0,3.0,3.0,3.2,4.0,4.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,0.2,1.0,1.2,2.0,2.0,2.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,75.33333333333333,157.08441942768457,141.93973894467393,67.33333333333333,109.75,109.75,144.91666666666666,200.75,268.3333333333333,0.0,0.013888888888888888,0.05555555555555555,0.16666666666666666,204.33377627892264,78.44426870122793,6402.570580212317
