cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,3.914097131761314,0.8364681368881947,0.962582233130615,-2.0,-7.0,-12.0,-17.0,-5.8838997564543,-1.4570046388215125,8.797454822634272,9.9457144164905,12.05114178396683,11.896436293064125,8.720378561954627,7.6836662086481144,7.418345528270561,8.333842821598196,5.8609434284912165,4.2734656603944075,6.256618736015218,6.122082612474102,1.9015657285722256,1.386572397715804,40,18,21,17,0.0,0.0,0.4,1.8,4.0,5.0,6.2,8.0,8.6,9.0,10.2,11.4,12.0,12.0,12.6,13.0,13.0,13.0,14.4,16.0,1.2,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.6,5.0,5.0,5.0,5.0,5.0,66.36,176.6476974202907,174.0508279197733,78.08,95.6,115.16,152.4,247.24,285.44,0.0,0.0384,0.096,0.17920000000000003,248.32102233815374,114.49918743083677,13744.570617552085
4.0,7.84921852514444,0.07935052104244401,0.7419107014951783,-2.0,-7.0,-12.0,-17.0,4.5193774111804075,17.198962351967346,12.198962351967346,7.198962351967346,2.198962351967346,-2.801037648032654,-7.801037648032654,-12.801037648032656,4.360538872036932,38.4063374510103,33.4063374510103,28.4063374510103,23.4063374510103,18.4063374510103,13.406337451010302,8.406337451010302,67,19,21,18,0.4,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,70.60701415578231,73.87238954983842,36.333333333333336,36.333333333333336,36.333333333333336,36.333333333333336,65.0,300.0,0.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,50.37454361366202,14.499161651879447,293.3040167864469
5.0,1.5580560424231098,0.8291787228432591,0.848898393769636,-2.0,-7.0,-12.0,-3.2330924908998937,0.11703450562743925,1.9825377595717846,2.137825173722348,-0.0634757454832311,-1.326551940989738,4.3572456012844185,7.259767771829199,7.144327042329364,7.8332233725679545,7.043476106597993,6.861696795561832,5.917383056982987,4.2600357926594885,2.842175846138596,3.180365578290181,2.0332800150835424,60,13,14,11,1.2,4.2,5.0,5.0,6.0,8.0,8.0,9.2,10.2,11.0,13.8,15.0,15.2,17.0,18.0,19.0,19.8,20.2,21.8,22.8,0.8,2.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.6,5.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,74.16666666666667,172.71554966564833,173.42650024907852,53.083333333333336,87.94444444444444,115.0,151.58333333333334,233.77777777777777,282.25,0.004629629629629629,0.023148148148148147,0.10648148148148147,0.1882716049382716,238.66360325789543,112.64566821053921,13092.762341088815
7.0,2.889419205431034,0.7861167620050739,0.8854899926746993,-2.0,-7.0,-12.0,2.0614676065710533,-2.9385323934289467,-4.418937124115994,-0.8031106591592831,-2.3125822211745586,-2.337729152002588,-4.984828734277903,0.000947403358190968,2.3317775178465125,2.2105400268148427,-1.7474327961170104,-2.8740871948442304,-5.051520879386516,-10.051520879386516,-14.079661765240752,-14.07373410494763,-14.495713872300223,17,89,14,11,0.6,1.4,4.2,5.0,5.6,6.0,6.0,6.4,7.0,7.6,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.4,1.0,1.4,3.0,3.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,31.0,123.11090060318858,122.04916833841789,46.92857142857143,67.35714285714286,83.07142857142857,106.42857142857143,162.92857142857142,229.78571428571428,0.01020408163265306,0.04081632653061224,0.17346938775510204,0.2959183673469387,164.43095403182568,72.17170146288434,5539.2769425474335
8.0,0.6870503097471228,0.972002185455804,0.9776095254135979,-2.0,-7.0,-12.0,-13.561474397464263,2.178388863043847,2.9881673101871797,-1.0960686177687022,2.9383570234494485,7.344903753672592,6.670121738784935,9.209553694159329,6.340382062528894,2.426432808875859,0.19143480541666236,-4.808565194583338,-9.333321468259419,-11.738708913083546,-11.6459568191753,-15.05698953243854,-18.54286416272869,52,16,19,15,0.0,0.0,0.0,0.4,2.6,3.0,3.0,4.4,5.4,6.8,7.6,8.0,8.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.4,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,43.214285714285715,136.74808337582618,145.72331018297947,34.714285714285715,50.285714285714285,105.85714285714286,134.57142857142858,186.64285714285714,257.5,0.01020408163265306,0.061224489795918366,0.16326530612244897,0.24489795918367346,193.17148146000304,92.3642323685127,9212.503652483745
9.0,2.8775115048878868,0.7607789361595624,0.8377783660339945,-2.0,-7.0,-12.0,-17.0,-9.692161885198907,1.0064894879977218,-2.12015402116997,-7.120154021169969,-12.12015402116997,-17.12015402116997,-10.354150914493594,-15.354150914493596,-20.354150914493594,-24.371828185758744,-25.442537270819344,-22.325048758895722,-18.531469504207166,-21.424365219934682,-14.852453198567147,-12.172609130201351,27,73,21,18,1.0,2.0,3.4,4.0,4.0,4.0,4.0,4.0,5.8,6.0,6.0,6.0,6.6,7.0,7.0,7.0,8.0,9.0,9.0,9.0,0.4,1.2,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,115.125,147.55367433668016,146.99706754112037,68.6875,99.375,118.125,137.875,208.8125,268.8125,0.0,0.015625,0.0703125,0.1875,208.9625148084455,83.76310123986542,7190.063587122149
10.0,2.75922284989139,1.2829005328436365,1.43340752089535,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-14.206712852283502,-6.70614485368971,3.477633814798298,-0.05731829835477953,-5.0573182983547795,-5.915401569834307,-3.458873015032418,1.7136092338280264,-1.3110344314107607,-6.311034431410761,-11.31103443141076,-16.31103443141076,52,37,39,36,0.6,2.0,2.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.6,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,30.5,123.23337700529139,119.02657536881142,58.0,58.0,96.3,121.3,163.9,242.1,0.0,0.0,0.16,0.27999999999999997,171.0686888830212,70.40293861218677,5324.465071744814
11.0,4.176955881545209,0.7486547883592729,0.9048640745851168,-2.0,-7.0,-12.0,-0.49518438897275274,3.4143399437516435,2.3282890980270436,0.8885759807632567,0.8068510094468238,8.520092435128344,9.5583290267857,7.472663960464756,9.799805063987044,8.532664485657449,7.022306773979276,4.692817399357594,0.5241796750772437,-0.16022939319692853,-0.22739175723418725,0.6584940283738661,-2.0002709834861863,58,13,14,11,0.0,1.0,2.0,3.4,4.2,7.2,9.2,11.0,12.4,13.2,15.0,15.0,15.0,15.6,16.0,16.0,16.0,16.0,16.0,16.0,0.2,2.0,2.6,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.8,7.0,73.76923076923077,162.4456327992373,176.7163288888314,75.5,90.96153846153847,110.11538461538461,149.92307692307693,196.84615384615384,268.7692307692308,0.008875739644970414,0.03254437869822486,0.10355029585798817,0.19822485207100593,212.37789428094686,92.6878190525199,8782.401965112369
12.0,3.191407947977518,0.557797654591751,0.6500058170162827,-2.0,-7.0,-8.825405688812996,3.052427212466159,3.04370212720342,5.028764147758835,9.708267551796554,8.741863308031993,8.665564350862725,10.666608123484002,10.288160285692431,7.709101997769994,10.705906616152069,12.210314168867294,13.435434102647964,15.999054120536673,17.133771465386154,19.541904131149202,20.232659930640835,17.949492801240233,89,12,13,10,0.0,0.4,1.2,2.0,3.4,4.0,4.0,4.0,6.0,8.0,9.0,9.6,11.0,11.0,11.0,11.2,12.0,12.4,14.8,15.0,0.0,1.6,2.2,3.0,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,85.48148148148148,114.54325422328799,117.61466269146794,57.111111111111114,72.0,89.5925925925926,106.33333333333333,150.96296296296296,206.62962962962962,0.010973936899862825,0.04938271604938271,0.19478737997256512,0.3786008230452675,155.71836515147177,71.59885320291336,5240.808140731096
13.0,3.8687616053440332,0.758501371027352,0.8876432670677332,-2.0,-7.0,-12.0,-17.0,-22.0,-22.30995880883284,-8.549794044164202,5.491423509095114,0.4914235090951138,-0.39625402303894647,5.2206227601128266,3.1862181476814015,-0.8785073019036673,1.3023904279522611,-2.837659689998688,-7.837659689998688,-10.75619372409741,-7.430329860492293,-12.430329860492293,-13.17611056460892,53,26,28,31,1.4,2.0,2.0,2.0,2.0,2.8,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.2,2.8,3.4,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.2,6.0,6.0,6.0,6.0,6.0,28.8,161.63748171104336,143.24823827925047,70.7,70.7,98.2,134.4,189.6,284.5,0.0,0.06000000000000001,0.13999999999999999,0.26,209.20485121099517,105.18052773867512,11591.81933776694
14.0,1.389179939197696,0.8414853067331324,0.8586149671748075,-2.0,-7.0,-7.87305556803309,-0.7192144981269983,2.1750807708608733,0.3605748636461229,1.4375858509126942,3.206435427753415,2.208538381043637,0.6131607727337623,0.570501602302727,1.2097284473891932,2.634067858673204,0.7139257441423184,-0.4882310376698257,-0.41313152534602865,-0.4564682408855134,-2.0675033919681853,-3.3536646347663917,-3.583135019363792,20,11,13,9,0.4,1.0,1.0,2.4,4.0,4.6,5.0,5.8,6.6,7.4,8.2,9.0,9.0,10.0,10.8,12.6,13.2,14.0,15.0,16.2,0.8,4.6,5.2,7.0,8.0,8.0,8.2,9.6,10.0,10.0,10.0,10.8,11.0,12.2,13.0,13.0,13.0,13.4,14.0,14.0,63.17948717948718,155.9809868545781,160.68853975463605,62.53846153846154,88.38461538461539,109.64102564102564,144.17948717948718,211.5897435897436,275.7435897435897,0.009204470742932281,0.03155818540433925,0.10387902695595003,0.20512820512820512,222.09830810787935,103.78804918929264,11180.042976505914
15.0,4.089260621361544,0.6003708841469161,0.7628945042949801,-2.0,-7.0,-7.610206550906691,6.922134373770777,11.126411215850673,13.6382601435183,13.733581566508827,12.752613605045992,10.14112582798358,8.277575311073626,6.896425229209209,4.506452606018252,8.371683774734791,6.621049177428685,9.025133419639989,9.669842165796549,7.1325261375592905,10.68898003113002,10.819225648421796,10.753519685690117,29,11,13,10,0.6,1.0,3.4,5.6,7.0,7.0,8.0,8.2,9.0,9.6,10.0,10.8,11.0,11.0,12.2,13.0,13.0,13.0,14.0,14.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.26315789473684,122.15623676804329,122.0212331470378,29.526315789473685,55.21052631578947,78.6842105263158,112.15789473684211,167.3684210526316,224.42105263157896,0.016620498614958446,0.060941828254847646,0.16066481994459833,0.2936288088642659,162.77913130879432,72.25558500093169,5441.751263263978
16.0,8.072760215360196,1.1549285204867947,2.099710061987806,-2.0,-7.0,16.262389539644964,30.10398256607494,25.10398256607494,20.10398256607494,15.103982566074938,10.10398256607494,5.10398256607494,0.10398256607494005,-4.89601743392506,-9.89601743392506,-14.896017433925062,-19.89601743392506,-24.89601743392506,-29.89601743392506,-34.89601743392506,-39.89601743392506,-29.764576550350853,-30.9817163294573,14,88,11,8,0.0,0.4,1.0,1.0,1.0,1.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6,1.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.8,17.4,148.70614313492402,136.09762260150984,111.6,111.6,111.6,156.6,245.6,280.2,0.08,0.08,0.08,0.24000000000000005,218.06749288177852,100.32098453544533,10121.196787660085
