cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
5.0,1.161720177487492,0.8504924009849797,0.8662630705615595,-2.0,-7.0,-12.0,-9.451296378330612,15.743518108346938,10.74351810834694,5.74351810834694,0.7435181083469402,7.6336938417747735,10.560477664059995,5.560477664059995,0.5604776640599951,-4.439522335940005,-2.211809711857222,-2.393334629135367,-7.393334629135367,-12.393334629135367,-17.393334629135367,-22.393334629135367,-12.887039178962937,21,16,18,15,0.6,1.0,1.0,1.0,1.0,1.2,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,49.142857142857146,125.44949101578628,149.9226282715149,60.42857142857143,60.42857142857143,102.14285714285714,102.14285714285714,205.71428571428572,277.42857142857144,0.04081632653061224,0.04081632653061224,0.12244897959183673,0.24489795918367346,183.07319685143534,86.52454551183466,7742.646879168932
8.0,6.5550088864494835,0.3376265800099409,0.7691178936701006,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,19.295523022726485,14.295523022726485,9.295523022726485,4.295523022726485,-0.7044769772735151,-5.704476977273515,-10.704476977273515,-15.704476977273515,62,57,59,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.6,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.333333333333336,100.34220740040332,84.21019151184512,88.0,88.0,88.0,88.0,179.33333333333334,300.0,0.0,0.0,0.2222222222222222,0.2222222222222222,133.24537615181296,45.46604455458034,2352.252300621404
9.0,3.575103866488313,1.0457668240519933,1.190272474500434,-2.0,-7.0,-12.0,-4.4295522099217095,-1.0492536832028492,2.2249984286268885,6.5332512997452366,4.901492633594302,-0.09850736640569835,-5.098507366405698,-10.098507366405698,-15.098507366405698,-7.628285887997174,-6.434599250161341,-11.434599250161341,-16.43459925016134,-13.445120523147153,-16.89802988622732,-11.41522473532535,-14.210233870589136,34,87,16,13,0.0,0.0,0.8,1.0,2.8,3.2,5.0,5.0,5.0,5.0,5.4,6.0,6.2,7.0,7.0,7.0,8.0,9.0,10.0,11.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,58.8,167.11821251734753,171.41589097545418,53.53333333333333,97.06666666666666,123.93333333333334,157.46666666666667,242.93333333333334,286.0,0.008888888888888889,0.035555555555555556,0.06222222222222222,0.1511111111111111,233.91413426641643,103.59206839656512,11295.516299016757
10.0,2.7207539901330056,0.5708685932182805,0.652665316610338,-2.0,-7.0,-12.0,-17.0,-9.011287390995596,-5.285053711718997,-7.175516996660636,-2.2543047874057023,0.22311528001107916,-2.7969734165914417,-1.6190524339057333,-1.9884070650336896,-1.992197644298615,-1.3214844623427424,3.819747808669129,4.830129477267173,5.875204097776978,7.259019267479625,7.060817217359675,6.429637862072158,89,19,20,17,0.0,1.6,2.0,2.4,3.8,4.0,4.0,4.8,6.0,6.0,6.8,7.8,9.0,11.2,12.0,12.0,13.4,14.0,14.0,14.4,1.2,2.0,2.4,3.0,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,53.73684210526316,94.42045433570836,93.03764292480888,38.8421052631579,55.1578947368421,69.05263157894737,90.89473684210526,135.78947368421052,188.52631578947367,0.0,0.04986149584487534,0.22160664819944598,0.4598337950138504,132.89639861736376,55.95521624534814,3245.3663013673054
12.0,7.929287593686416,0.12440971582660115,0.8615655505468579,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,17.988499836062786,12.988499836062786,7.988499836062786,2.988499836062786,82,77,79,76,0.0,0.0,0.0,0.0,0.0,0.8,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,78.67194051004842,85.0554977191709,81.0,81.0,81.0,81.0,81.0,300.0,0.0,0.0,0.0,0.5,80.45495634204272,0.0,0.0
14.0,1.6663036905873876,1.108688574360037,1.1377803890062161,-2.0,-7.0,-7.805672684527602,-4.7768344522184,8.205937350906357,6.428613207922462,9.06286967256475,10.553497218133051,10.456252730790393,6.95948420884295,6.420023341514319,4.772882957835762,3.614045557293167,2.7656115471999727,2.3529183581744206,2.0794012839534246,-0.9360534708102819,-0.05603517794058632,-1.0858394408139134,-3.9321965404304846,40,11,19,9,0.6,1.6,3.0,3.6,4.0,4.6,6.6,7.0,7.0,7.0,7.0,7.0,7.6,9.0,10.0,10.6,12.0,13.0,14.0,14.6,0.0,1.6,3.0,4.0,4.0,4.0,5.6,6.0,8.2,9.0,9.0,10.0,12.8,13.0,14.0,15.0,16.0,16.4,17.0,17.0,50.970588235294116,191.79924239743065,191.42001220201251,55.14705882352941,100.26470588235294,122.88235294117646,171.41176470588235,263.44117647058823,295.94117647058823,0.0034602076124567475,0.03460207612456748,0.08650519031141869,0.15743944636678203,257.60998483276063,115.7996257966696,13934.936545775752
15.0,4.97010663474525,0.28828985859068523,0.5072032969986363,-2.0,-7.0,1.5413858157703941,19.657977368535363,25.876028684972873,23.928997680469465,41.019530201875895,38.48919433673092,42.01251478382995,45.226386527468065,40.226386527468065,35.226386527468065,30.226386527468065,25.226386527468065,20.226386527468065,15.226386527468065,10.226386527468065,5.226386527468065,0.22638652746806542,-4.773613472531935,44,10,12,15,0.0,0.2,1.0,1.4,2.6,3.8,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.166666666666668,91.70324705085442,75.30754143260243,23.5,23.5,23.5,37.5,136.5,158.66666666666666,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,101.08493316869193,58.656848427000476,3458.1959969537143
16.0,7.459898856887334,0.4114165128433591,0.8742100398701073,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-22.398503963313942,-27.398503963313942,-32.39850396331394,-37.39850396331394,0,77,79,76,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.0,130.5214053364303,125.79977194324856,119.6,119.6,119.6,149.0,195.0,239.6,0.0,0.0,0.0,0.16,175.12927471714474,47.871862061252244,2421.2092939783533
18.0,1.814633029564953,0.7594548214915334,0.7879934514185445,-2.0,-7.0,-12.0,7.955804544412911,9.194755680516138,4.194755680516138,-0.8052443194838617,-5.805244319483862,-10.805244319483862,-15.805244319483862,-20.80524431948386,-25.805244319483858,-30.805244319483858,-28.052469792812907,-27.883953441698928,-27.711783860184408,-24.953529487912633,-29.953529487912636,-20.895864852242653,-16.998804460467476,18,65,15,12,0.0,0.0,0.0,0.8,1.0,1.0,1.6,2.0,3.6,4.0,4.0,5.0,5.0,5.0,5.0,7.2,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,78.72727272727273,151.14131258506978,153.9576551696491,77.63636363636364,118.0909090909091,118.0909090909091,149.45454545454547,235.36363636363637,281.72727272727275,0.01652892561983471,0.01652892561983471,0.04958677685950413,0.1983471074380165,221.3576438016954,91.67528020727164,8733.087779331754
19.0,0.47482238070279864,1.3541098809591101,1.3590159963387518,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,26.0,115.59596008601623,113.01691044444856,170.0,170.0,170.0,170.0,231.33333333333334,300.0,0.0,0.0,0.0,0.0,200.09429158790635,30.948008840473488,1095.705855450437
