cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,0.8154693635492875,0.817877428795761,0.8256207991070218,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-21.104705434914358,-19.477230536623058,-18.453761556104496,-17.033152029473705,-16.336836574298832,-10.584938878314365,-11.431902069881914,-16.431902069881914,-21.431902069881914,-26.431902069881914,-30.444294857146037,0,42,44,41,1.6,3.0,3.0,3.0,3.0,3.2,4.0,4.6,5.0,5.0,5.0,5.0,5.2,7.0,7.8,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.6,1.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,52.4,117.71290801793941,127.69595983148254,71.1,71.1,101.9,134.2,168.6,243.2,0.0,0.0,0.12000000000000002,0.24,177.09753799797053,69.07299715394157,5102.484037942565
3.0,3.497808976158727,0.3890559969163315,0.5025138178110324,-2.0,-7.0,-12.0,-17.0,-22.0,-1.9377867655557908,30.655533086110523,25.655533086110523,20.655533086110523,15.655533086110523,10.655533086110523,5.655533086110523,0.6555330861105233,-4.344466913889477,-9.344466913889477,-14.344466913889477,-19.344466913889477,-24.344466913889477,-29.344466913889477,-34.34446691388948,30,25,27,24,0.0,0.0,0.2,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,114.25,94.19594181643859,130.54075406564658,82.25,82.25,82.25,82.25,152.0,178.25,0.0,0.125,0.125,0.125,136.96676322759998,40.99382991482456,2311.2457833590834
4.0,3.960887014347661,0.6225395484796628,0.7231151699465754,-2.0,-7.0,-12.0,-17.0,-22.0,-21.887170786734792,-6.435853933673951,-9.318050731442138,-4.22179037021416,-2.7216001610112244,-0.8717078673479008,-5.871707867347901,-0.2901554565257243,2.785749817858175,4.030277071296015,1.5945418323791785,-0.9736167907007826,4.600869883822307,3.2788395338501943,9.428042641550466,87,26,28,25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.4,2.0,2.8,3.0,4.0,4.6,5.0,5.0,5.2,6.0,6.0,6.2,0.6,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.8,4.0,4.0,4.6,5.0,5.0,5.0,5.0,129.0,182.6335519486948,171.8571045214748,66.61111111111111,107.77777777777777,125.44444444444444,170.83333333333334,231.27777777777777,290.27777777777777,0.0,0.012345679012345678,0.05555555555555555,0.14814814814814814,249.14268316159098,112.57930804878414,13269.947309924526
5.0,2.152902540352394,0.7092590093025484,0.7762480471650329,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-4.463586357619858,-1.3294829470248217,-6.329482947024822,-11.329482947024822,-16.32948294702482,-21.32948294702482,-26.32948294702482,-31.32948294702482,-19.530596207636968,-13.331338381378401,-18.3313383813784,-23.3313383813784,-25.228054553101828,38,33,35,32,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,33.2,85.4308236595015,88.76282336551371,66.0,66.0,66.0,117.4,163.2,201.0,0.0,0.08,0.16,0.32,136.53107418540796,52.897599879580014,2861.8697893688022
8.0,6.52209693424272,0.3445995883520937,0.6791722486925534,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-28.136226570388374,10.159433574029066,5.159433574029066,0.159433574029066,-4.840566425970934,-9.840566425970934,-14.840566425970934,-19.840566425970934,-24.840566425970934,60,55,57,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,69.0,117.00411921051871,122.2390004650811,98.66666666666667,98.66666666666667,98.66666666666667,98.66666666666667,215.33333333333334,300.0,0.0,0.0,0.2222222222222222,0.2222222222222222,156.6196391806271,58.310910194172614,3983.716467197632
9.0,4.1620496799136815,0.6125130370180982,0.8492952633194064,-2.0,-7.0,-12.0,-17.0,-22.0,3.4736555461239718,-1.5263444538760282,-6.526344453876028,1.576841673638242,1.0074151962937266,11.199851100114941,7.4865655482051805,7.633423340566139,5.42029885553755,12.398945498480899,7.398945498480899,5.947999144247413,5.672841058783971,4.211050284822292,1.8255558129864284,71,22,24,21,0.4,2.4,3.2,4.4,5.0,5.4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,93.85714285714286,91.27107354070051,83.09286326489698,59.714285714285715,59.714285714285715,81.57142857142857,81.57142857142857,122.42857142857143,224.71428571428572,0.0,0.04081632653061224,0.2857142857142857,0.5306122448979592,121.65507573786677,53.82028275448976,3129.06698808947
10.0,12.757548988981299,0.18666233987849487,1.5579119676114472,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-56.45523351328384,0.7238324335807818,-4.276167566419218,-9.276167566419218,-14.276167566419218,-19.27616756641922,76,71,73,70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.333333333333336,149.5480464315532,123.77655926104705,91.33333333333333,91.33333333333333,91.33333333333333,91.33333333333333,174.0,300.0,0.0,0.0,0.2222222222222222,0.2222222222222222,132.26610605744006,41.30035563492486,1944.7578913015125
11.0,1.883282246003332,0.6330321112645785,0.6762850910302056,-2.0,-7.0,-12.0,-17.0,-22.0,-11.962845167382136,5.59288708154466,0.5928870815446601,-4.40711291845534,-9.40711291845534,-14.40711291845534,-19.40711291845534,-24.40711291845534,-22.6632542880784,-17.547466342512983,-22.547466342512983,-27.547466342512983,-22.87011212823589,-21.41854265205116,-11.727854372130167,30,84,27,24,0.0,1.0,1.0,1.0,1.0,1.6,2.6,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.333333333333336,94.37648214257553,97.19232175942683,62.0,62.0,62.0,107.83333333333333,142.33333333333334,208.5,0.0,0.05555555555555555,0.1111111111111111,0.38888888888888884,141.70081342690884,55.291837904522566,3512.92579421914
12.0,6.453148254045629,0.3764958128592598,0.7040804291705187,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.666666666666664,136.39298031316326,131.95669503001733,129.66666666666666,129.66666666666666,129.66666666666666,129.66666666666666,235.66666666666666,300.0,0.0,0.0,0.0,0.2222222222222222,181.91502590967124,53.11528870410384,3175.1925112127406
13.0,4.667424892446839,0.7506142268113003,1.0163751669267225,-2.0,-7.0,-12.0,-17.0,-3.071982431086036,-3.339978038857545,-2.80759976697223,7.983554942167094,15.86101091448469,15.060015987824931,10.060015987824933,5.060015987824933,0.06001598782493289,-4.939984012175067,-9.939984012175067,1.891203465488519,-0.8756632709527992,-5.875663270952799,-10.8756632709528,-15.8756632709528,44,18,20,17,0.4,1.0,1.0,1.8,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.4,5.4,6.0,6.0,6.0,6.0,0.0,0.6,1.8,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4,4.0,4.0,4.0,43.0,118.37540854618744,114.31327643667996,53.1,53.1,88.5,104.4,151.3,191.1,0.0,0.12000000000000002,0.22000000000000003,0.33999999999999997,158.46303206832127,73.11926676182097,5590.159903067429
