cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,3.9361279710729873,0.8842494008162696,1.028328218846768,-2.0,-7.0,-6.135865107504019,-7.226441845840031,-3.811391617826051,-0.7462799472323383,0.5148210105841052,1.9789979458941545,0.1629679717978078,-1.9984827848249154,-5.820664425185241,-6.406507824499083,-5.669654167889208,-2.748169370368194,-1.6336522958075448,-1.6572072862997858,-3.993573242564864,-4.680509060735472,-6.469239196075006,-7.872788261387035,36,10,11,8,0.0,0.4,1.8,2.0,3.4,4.0,5.0,7.0,9.0,10.8,11.0,11.0,12.0,12.2,13.0,13.2,14.4,15.0,16.0,16.2,0.4,5.6,6.8,8.8,11.6,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,59.138888888888886,180.8966421574339,182.4903675398381,60.361111111111114,92.30555555555556,122.0,150.5,238.16666666666666,287.30555555555554,0.0015432098765432098,0.027777777777777776,0.08487654320987653,0.1743827160493827,237.38277619557368,105.70869121821117,11666.128250683907
5.0,1.1346295580501289,0.25974632001206105,0.26986436828108035,-2.0,-7.0,-12.0,-9.39395434235222,19.18075555566559,38.87028761867295,37.94635520179488,39.06045657647779,35.92636615545994,38.39000447138851,35.03614346595636,36.62069944422774,31.62069944422774,26.62069944422774,21.62069944422774,16.62069944422774,11.62069944422774,6.620699444227739,1.6206994442277391,-3.379300555772261,34,16,18,21,0.0,0.0,0.0,0.0,0.8,1.0,1.2,2.6,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83.2,60.76636671990163,52.6164006878152,48.0,48.0,48.0,59.8,72.0,167.0,0.08,0.32,0.48,0.48,86.06046746302995,48.01634494175173,2697.3961626561677
6.0,6.213224302970794,0.7916533759112254,1.1225225045759377,-2.0,-7.0,-12.0,-17.0,-5.496611632263524,0.6469895250903178,1.4864085450085853,5.38378628646073,3.493383555371268,3.591709649701565,2.565154073162745,2.7204655010686367,2.1584782390912807,0.9708156154991172,0.45440477150274605,0.40379305813846145,0.8529854313901751,-0.5601455259661833,-3.5176727420969542,-4.41013568950765,37,19,20,17,1.2,2.8,4.4,5.0,5.0,5.0,5.2,6.2,7.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,12.0,12.0,12.0,12.0,0.8,1.6,4.2,6.0,6.4,8.8,9.4,11.4,12.0,12.0,12.8,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.4,72.05714285714286,193.65322525434834,202.21324904979141,70.28571428571429,97.68571428571428,123.88571428571429,159.5142857142857,225.88571428571427,286.25714285714287,0.0,0.027755102040816326,0.0816326530612245,0.17632653061224488,239.9644645837647,109.94028900591347,12592.53236253892
7.0,1.4539000439711753,1.213388291762198,1.250247668091362,-2.0,-7.0,-12.0,-17.0,-18.460869557972412,-9.304347789862064,-14.304347789862064,-18.158594212943658,-11.970256560186963,-8.524849573824158,-5.759385805888693,-8.420067578478154,-6.963930927271711,-11.485812545074955,-13.774525614175124,-15.713037668603974,-20.236154341700747,-18.047926010039976,-17.340771070799804,-19.49781914820111,0,21,23,20,2.4,5.2,7.0,7.6,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.6,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,28.692307692307693,121.76309531723676,121.82261043003649,47.15384615384615,63.38461538461539,63.38461538461539,103.15384615384616,180.6153846153846,246.15384615384616,0.0,0.02366863905325444,0.16568047337278108,0.3668639053254438,167.3769708380519,81.80823782579934,7208.772048485511
10.0,2.472000408165475,0.9563563003261338,1.0598884478145227,-2.0,-7.0,-12.0,-17.0,-8.158609948165617,-6.477525491530095,-11.477525491530095,-13.020912159407079,-12.016823164648883,-11.703784752140418,-12.408203233314474,-12.83077551195334,-11.56610300124514,-10.500881462869383,-10.327859218091984,-8.852001405474661,-9.02354752179814,-13.066833592904018,-15.502670189325778,-18.20415169073638,0,18,21,17,0.0,1.0,2.2,3.6,4.2,5.0,5.6,7.0,7.0,8.6,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.4,0.2,1.8,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,33.642857142857146,101.17590764505769,100.2685818072134,44.142857142857146,63.07142857142857,88.28571428571429,105.64285714285714,147.64285714285714,192.71428571428572,0.0,0.04081632653061224,0.20408163265306123,0.3469387755102041,143.80739454099694,57.377851547047825,3376.3273789997033
14.0,5.87577673300448,0.7127735064884703,1.1619711216601665,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-22.175605781220277,-25.206829847758883,-15.465758889661384,-10.431250237370987,0.6585165579230547,2.5231888705495606,-2.4768111294504394,-0.030904445634678267,0.11865371865681595,-2.789928926142778,-4.403542734984569,-6.401239865241877,66,37,39,36,0.0,0.2,1.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,4.8,5.0,6.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,0.2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48.5,124.27048468299587,120.16074520434069,63.333333333333336,89.5,89.5,103.41666666666667,147.25,217.91666666666666,0.0,0.0,0.18055555555555555,0.3194444444444445,157.0491448016781,61.57156448645134,3937.2356265673
15.0,5.323228171349347,0.6117754370041724,0.8479132805520224,-2.0,-7.0,-12.0,-11.951561650451008,-4.452877191148135,1.683389554717151,-0.02565601314456245,1.4871794913521583,-1.5684049803100693,-1.2448877452581528,-2.7993068927717233,-4.428695617311694,-2.785935852463028,-1.864439612784072,-1.2096123525140228,-2.484989144945055,-1.8002972434919513,-2.3432222960392237,-4.152809099401023,-5.63369251914844,36,16,17,14,1.6,2.4,5.4,6.0,6.6,7.0,8.0,9.2,10.0,10.0,10.0,12.0,12.6,14.6,15.0,15.0,15.0,15.0,15.4,16.8,0.8,2.0,2.0,2.0,2.0,2.8,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,55.916666666666664,150.5366277624153,133.4845819294745,65.20833333333333,85.54166666666667,102.375,129.75,183.91666666666666,239.70833333333334,0.003472222222222222,0.03472222222222222,0.125,0.23263888888888887,189.95589729871827,83.12486109559929,7070.154492125384
16.0,2.5226769690085837,0.5694098551284926,0.6627930620880326,-2.0,-7.0,-8.608589176800692,4.17135919164071,9.187930858157811,6.914108231993083,10.143536453959717,7.8641481591910605,5.3422630858171285,0.961791817473646,2.1522936848165686,-0.7667821958410386,-1.897795164643071,-3.8574265335746474,-6.099350154772165,-4.855524202178719,-4.980200987523091,-2.949899136107794,-3.647651336133177,-4.446876829653442,33,11,13,10,0.0,0.0,0.8,2.0,4.6,6.0,6.4,7.0,7.4,8.0,9.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.63636363636363,72.2334901299692,80.49136555625059,40.54545454545455,54.81818181818182,54.81818181818182,65.45454545454545,109.9090909090909,152.9090909090909,0.03305785123966942,0.11570247933884298,0.2809917355371901,0.5619834710743802,103.66658040774554,42.36163052220018,1875.2326039738116
17.0,6.73810864830785,0.6049419238402701,1.1581051149186488,-2.0,-7.0,-12.0,3.238163776682665,-1.761836223317335,0.13411212414140508,5.478034645329515,0.47803464532951523,-2.551094845318788,0.3323871920879995,-4.6676128079120005,-5.196584960198058,-1.4987672612697551,-5.762117013721155,-3.611604606541391,-8.611604606541391,-8.683999066078934,-1.904412339888097,-5.463312018950177,-4.612845779903037,30,12,14,11,0.0,0.4,1.6,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.6,2.0,3.0,3.0,3.0,3.0,3.0,3.8,4.4,5.0,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,28.818181818181817,125.33382844335452,112.70347963235858,56.90909090909091,72.54545454545455,72.54545454545455,105.63636363636364,158.9090909090909,217.0909090909091,0.01652892561983471,0.04958677685950413,0.1322314049586777,0.3140495867768595,148.14583375710296,59.58318249374958,3753.1101798146615
18.0,6.395608864944695,0.8083589001733582,1.3350014742227678,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,31.0,136.062237243257,133.62854274624507,167.33333333333334,167.33333333333334,167.33333333333334,167.33333333333334,268.6666666666667,300.0,0.0,0.0,0.0,0.0,217.38798403441214,50.48435249061947,3117.848298090643
