cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,1.4138909828534745,0.7367476900465398,0.7667959878002222,-2.0,-7.0,-8.715394498248742,-0.5769724912437084,-5.576972491243708,-10.576972491243708,-3.6980845311927446,-2.5484004624369163,-2.167277271799793,-4.0109973455644665,-2.2647869922079096,0.8042737665744724,-0.34947957061937274,-5.349479570619373,-7.9103818945379745,-7.903590479042691,-7.761139235662819,-4.240357860344065,-3.727619167707948,-1.1065223013342944,16,11,13,10,0.0,0.4,1.0,1.0,3.4,5.0,5.2,6.0,6.0,6.2,7.2,8.0,8.0,8.8,10.0,10.0,10.0,10.0,11.0,11.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.07692307692308,89.19279935209663,92.06836983531304,41.38461538461539,62.0,62.0,89.23076923076923,130.84615384615384,174.23076923076923,0.01183431952662722,0.07100591715976332,0.20118343195266272,0.4260355029585799,125.94958336358874,51.9403474454689,2846.080479942049
4.0,2.231899532087605,0.9489509069004175,1.0181347305626225,-2.0,-7.0,-12.0,-17.0,-12.009924501060016,2.644432708662574,4.648298650631489,4.268882119240215,3.681937019874506,4.012600706121738,10.601070460622386,6.976942568889015,5.541657498674786,2.9181341185319667,-2.0818658814680333,-5.93143611534064,-6.329717050831064,-11.329717050831064,-11.218119588031342,-16.218119588031342,52,20,22,19,0.2,1.0,1.0,2.0,4.0,5.2,6.0,8.0,8.0,8.0,8.8,9.0,9.0,9.0,9.0,9.4,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3,128.4752205261397,126.22173277727737,46.0,46.0,78.0,137.1,181.8,257.8,0.0,0.06000000000000001,0.16,0.27999999999999997,175.31954083105066,76.99860266121655,6072.501399313881
5.0,0.8097823001753208,0.7700711207328506,0.7785373941998724,-2.0,-7.0,-12.0,3.921660599447769,0.8087341918971575,2.601248818935165,-2.398751181064835,-3.907827621025646,1.0373496694837427,0.36186294833118493,-0.6404280768587725,-3.0109148084465476,-4.603372905065858,-6.236786534460357,-9.719433487949248,-10.937735394096183,-13.45869202131641,-14.969293788205585,-12.515584243337486,-14.069660611467834,17,87,14,11,0.0,0.6,2.0,3.0,4.0,4.6,5.8,6.0,6.2,7.0,8.0,8.2,10.8,11.6,12.8,13.0,13.6,14.6,15.0,15.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.3125,106.48801124918275,106.67779251430458,33.25,62.125,83.4375,103.4375,151.5625,194.25,0.015625,0.0390625,0.1484375,0.328125,148.43635672155568,63.072378193619,4138.668351180375
6.0,2.076702538623469,0.5115235248754555,0.553100401666025,-2.0,-7.0,-12.0,-17.0,19.956220112477077,14.956220112477075,9.956220112477077,4.956220112477077,7.138291245517776,12.911397945078823,7.911397945078825,2.911397945078825,-2.088602054921175,-7.088602054921175,-12.088602054921175,-17.088602054921175,-22.088602054921175,-27.088602054921175,-32.088602054921175,-28.836505244404016,22,89,19,16,0.0,0.0,0.0,0.0,0.6,1.8,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,96.67078841438253,99.01271643097486,59.666666666666664,59.666666666666664,59.666666666666664,118.16666666666667,150.33333333333334,232.33333333333334,0.0,0.05555555555555555,0.1111111111111111,0.27777777777777773,145.29926964614603,59.49807169219026,3923.800739598261
7.0,2.205680924065645,0.7694362186737075,0.8290093646405805,-2.0,-7.0,-12.0,-17.0,-22.0,-8.751125639113729,-3.286117919806074,-1.9319806953533494,3.981929072818396,-1.0180709271816042,-6.018070927181604,-11.018070927181604,-10.366568762935664,-14.471253162882444,-11.29123595870234,-9.436837801951441,-13.519835296451978,-13.511871384503724,-13.152055824702103,-15.006872496070429,40,23,25,22,0.0,2.4,3.0,4.4,5.0,5.0,5.0,5.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.6,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,19.181818181818183,112.805901067691,113.67288567799189,49.90909090909091,82.36363636363636,82.36363636363636,113.45454545454545,169.72727272727272,234.0909090909091,0.0,0.06611570247933884,0.1322314049586777,0.29752066115702475,158.4048530958746,64.83507194194311,4460.408350537234
9.0,5.957399523432021,0.703996827265677,1.130586194040588,-2.0,-7.0,-12.0,8.648932124492013,20.74822020748669,15.74822020748669,10.748220207486689,5.748220207486689,0.748220207486689,-4.251779792513311,-9.251779792513311,-14.25177979251331,-19.25177979251331,-24.25177979251331,-29.25177979251331,-34.25177979251331,-39.25177979251331,-44.25177979251331,-36.91395965239714,-18.010449015549142,19,89,16,13,0.8,1.0,1.0,1.0,1.8,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.2,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,130.19873985752983,130.76760141141858,80.83333333333333,80.83333333333333,80.83333333333333,101.0,145.33333333333334,208.33333333333334,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,168.44828603704408,70.20474256455599,5620.2304351563325
10.0,3.8450896542786848,0.633333876578655,0.789693539308266,-2.0,-7.0,-12.0,-17.0,-7.463650175903096,1.5188925458277325,-3.4811074541722675,-6.535528004511479,-3.753210205868328,-5.462149403399979,-2.0361344696929335,-2.8248830800742155,-6.265076686535657,-7.3578625730206255,-5.585363113874917,-2.752731560958523,-7.325720929293399,-2.2742437066167525,-1.3742520466881842,-2.5802539111799008,26,18,20,17,0.0,1.0,1.8,2.0,2.6,3.0,3.0,4.6,5.0,5.4,6.0,7.4,8.2,9.0,9.0,9.6,10.0,10.0,10.0,10.0,0.0,1.0,1.8,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,42.357142857142854,119.00668915733254,108.40845651991692,48.57142857142857,70.57142857142857,91.14285714285714,106.57142857142857,138.0,227.57142857142858,0.0,0.061224489795918366,0.19387755102040818,0.36734693877551017,153.5394710716516,67.62559689224716,4811.718747728427
11.0,2.2639740832123683,0.4451118231756582,0.5013989648748115,-2.0,-7.0,-12.0,-17.0,-22.0,-2.4015867570050475,8.997355404991588,3.9973554049915876,7.446703556441851,8.07960232407536,3.07960232407536,8.911150508560283,3.911150508560283,12.178327208755373,20.608475013156813,19.408872057513875,14.408872057513875,9.408872057513875,6.172511421020809,8.227068875048545,73,24,26,23,1.2,2.4,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.4,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.166666666666664,73.14662274257051,73.76597267502832,61.666666666666664,61.666666666666664,61.666666666666664,87.66666666666667,104.33333333333333,179.83333333333334,0.0,0.05555555555555555,0.3333333333333333,0.4444444444444444,115.33490083800065,43.47345942934373,2104.832708229096
14.0,5.103849699713466,0.19098230014232814,0.36751366833479415,-2.0,-7.0,-12.0,-17.0,-8.14063723288901,7.6484069177774785,2.6484069177774785,26.895491842005175,24.537781941291783,19.537781941291783,14.537781941291783,9.537781941291783,10.425605727052593,9.350821584226466,6.2960986988993,9.077207157590635,4.077207157590635,0.8310034759855995,2.8461887495654565,2.423924554412795,37,20,22,19,0.0,0.8,1.0,1.2,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,80.69551195480662,75.4790869613491,47.4,47.4,47.4,66.0,97.6,152.6,0.0,0.24000000000000005,0.4,0.5599999999999999,90.36520740571744,41.329534929621744,1968.586156584361
15.0,1.7261306053393035,0.6053614742794624,0.6400722092620643,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-37.385079084271965,-3.925395421359852,-8.925395421359852,-13.925395421359852,-16.030494449919065,-9.450890564155905,-14.450890564155907,-19.450890564155905,-24.450890564155905,-16.398968709012323,-21.398968709012323,51,46,48,45,0.0,0.0,0.0,0.4,1.0,2.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.8,87.10507435361363,87.7171341438083,75.4,75.4,75.4,126.2,163.4,203.8,0.0,0.0,0.16,0.24000000000000005,141.768206054859,48.26732349282481,2533.4219484008777
