cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
5.0,3.4425457992190456,0.5927234533246315,0.6862928465284016,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-15.360994131619549,-5.934990219365922,-10.934990219365922,-15.93499021936592,-20.934990219365922,-25.934990219365922,-30.934990219365922,-35.93499021936592,-37.507033774717854,-17.28479424261108,-10.857083862702808,-15.857083862702808,-13.242028534312846,39,76,36,33,0.0,0.0,0.0,0.0,0.8,2.6,3.0,3.0,3.0,3.0,3.6,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.4,6.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.6,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,59.666666666666664,141.69840535248397,136.64681752033576,91.11111111111111,91.11111111111111,131.44444444444446,151.77777777777777,203.11111111111111,257.8888888888889,0.0,0.024691358024691357,0.04938271604938271,0.19753086419753085,199.7974749738972,77.43917265660795,6164.783215869353
6.0,8.475930314856756,0.05893220272832338,0.8035200110609143,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-35.55097273590144,45.245136320492804,40.245136320492804,35.245136320492804,30.245136320492804,25.245136320492804,20.245136320492804,15.245136320492804,10.245136320492804,61,56,58,55,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,82.66039449043785,67.39784082615178,60.0,60.0,60.0,60.0,60.0,300.0,0.0,0.0,0.5,0.5,59.30430001273095,0.0,0.0
9.0,6.002282337671869,0.31328349864845756,0.6112411720826992,-2.0,-7.0,-12.0,-17.0,22.945973308948062,27.480292737660466,22.480292737660463,19.99443397904672,29.735103573621437,31.761260517165994,26.761260517165994,35.18753008813738,38.621180344336175,38.273197260766466,33.273197260766466,42.37323226228137,40.349452022846606,39.592318924358345,44.61464757577761,39.61464757577761,78,17,19,16,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.4,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6,1.0,1.0,1.0,1.2,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.42857142857143,111.99156059190337,131.09128664342478,58.714285714285715,58.714285714285715,76.85714285714286,76.85714285714286,110.0,225.28571428571428,0.0,0.12244897959183673,0.36734693877551017,0.4897959183673469,117.96344587591467,56.120108082336046,3493.089478538802
10.0,1.4718621538167687,0.8384258071544863,0.8632448164761519,-2.0,-7.0,-12.0,-17.0,-22.0,-5.91176553203343,3.147057446610951,-1.852942553389049,-6.852942553389049,-6.2237528436144816,-2.77996827895263,-7.77996827895263,-12.77996827895263,-6.917495074801948,-11.917495074801948,-16.91749507480195,-18.23835579305544,5.022328910627289,1.8092472674301092,-3.190752732569891,29,24,26,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,2.4,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,66.0,123.46777076239717,151.79733440147436,57.375,57.375,122.25,122.25,169.5,273.25,0.0,0.03125,0.09375,0.28125,184.28008168400086,85.3007950264852,7557.487494537707
12.0,7.4602988803227195,0.7270311554743943,1.1695362317118743,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-27.822546656611827,-23.028183320764775,-28.028183320764775,-33.028183320764775,-25.11066772542916,-21.498990661872085,-26.498990661872085,0,63,65,62,0.0,0.0,0.0,0.0,0.0,0.2,1.6,2.0,2.0,2.8,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.375,201.55844739483237,183.22688938858923,128.5,128.5,176.25,176.25,239.5,291.5,0.0,0.0,0.03125,0.09375,266.2323924531353,100.98852009269002,10718.514780870926
13.0,2.5182452263631565,1.4075553327750165,1.5152264035551093,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,20.0,153.36901544454537,153.20006018187897,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,306.4000652741445,0.0,0.0
15.0,2.9927646672074806,0.5018706451698786,0.5943702250079298,-2.0,-7.0,-12.0,-17.0,-22.0,6.086772347339014,1.0867723473390143,2.035638264111408,4.791762188757922,8.106855415136069,10.05647692292768,6.881958824402046,6.678006008138064,4.764742505424763,2.7164926162657705,4.928338753316519,5.932383314028391,3.865944227002103,-1.1340557729978968,-6.134055772997897,49,22,24,21,0.8,1.0,1.0,1.0,1.8,2.0,2.4,3.0,3.2,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.4,2.0,2.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,55.55555555555556,84.207700797268,92.48356365390308,37.111111111111114,37.111111111111114,49.77777777777778,76.11111111111111,125.44444444444444,192.22222222222223,0.0,0.09876543209876543,0.32098765432098764,0.46913580246913583,126.0100321575989,61.87849673955034,4014.7183690887405
17.0,8.573724978220655,0.23687582760895493,0.664888999711932,-2.0,-7.0,-3.267398698167355,10.257246095605653,8.87440798962168,13.153166309189682,17.242775759673652,29.20306281696721,32.51853146875236,30.11996634759072,33.43634242388224,42.182110891966715,44.77125004738248,44.22849782083209,41.75824682184887,44.15293030354665,52.24481514965453,52.09552637041463,49.63808410340631,51.73721697641217,82,10,12,9,0.0,0.0,0.4,1.8,3.0,4.0,6.0,6.0,6.0,6.8,8.8,10.4,11.0,11.0,11.0,11.2,12.0,12.0,12.0,12.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,75.47058823529412,152.87410315082536,128.42275287523861,42.294117647058826,57.76470588235294,68.58823529411765,92.94117647058823,144.58823529411765,201.0,0.01384083044982699,0.06920415224913495,0.20761245674740483,0.40830449826989623,142.82631903408588,68.33482695233236,4873.277095293805
19.0,7.869857001746922,0.8009436969200621,1.4029436734899314,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-34.950153790622586,2.7484658523266745,2.2723235528247643,4.058110103571899,-0.9418898964281013,-5.941889896428101,-10.941889896428101,1.1167498052593772,-2.0598421698591665,-7.0598421698591665,-5.4391406749327755,-8.783965301201178,46,42,43,40,1.0,2.0,2.0,2.0,2.2,3.0,3.8,4.0,4.6,5.2,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.44444444444444,192.64503280324294,164.24118062974117,97.55555555555556,97.55555555555556,126.11111111111111,169.66666666666666,217.77777777777777,272.6666666666667,0.0,0.0,0.1234567901234568,0.19753086419753085,232.98045844787708,102.14833257027732,11111.363406572153
20.0,2.0559679301768625,0.8480824477676521,0.8938689140685813,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-27.438531557764158,-12.115365476044666,-3.8833166609952343,-5.601396951698561,-5.038039923449051,-4.83903923159333,-7.3002649417311005,-9.319732859856574,-10.469770190644528,-10.911187907318459,-5.0764859982778265,-6.146100605845987,-11.146100605845987,-12.160942956834509,0,31,33,30,0.0,0.0,1.0,1.6,3.2,4.0,4.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,2.0,2.0,2.6,3.0,3.4,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,54.76923076923077,140.62083298609932,142.0683708692814,60.69230769230769,96.38461538461539,96.38461538461539,134.15384615384616,214.69230769230768,267.15384615384613,0.0,0.02366863905325444,0.10650887573964497,0.18934911242603553,197.5511959531539,82.7658120951976,7211.391037721445
