cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,3.6583027689899046,0.30697119968939446,0.41465477335141865,-2.0,-7.0,-12.0,-17.0,-22.0,10.065228012406209,18.169765049305212,28.522685184495014,38.24857263951593,33.24857263951593,28.24857263951593,28.214371596115768,30.663070031015526,25.663070031015526,20.663070031015522,15.663070031015522,21.600461796587126,16.600461796587126,11.600461796587126,6.600461796587126,42,23,25,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.8,3.0,3.0,4.2,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,100.16666666666667,83.34101715731948,97.41129265280392,52.166666666666664,52.166666666666664,52.166666666666664,83.0,118.16666666666667,195.33333333333334,0.0,0.1111111111111111,0.2222222222222222,0.38888888888888884,119.02472715921543,52.062291732536856,2797.36436268211
4.0,4.907661183557249,0.6103525554279071,0.7930724046025098,-2.0,-7.0,-12.0,-17.0,12.056868553522996,7.056868553522996,2.056868553522996,13.32859365655932,16.98822668139661,22.756462357506017,24.935286141578956,24.25586440420261,22.136249912618382,17.136249912618382,12.136249912618382,7.136249912618382,2.136249912618382,-2.863750087381618,-7.863750087381618,-8.78513008393964,49,17,19,16,0.0,1.4,2.4,3.4,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.4,6.0,6.6,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,72.7,148.36664864722366,143.25538568401043,78.5,78.5,106.7,155.0,187.3,266.2,0.0,0.06000000000000001,0.12000000000000002,0.18,206.46536327088884,97.00550834931978,9566.519447442686
5.0,3.467444692674635,0.6402804593448511,0.716504220011578,-2.0,-7.0,-12.0,-17.0,-12.842339163320926,-9.079015660716374,-5.7909305953596455,-3.3304894294014447,2.042710184029113,7.657109877677778,10.40395485997428,12.144467686235421,10.826263590147468,8.832089778581954,10.819399198400237,9.303695446610789,9.161824428756352,8.830555466356596,7.557530188690322,9.367725347462237,57,19,21,24,0.0,0.8,2.8,4.8,6.6,7.2,8.6,9.8,10.0,10.4,11.0,11.0,11.2,12.0,14.6,15.6,17.6,18.0,21.8,23.0,0.6,2.0,2.0,3.8,4.0,4.0,4.6,5.0,5.4,6.4,7.0,8.0,9.0,9.0,9.0,9.0,9.6,10.0,10.0,10.0,110.70731707317073,186.655447602018,182.15275364017674,76.90243902439025,105.02439024390245,127.04878048780488,165.09756097560975,242.5609756097561,289.4878048780488,0.0,0.013087447947650209,0.0761451516954194,0.14991076740035694,251.13791280939103,113.91912534746731,13491.087546748999
9.0,2.5807827637563485,0.24905543337770497,0.30774619439923195,-2.0,-7.0,-7.158104153317512,13.22621601529398,12.237373869881672,14.697511356562265,22.165420289533003,22.32951744195112,19.22922395820595,18.84709333212295,18.172876857200656,20.71231756073255,24.10412385491522,29.854687964348223,27.567450454841367,27.179950289597762,25.97623549492232,26.500631629775945,23.089376375978972,19.643429867863944,67,11,13,10,0.0,0.0,0.0,0.0,0.6,1.8,2.0,2.4,3.0,4.0,4.0,5.0,5.0,6.2,7.0,8.4,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888888888888886,65.5585145770768,77.56187893674041,34.666666666666664,34.666666666666664,46.55555555555556,64.88888888888889,91.0,135.22222222222223,0.04938271604938271,0.14814814814814814,0.46913580246913583,0.6419753086419753,87.3719730230897,39.568493943878515,1699.0366017652598
10.0,5.281568734802748,0.5948086575882521,0.9908991511175356,-2.0,-7.0,-12.0,-17.0,-22.0,-22.058997779733787,-1.2128920166407924,-0.35863458461959113,4.577301993057946,10.07524277870812,15.53677695163457,17.030118123231425,16.39341008724396,15.397920102627022,13.383652725709425,8.383652725709425,3.3836527257094247,1.5083174362295295,-1.4085727567570672,-6.408572756757067,57,26,28,25,0.0,0.8,1.4,3.2,4.4,6.0,6.0,6.0,6.0,6.0,6.4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,97.04344135370158,90.50644706371818,41.285714285714285,41.285714285714285,72.71428571428571,72.71428571428571,97.57142857142857,199.14285714285714,0.0,0.16326530612244897,0.4489795918367347,0.4897959183673469,115.22703739007115,62.29440259127119,4000.9530000340087
11.0,3.0580260376102255,0.0030566405905033695,0.06475130402559809,-2.0,-7.0,-12.0,100.72786018702035,95.72786018702035,90.72786018702035,85.72786018702035,80.72786018702035,75.72786018702035,70.72786018702035,65.72786018702035,60.72786018702036,55.72786018702036,50.727860187020354,45.727860187020354,40.727860187020354,35.727860187020354,30.727860187020354,25.727860187020354,20.727860187020354,17,12,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,34.4498971056443,64.7337489870656,16.0,16.0,16.0,16.0,16.0,300.0,0.5,0.5,0.5,0.5,15.811388300841896,0.0,0.0
14.0,2.1633089389113223,0.5139882869410748,0.5423423903167234,-2.0,-7.0,-8.789444723942527,-0.9472236197126342,-0.9372229609472391,6.4463080229960665,9.167819111195932,8.954952341364214,10.69797720358777,11.674220073632513,17.155338250067178,18.632638458671334,15.895040666417282,17.922397505557157,21.530564138181937,20.58805124854816,19.97932988774803,21.838613733577418,22.176154212541565,21.4337805352529,72,11,13,10,1.0,3.0,3.0,3.4,4.0,4.0,4.6,5.6,6.8,7.6,8.0,8.0,8.0,10.0,12.8,14.0,14.0,14.8,16.6,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,118.65384615384616,144.39529179286453,141.55568216682914,75.53846153846153,92.73076923076923,109.73076923076923,138.3846153846154,187.5,245.69230769230768,0.002958579881656805,0.03254437869822486,0.11538461538461539,0.2366863905325444,208.77568005937022,99.68782788018736,10040.898435316385
15.0,2.4896442880384915,0.5009169614690477,0.5681537842317567,-2.0,-7.0,-12.0,1.9587682121039847,9.597947020173308,10.27912825160298,10.149051376399168,12.96074098453903,18.686255542462234,18.495978313306697,16.479683691785826,15.724315599063777,13.421791452014322,10.398847118920798,9.843508978622154,8.396121191611211,8.612702242089952,6.328138980318144,1.328138980318144,-2.0827082116748783,43,14,16,13,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,4.2,5.6,6.6,7.0,8.0,8.2,9.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,77.81818181818181,85.26550834371805,90.60893323801227,47.18181818181818,59.63636363636363,59.63636363636363,79.54545454545455,134.63636363636363,169.0909090909091,0.04958677685950413,0.09917355371900825,0.2644628099173554,0.4462809917355372,123.47990960087768,52.223394068404154,2886.5288741929708
16.0,2.844589371752657,1.1256065459453939,1.2490085242501705,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,56.0,142.338819858238,144.0564886038205,283.0,283.0,283.0,283.0,283.0,300.0,0.0,0.0,0.0,0.0,282.6446532308722,0.0,0.0
17.0,5.751276285932153,0.05784011282597725,0.38826373347862203,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-1.4414321076012357,46.89641973099691,41.89641973099691,36.89641973099691,31.89641973099691,46.87784842742256,41.87784842742256,36.87784842742256,31.877848427422567,26.877848427422567,21.877848427422563,16.877848427422563,11.877848427422563,40,35,37,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,60.16277147422153,51.79925381402996,39.0,39.0,39.0,39.0,53.666666666666664,300.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,46.004140230606545,7.089711716137283,75.21431123201627
