cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,1.232290082618625,0.849908773089179,0.8705132616022397,-2.0,-7.0,-6.798277859099476,-1.0937588566347276,-1.9476083968537552,-0.42898112459393045,-1.0894197350695627,-1.0262358116317087,-1.1668179943119057,-1.4233173140731907,-2.7673106672828767,-3.4355233695199248,-2.889620743519873,-4.590674644212418,-6.578425235481232,-5.192794255193689,-2.542254107659167,-2.963147413203856,-3.33163245649576,-4.310343343379347,39,10,12,8,1.2,3.4,5.0,5.0,8.0,10.0,12.6,15.2,16.4,17.0,17.0,17.6,19.0,19.2,20.0,20.0,20.0,21.0,23.0,23.0,0.0,1.0,1.0,1.6,2.0,2.0,2.0,2.0,2.6,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,45.10344827586207,104.99318941322385,105.07916541197328,49.13793103448276,60.172413793103445,77.75862068965517,102.48275862068965,145.75862068965517,193.82758620689654,0.011890606420927468,0.06183115338882283,0.20214030915576695,0.4042806183115339,146.37673262510424,67.79608784372797,4726.005031693093
4.0,4.367052642952066,0.7989797758764806,0.9972444385072613,-2.0,-5.525301567723138,-3.4048276564968503,-4.697451034480928,-7.589164358107107,-1.108204761932744,2.739527332696055,5.224221449211761,7.807183238098309,6.598608323365172,4.529054095942503,4.300131142780761,3.081792135102424,3.624510167884162,2.9968976658574262,2.1750367408883164,-0.5102520198492329,-2.4347895349081967,-3.6765448913513326,-2.4758791129617608,40,23,25,5,1.0,4.6,6.4,8.8,9.2,10.4,12.2,14.0,15.0,16.0,16.0,16.4,17.0,18.0,19.6,21.0,21.0,21.0,21.0,21.0,2.6,5.0,5.8,7.0,7.0,8.0,8.0,8.0,8.2,10.2,12.0,12.0,12.0,12.0,12.0,12.4,13.0,13.0,13.0,13.6,56.94736842105263,148.60493984298938,136.58979285042395,45.36842105263158,68.05263157894737,88.71052631578948,126.34210526315789,183.6315789473684,249.1578947368421,0.0041551246537396115,0.05124653739612188,0.13850415512465372,0.2631578947368421,189.99490978653603,87.74022929702664,8010.442941755632
5.0,2.836142365664642,0.6979561541890165,0.7951135017029713,-2.0,-5.823600751641402,-5.453540105108907,-4.657448799581786,-3.196115725059091,-4.4569024506721435,-3.149126254643941,-0.5456914035254442,0.8319453168052078,2.555164406504703,2.255924648453079,1.199402128605307,0.3902778234482881,-0.5027961397417158,0.13455181486471587,0.8456844787352423,1.2419141251927583,1.4992312678597925,2.1577320413521988,2.4035911178768714,48,7,8,5,1.2,5.0,6.0,6.4,7.8,9.0,10.8,12.0,13.8,16.4,18.2,19.0,19.6,20.0,22.6,24.0,25.0,26.8,27.6,28.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.2,7.0,7.2,8.0,8.0,8.0,8.0,8.0,8.0,55.5609756097561,105.0595915657195,101.5078655714314,49.90243902439025,65.5609756097561,80.8780487804878,98.95121951219512,142.4878048780488,187.78048780487805,0.007138607971445569,0.052349791790600834,0.1998810232004759,0.40214158239143366,143.36759036900278,62.52210036088007,3982.615365149103
7.0,2.9993724700195696,0.5962620811647905,0.6864178506851004,-2.0,-7.0,-3.5867375895143327,-0.6062766607651305,5.847844049811608,8.47368368771674,9.914197603967317,11.383654142636582,12.52382178977172,10.876609581542274,12.689621457696479,11.395898054264489,13.340728857947472,14.059303812740911,15.439731448095088,17.379668968428927,16.861486244273927,16.40556829306744,15.605587969177824,15.148864400238466,76,8,21,6,0.2,2.2,3.0,3.4,5.0,5.4,6.0,6.2,8.0,9.8,12.8,13.8,15.0,16.0,19.8,22.2,24.0,25.0,27.0,27.0,0.6,2.0,3.0,3.0,3.0,3.6,4.6,5.0,5.4,6.0,6.0,6.0,6.0,6.0,6.8,7.0,7.4,9.8,11.0,11.4,80.3,116.10831296793044,109.7816537848051,41.175,58.25,75.225,99.925,143.225,199.9,0.01,0.06625,0.21875,0.38875000000000004,150.57279133913514,67.86637687959603,4698.5328062816925
9.0,4.868039980141496,0.8868966754995167,1.2526020041989376,-2.0,-7.0,-12.0,-17.0,-12.879652448642753,-9.280906314852306,-2.6935131428054944,7.646463742379064,13.14168552900444,10.45178563118501,10.651266175744633,11.60425408039158,14.040266381963955,12.636300413369938,8.937014576107103,7.844217433960128,8.755010660769807,7.639454884184309,8.124732559326342,6.844746936966269,60,19,21,24,0.6,1.2,2.0,2.0,2.2,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.4,3.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,6.0,6.0,6.6,7.0,7.0,7.0,7.0,7.0,7.0,32.916666666666664,120.55758992675032,109.72044829249667,34.75,46.0,46.0,88.66666666666667,121.16666666666667,231.25,0.0,0.125,0.3611111111111111,0.5277777777777778,139.58639318676106,83.3662144189625,7105.484670244498
10.0,1.2991777563530056,0.6938984960053549,0.7121346073596979,-2.0,-7.0,-6.029764387348595,-6.733709443046014,-2.023202291444078,-1.0771822495535717,0.6715573849345432,0.6936025247448185,0.576512295365653,0.13732415265536274,1.9066568278462142,2.7859518677080515,2.199630465889726,2.1863542082004868,5.509203954828109,5.428630527431079,3.878728608057716,3.7383302498205553,3.4462423294448827,2.228058763700605,72,9,10,13,0.2,2.8,5.4,7.0,7.2,9.8,12.2,13.8,15.0,17.2,19.0,20.0,20.0,20.6,22.0,22.2,23.0,23.0,23.0,23.0,0.8,2.6,3.0,3.0,3.6,4.4,5.0,5.0,5.0,5.0,6.6,7.6,9.2,11.0,11.0,12.0,12.2,13.4,14.0,14.0,70.37837837837837,112.10392162908795,112.56538372823063,44.648648648648646,66.91891891891892,82.56756756756756,109.13513513513513,157.8108108108108,205.97297297297297,0.004382761139517896,0.04090577063550037,0.17677136596055518,0.3316289262235208,157.3507974708453,68.63317312787609,4829.362651121701
11.0,1.4036062376542773,0.9858830993562578,1.0186748978759632,-2.0,-7.0,-12.0,-9.390063306230076,-5.190995021407397,-2.0069574616449826,-5.454178412907909,-8.07581743357196,-9.457215697474927,-10.024303770436806,-9.595890677861805,-8.4119979710939,-7.431834279272198,-6.676148790489423,-7.312645834628024,-6.849744366167423,-8.05807594729182,-7.92380724279125,-7.272753900711362,-6.973689358681446,0,14,16,12,1.2,3.6,5.4,6.2,7.8,8.0,9.8,12.4,13.0,15.6,16.4,18.0,18.0,18.0,19.4,20.6,22.0,22.6,23.0,23.0,0.8,1.6,2.0,2.4,3.0,3.8,4.0,4.6,5.0,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,45.29032258064516,104.65518151908279,103.44401347418787,43.806451612903224,68.2258064516129,73.54838709677419,95.03225806451613,148.09677419354838,197.25806451612902,0.006243496357960458,0.037460978147762745,0.18938605619146723,0.39334027055150883,144.61531822898297,61.94672164772117,3954.623565422176
12.0,4.087702119589233,0.7507533196575709,0.8747717883837524,-2.0,-7.0,-12.0,-10.21024469697162,-2.6725349288787554,1.7842877191394522,1.7914840175867632,3.1226694901407654,4.347390369167809,6.49691408078626,6.724500421353767,7.117678653315565,6.530580707303178,6.257144146085077,7.540743584150701,8.826304818774977,8.753469715210375,7.777722239588033,6.685853754253978,6.571999768021351,80,14,17,12,0.8,2.6,6.0,7.6,9.0,11.4,13.0,14.4,16.8,18.0,19.8,21.6,23.6,25.6,27.0,27.0,27.8,30.0,30.0,30.4,1.6,3.0,4.4,5.4,7.0,8.0,8.8,11.4,12.0,12.8,13.6,14.0,15.0,15.2,17.0,17.6,19.4,20.0,20.0,20.0,84.98666666666666,183.73435613442217,188.05942702003628,76.66666666666667,109.49333333333334,130.94666666666666,163.97333333333333,231.81333333333333,286.97333333333336,0.002488888888888889,0.01955555555555556,0.08497777777777778,0.1671111111111111,248.44632945375182,112.45413364670128,12942.847124855893
15.0,2.993861839491601,0.8003922271176338,0.8889310495518223,-2.0,-7.0,-12.0,-9.886016737417467,-4.065750479553385,0.34717193094840226,2.4990899012533334,3.136736410265698,2.3000394955336163,0.7619100032330209,-0.28697404876962906,2.111603729314679,3.34803998554234,2.218129312549942,0.4764583702258534,-1.1766677210222383,2.2929280957453386,2.1557669205757746,1.6766943375150702,0.7064441516365065,36,14,21,12,1.0,2.0,2.2,4.2,7.8,9.4,10.8,11.4,12.0,12.4,14.4,15.0,15.0,15.2,16.0,16.8,17.0,17.0,17.0,17.0,0.0,1.0,1.4,2.0,2.0,2.0,2.8,3.0,4.0,5.6,7.0,7.8,8.6,10.0,10.0,10.6,11.0,11.8,13.0,14.0,61.5,149.65592288258966,147.9147440866425,51.425,75.875,96.925,132.225,201.3,258.725,0.0025,0.0325,0.10500000000000001,0.21875,200.98803633081803,87.11052889505183,7781.691063128019
16.0,4.643404993208475,0.6048948563061005,0.8467823482722683,-2.0,-7.0,-12.0,-17.0,-9.728781586482445,-0.43203279626604996,-5.43203279626605,-6.062397034127759,-4.499500618744839,-0.5250860746191336,0.6088292241787443,2.2392498901524833,-0.3479331111795318,0.11975824050818176,2.628377484315183,1.6706363543367928,-0.02921525056034966,-1.2688496868131296,0.09944005398167235,-3.052262246760088,71,18,20,17,0.0,0.0,0.8,1.8,2.0,3.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.2,1.0,1.2,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.2,5.0,6.0,6.8,7.0,7.0,26.923076923076923,103.32223388321508,105.77376174197524,48.76923076923077,59.46153846153846,59.46153846153846,89.76923076923077,132.69230769230768,180.6153846153846,0.0,0.0591715976331361,0.26035502958579887,0.4378698224852071,136.62458983638177,67.1261057379954,4643.269733742135
