cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,2.0768492418907605,1.3013920051064947,1.410287342064481,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-49.36110255900223,-23.805512795011147,-28.805512795011147,-33.80551279501115,-38.80551279501115,-43.80551279501115,-48.80551279501115,-41.279579583032465,-35.81748665123483,0,56,58,55,0.0,0.0,0.8,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.0,3.0,20.2,88.61306402171704,91.38212932784018,91.6,91.6,91.6,123.2,159.8,204.2,0.0,0.0,0.08,0.32,144.2902554943219,43.451343452066126,2121.2661929280684
5.0,2.1413199036219055,0.6383205612060308,0.6943653179623234,-2.0,-7.0,-12.0,-9.13071346120087,-0.18656446608885774,-1.2308743818761485,-4.342348381322735,0.46034386665272964,-0.15816156153957622,0.8343095221962301,-0.16577801118214666,3.156596073868836,4.849387509058815,3.993560326973102,5.933741286293798,5.615764708415048,4.07692368117479,4.672574611166638,3.502237347587132,5.343960963645111,75,15,17,13,0.2,1.0,1.4,2.0,2.0,2.0,3.6,4.0,6.2,7.8,8.0,8.0,9.0,10.0,10.6,12.0,14.0,15.0,15.0,17.6,0.6,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,67.52380952380952,95.25963965909824,94.06437723489366,56.0,65.47619047619048,73.95238095238095,92.42857142857143,138.0,177.8095238095238,0.009070294784580499,0.05442176870748299,0.22675736961451248,0.4126984126984127,132.788461610094,56.4143822972739,3264.175253595391
6.0,5.109085183618083,0.8765751118904495,1.169427402444286,-2.0,-7.0,-12.0,-17.0,-9.032981752152216,-10.79122719019027,-8.223657634445765,-13.223657634445766,-12.174447167818299,-8.371658764187341,-11.649901843852378,-12.819398884706686,-12.975465172439533,-13.034212951039525,-12.303461479792452,-11.440778803414876,-3.7913315090864925,0.6817553898146145,3.5689614453281364,-0.6681646174845071,89,18,20,17,0.0,0.2,3.4,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,2.0,2.8,3.2,4.0,4.0,4.2,5.6,6.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,36.15384615384615,119.24524764146288,117.0189406884995,66.0,84.53846153846153,84.53846153846153,108.46153846153847,151.92307692307693,212.69230769230768,0.0,0.02366863905325444,0.1775147928994083,0.3905325443786982,172.8970619253759,90.72928118780834,8495.32776916441
7.0,2.433079376782569,0.5844601772887102,0.6485022892876382,-2.0,-7.0,-12.0,-2.021636165777307,-2.1332828500984413,-0.34181305657615724,-1.244715291484674,-1.1564630863400722,2.4075965295467583,4.102744615672026,6.057566428792997,6.026559143994064,5.429000391816547,5.99232626778327,4.039134743709917,4.911534786614544,5.097051498555388,6.28180920051999,4.074679230008249,3.061195334856376,87,13,14,11,1.2,2.0,2.6,3.0,5.2,8.0,8.2,10.0,10.6,11.0,12.0,13.0,14.2,15.8,19.0,21.0,21.6,22.4,23.0,23.0,0.0,0.0,0.4,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,56.32,98.82583536741066,99.72535186276589,46.56,56.52,71.28,93.68,136.96,179.8,0.0128,0.0576,0.2368,0.4576,134.59971523728845,59.41282820897985,3625.523209038463
9.0,3.127413255275188,0.6371698680675987,0.7501158702808522,-2.0,-7.0,-12.0,-12.26491535538581,-3.0014683026855318,3.4917790465642318,6.6926859980805276,10.544884662722094,9.320499632096006,8.579950207244304,7.925083640357269,10.859594625062789,12.925055305016974,12.83880979573677,9.476991345480272,8.882456655925846,8.237156339133383,9.273800387616873,10.335794442889448,7.607711060169154,62,16,17,14,0.8,2.0,2.6,3.8,4.0,4.0,4.2,5.0,6.6,7.0,7.6,9.2,10.0,10.0,10.4,11.0,11.6,13.0,14.0,14.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.66666666666667,101.21064735958944,99.57758318234201,45.333333333333336,70.95238095238095,84.38095238095238,96.38095238095238,140.9047619047619,199.52380952380952,0.0045351473922902496,0.07256235827664399,0.23582766439909297,0.4172335600907029,140.65480112330997,62.65167037335883,3997.9624778244333
10.0,3.492142292142669,0.6360584505830801,0.7829950813043377,-2.0,-7.0,6.995963637690757,1.9959636376907568,-3.004036362309243,1.9132471044186203,4.973936652147472,2.785662762025197,2.2321222863677903,7.019500946235063,2.0195009462350626,2.0735695187261256,1.250663127383099,0.11267302412661592,4.64723542398624,2.152224196914639,1.5228069982643462,-0.029656588359779336,3.609911325455562,3.5927910626554307,12,7,9,6,0.4,1.0,1.0,1.6,3.8,4.0,4.0,4.0,4.4,6.0,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.2,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.84615384615385,101.44717197309083,103.7524941570129,46.15384615384615,73.38461538461539,73.38461538461539,98.61538461538461,140.30769230769232,188.69230769230768,0.01183431952662722,0.0591715976331361,0.20118343195266272,0.40236686390532544,139.09964581821015,59.57438232841868,3607.980512593987
11.0,0.7513469562999846,0.4873257693768506,0.493683716846194,-2.0,-7.0,-12.0,-17.0,-2.8888298436121174,-3.111037304515147,-2.9694436112396296,3.718858231536332,9.287416463526544,12.052411659485045,13.305758580955285,14.253611419874408,10.859252048507827,13.03496128821956,12.713876407624038,10.026916094693442,7.942283511518326,7.658490474456468,7.346057340435951,6.928873955915288,55,18,20,17,0.6,1.0,1.0,2.0,3.4,4.0,4.0,5.6,6.4,7.0,8.6,10.0,10.0,10.4,12.0,12.2,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3076923076923,80.364244983179,81.5358829958268,34.61538461538461,52.46153846153846,52.46153846153846,77.76923076923077,120.23076923076923,162.0,0.0,0.09467455621301776,0.2958579881656805,0.4970414201183432,112.89041657229465,49.165516908651554,2501.7708389493487
13.0,3.781039917494431,0.7192509670755274,0.8710893725701785,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-51.65139593164647,0,89,0,2,0.6,1.2,2.0,2.0,3.0,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,132.98658146316828,132.30053709191785,104.5,104.5,104.5,104.5,224.0,274.0,0.0,0.0,0.0,0.25,200.26637127899792,71.99501059676854,5278.447538410142
16.0,7.2387638000946035,0.8810203091820118,2.2232107777424743,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.8,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,92.0433061891221,85.5658235626252,125.33333333333333,125.33333333333333,125.33333333333333,125.33333333333333,161.33333333333334,300.0,0.0,0.0,0.0,0.0,143.12579056464443,18.058253254242064,454.7560564341527
17.0,1.3526608884652696,0.8458352848832027,0.8691917351704171,-2.0,-7.0,-12.0,-14.882615724682518,-5.889860140160808,-2.9316084782183944,-3.6483644234338954,-3.2552932566846593,-5.707651995495273,-9.47623112753836,-11.046205057414547,-13.26456627675238,-11.871250689564349,-9.27541273496264,-10.50635605932799,-8.594235107632135,-10.32934168848521,-9.413354988704626,-10.916377582523873,-11.764421300930769,0,17,19,15,0.0,2.0,4.8,5.0,6.0,6.4,8.6,10.0,10.8,12.0,12.0,12.2,15.0,16.0,16.0,16.6,17.0,17.0,18.0,18.0,0.0,0.0,0.0,1.0,2.4,3.0,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,50.5,116.44166863780316,124.6782178496912,57.083333333333336,70.95833333333333,87.25,111.20833333333333,163.66666666666666,217.70833333333334,0.006944444444444444,0.03819444444444444,0.14583333333333334,0.2951388888888889,163.7958443884054,67.58368238272827,4678.333768970694
