cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,4.923288879646191,0.4971814059231638,0.6938178013409383,-2.0,-7.0,-0.07456076307804552,8.585081301797818,18.739030482897743,22.36256168513871,22.902832581603803,18.47930722340643,19.88911517307155,18.17413364543178,16.624102382550383,18.469032623790657,21.26363858129837,19.431844005050763,16.764941457101166,14.043102297127732,10.038400511617448,7.498854965421273,6.423880479738875,6.684731933841377,29,9,11,8,0.4,3.2,5.6,6.0,6.0,6.0,6.6,7.0,7.0,7.0,7.6,8.0,8.0,8.4,9.0,9.0,9.0,9.2,10.0,10.0,0.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.0,58.5,125.7916404923073,117.80574066915786,39.05555555555556,61.72222222222222,79.61111111111111,112.83333333333333,163.61111111111111,219.55555555555554,0.018518518518518517,0.06790123456790123,0.1728395061728395,0.31481481481481477,165.45234886879962,73.97341185512191,5579.08812049103
2.0,2.59585601223878,0.9110157890873736,1.0039860748640892,-2.0,-7.0,-12.0,-17.0,-11.35001138951554,-5.711192146142293,-3.2513697701478796,-2.5165619402505506,2.858739202131028,3.936700075138707,2.530412964196721,-1.8823277226485189,-0.4643452310336187,4.016836355845006,0.5854080746322126,-2.715365128038502,-5.196004664151218,-4.931536084173521,-7.092371052163247,-10.844463863809256,43,19,21,24,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.4,4.0,6.0,6.0,7.0,7.0,7.0,0.0,1.0,1.4,2.0,2.0,2.0,2.0,2.4,3.0,3.6,4.0,4.6,5.0,5.0,5.0,5.0,5.8,6.0,6.0,6.0,58.357142857142854,120.03828140511364,120.19475378846037,41.357142857142854,70.21428571428571,94.28571428571429,113.14285714285714,164.07142857142858,241.07142857142858,0.0,0.04081632653061224,0.17346938775510204,0.30612244897959184,166.65276940078658,74.33795560920258,5673.894748887256
6.0,10.556867067403422,0.18533763836288858,1.0796651255942042,-2.0,-7.0,-12.0,-17.0,-22.0,-18.04394572261571,19.317062639035242,27.04946101689052,29.309570076387992,33.75759917143479,34.06718106910885,40.3483033395481,47.189602959123455,44.816156015223186,39.816156015223186,34.816156015223186,29.816156015223186,31.20637840300135,26.20637840300135,21.206378403001352,63,26,28,25,0.4,1.0,1.0,2.0,2.0,2.0,3.2,4.0,4.0,4.4,5.0,6.2,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.625,132.29254029874062,82.09241608758347,36.875,36.875,45.25,45.25,126.875,159.0,0.0,0.125,0.34375,0.4375,105.40628978392564,51.494461872412344,2733.814445894827
9.0,5.1043063221271545,0.5444544907847105,0.85306198059776,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-28.532710617742556,-5.831776544356387,-10.831776544356387,-15.831776544356387,-20.831776544356387,-25.831776544356387,-25.275255884285578,-8.049173244002333,1.5782538116153035,13.585358635902821,8.585358635902821,89,45,47,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,97.03123136589835,101.64519482492337,87.4,87.4,87.4,114.4,149.8,216.4,0.0,0.0,0.16,0.4,141.5421552512687,49.52972012133326,2653.9668401429212
13.0,0.6834738812555438,1.4981062336446336,1.5072398887941558,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-47.05373684262964,-35.42289473771607,-40.42289473771607,-45.42289473771607,-50.42289473771607,-55.42289473771607,0,69,71,68,0.0,0.6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.4,1.0,1.0,1.0,1.0,1.8,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.6,4.0,4.0,19.833333333333332,136.18977380196657,142.1277969099045,112.0,112.0,112.0,172.66666666666666,200.66666666666666,283.6666666666667,0.0,0.0,0.05555555555555555,0.1111111111111111,207.06355835459817,69.45403851999323,5161.050612866298
15.0,6.493064861879975,0.6089525653670342,1.02042406125058,-2.0,-7.0,-12.0,-17.0,-16.996058062931063,-1.9802903146553206,2.26530921771556,-0.4232908991917199,-5.42329089919172,-7.416866750093159,-7.907230526445318,-10.32560658691246,-7.542054240746682,3.9434116370299934,2.736438201490472,2.4302478702615105,-2.5697521297384895,-7.5697521297384895,-4.847278213733969,-4.199202107149475,68,21,23,20,0.6,1.0,2.2,3.8,4.0,5.0,6.0,6.0,6.0,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.0,3.0,43.7,143.27912989809337,140.60151127586218,49.8,49.8,78.8,137.0,187.7,262.3,0.0,0.04,0.16,0.26,178.3545731170337,78.56098241864724,6423.337642064661
16.0,3.4286786363542556,1.172896637025732,1.3510505098541399,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-32.96146604280646,-14.683346676560245,-4.533909066994596,0.8628155637405286,11.257589768066676,7.190413480669832,2.1904134806698323,-2.8095865193301677,-4.8302439026383155,-6.931767624810632,-11.931767624810632,-9.840590570030875,-8.745937770634828,57,36,39,35,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.8,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.8,1.6,2.0,2.0,2.6,3.0,3.0,3.2,4.4,6.0,6.0,6.0,6.0,6.0,6.6,7.0,40.0,143.24122127528256,164.75382096678123,66.07692307692308,81.46153846153847,81.46153846153847,145.15384615384616,203.92307692307693,242.69230769230768,0.0,0.01183431952662722,0.15384615384615385,0.21301775147928995,196.60572755817108,85.11421466758136,7504.03514412695
18.0,2.7335303685855403,0.4059144656024428,0.5047491602650392,-2.0,-7.0,-12.0,-14.062840611937554,-4.880980552913924,-3.8489376675792237,1.876961058732649,1.8182793199185283,5.446400959317406,5.757352630874109,3.781858944639757,5.137996545881476,4.460201792625128,0.8704985480767732,4.171507820556386,2.951012191092147,1.002304035119721,0.9363974539470206,5.0494776159526795,8.864088957303604,59,16,18,15,0.0,0.0,0.6,1.0,1.8,3.2,5.4,7.8,8.0,8.0,8.8,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.833333333333336,62.208359390333385,62.62280424285141,32.5,47.333333333333336,47.333333333333336,59.416666666666664,89.33333333333333,114.16666666666667,0.013888888888888888,0.1111111111111111,0.3611111111111111,0.7638888888888888,87.66319501566487,33.58580544295446,1146.3923903976745
19.0,3.2870093971362335,0.9312605394597534,1.1307534746514065,-2.0,-7.0,-12.0,-17.0,15.51491545901971,10.514915459019711,5.514915459019711,0.5149154590197114,-4.485084540980289,-9.485084540980289,-14.48508454098029,-19.48508454098029,-24.48508454098029,-29.48508454098029,-34.48508454098029,-39.48508454098029,-44.48508454098029,-49.48508454098029,-43.01184659403209,-40.36302129606663,22,89,19,16,0.0,0.6,1.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.2,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.4,101.49094062560148,98.99344476339358,84.6,84.6,84.6,125.6,159.8,203.2,0.0,0.08,0.08,0.32,142.8518559632651,45.174050640305595,2414.0496497670138
20.0,2.4989533021481622,0.7939355541138586,0.876121819069066,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-2.875942507398328,-7.875942507398328,-12.875942507398326,-17.875942507398328,-22.875942507398328,-27.875942507398328,-32.87594250739833,-37.87594250739833,-42.87594250739833,-47.87594250739833,-52.87594250739833,-36.304797090794395,42,89,39,36,0.0,0.4,1.2,2.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,26.0,108.78210944825442,104.4471371216683,83.2,83.2,83.2,131.4,201.8,236.4,0.0,0.0,0.08,0.32,162.74097311308122,60.72148268864739,4188.68106903534
