cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
5.0,3.8193080460133912,0.21469569437231287,0.35197556253059625,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,67.08282725195996,99.36959599067015,117.0,117.0,117.0,117.0,117.0,300.0,0.0,0.0,0.0,0.5,116.76472069936193,0.0,0.0
7.0,3.552761348289817,0.5916163482772697,0.7920441380474492,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-4.8513519845151105,-0.5641899806438886,-5.564189980643889,-10.564189980643889,-15.564189980643889,-20.56418998064389,-25.56418998064389,-30.564189980643892,-35.56418998064389,-40.56418998064389,-36.45525398245845,-27.791849985180306,43,38,40,37,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.75,80.79185970349764,75.94282541098396,80.0,80.0,80.0,80.0,124.75,145.75,0.0,0.0,0.125,0.25,116.0342129679094,27.783186886120284,1069.6591815081208
8.0,5.3325471471383254,0.3798025755029768,0.5331856543967933,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-24.13340244294335,5.166493892641633,0.1664938926416326,14.109803559562323,24.74741553809574,27.01527191263124,22.015271912631235,17.015271912631235,12.015271912631235,13.142358261692047,17.332987785283265,69,45,47,44,0.0,0.0,0.0,0.0,0.6,1.0,1.4,2.4,3.0,3.8,4.0,4.0,4.0,4.2,5.0,5.0,5.0,5.2,6.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.125,151.0255391898674,136.81614015983644,92.25,92.25,127.625,127.625,200.0,238.0,0.0,0.0,0.09375,0.15625,206.8440281636647,92.79392561829802,9042.257175014027
9.0,0.9145658838878056,0.21569493402311524,0.22576578297598743,-2.0,-7.0,-12.0,-17.0,-6.553152726741632,11.61711818314592,6.617118183145919,1.6171181831459194,-3.3828818168540806,-8.38288181685408,-13.38288181685408,-18.38288181685408,-2.8597931971853883,0.3738192383217438,1.3944949103200883,5.425508418317605,5.569088345190044,8.284458235498704,5.647661403151224,10.100474073761305,25,20,22,19,0.6,1.0,1.0,1.4,2.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,40.38406073227784,42.40390666918352,45.75,45.75,45.75,45.75,67.75,87.0,0.0,0.125,0.5,0.75,66.16671407193724,17.354764132400504,372.3346519466321
10.0,3.3004791503646738,0.26539911728160515,0.325258631367412,-2.0,-7.0,-12.0,-11.512410080878832,5.437949595605847,16.761836654352088,22.875899191211694,17.875899191211694,20.4000184608127,25.444885015527145,25.606240883630335,24.372327206180103,27.307396313989113,28.82406324027587,34.14808509924453,38.75340192696766,36.32329423330334,35.70624091797508,31.918336925283757,32.21819508535685,76,16,18,21,0.0,0.0,0.0,0.6,1.0,2.0,2.0,3.0,3.8,4.0,4.0,4.0,5.4,7.0,7.0,7.0,7.0,7.8,8.0,8.0,0.6,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,137.0,112.732233032857,103.99013606102008,53.53333333333333,73.6,85.06666666666666,102.4,149.26666666666668,214.53333333333333,0.008888888888888889,0.035555555555555556,0.16,0.3466666666666667,149.45468580816794,62.550853369797984,4051.0003366110527
11.0,8.006509291359931,0.28237094680672686,0.7121669316140782,-2.0,-7.0,-12.0,-17.0,-22.0,-12.156668535715,4.096634664649671,9.702930864498155,18.632958425611392,14.66677919222764,24.885227922759036,32.62700417677769,31.15134059728527,35.97066982942434,33.89668350590539,33.56475374963729,34.695484465499746,41.32864727363919,42.2200665763025,39.102407400321354,89,24,26,23,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.8,4.4,5.0,5.2,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,0.0,0.8,1.6,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.85714285714286,133.79237336751922,116.14958111226335,52.0,67.5,80.5,91.0,144.28571428571428,200.0,0.0,0.0510204081632653,0.21428571428571427,0.38775510204081637,144.10931179258816,62.69669868642468,4037.2241363042804
12.0,2.423690007342343,0.8685990128866385,0.9283311529353593,-2.0,-7.0,-12.0,-17.0,-17.945923892458076,-6.729619462290366,-8.6305114013563,4.110697158366783,-0.8893028416332172,-5.889302841633217,-6.066255195238753,-4.497217491541707,-7.854958065617446,-7.737983203568916,-4.359001375878568,1.1655167514398244,-1.2649750001102944,-3.743620885203427,-4.104866572954191,-3.9129586203172124,36,21,23,20,0.0,0.0,0.0,1.0,1.0,2.4,3.0,3.0,3.0,3.0,3.4,4.4,5.0,5.6,6.0,6.0,6.0,6.4,7.0,7.0,0.2,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.2,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,111.5625,143.2819414671978,155.9882984813091,56.5625,98.625,120.9375,143.3125,198.625,265.625,0.0,0.03125,0.109375,0.2265625,210.5488436081037,92.42518442733588,8815.34422301087
13.0,1.7269579390238958,0.3620723506444819,0.40667371130343594,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,52.417623305587014,51.926834793666245,103.0,103.0,103.0,103.0,103.0,300.0,0.0,0.0,0.0,0.5,102.52804494381037,0.0,0.0
14.0,1.2712492166754665,0.3951627482177971,0.409497884308568,-2.0,-7.0,-12.0,1.7324536174258527,28.710752215996003,39.229224905721466,34.229224905721466,29.22922490572147,24.229224905721466,19.229224905721466,14.229224905721466,9.229224905721466,4.229224905721466,-0.7707750942785339,21.662268087129263,16.662268087129263,11.662268087129263,6.662268087129263,1.662268087129263,-3.337731912870737,26,15,17,20,0.0,0.0,0.0,0.6,1.0,1.0,1.6,2.0,2.4,3.0,3.0,3.0,3.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.66666666666667,85.85939511125325,103.90150948988527,53.666666666666664,53.666666666666664,53.666666666666664,101.83333333333333,139.33333333333334,195.66666666666666,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.38888888888888884,130.30577096735445,50.63430273478184,2819.827895678193
16.0,3.710296083854858,0.32609964177917783,0.43296784200116184,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-10.068352463062476,2.8860792282292067,-2.1139207717707933,-7.113920771770793,-12.113920771770793,-17.113920771770793,-22.113920771770793,-0.6209064712952369,1.0023471038236522,-3.997652896176348,-8.997652896176348,-13.997652896176348,6.54265118534872,39,34,36,33,0.0,0.8,1.0,1.2,2.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.6,5.0,5.0,5.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.16666666666667,90.18855724811742,89.35251396373907,69.0,69.0,69.0,103.16666666666667,128.0,205.33333333333334,0.0,0.05555555555555555,0.16666666666666666,0.4444444444444444,131.9038639663839,48.32170178960384,2385.6985316061237
