cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,12.924976685811972,0.11483450496038045,1.0896432612828009,-2.0,-7.0,3.229337996277411,16.00809447359052,26.21850259106003,32.47253243742945,38.72895926763155,41.831763337936266,41.927031678375045,45.36254297993271,45.136652391853204,42.97963563906383,46.544586994875,48.57965495828573,48.44370346106944,46.518130663243674,43.58062068584862,39.43698692125995,40.123684292821004,38.17202118985264,65,8,10,7,0.6,1.0,1.0,1.0,1.8,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,2.4,3.0,4.0,4.0,4.0,5.0,6.0,6.0,6.2,8.4,9.0,9.0,9.2,44.57142857142857,174.6355788440375,186.26516593977917,35.714285714285715,49.642857142857146,58.142857142857146,61.785714285714285,81.14285714285714,132.14285714285714,0.0510204081632653,0.21428571428571427,0.489795918367347,0.6428571428571429,96.58857482163175,53.36694845173698,2935.7938019405747
5.0,3.5607806949418115,0.7145692152827027,0.8598766423502583,-2.0,-7.0,6.03895687012353,5.82988903174049,11.228909693048562,10.969053886507048,8.350546893106994,7.508053150424452,8.304045699104744,7.037697419829615,6.8263272573124585,5.33560111088636,5.292274741053151,4.503680379991565,4.087579502492889,5.9638236751732165,7.345955496027909,4.938119620363409,3.0213488040348606,2.4646776991157253,23,8,9,12,0.6,1.6,2.2,3.6,4.0,4.8,5.0,5.0,6.6,7.6,9.0,9.0,9.0,10.0,10.4,11.0,11.8,12.8,13.8,15.0,1.0,2.8,3.0,3.0,3.0,3.0,3.2,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,62.708333333333336,111.91538839968341,105.43756432287266,59.0,72.33333333333333,84.08333333333333,102.625,142.125,201.25,0.020833333333333332,0.0625,0.20486111111111113,0.37152777777777773,153.9080615336845,73.08353215349429,5451.997894210899
6.0,1.33257757389069,0.43674539636406895,0.4560419892658457,-2.0,3.0833717104339122,4.182963679382469,5.8515601857748525,5.392498164526048,4.870427802746422,1.4427605851934402,2.8621126287982506,4.701598169899273,3.7048088198963085,2.4800196090370603,2.197029790257015,4.714094524781518,4.678016997584931,7.587565205806891,6.923840724695114,7.415437418558676,11.972676415073053,11.474747646045316,11.867811459033884,88,3,4,1,0.8,2.0,3.6,4.2,5.0,5.8,6.0,6.4,8.0,9.6,11.6,14.0,16.6,17.0,17.4,18.0,19.0,19.8,20.0,20.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.38095238095238,75.48696123638899,74.8959972059074,42.04761904761905,54.42857142857143,63.19047619047619,75.76190476190476,107.42857142857143,138.04761904761904,0.031746031746031744,0.08616780045351473,0.3038548752834467,0.6167800453514739,105.68714375926993,44.37919474227541,2019.7973313384118
10.0,3.79114787286866,0.9200897596289742,1.0850733968334854,-2.0,-5.069258576384837,2.2660650688277264,5.778808099678053,3.5413082642826517,1.7502076681552658,3.9109546832842157,1.3672899022729765,0.12629018875006182,-2.9424771792523274,-3.349332924577304,-4.238470546025259,-6.58793042109005,-8.913668313208149,-10.527796577145862,-13.074098621071016,-16.23012061978844,-17.318629086645178,-17.341624528190792,-16.238356937232254,16,88,8,5,0.4,1.0,1.2,2.8,5.0,5.6,6.0,7.0,8.8,9.8,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.6,2.6,4.2,6.0,6.0,6.0,6.0,6.8,7.0,7.0,7.0,7.0,8.2,9.8,10.0,10.8,11.0,12.0,12.0,12.0,31.666666666666668,143.21051359425448,133.39211950288544,65.79166666666667,76.04166666666667,89.91666666666667,121.41666666666667,171.25,252.95833333333334,0.020833333333333332,0.052083333333333336,0.125,0.2916666666666667,188.60932196220088,89.42810573668709,8258.28116906294
11.0,6.823646275673916,0.3091323776815811,0.7097667978534318,-2.0,-7.0,-2.9787502935755144,11.114983778256422,26.00505968811716,26.038940127231903,35.49993085137581,51.535028219387826,56.59746700165182,62.018932378726404,66.70193636851077,73.67206727173519,73.81505603885762,70.84580683152922,69.42021766435312,68.43060060280797,67.8561856133969,66.4796639140767,62.983820714277044,58.98659191441061,59,10,12,15,0.2,1.6,3.0,3.6,4.4,5.4,6.0,6.2,7.0,7.0,7.0,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.6,1.0,1.0,1.8,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,32.45454545454545,114.62167250474057,116.57765981732452,42.90909090909091,55.0,55.0,63.36363636363637,85.72727272727273,166.9090909090909,0.06611570247933884,0.24793388429752064,0.5289256198347108,0.628099173553719,101.66318503912358,63.6840856595578,4324.207360726826
12.0,4.795158524883662,0.6829529480564298,0.9382679397386857,-2.0,-7.0,0.025245160648838194,0.8912251401132807,4.350874089119803,4.367415981933912,5.343166976040156,3.327294410657592,5.736310107160025,10.234307180048047,8.760163921147672,7.695994837773196,7.09333428630435,6.082957366895329,2.6861442299975975,2.3629286760687025,2.2603422528771175,1.5280759392785654,-0.782905864489743,-1.3486020510122898,47,8,9,6,0.0,3.8,4.6,6.2,7.8,8.6,9.8,10.6,12.8,13.2,14.0,14.4,16.2,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,2.0,2.0,2.0,60.666666666666664,123.34660696469412,111.841829287749,57.523809523809526,66.85714285714286,78.14285714285714,106.52380952380952,152.71428571428572,212.8095238095238,0.018140589569160998,0.05442176870748299,0.18594104308390022,0.36281179138321995,157.23752666054492,75.37651378909769,5914.8870517245205
15.0,0.5725230306267335,0.9616868850204578,0.966481817691919,-2.0,-7.0,-12.0,-4.896762974780669,2.915713603058528,1.9867721483871712,-2.5903464031678056,-5.8988206093877125,-10.898820609387712,-11.769888747518285,-13.870443935694311,-14.517605151480094,-12.372683620846594,-12.618878371545176,-8.34848176912254,-9.364444571514062,-9.367081723430399,-11.29958718740678,-11.05022027346403,-12.731092591666902,25,56,16,12,1.2,3.4,5.2,6.0,6.2,8.4,9.8,10.0,10.0,10.0,10.0,10.8,11.0,11.8,12.0,12.0,12.4,13.0,13.0,13.0,0.0,0.0,0.2,1.2,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,30.4,109.60845226242618,114.66313111696725,33.75,54.85,77.15,101.0,154.05,199.3,0.02,0.04,0.18,0.33999999999999997,154.48931276499965,69.57247756053798,5012.186695624992
19.0,0.4846886512777672,0.7627901060620625,0.7655928047533858,-2.0,-5.865347557329136,-4.534713411749552,-2.0350332410519267,-1.5339287887273365,-1.4685383247714014,0.0018895028388840273,0.469843475906508,0.4079233869131215,0.13113740614937514,-0.14574202406734854,-0.3800602072978734,-0.91781677682185,-0.9625291022230726,-1.7407473559589846,-1.5142917451646014,-2.504811252461738,-2.345685837728351,-3.395016709632287,-5.0294236320565116,34,7,15,5,0.0,1.0,3.8,5.4,7.0,8.6,10.4,11.4,12.8,13.6,15.4,16.0,16.4,17.6,21.0,22.0,22.0,22.0,23.2,24.0,1.4,2.0,3.0,3.0,3.8,4.0,5.0,5.8,6.6,9.4,10.0,10.6,11.0,11.6,12.2,13.4,14.0,14.0,14.6,15.0,49.825,103.87175747270881,104.8930893641705,35.175,52.8,68.05,96.125,141.475,195.975,0.01,0.05625,0.20750000000000002,0.40625,147.20793394747793,70.23027699410898,5161.567040475702
21.0,1.4423330336169842,0.5902216897964274,0.6075406860796715,-2.0,-7.0,-5.117636516797765,-1.329380064312988,2.8192395907967374,4.443299577236122,4.973885420276339,3.957631637194379,7.826093689607866,7.531750622725388,10.655334517697746,11.371921742240787,13.120913150837325,14.945514527137727,16.39300954903796,16.800926738514608,18.376490754247953,19.103208392262214,18.212182405602825,17.51493972327199,85,9,10,13,0.0,0.8,2.6,4.0,5.2,7.0,8.4,11.2,12.0,16.0,17.2,18.0,19.2,21.4,23.6,25.4,27.0,28.0,30.2,33.8,0.2,1.0,1.0,1.0,1.0,3.8,4.0,4.8,5.0,5.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,10.4,11.0,11.0,108.0576923076923,121.99528876934927,122.87142544886557,55.01923076923077,76.67307692307692,87.84615384615384,112.42307692307692,166.92307692307693,215.98076923076923,0.008875739644970414,0.034023668639053255,0.15828402366863903,0.32248520710059175,173.17590605481288,79.78160181218239,6480.933422056896
22.0,3.1153341596964523,0.5124415990715456,0.6328686707972797,-2.0,-7.0,-12.0,32.33514512702234,27.335145127022336,22.335145127022336,17.335145127022336,12.335145127022336,7.3351451270223365,2.3351451270223365,-2.6648548729776635,-7.6648548729776635,-12.664854872977664,-17.664854872977664,-22.664854872977664,-12.561422423257056,-7.492467456776652,-12.492467456776652,-17.49246745677665,-22.49246745677665,17,74,14,11,0.0,0.0,0.4,2.6,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,84.28628698932945,86.6732383119772,47.0,47.0,47.0,47.0,142.0,177.5,0.125,0.125,0.25,0.25,121.6191423140918,55.604569444513054,3478.436219970197
