cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
6.0,2.807817477817461,0.799953061743907,0.9074294030523398,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-31.565732937566395,-20.079807215179663,-10.930298219190803,-7.297042245888127,-8.69984306892939,-6.395049742206268,-11.395049742206268,-15.27729749441863,-15.806288503268078,-15.726082897680158,-20.726082897680158,0,44,46,43,0.0,0.8,1.0,1.4,2.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.6,2.4,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,53.77777777777778,107.78424567553559,121.72180958617605,63.22222222222222,63.22222222222222,92.33333333333333,119.11111111111111,166.88888888888889,222.66666666666666,0.0,0.0,0.14814814814814814,0.2962962962962963,154.18483436097472,60.37799633782485,3889.711743464892
7.0,2.9406869713811465,0.46203293721223354,0.5097427835528087,-2.0,3.2052943170044714,13.513235792511178,12.740407106623504,22.19022065811417,17.19022065811417,17.65922139964072,15.231043179625027,26.307829579821554,29.539707377533535,24.53970737753353,19.53970737753353,19.467514530538168,19.875396914387114,19.240245900363156,24.404822002487528,25.00538242070971,29.203520594483372,31.2604238672083,34.26893402541287,45,5,7,4,0.0,0.0,1.0,1.0,1.0,1.0,1.2,2.0,2.8,3.4,4.6,6.0,6.0,6.0,6.0,6.6,7.4,8.0,8.0,8.8,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.2,3.0,168.52631578947367,153.77397134187126,152.4732321515228,61.31578947368421,95.26315789473684,114.57894736842105,149.94736842105263,216.10526315789474,281.36842105263156,0.0110803324099723,0.027700831024930747,0.0886426592797784,0.19390581717451524,221.94558238521185,96.30257959875698,9465.29196482163
9.0,2.3360532891927557,0.8331324258907464,0.9024476925030438,-2.0,-7.0,-12.0,-17.0,-22.0,5.3673027141974785,0.3673027141974785,-4.6326972858025215,-9.632697285802521,-14.632697285802521,-19.63269728580252,-24.63269728580252,-18.190961302169406,-15.148509952037035,-12.375483920700894,-17.375483920700894,-22.375483920700894,-17.25663119362953,-22.25663119362953,-27.256631193629527,27,58,24,21,0.0,0.0,0.2,1.8,2.0,2.0,3.0,3.8,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.714285714285715,115.15435146572565,117.23897051167343,74.85714285714286,74.85714285714286,109.14285714285714,109.14285714285714,167.28571428571428,246.14285714285714,0.0,0.04081632653061224,0.12244897959183673,0.2857142857142857,167.2106119826414,70.71654065063083,5783.1071128918575
10.0,5.865267243952515,0.6885573112730866,1.083437900605833,-2.0,-7.0,-12.0,-17.0,-6.260471995486192,-1.675529527389898,2.7485119287771367,5.0788452291462765,3.85418746154172,2.2635593432893115,2.9965470616403223,1.787208155947455,-1.062221723283649,-5.0393076920680855,0.03591191262363225,1.3747813014205406,2.16199522919365,3.758309884768906,0.02412714085121479,-1.887604858343596,37,18,20,17,0.0,0.0,0.8,2.2,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.2,5.0,6.4,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,3.0,3.4,5.0,5.0,5.4,6.2,7.0,7.0,7.0,47.13333333333333,138.18916915569682,124.36768045794182,49.4,74.26666666666667,94.06666666666666,110.93333333333334,186.73333333333332,233.13333333333333,0.0,0.05333333333333333,0.1688888888888889,0.32,167.26765068188772,71.58858995364845,5266.867164492072
13.0,2.457249218120314,0.8445883288650093,0.9557168037017516,-2.0,-7.0,-12.0,-7.075707494662654,-0.3520870111372794,0.9824752091530122,-2.9033466841080013,-1.098993492100196,-0.9291106460279395,-2.826131054275629,-0.7854701241616283,-0.9980118331639062,-4.488051038154758,-4.583016241464437,-4.731151515192337,-6.3077200155699105,-7.953032551094592,-7.210682281345302,-9.789633284759859,-11.262209245734962,19,14,17,13,0.0,1.0,1.8,3.0,3.6,4.8,5.0,6.4,9.2,10.4,11.8,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.6,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,38.0625,85.6050541047244,80.07751621713028,28.4375,46.0,60.9375,70.5,103.4375,148.5625,0.03125,0.1015625,0.34375,0.5703125,111.82614859477405,53.47914771923757,3064.100220420506
15.0,8.497874692107393,0.13744046273871902,0.6090210823077497,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-11.671273549271504,8.079348992131907,21.205235289136226,16.205235289136226,11.205235289136226,6.205235289136226,1.2052352891362261,-3.794764710863774,-8.794764710863774,-5.317316922314473,2.3988547605094794,7.46712089542203,51,39,41,38,0.0,0.0,0.0,0.0,0.2,1.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64.5,104.30752773331915,82.90819389975496,58.5,58.5,58.5,58.5,92.0,149.0,0.0,0.0,0.25,0.5,99.30787663770067,38.802308124698605,1632.873905600097
16.0,2.335384341998737,0.710555852386861,0.762611515012793,-2.0,-7.0,-12.0,-17.0,-22.0,-20.052072365580557,-10.64809996781629,-5.052899225971655,0.022615506346821235,-4.240004011801709,-7.855773301585624,-10.779427236261498,-12.001771536181659,-11.678763798593401,-13.731076342777522,-16.72428134531416,-8.88959747253558,-9.743301878958533,-8.63228113481029,-6.8664914590954025,42,25,27,30,0.6,1.0,1.0,1.0,1.0,2.8,3.0,3.6,4.2,5.0,6.8,7.4,8.0,8.0,8.0,8.4,9.6,10.2,11.0,11.0,0.6,1.0,1.0,1.0,1.0,1.2,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,95.16666666666667,131.0200363783353,143.80066982139635,46.0,74.61111111111111,98.16666666666667,131.44444444444446,185.83333333333334,252.22222222222223,0.0,0.0308641975308642,0.08641975308641975,0.2469135802469136,187.72060322957313,78.8435839620876,6471.406864736779
17.0,2.886041189298399,0.5240542642091512,0.6028305426438834,-2.0,-7.0,-12.0,3.707718674040912,6.510390915002098,3.7688678991963656,0.6728520709266632,7.9288727415997275,17.949705424345936,21.426603122091436,22.198160051039444,20.556151160063592,17.5646340616359,12.5646340616359,10.894939681559725,9.073243591409739,5.645817472433848,2.5751514278071452,2.52643247877414,4.68995480940296,54,12,36,11,0.0,0.0,2.4,3.0,3.0,3.6,4.0,4.0,4.0,4.0,5.0,5.4,6.0,7.0,7.8,8.0,8.0,8.2,9.0,9.0,0.0,0.0,0.4,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,104.375,104.44464173549042,112.95456526615615,45.0,58.0,69.625,99.3125,145.875,186.6875,0.015625,0.0703125,0.1875,0.328125,145.77142977752266,62.852750777793275,4034.320767697943
18.0,1.3008389677176084,0.9652862274822352,0.9872293104961724,-2.0,-7.0,-12.0,-9.744226559059689,-3.860566397649226,-8.860566397649226,-6.6076916710453215,-9.794472989394347,-14.794472989394347,-19.794472989394347,-24.794472989394347,-19.59836932933282,-13.950781881627842,-9.453904454320451,-9.376347092140888,-12.283180040404506,-13.400899265679593,-15.419369567288356,-18.867655111565558,-15.919336176590893,20,53,17,14,0.0,1.6,2.4,3.4,4.0,4.2,5.6,6.0,6.2,7.0,7.0,7.8,8.0,8.0,8.0,8.0,9.0,10.2,11.0,11.0,0.0,0.0,0.6,1.0,1.0,1.0,1.6,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,47.8,131.6260714916159,132.06782281394572,64.6,91.46666666666667,107.4,129.93333333333334,200.46666666666667,256.1333333333333,0.008888888888888889,0.017777777777777778,0.10666666666666666,0.22222222222222224,187.62888792252517,74.05836549194365,5626.63673362315
19.0,0.11352513481333201,0.6649895666348453,0.6651130231013316,-2.0,-7.0,-12.0,-17.0,-2.9768326296379284,-3.2210407870474107,-6.251127306023086,-3.3714733819257887,-8.371473381925789,-13.37147338192579,-12.325202270031614,-7.176675090479977,-8.778565365057709,-4.012644819979099,0.11813065773648361,1.3419210991340607,-2.207851892771032,-1.0513530743432908,-2.1121476214353834,-1.497545658119543,73,18,20,17,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.4,2.8,4.0,4.6,5.0,5.0,5.0,5.0,5.6,7.2,9.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.3076923076923,118.86581356384025,118.76530218748819,67.61538461538461,89.38461538461539,89.38461538461539,131.84615384615384,180.53846153846155,219.92307692307693,0.0,0.02366863905325444,0.13017751479289943,0.28402366863905326,174.93471482080076,71.05328168679638,5245.90424806001
