cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
5.0,3.7956430673099457,0.4295744983211622,0.5831963616044769,-2.0,-7.0,-5.032408980377328,32.268308585096825,31.69742845575231,33.341108261735535,28.341108261735535,23.341108261735535,18.341108261735535,13.341108261735537,8.341108261735535,3.3411082617355348,-1.6588917382644652,-6.658891738264465,-5.672507995773745,-4.9054773290076215,-1.306816144418761,14.253528855555416,21.950691464808493,22.602342696002687,16,12,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.4,2.0,2.0,2.6,3.0,4.0,4.8,5.0,5.0,5.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.42857142857143,88.87534427471981,80.21317068921415,58.857142857142854,58.857142857142854,74.0,74.0,111.71428571428571,212.42857142857142,0.08163265306122448,0.12244897959183673,0.2040816326530612,0.5714285714285714,114.47898126369078,51.29443510186349,2908.1536128314733
8.0,3.6967294342640575,0.4008483239221462,0.5166973411492634,-2.0,-7.0,4.294502811506834,16.77959695525907,17.755838866845398,14.631324945524062,11.194492960470985,14.81896534145541,10.489370994476232,9.930136449041656,6.865609577101161,2.6676227038443003,6.790138370355265,7.7643703474273,4.174980992429113,8.484150834162387,5.982789915722407,1.9918044346438137,1.2593375337037145,-1.353760090638346,18,8,10,7,0.4,2.4,3.2,4.0,4.0,5.2,6.0,6.4,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.8,11.0,11.2,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.30769230769231,98.11178820112725,88.30211929563544,32.23076923076923,59.23076923076923,59.23076923076923,94.76923076923077,133.92307692307693,183.3846153846154,0.0591715976331361,0.10650887573964497,0.26035502958579887,0.3431952662721894,130.3011517108609,58.06550697969506,3470.8247880369954
12.0,3.2826179036203915,0.5195666476479452,0.5817858537518421,-2.0,-7.0,3.0037451261624115,1.7546814077030142,4.523124804760133,5.484061077909011,8.165790640547641,8.93939973733491,3.9393997373349094,1.833098986049596,7.248016213876637,8.943957838255283,12.555376539061822,13.20553497544753,12.05513851934081,14.249661821911605,13.43741492291954,15.532609140300153,13.918992711891189,14.421687817671284,87,8,10,7,0.8,1.8,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.6,7.4,8.0,8.0,9.0,9.0,10.0,10.0,10.6,11.6,12.0,1.2,2.0,2.0,2.6,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.2,6.0,6.0,154.84615384615384,171.90298545743647,162.6596716381095,92.76923076923077,106.3076923076923,124.65384615384616,164.03846153846155,218.34615384615384,280.34615384615387,0.002958579881656805,0.01775147928994083,0.07396449704142012,0.1686390532544379,235.0253501813591,100.8619568041225,10386.55150681456
13.0,3.640924192655128,0.9656399972682612,1.135006814160577,-2.0,-7.0,-12.0,-2.6164554083226363,13.958861479193411,8.95886147919341,6.937791101628882,13.853509591370772,8.853509591370774,15.282575064294344,18.62352004139561,15.70875628567093,20.869753784962377,22.64375211782334,17.64375211782334,14.21260367991512,15.488009928282239,17.361428425400412,19.80618628719381,22.987866587074755,64,15,17,14,0.0,0.0,0.0,0.0,0.0,0.8,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.6,4.2,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.285714285714285,144.7966246103619,114.43343085122932,47.857142857142854,47.857142857142854,115.28571428571429,115.28571428571429,145.0,284.7142857142857,0.04081632653061224,0.08163265306122448,0.32653061224489793,0.4489795918367347,182.3554757950276,108.90812181768936,12217.184922115648
16.0,0.14709183388836677,0.6522185606340999,0.6524275363274489,-2.0,-7.0,-12.0,15.103565018821396,20.901927780259626,18.914408224040738,25.629266901749304,28.282706459457007,23.282706459457003,18.282706459457003,13.282706459457003,14.925704845665559,16.167353714004456,12.027379855200977,7.84296494312701,9.214885012606038,7.968738703625306,5.857177188142595,8.401623777469377,6.740398707926334,34,12,14,11,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.0,2.6,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.2,6.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,89.16666666666667,117.42983608136836,120.80598523250859,51.0,80.75,80.75,110.66666666666667,158.91666666666666,240.83333333333334,0.027777777777777776,0.08333333333333333,0.15277777777777776,0.3333333333333333,168.2765831230538,76.07085954502027,6073.287059785034
17.0,5.075457947228074,0.3564487859482209,0.5268281702810743,-2.0,-7.0,-12.0,-17.0,-22.0,4.4938744518605915,7.3209884096422995,7.539064381496772,2.5390643814967717,14.29999725854054,14.606021169950134,21.617295193258414,25.72708845933088,24.77575948682305,19.77575948682305,16.911912548290868,17.107724791092494,16.120883005509633,18.070832314651053,20.90297858880121,63,22,24,21,0.6,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.8,4.0,5.0,5.4,6.0,7.0,7.0,7.0,7.0,7.0,8.6,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,201.36363636363637,128.91662782309493,115.11466450889674,58.90909090909091,89.45454545454545,89.45454545454545,108.0,157.1818181818182,229.0909090909091,0.0,0.04958677685950413,0.1652892561983471,0.3305785123966942,159.94983223144249,65.7593411849835,4480.373543361607
18.0,1.7437424311754652,0.20095949132536806,0.2525247579119283,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-31.660093573960854,1.3497660650978816,-3.6502339349021184,-8.650233934902118,-13.650233934902118,-18.65023393490212,-23.65023393490212,-28.650233934902122,-33.65023393490212,60,55,57,54,0.0,0.0,0.0,0.0,0.2,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.438040956068537,29.9556706879423,59.0,59.0,59.0,59.0,59.0,300.0,0.0,0.0,0.5,0.5,58.69412236331676,0.0,0.0
19.0,3.4541969909179024,0.9115236610907944,1.0595924338545302,-2.0,-7.0,5.43711459257158,6.522366953666847,3.633665739743671,6.050559877133596,15.418312329713402,10.418312329713402,5.418312329713402,5.151472645020564,1.2865170081787483,-1.8879316491151357,1.6407043336356935,1.6206864931747873,-2.5858537953249483,-6.395664228074551,-9.890058949150696,-9.398720983791659,-7.799241404569978,-9.707775288886333,31,82,10,7,0.0,1.0,1.6,2.0,2.8,4.0,5.0,5.0,5.4,6.6,8.0,8.8,9.0,10.6,11.6,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.4,53.625,134.09880363952033,136.9774802096617,39.3125,70.125,90.4375,106.4375,172.125,230.0625,0.015625,0.0703125,0.1484375,0.296875,181.33000055340938,86.82048196701261,7887.576730454298
20.0,1.0969387966583055,0.9151015165889972,0.9290146284342501,-2.0,-7.0,18.43780580677743,13.43780580677743,8.43780580677743,3.4378058067774298,-1.5621941932225702,6.741418755527967,1.7414187555279668,-3.2585812444720332,1.289508696154705,-3.710491303845295,-0.6303677751883399,-5.63036777518834,-10.63036777518834,-15.630367775188342,-20.63036777518834,-25.63036777518834,-14.093896063526529,-19.09389606352653,12,87,9,6,0.0,0.0,0.0,0.2,1.6,2.6,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.2,5.0,5.8,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.6,2.8,3.0,3.0,3.0,3.0,3.0,3.0,77.4,137.45502182060693,146.99458399164533,68.5,68.5,103.1,154.7,192.6,274.7,0.02,0.04,0.08,0.18,200.50906988806196,85.64515079666486,7880.24886239079
21.0,6.894699105984668,0.3239610097036866,0.962194403915547,-2.0,-7.0,-12.0,-17.0,-22.0,-13.055125061006965,-8.75854176834494,-13.75854176834494,-18.75854176834494,-13.772448231701281,-6.625505099579158,-6.6265379720556385,-4.57075948632593,-1.1444104655130345,-4.658345499317704,-6.58154445509372,-2.3520828795109936,-1.137222924329214,3.9325470149061346,0.771492204537509,89,24,26,23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.4,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,27.285714285714285,82.3311212182812,86.5590622209087,48.857142857142854,48.857142857142854,66.57142857142857,66.57142857142857,102.71428571428571,131.57142857142858,0.0,0.04081632653061224,0.2857142857142857,0.6938775510204082,90.63345361163881,28.674841409350428,844.1785533434886
