cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,3.1599070215131984,0.6656845032579883,0.7712701007217966,-2.0,-7.0,-12.0,-17.0,-22.0,-15.364774697776113,-10.864653020186541,-10.310347929643065,-14.575510960547314,-16.005179131097645,-13.90138368079072,-12.0508594443684,-5.691231060936064,-8.708631274555103,-5.724960376923335,-1.9600415790899859,-1.7714666233489111,-2.2542154389232936,2.178906995027637,2.0245594936912283,89,24,26,29,0.0,0.2,2.0,3.4,4.6,5.0,5.6,7.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.6,12.4,13.0,13.0,0.6,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,72.65,114.95227535561699,114.35138872662999,50.8,67.8,81.55,102.25,155.55,217.75,0.0,0.02,0.16,0.3,161.36560699686882,68.60869713936522,4913.975273749982
6.0,8.714326179314254,0.27258883528694555,0.8966369473888436,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,23.562125535453625,27.67025714313209,22.67025714313209,17.67025714313209,12.67025714313209,7.6702571431320905,15.693911892423035,32.25734608442497,37.69682971613331,32.69682971613331,27.696829716133312,22.69682971613331,80,37,40,36,0.0,1.8,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4,4.0,4.0,4.6,5.0,5.0,5.0,5.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,130.73447484105228,103.8797613890578,59.5,59.5,59.5,89.5,153.5,191.16666666666666,0.0,0.0,0.27777777777777773,0.27777777777777773,131.51078439571927,51.359344258255796,2782.049539780481
7.0,5.617157435211998,0.475053757686263,0.8187884519178962,-2.0,-7.0,-12.0,-17.0,-22.0,-8.329272625804029,5.9266125443060815,0.9266125443060815,-2.2931463707070803,-0.17218203075972838,-5.172182030759728,-10.172182030759728,-13.333031468822611,0.6378972391235053,-1.9998063014551377,3.904360843467856,2.628461024536392,-1.5017515060385762,0.37039801915769033,1.7524437219644682,29,24,26,23,0.0,0.6,1.8,2.0,2.8,4.2,5.8,6.0,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.875,96.83949428627312,84.12708534537481,51.0,51.0,76.0,76.0,112.125,162.625,0.0,0.0625,0.28125,0.53125,125.09668401482317,57.99081575639032,3589.023048387997
9.0,13.98722704407638,1.373661808947167,5.169710828613858,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-34.06983782519962,-17.116396375332698,-22.116396375332698,-27.116396375332698,-32.1163963753327,-37.1163963753327,-42.1163963753327,0,64,66,63,0.8,1.0,1.0,1.0,2.0,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,156.50914008982605,159.22851229268142,145.33333333333334,145.33333333333334,145.33333333333334,145.33333333333334,300.0,300.0,0.0,0.0,0.2222222222222222,0.2222222222222222,292.0276151558125,123.4344580802208,19515.903989806513
10.0,4.0221540156099564,0.5706187445044587,0.7644044763584619,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-31.484343432372192,-14.42171716186095,-7.998418383342582,-12.998418383342582,-9.010064490956283,-5.241780157410531,-6.163606809590791,1.3998607436815291,6.855827787329616,1.8558277873296163,4.039127831964774,4.540231737434823,5.617648133541351,76,36,38,41,0.0,0.0,0.0,0.0,0.4,1.0,1.4,3.0,3.0,3.0,3.0,3.0,3.6,4.0,4.0,5.0,5.0,5.8,6.0,6.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,48.125,99.12903359600865,86.02968205995977,65.75,65.75,83.25,83.25,127.0,167.25,0.0,0.03125,0.25,0.40625,130.79404936230105,53.14659989938621,2928.3477230466456
14.0,4.676191680019961,0.3311562767057212,0.4493237045148148,-2.0,-7.0,-8.519005486108734,8.720737967293678,16.83987047133784,21.592803015667425,18.42318499589582,17.98414366952049,22.46270209744971,25.999436454253527,25.837403623647106,20.837403623647106,17.359888343284968,17.180979507959993,19.707701917223364,23.588218224785273,28.93821863886536,31.654703296664586,34.37171066936098,36.64023160635463,89,12,13,10,0.2,2.4,3.0,3.4,4.0,4.6,5.0,5.8,7.8,9.4,10.4,11.6,12.8,13.0,13.0,14.2,15.2,16.6,17.0,17.4,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.0,3.0,159.26923076923077,142.18522112234035,133.9422593583922,63.65384615384615,76.92307692307692,90.1923076923077,127.1923076923077,179.23076923076923,242.80769230769232,0.008875739644970414,0.03254437869822486,0.10650887573964497,0.2366863905325444,181.53196174136434,77.05704374069131,6111.017618993234
16.0,1.3783084183592609,0.9960074295057786,1.027829669515916,-2.0,-7.0,-12.0,-17.0,-22.0,-5.461091103435287,4.211382363895481,4.701021768516481,1.0734316196717302,-3.92656838032827,-8.92656838032827,-11.495469109445548,-12.848820203121463,-9.15087859704662,-10.082913672227292,-15.082913672227292,-16.739647034391016,-18.073471547214275,-14.435205278265716,-14.59144550226463,37,24,25,22,0.8,1.2,2.4,3.6,4.0,4.0,4.4,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.4,104.20866448486618,102.66483229606379,44.0,44.0,70.8,101.0,143.9,224.1,0.0,0.08,0.16,0.38,146.73587755352673,67.33747835752017,4981.426827482553
18.0,1.6415441390861487,0.5072341844363806,0.5304074388151011,-2.0,-7.0,-12.0,-17.0,-10.703176805871013,1.242057985322468,-3.757942014677532,-8.757942014677532,-13.75794201467753,-3.064900361266564,-2.3547970591769385,15.14049252856393,15.357537860705719,10.357537860705719,5.357537860705719,5.668977948033867,14.142838618361946,15.010298040090575,13.615146759707452,13.890686816854284,58,20,22,19,0.0,0.6,1.0,1.0,1.0,1.6,3.0,4.0,4.4,5.2,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.111111111111114,95.01572610936189,100.86445197845973,70.55555555555556,70.55555555555556,84.55555555555556,107.44444444444444,139.44444444444446,196.33333333333334,0.0,0.024691358024691357,0.2469135802469136,0.3950617283950617,145.94143352348004,69.58290391894954,4905.972058137275
19.0,2.3258135560394195,0.8453848128511131,0.9065632533194647,-2.0,-7.0,-12.0,-11.614720059569109,-7.42147215467165,-7.960160177667151,-8.621723099942793,2.530265699283535,7.3734263859127935,4.485671920552865,6.9532080179314235,6.376128275843149,4.069782634318756,1.7394911574898657,2.139270336170662,0.11455555934403776,1.4355313323475798,3.4081618951875186,1.4376174892588693,-1.9329720850633123,40,16,17,20,0.4,1.2,2.2,3.2,5.8,7.0,7.8,8.0,8.0,8.4,9.0,9.6,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.8,0.0,0.6,1.2,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,67.04545454545455,133.2836006960567,135.1255646462738,61.72727272727273,77.77272727272727,103.13636363636364,127.68181818181819,185.54545454545453,254.63636363636363,0.004132231404958678,0.04958677685950413,0.1322314049586777,0.25206611570247933,185.96783122339377,81.42217175235025,6922.641286732885
20.0,3.0149938443544895,0.6388288996310998,0.7288529834474776,-2.0,-7.0,-12.0,-12.472203829933932,-10.680509574834828,-9.552720860077207,-9.087750370310408,-4.084220246233121,-5.01848346753097,-3.5415728040792303,1.7546601724416404,0.7154743077152361,3.2766946707813505,3.241343997164671,2.028020245223061,2.9877775882626905,2.184562225124691,2.116096918759061,3.172630986221017,4.410682662758461,62,16,17,14,0.0,1.2,3.2,5.4,8.0,8.6,10.0,10.0,11.0,13.4,14.6,16.0,18.0,18.4,19.0,19.0,19.0,19.0,19.6,20.0,0.6,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,79.77777777777777,123.77284199650434,119.11686905628346,53.666666666666664,69.44444444444444,93.03703703703704,113.25925925925925,172.03703703703704,231.74074074074073,0.0054869684499314125,0.027434842249657063,0.14266117969821673,0.2688614540466392,167.86844449754062,69.13728746687806,4916.790640591126
