cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,3.9283151000648613,0.5854669677956936,0.782165843648037,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-22.55821330611451,-6.806540209870954,-6.562634556508378,-5.582339640790421,-9.087265911860932,-7.5086889252749955,-8.928488758335101,-4.958556370407152,-4.5546019559276,-2.860374687324807,-2.6953658551755355,0,43,45,42,1.2,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.8,4.4,6.0,6.0,6.2,7.0,7.0,7.0,7.0,7.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.75,94.81178974155748,90.16726777732268,69.75,69.75,85.875,85.875,129.375,162.0,0.0,0.0,0.1875,0.375,130.64823643098865,47.89924242222234,2475.7359816538947
2.0,7.97789698782005,0.3700861681437211,0.9003267869448284,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-12.838998552651153,-6.222233994847336,-9.69118546024071,-0.5530271560650064,2.031387911265597,3.0568089381989467,2.2945970851432635,9.707739853564968,9.099438545159117,17.520670330351077,23.664744888787247,23.668809149569924,18.668809149569924,89,33,36,32,0.4,1.2,2.2,3.0,3.0,3.0,3.0,3.0,3.4,4.0,6.8,7.0,7.2,8.0,8.0,8.0,8.2,9.0,9.0,9.0,0.0,0.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,52.63636363636363,133.08031963949148,104.11482089201007,58.0,76.18181818181819,76.18181818181819,101.0,136.54545454545453,226.36363636363637,0.0,0.03305785123966942,0.1652892561983471,0.4297520661157025,144.19037570695346,61.39742430829174,3975.296919401258
4.0,5.087202885895203,0.5139785547184654,0.8335373532016387,-2.0,-7.0,-12.0,6.336681576408779,1.336681576408779,-3.663318423591221,-8.663318423591221,0.9887597074902089,0.21161816402029815,0.4094116736311051,0.09887179909002412,2.3467797645234114,6.392221787341823,9.307397173932141,12.881083514839403,18.08826144625307,13.088261446253071,8.088261446253071,3.088261446253071,1.3204626250612677,76,12,14,11,0.0,0.0,0.0,0.8,1.0,1.8,3.0,3.8,4.0,4.4,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,40.888888888888886,93.12630672322585,99.7910535132338,41.55555555555556,41.55555555555556,59.111111111111114,81.0,114.11111111111111,167.0,0.024691358024691357,0.07407407407407407,0.345679012345679,0.4938271604938272,119.3897069987285,55.64611750785694,3276.6726452258167
8.0,5.7537291505103,0.8273308972370622,1.3167052146809783,-2.0,-7.0,-12.0,-17.0,15.6993489256138,10.699348925613798,5.699348925613798,0.6993489256137977,-4.300651074386202,-9.300651074386202,-14.3006510743862,-19.300651074386202,-24.300651074386202,-29.300651074386202,-34.3006510743862,-39.3006510743862,-44.3006510743862,-39.6622311359023,-30.204601228176454,-35.20460122817646,22,85,19,16,0.6,1.0,1.0,2.4,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,19.4,122.30220615359426,115.50603505439202,80.4,80.4,80.4,138.8,167.4,258.2,0.0,0.08,0.08,0.24000000000000005,161.8990210769065,68.04752169545438,5353.8675575141915
10.0,7.242668965184855,0.48576649967449476,0.9624196674257733,-2.0,-7.0,-12.0,-17.0,-22.0,-20.014233531926983,18.943902738540032,30.985834197097585,27.85766468073017,22.857664680730167,17.857664680730167,29.813476069831758,39.99951640250302,46.62438497572095,51.12177891711622,50.73154100634751,46.88398152865534,45.711390017785206,45.524683919914665,43.917216283979,70,26,28,25,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,2.2,3.0,3.0,3.0,3.4,4.0,4.0,4.6,5.0,5.0,5.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,41.0,144.0659794347922,120.83170994208253,77.14285714285714,77.14285714285714,85.85714285714286,85.85714285714286,105.42857142857143,299.7142857142857,0.0,0.16326530612244897,0.4897959183673469,0.5714285714285714,138.17551931650047,87.72285794722167,8495.167675011186
12.0,6.08822033917824,0.46050124138902354,0.8240484920854085,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-23.55242378323756,-13.651076132714655,-9.765218065528453,-2.0188948508786453,-3.321344325454112,5.828754514436423,2.615983762979056,-0.1330152982231425,7.205519163499034,9.721580009552463,13.006568324410011,86,43,45,42,0.0,0.0,0.0,2.0,2.0,2.6,3.0,3.2,4.0,5.0,5.0,5.0,5.6,6.0,6.6,7.0,7.0,7.0,7.0,7.0,0.0,1.0,1.0,1.0,1.2,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,83.1,117.63823931528252,110.2303149734565,57.6,57.6,77.1,94.6,147.5,205.2,0.0,0.0,0.16,0.38,143.74103852519517,57.891090960343675,3450.559319581117
13.0,2.4669633445966497,0.20245379989095652,0.2690310909712719,-2.0,-7.0,-12.0,-17.0,-22.0,9.679092580773618,13.848865725967022,8.848865725967023,3.8488657259670234,-1.1511342740329766,5.443596599641597,11.186656364003635,18.239613091652927,21.670576305180724,22.291218447532586,17.291218447532586,12.291218447532586,7.291218447532586,13.019931573613874,10.702109855134196,68,23,25,22,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.8,3.0,3.8,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,48.823794842883586,42.82733324590053,43.5,43.5,43.5,43.5,64.0,76.0,0.0,0.125,0.625,0.75,70.0268941643899,24.874492221986415,644.6176291839895
15.0,4.167480857854108,0.3174352121478521,0.4271899187257086,-2.0,-7.0,-12.0,-7.60319465450988,10.471057214346038,12.505358840017102,15.670551328696115,15.613326816029689,22.049729866940723,25.67171384157565,28.881833799612945,29.47237432862236,29.886195215948998,34.10407414941286,33.22890721085988,30.528180826303355,30.198335222504433,28.331757966097324,30.240904994702525,32.64178488601263,65,16,18,14,0.0,0.0,0.0,0.0,1.8,2.8,4.0,4.0,4.2,5.6,6.6,8.0,8.4,9.0,10.6,12.0,12.0,13.6,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.47058823529412,117.41325114696532,102.52128044440153,40.11764705882353,65.3529411764706,78.88235294117646,101.94117647058823,144.35294117647058,208.11764705882354,0.01384083044982699,0.06920415224913495,0.21453287197231832,0.35294117647058826,145.74076335367312,65.2078686669928,4336.630701856516
16.0,2.9692502075140985,1.0954929409134297,1.2431855671559235,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-67.0,-72.0,-77.0,-82.0,-87.0,-92.0,-97.0,0,89,0,2,0.4,1.0,1.0,1.0,1.0,1.0,1.6,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,114.56080829038103,112.18930119739817,136.25,136.25,136.25,136.25,180.25,246.0,0.0,0.0,0.0,0.125,189.82363889178953,50.86956212293224,2970.507116502047
18.0,2.271501034480055,0.6367423628514096,0.708609699091494,-2.0,-7.0,-3.62837323906665,7.506989903998097,7.873874406495179,2.8738744064951796,5.542212510832435,0.5422125108324352,-4.457787489167565,-9.457787489167565,-8.307047446036307,-8.224203846045498,-11.445829882789242,-2.0884572712916736,-7.088457271291674,-12.088457271291674,-17.088457271291674,-22.088457271291674,-24.48339665128309,-23.498212327351098,19,89,12,9,1.2,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.2,5.4,6.0,6.0,6.2,7.8,8.0,8.0,8.0,8.0,8.0,8.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.33333333333333,85.63353376219335,87.70702255561464,44.55555555555556,44.55555555555556,59.44444444444444,94.22222222222223,138.88888888888889,168.88888888888889,0.04938271604938271,0.07407407407407407,0.2222222222222222,0.46913580246913583,120.00010868405573,50.504006915253804,2805.6416418931944
