cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
6.0,3.82722340212132,0.8438179989085784,1.0058999938315065,-2.0,-7.0,-12.0,-9.69609424542752,8.73507329794649,10.202596060648155,6.170180156570126,5.040516540258011,0.04051654025801099,-4.959483459741989,-3.2957060805767013,-4.14766628150628,-7.026673241053494,-9.562657598219074,-6.4665760864876205,-6.222723718961921,-10.65566356773347,-4.417164420602441,-5.120380105943019,-8.750387679459404,24,15,17,14,0.0,0.0,0.6,1.0,1.4,3.4,4.2,5.0,6.6,7.2,8.0,8.0,8.0,8.0,8.6,9.0,10.2,11.0,11.0,11.0,0.8,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,45.733333333333334,142.52624996573007,131.36912170193455,40.2,78.46666666666667,109.46666666666667,129.46666666666667,186.4,232.53333333333333,0.02666666666666667,0.05333333333333333,0.12444444444444444,0.28444444444444444,189.15027711771225,88.20164826694095,8198.545354432847
9.0,7.674063041839191,0.14206872719967414,0.5310787244768682,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,22.455779126045886,42.697859086271094,37.697859086271094,32.697859086271094,27.69785908627109,22.697859086271094,17.697859086271094,12.697859086271094,7.6978590862710945,20.215839713554956,53,48,50,47,0.0,0.0,1.0,1.2,2.0,2.0,2.0,2.0,2.8,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,110.44593382559128,90.4882969803834,52.5,52.5,52.5,52.5,115.0,144.5,0.0,0.0,0.25,0.375,103.44882895190983,38.92067727035837,1550.1284584224522
11.0,2.6644513894921453,0.4902477892302435,0.569165875883291,-2.0,-7.0,-9.90254981585523,-3.037579828577305,-6.331798676870161,-0.42377036779861965,-0.4861676249543919,-0.3577673621019727,-1.07766846660073,-1.5653760565075132,0.7281636987278134,4.990970130184809,4.651971035560533,5.573316408611694,6.982339900926033,6.5766046769561965,3.255724619547874,0.48790082029426574,1.9794251730119925,3.018201079782739,73,12,13,10,1.4,2.4,5.8,7.8,8.0,9.2,10.4,11.0,11.0,11.0,12.2,13.6,15.4,16.0,16.0,16.0,17.0,19.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.05,82.530377052211,84.93263390778405,29.75,52.75,60.5,74.35,114.1,150.0,0.01,0.06000000000000001,0.27999999999999997,0.545,114.4371802904928,47.32443840624793,2323.598356569669
12.0,1.8214413867343902,0.5395049582201455,0.5655793955507115,-2.0,-7.0,-12.0,-17.0,-14.06812196766487,-2.1021645548088173,-3.9565762789561028,-2.8436769910772766,2.9601377620672324,4.15705653240704,3.5643665496666417,3.924410313495797,3.3276784730337026,5.505456897953417,5.732560621729644,4.99895299467695,5.168351186226457,5.292154762123809,5.4329870795051365,3.738510305917947,74,20,22,19,0.0,1.0,1.0,1.8,2.8,3.0,3.0,4.2,6.2,7.0,7.8,9.0,9.8,10.8,13.2,14.0,14.8,15.0,15.4,16.4,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.8695652173913,125.61954034055483,127.93769179736297,62.391304347826086,76.47826086956522,89.73913043478261,111.56521739130434,178.91304347826087,241.56521739130434,0.0,0.030245746691871456,0.1323251417769376,0.27977315689981097,174.53519173914646,75.91605442124565,5996.255097039348
14.0,4.468357532946164,0.502883727613459,0.6909240762753777,-2.0,-7.0,-12.0,-17.0,6.071025799669263,16.809331946547626,17.62303174452166,12.623031744521661,7.623031744521661,15.305853601375565,19.9133253207388,24.838130303454378,24.310772848133908,19.310772848133908,14.310772848133908,9.310772848133908,12.024083050910917,7.024083050910917,2.0240830509109173,-2.9759169490890827,59,18,20,23,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.2,2.0,2.4,3.0,3.6,4.0,4.0,4.0,4.0,4.0,0.6,1.2,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,63.875,112.54307569191009,103.60049863697998,58.625,58.625,101.25,101.25,164.75,202.5,0.0,0.0625,0.1875,0.21875,152.3555665864926,63.008886414516276,4426.05558023455
17.0,0.6276126000447969,0.6766508357787351,0.6814867966037864,-2.0,-7.0,-12.0,-17.0,-5.48251223897587,7.801654851911152,19.053647519473806,20.77455943411308,16.95610911230739,14.85734340393787,18.53692536506977,17.029534015155576,15.605175892055613,13.183479015063426,10.178224868043838,8.647005067456652,6.197560781532772,2.2693287892687493,1.5564008202126587,-0.9563718672905651,34,18,20,17,0.8,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.2,3.4,4.6,6.0,6.0,6.0,6.2,7.0,7.0,7.0,7.0,7.0,0.4,2.6,3.0,3.0,3.4,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.0,6.0,51.38461538461539,101.27273198054435,103.56419425462856,33.53846153846154,52.23076923076923,52.23076923076923,82.92307692307692,163.92307692307693,193.84615384615384,0.0,0.10650887573964497,0.2366863905325444,0.37869822485207105,137.80949985325657,65.5922345368974,4457.605167439902
21.0,3.573695400338121,0.7804589499781911,0.9455467037236703,-2.0,-7.0,-12.0,-8.804778410925053,-1.5119460273126357,-6.511946027312635,-11.511946027312636,-16.511946027312636,-19.619682548017327,-11.57824263687636,-7.4364880128465245,-12.436488012846524,-11.304272231983745,-7.447154838569325,-12.447154838569325,-1.123574997716176,-0.8830692526986184,-5.883069252698618,-10.883069252698618,-13.124589806830153,20,42,17,14,0.0,0.0,0.0,0.8,3.0,3.8,4.0,4.0,4.2,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.4,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,34.55555555555556,104.87821507219837,105.71307920608093,46.22222222222222,46.22222222222222,72.11111111111111,111.0,147.55555555555554,227.0,0.024691358024691357,0.024691358024691357,0.2469135802469136,0.345679012345679,149.87371354648585,72.36466008571448,5522.204206483639
23.0,4.26855044968351,0.5139037529036559,0.6604525317856716,-2.0,-7.0,-12.0,-17.0,-22.0,-7.090069748396682,8.079305862506384,8.038092207665791,3.038092207665791,-1.961907792334209,-3.9549185476275013,-4.44443468056744,-4.579744485987464,-5.059397276408319,-7.856614169118885,-12.856614169118885,-14.70988779830077,-15.635855616506637,-16.784522857734846,-18.236479430140008,34,25,26,29,0.6,1.0,1.4,2.6,3.0,3.0,3.0,3.0,4.0,4.4,6.0,7.4,8.0,8.0,8.4,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.83333333333333,131.39137573784535,123.05046434850203,63.916666666666664,85.58333333333333,85.58333333333333,119.41666666666667,175.83333333333334,229.91666666666666,0.0,0.041666666666666664,0.08333333333333333,0.23611111111111108,177.01443078793127,68.10685233393326,4871.567027592381
24.0,5.768300498029094,0.43762766339952913,0.8356541704966935,-2.0,-7.0,-12.0,-6.294363278191452,4.367644437610625,7.730113251340296,7.076589543760069,2.924108489650777,4.450655512098443,5.671139460282923,4.625983745278861,6.803257202716635,12.414103756291954,12.973745829337517,14.962706473807467,14.6862733096715,13.03750434356786,14.00439231311672,13.41371483030564,12.39989281726323,72,14,16,13,0.0,0.0,1.0,1.6,2.8,4.0,4.0,4.8,5.2,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,39.083333333333336,99.21167324730239,86.30405322324994,43.0,55.833333333333336,55.833333333333336,68.25,105.75,147.5,0.013888888888888888,0.06944444444444443,0.3194444444444445,0.5416666666666666,110.63374969112226,47.45734328972055,2302.561817525841
25.0,1.979364930298655,0.33248491831199983,0.3532187514353763,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-10.10069113825973,1.7128744985880004,6.880370030047648,9.040703542259243,9.210429093893495,19.425630480830232,15.425748997176001,17.787734682566924,19.521920992070612,19.37561389788001,25.21831050299881,32.32109282713823,30.42085818778699,26.025496681765095,85,28,30,27,0.2,1.0,2.6,3.0,4.0,5.2,7.0,7.0,7.4,8.0,8.8,9.0,9.0,9.0,9.0,9.8,10.8,11.6,12.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,208.94117647058823,126.77784090582063,123.4238274777051,67.05882352941177,82.17647058823529,102.82352941176471,128.23529411764707,177.0,237.47058823529412,0.0,0.01384083044982699,0.09688581314878893,0.2560553633217993,180.90760095100995,74.74895533618562,5772.598006513785
