cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,1.6479487927759497,0.9148707034643461,0.9440855212268312,-2.0,-7.0,-6.0083706379464505,-0.0870819204737316,-1.3694637635096818,-1.9925963938865636,-3.578223788679032,-3.5598213074498632,-2.9411552957187523,-3.598235476071082,-3.236236502417806,-3.3643995619552243,-3.5568227619035797,-3.3290141293213624,-1.441576232584771,-0.6565512526732846,-0.4602750226658429,-0.9012350867187593,-1.2397204234413777,-1.3703221956702918,16,9,14,7,0.6,3.0,5.6,7.0,8.4,10.8,11.8,12.4,13.4,14.4,15.6,16.6,18.4,19.2,21.2,23.6,24.0,25.8,27.0,27.2,1.4,2.6,4.2,5.8,6.8,8.6,12.2,13.2,14.4,16.2,19.0,20.8,22.6,24.0,24.4,25.0,25.6,26.0,26.0,26.6,70.11290322580645,147.337430959514,158.85610876693372,60.87096774193548,82.20967741935483,102.01612903225806,132.11290322580646,196.24193548387098,265.88709677419354,0.0072840790842872,0.02497398543184183,0.11394380853277836,0.23204994797086367,203.38907927236536,93.26003635358893,9102.441605334885
3.0,2.9565662825541095,1.0161730131687736,1.1237569116788066,-2.0,-7.0,-6.810823634739958,-5.233347687427205,-2.9132928436989127,-4.325485981357977,-3.967414632840293,-3.4824773773338635,-4.822838938644905,-3.984812180572392,-3.3731791237681237,-0.9824906930944607,-1.2701911465510336,-2.7116116573674476,-2.5818998539479794,-2.121910200947016,-2.1475485596414616,-3.549039954403895,-4.230637836019755,-4.280857047528926,0,8,18,6,1.4,5.6,7.0,8.8,9.2,11.8,12.0,16.6,17.0,18.8,22.0,24.2,27.4,28.8,29.0,30.2,31.2,33.0,33.0,33.0,1.0,4.2,7.6,12.6,14.0,14.8,18.2,19.4,20.8,22.0,22.0,22.4,23.6,25.0,25.4,26.4,27.0,27.8,28.0,28.0,51.69230769230769,152.23224529306796,148.9460984156332,57.815384615384616,75.64615384615385,92.83076923076923,131.43076923076924,210.27692307692308,266.0,0.005207100591715977,0.02745562130177515,0.11928994082840239,0.23053254437869822,202.07739810996662,91.01547632209375,8559.145487741274
5.0,2.9520021487547354,0.7164865993692947,0.8347705141386568,-2.0,-1.7097606208120815,-0.3421341581889671,1.6461317662717097,4.374124619613257,5.246058502705819,6.54658138972393,5.6172573002159725,4.181092674981791,3.4365468269069255,4.060330624056347,5.155056880693786,5.846820816596053,3.1752218689526925,1.8866673707961836,2.171866626126061,3.126079122820593,1.7758169142778257,0.7514508593379787,1.99515654307298,33,4,12,2,0.0,1.6,3.8,5.6,8.2,11.0,11.2,12.0,12.8,13.0,14.2,16.4,17.6,18.4,19.8,21.4,23.0,23.0,23.0,24.4,1.6,3.0,4.8,6.6,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,51.37837837837838,98.06211046495102,105.23668671073396,34.67567567567568,51.75675675675676,66.24324324324324,88.37837837837837,133.86486486486487,175.0810810810811,0.020452885317750184,0.07450693937180425,0.2483564645726808,0.46018991964937916,131.4023862458639,59.03243120486743,3581.5404186269325
7.0,2.0472049223748523,0.7740226378841555,0.8194710746065045,-2.0,-7.0,-5.008656815931557,0.6675159276483399,0.9783802406264904,1.9159352801603604,2.4752927263152875,3.0265801382389,4.604444076085853,5.373857493093558,5.729039205481454,5.7506876431675,5.541371610397218,4.620534472331658,4.958236545427502,4.342532581943203,3.7217636211670166,3.0250674965941755,2.360807467740668,1.692243899737079,54,9,11,7,0.0,3.0,7.6,10.6,14.2,16.8,19.6,23.2,28.2,31.0,32.2,34.2,36.8,37.2,38.0,40.6,43.0,44.0,44.8,47.0,0.8,3.0,4.4,6.4,7.8,9.0,9.8,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,55.76119402985075,128.81956682293136,126.1898109245576,47.59701492537314,63.16417910447761,89.23880597014926,113.53731343283582,173.955223880597,235.23880597014926,0.010692804633548674,0.04544441969258187,0.16217420360882157,0.29494319447538425,172.7163589435208,77.17503727940489,6112.380273782242
8.0,1.5243772713508899,0.9741500835277612,1.005356155186801,-2.0,-7.0,-9.548224008843679,-5.657495168878166,-2.972878201252418,-4.649078254160075,-3.1804074720135906,-1.0909652712889681,-2.333272489617639,-1.2569323023790517,-2.3233589332104385,-3.3429868449035554,-3.2038024615842344,-4.439538313934373,-4.8176935673126335,-4.970426413599313,-7.507647660606674,-8.358123918413037,-8.786148074564068,-9.492640272905158,35,11,12,9,0.6,1.6,5.0,6.0,8.2,11.0,11.0,11.0,11.0,12.8,13.6,14.0,14.0,14.8,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,1.6,3.2,5.0,6.0,6.2,8.8,10.8,13.4,15.0,15.8,17.4,19.8,21.0,21.8,22.0,22.8,23.8,25.0,45.4390243902439,128.3745894997424,138.05554334916363,51.58536585365854,73.1951219512195,89.39024390243902,117.48780487804878,176.17073170731706,243.85365853658536,0.00594883997620464,0.04283164782867341,0.1522903033908388,0.2855443188578227,174.38034093952172,78.41277587253951,6426.299279506019
9.0,4.0946990969495625,0.7476240847197451,1.0838542204251533,-2.0,-7.0,-7.150231682443954,-4.177889365635122,-0.05118096814462234,-0.09294552322080349,0.5259163386872828,-0.8520269607066794,-3.0839691092427826,-2.8365499096512012,-1.8856638728139075,-1.6206296522199892,-0.8445046347327206,-2.0582229791146305,-2.448116909689432,-3.900363507148114,-3.2194064294434215,-4.460634026003225,-6.078686167171557,-4.554242794784335,31,10,11,8,2.2,4.0,5.0,7.0,10.8,13.2,15.0,15.2,18.0,19.4,20.2,21.8,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,1.8,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,27.75862068965517,76.7970442147446,76.35901954491183,30.517241379310345,40.3448275862069,54.275862068965516,67.75862068965517,102.82758620689656,129.75862068965517,0.019024970273483946,0.09988109393579073,0.370986920332937,0.6801426872770512,98.76473519006404,42.811569296946594,1881.7284710161807
10.0,0.3495358384137998,0.9217615521112527,0.9244035978664477,-2.0,-7.0,-6.078082756081711,0.42720721875957113,1.8732267487492293,-0.29856732754329657,-3.645506838797663,-4.0397078285183,-5.181460008054205,-4.031150277829795,-3.17964735643111,-5.939063849058961,-8.360561223024808,-11.486772384347281,-14.689414367705956,-15.292226531244552,-17.957074398246213,-19.405453510017992,-18.83731148908929,-18.726402151685065,21,89,12,9,0.6,3.8,5.0,5.4,6.0,6.6,7.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.6,1.6,2.0,2.0,2.2,3.0,4.4,5.0,5.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,20.642857142857142,69.12326180437329,71.78156510315439,24.071428571428573,40.214285714285715,58.0,68.42857142857143,97.92857142857143,153.42857142857142,0.0510204081632653,0.12244897959183673,0.3469387755102041,0.5918367346938777,99.99915007865486,46.84124708511596,2293.446285041172
11.0,1.9598525071065667,0.6940181486948137,0.7278563722140431,-2.0,-3.3015924226479876,-2.8275544208564853,1.3817830105966127,3.1415946607615433,4.308214135310495,5.085224472868991,5.873735502824002,6.857837508857537,7.6427947090899,8.611264691439924,9.375774610851025,9.677456757375882,10.313360166682628,10.816131237013423,10.896486336939708,11.054025410955187,11.290764771134198,11.745683866472916,11.890315259563195,87,10,12,2,3.6,10.4,13.0,15.4,17.8,21.4,29.0,35.0,41.8,47.6,51.2,55.6,61.2,66.0,71.2,76.0,80.0,82.8,89.0,92.2,1.2,4.0,9.2,13.4,18.0,22.4,24.4,29.2,31.8,32.0,34.4,38.4,43.2,46.0,46.0,47.4,49.0,50.6,52.2,55.8,102.08457711442786,138.19017281859058,136.48217802266254,58.840796019900495,82.58208955223881,100.72139303482587,127.95522388059702,185.11940298507463,247.7363184079602,0.007722581124229599,0.03321699957921834,0.12781861835103092,0.2602410831415064,191.87260618885085,86.14105220171227,7583.815319861705
12.0,5.337353005291023,0.6864450222765739,0.9564123792398451,-2.0,-7.0,-12.0,-0.14760457725272502,1.9855282928556839,1.5571630356269863,4.339814480100388,1.3128588685358054,0.6151734676872209,0.17910954816684352,0.6207520170053058,0.35292919558169444,-2.3091448227775886,-3.2799650168724765,-1.2640127930344192,-2.3936648650044363,-1.2341382674013743,0.06810604386320449,1.4712538870627896,1.466015113466358,32,13,15,11,0.0,0.8,2.2,3.8,4.0,4.6,5.8,6.0,6.4,8.2,9.8,10.0,10.0,10.0,12.0,12.4,13.0,13.0,13.0,14.2,2.2,3.0,4.8,7.6,8.0,8.2,9.0,9.2,10.0,10.0,10.0,10.8,11.0,11.0,12.2,13.2,14.0,14.0,14.0,14.0,52.61290322580645,145.5238221204336,166.20432005667732,49.96774193548387,84.58064516129032,93.51612903225806,120.58064516129032,186.4516129032258,252.38709677419354,0.01040582726326743,0.037460978147762745,0.12486992715920917,0.26638917793964617,187.06975060938052,84.52213341201231,7448.937474546919
13.0,1.8041758475424852,0.943300471473699,0.9796467362289023,-2.0,-4.748273742939657,-4.799924942117679,-4.357702400904094,-3.7076443629762323,-1.3726387704382936,-0.6343708676606369,-1.774489783870179,-1.4780450351784182,-2.218364309274432,-2.277333449700099,-1.517211609188641,-1.3269022441130303,-2.679088694699682,-3.7473416902786654,-3.8441539582887403,-4.092861753222939,-4.124950697090833,-4.027401960744166,-4.824158859506437,0,10,24,3,2.2,3.4,5.6,7.8,13.0,15.2,17.8,20.4,21.8,24.0,25.4,27.2,30.6,33.0,34.2,37.8,39.0,40.0,42.4,43.0,2.8,6.0,8.4,11.6,14.8,17.8,22.0,25.6,26.6,28.4,29.8,32.8,34.4,36.0,36.0,36.0,37.6,38.8,39.0,39.2,74.46808510638297,153.23201818545033,154.61906970966868,56.95744680851064,85.14893617021276,105.46808510638297,138.69148936170214,210.1595744680851,271.17021276595744,0.004300588501584427,0.02535083748302399,0.09732910819375283,0.20393843368039838,207.2877490460429,89.40088247661586,8193.645874223526
