cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,6.10176800733578,0.665964472825765,1.0758203695452784,-2.0,-7.0,-1.9070414341494974,1.6737741369984693,2.2828306120843975,2.5264356189765436,2.578267664350146,3.431471916543856,4.506747292920584,6.4127435722492026,7.351155742870435,7.0666831728263855,8.593507300490028,8.200411714643375,8.342721350063869,9.017188738980039,9.384479674794926,9.13754526964097,8.809115682022128,8.18873707290432,85,8,10,6,0.0,0.6,2.8,5.8,8.2,10.4,13.0,15.4,17.4,20.6,24.6,28.6,31.6,35.0,36.4,39.0,41.0,42.8,44.0,44.8,0.4,5.0,9.4,10.8,11.0,11.8,12.0,12.2,13.0,13.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,51.65573770491803,134.9989217138577,124.947904219398,45.49180327868852,62.81967213114754,75.52459016393442,101.72131147540983,148.44262295081967,200.8360655737705,0.013974737973662995,0.05858640150497178,0.22144584789035204,0.4106423004568664,156.17898847184298,79.15532884518134,6556.350659717842
7.0,5.343367513104929,0.4790168321906136,0.8046041904748225,-2.0,-3.4124758214940756,-0.8021877986173657,6.974169147973976,9.576324829232108,9.31750346615836,11.257042828465966,15.169315107973716,15.365662587089167,14.438788219207606,15.345082355226566,14.067293072891903,13.807342299663944,12.702490307647214,10.21618862952636,7.2129811563907875,6.914531388324576,5.729209875057407,5.899350828999053,5.2815858810188585,39,6,16,4,0.2,2.0,2.2,3.8,5.8,7.0,7.0,7.2,8.0,8.8,10.4,15.0,15.8,16.4,17.8,20.0,20.0,20.0,20.0,20.0,1.2,2.2,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,49.708333333333336,97.94791971406345,100.36959472951077,39.791666666666664,46.5,51.833333333333336,62.75,116.125,163.75,0.03819444444444444,0.12847222222222224,0.2986111111111111,0.5243055555555556,116.33273087824232,56.35115224346646,3315.260437437106
8.0,2.4697275677188752,0.839367198242714,0.9161368310925246,-2.0,-7.0,0.21607165322883332,3.7222103128078254,1.7373984615047284,0.3020455203109108,1.8001550265619621,2.9456654884264877,1.4294405147602234,-1.8620529277199425,-2.260617292436224,-2.450645241569892,-2.6624737944111105,-4.032177159199669,-4.568107658904762,-6.272269724655527,-6.808788845235239,-8.123909322595702,-9.219712353591001,-7.022261896826206,16,89,9,6,0.6,2.8,5.2,7.4,8.4,9.6,10.0,11.2,12.0,12.2,14.0,16.0,17.0,17.0,18.8,19.0,20.0,20.2,21.0,21.6,0.4,2.2,4.0,4.4,5.0,5.0,5.4,8.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.4,51.205882352941174,119.62138234625098,118.18258265019435,49.73529411764706,71.47058823529412,91.44117647058823,112.5,159.0,213.14705882352942,0.01384083044982699,0.050173010380622836,0.1522491349480969,0.31833910034602075,163.01599883661976,71.55892316084798,5253.475883003623
9.0,1.0755685467042015,0.8353427636795503,0.8538841232601446,-2.0,-7.0,-7.010449729560205,-6.088721852867681,-3.7976683772323425,-5.043342587627128,-5.009249764153102,-4.32419808245737,-5.631263626608626,-6.351244121575957,-6.3882694010177605,-5.4737334120771965,-5.16944247489384,-2.8310336092799373,-3.8608466064269775,-4.7099431765731055,-5.755850300144251,-6.952021966754555,-5.521544277961459,-8.082966165551252,0,10,11,8,1.4,2.0,3.6,6.6,9.8,11.2,13.0,13.2,14.2,15.2,16.0,16.8,18.0,18.0,18.2,19.0,20.4,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,2.0,45.73913043478261,87.45913972453285,89.01338353723482,42.30434782608695,57.391304347826086,65.47826086956522,78.17391304347827,126.04347826086956,171.91304347826087,0.011342155009451795,0.06427221172022683,0.2722117202268431,0.502835538752363,124.23405195711136,57.07093460770155,3379.865891355769
10.0,6.0906438471174065,0.6615866719400166,0.992386399081087,-2.0,-5.405206423242771,-2.03662652697803,-0.3370312167925832,2.671240114878407,5.098222398650683,5.06661601456138,6.37428538962386,7.100834875933458,7.125417699340927,7.226102678957027,7.183444977828022,7.620713387473506,8.082208136336934,8.457218656718336,8.594870205882518,8.320645730085715,7.993203046595658,7.482794346016473,7.158720711448931,74,7,8,4,2.2,5.2,11.2,15.4,19.0,25.4,29.8,35.0,38.6,42.2,44.8,48.4,51.4,56.2,58.8,60.2,65.6,68.4,70.2,71.8,3.2,5.0,6.0,7.6,8.8,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.4,11.0,11.0,11.0,11.0,11.2,12.0,12.0,60.53763440860215,158.11009541585088,148.14603653535355,47.43010752688172,73.54838709677419,87.90322580645162,119.91397849462365,185.56989247311827,244.19354838709677,0.009018383628165106,0.043010752688172046,0.14938143137935023,0.2830385015608741,190.38058994485266,92.69927032657694,8940.39580464824
11.0,1.9445738702161819,0.6701431698540933,0.7248701030823013,-2.0,-0.05651533413345877,-0.045331577413190514,3.7868579302405663,3.9819452556236654,5.548258256359949,4.4540646144046905,5.602008684529226,5.222281289136701,4.4120080627540945,4.06361445960533,1.3256278904210177,1.065586313907089,0.5271418027988375,0.688643358698721,0.21304846122591242,-1.4618839866363487,-3.4430789670584376,-2.5225968931728318,-2.2552998416575805,29,88,13,1,1.4,4.0,5.4,6.6,7.6,8.8,14.8,16.4,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1.2,2.6,3.0,3.4,4.0,5.0,5.6,6.0,6.0,6.0,6.0,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,27.52,77.86926999898648,80.90387846210659,35.6,45.6,53.6,72.04,107.72,146.64,0.0352,0.128,0.3456,0.6112,110.87256615467149,52.81083196476422,2854.5762128095394
12.0,1.0688306595101962,0.9239699267933554,0.9361463552829135,-2.0,-5.6724587735827585,-2.385095899722253,2.48478261224834,3.844129029673615,0.9154764206033554,0.658479159142766,1.2215175652699586,1.0402230299044901,4.501086224959859,5.693338818805259,5.784637779420717,5.008082935860142,4.118636042726928,3.6776778521186997,2.8293978845871606,1.4932139398471151,-0.2019560609624591,-0.8458673343605199,-1.5474201424503122,55,7,15,5,0.8,2.8,4.0,6.0,6.6,9.2,11.4,14.0,14.8,18.6,19.8,20.0,20.4,21.8,22.0,22.0,23.0,25.4,26.0,26.0,0.2,2.2,4.8,5.2,8.0,9.0,10.6,11.2,12.6,13.0,13.0,13.2,14.0,14.0,15.0,15.4,16.0,16.0,16.0,16.0,56.369565217391305,153.13054525640658,156.2722121484776,53.91304347826087,74.65217391304348,92.95652173913044,130.58695652173913,213.47826086956522,274.89130434782606,0.012287334593572778,0.0330812854442344,0.12476370510396975,0.23440453686200377,206.25029166409263,94.61462653215675,9311.909521104217
13.0,2.989812238771423,0.8496827330212796,0.965718533672861,-2.0,-5.328196657923465,-1.8093578699612554,1.4706065995840816,1.9028401861337905,0.9877450251798485,1.4587709820294932,0.7562193164563809,0.6182995863941187,0.442402609904866,0.7784238774011556,1.735602269274996,1.3265617414492568,1.5462131258802743,0.1628760312945218,-0.30223808510746436,-0.6034060543544684,-0.6656754512399743,-1.115196502719391,-0.8221456409640183,59,6,11,4,1.0,6.0,10.8,12.0,12.8,14.0,15.2,16.4,18.0,20.8,22.0,22.8,24.0,24.8,26.2,27.0,28.4,29.8,31.4,32.6,0.6,1.6,2.2,3.8,6.0,8.4,11.8,13.8,15.4,16.2,17.0,17.8,19.0,20.0,20.0,20.0,20.0,20.0,20.8,21.0,58.58064516129032,121.83554630938521,122.780095241019,51.83870967741935,68.91935483870968,82.91935483870968,107.69354838709677,160.91935483870967,212.29032258064515,0.013527575442247657,0.046826222684703434,0.1696149843912591,0.34599375650364206,161.58038054118452,72.10112947703558,5330.734554998665
14.0,1.222200811885686,0.724939738788778,0.7389932507458096,-2.0,-4.801390911484778,-0.31397093562793865,2.180271625766702,2.993806374063002,2.670294399711385,3.6022182974624983,2.372636614772445,2.0022096605391413,1.7103062521081582,1.9724057413943767,2.499228252815949,3.5301299578259573,3.8161048791827112,4.234088893736472,4.410800868630323,4.498616009597731,4.458349747267116,3.3187067556981704,4.069869026465142,86,6,8,4,0.6,1.4,3.6,4.0,4.4,6.0,8.6,11.6,14.0,16.0,19.2,20.0,22.8,25.4,27.0,28.6,29.6,32.0,34.0,36.0,1.4,4.6,6.8,10.2,14.4,15.8,16.4,17.2,19.8,21.6,23.0,24.0,24.0,24.0,24.6,25.0,25.0,25.0,25.0,25.0,77.4125,132.29121407499525,133.22893105653807,50.75,76.2875,94.3125,123.5125,181.9875,239.95,0.009375,0.0315625,0.129375,0.2684375,185.848843308411,82.0412687905305,6874.983572410053
18.0,1.508015335901814,0.8668566647587173,0.908315092281336,-2.0,-7.0,-5.928924883079756,-3.320199158875377,-4.181889372609506,-1.5211903539262508,0.23600323865163092,0.5988618357191428,-0.7823894626787109,-2.0165339265937545,-3.718620811332677,-4.999371416548267,-4.818451659993213,-5.213472598434502,-7.18551209816638,-9.319354667289266,-8.714645877869145,-10.82775246574937,-12.216200533209385,-13.573022105056136,34,89,11,8,0.0,1.4,4.8,7.4,8.0,10.0,12.0,14.8,19.8,22.4,23.2,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,1.8,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,29.344827586206897,81.95830369617507,81.38521994488005,31.79310344827586,39.724137931034484,53.55172413793103,75.20689655172414,116.96551724137932,156.93103448275863,0.014268727705112961,0.10463733650416171,0.31866825208085614,0.55410225921522,113.51173713134907,52.41862660432502,2869.431567256696
