cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,2.113969129822801,0.719916298006921,0.7676256866235298,-2.0,-7.0,-12.0,-6.5300640592230055,-1.827725445823144,0.7431029688850934,0.057500868162740915,-4.942499131837259,-5.197124484589958,-0.37907676749733954,5.473630223141816,1.8833662224164527,-0.014606938907870414,-0.09472376299596022,-1.7156529320958014,-4.085003318228303,-3.1417293772802934,-5.362888739207864,-6.073879819637545,-3.621155843550568,52,14,15,12,0.0,0.6,3.2,4.4,6.0,6.8,7.0,7.2,8.0,9.6,11.4,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.6,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.8,37.625,109.15961837062976,106.73418953153356,47.3125,62.1875,72.5,85.3125,139.0,195.375,0.0078125,0.046875,0.21875,0.390625,152.05622914859987,82.17367368138184,7157.006165806377
4.0,2.5918332093733203,0.985709480487994,1.0857075674621077,-2.0,-7.0,-10.37491901141195,-5.667748965283274,-2.391693795706845,-0.7954914227328906,-4.31098165906672,-3.812074956282718,-6.0769742782806855,-4.566665169201985,-4.709018488000804,-2.52603751827901,-3.408838354078303,-3.7998002907465662,-4.04408404542013,-4.274710094345568,-5.455993299866156,-5.4013162959392815,-2.4855668927130354,-2.375733428944892,27,12,14,10,0.0,1.8,4.0,4.4,6.6,8.2,10.0,12.0,13.0,13.0,13.0,13.8,14.2,17.2,18.0,19.0,19.0,19.0,19.0,19.0,1.4,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.8,4.0,4.8,5.2,6.0,6.0,6.0,6.0,6.6,7.8,8.0,8.0,44.233333333333334,124.03119704297896,118.10445236299074,51.0,63.9,84.93333333333334,114.6,165.76666666666668,227.4,0.006666666666666667,0.03777777777777778,0.1622222222222222,0.3266666666666667,165.0022971003379,71.65029915588457,5238.89380820632
8.0,2.675215047220373,0.7807303920613342,0.8500630994082499,-2.0,-5.166051728391049,-2.8302586419552487,-0.7176292254044665,-1.9287714466386583,-2.645129001812742,-3.812173034937299,-5.8546125577765835,-8.665712471899218,-4.937125376735149,-3.1530081250264788,-4.0354426426743455,-2.8990035944735455,-2.7737385264348746,-2.029237820127102,-1.9045463500973796,-1.983373983633885,-3.9996372572571572,-4.453335994095679,-3.0227164997658607,17,43,8,11,0.6,1.6,3.0,5.6,6.0,6.8,7.0,7.8,8.4,9.0,11.2,13.2,15.0,16.0,16.6,17.6,18.0,18.0,18.0,18.0,0.4,2.2,3.0,3.2,4.0,4.8,5.0,5.0,5.0,5.0,5.8,6.0,6.6,7.0,7.0,7.0,7.0,7.0,8.6,9.0,57.41935483870968,141.2860374348927,137.57443701175944,55.70967741935484,80.38709677419355,88.64516129032258,121.16129032258064,183.09677419354838,258.7741935483871,0.008324661810613943,0.02497398543184183,0.13943808532778354,0.3017689906347555,190.82757646673406,92.17023521159982,8907.44099515594
9.0,2.624868971715173,0.9277791667040363,1.013752887991521,-2.0,-7.0,-12.0,-13.949779631649397,-6.748898158246986,-9.1578544706669,-6.151689907007897,-4.3163314456396975,-8.468653774063664,-8.376816857756475,-4.812837097571645,-6.921602202402954,-8.176247118515455,-8.156304352613791,-12.710291486157779,-8.773400394127316,-9.562907838759847,-12.006745708108863,-16.19077015659697,-19.623486613256823,0,16,18,15,1.8,3.0,3.4,5.0,5.0,5.6,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,25.75,112.46663132945713,127.91038410587488,44.833333333333336,87.5,87.5,102.83333333333333,160.91666666666666,214.58333333333334,0.013888888888888888,0.05555555555555555,0.23611111111111113,0.3611111111111111,169.05927959864118,86.04502735451003,7514.592979777489
10.0,4.501017054830198,0.7023212600442017,0.8615557361843986,-2.0,-5.216929880162461,-5.259568853598952,-3.737553459786825,-1.2159975088870454,0.8907658017088345,0.7305340072869235,2.285689555107082,3.1188745474841313,4.382056142441622,5.142727066284939,6.616664910839125,7.613664279549861,7.509501268094721,7.072955764925297,8.623481435033119,9.506022816418346,9.879218719133458,10.178785474335054,10.038984524500194,84,6,21,4,1.4,3.0,3.0,3.8,6.8,9.6,13.6,17.8,20.2,24.4,29.4,32.6,33.0,35.4,39.0,41.0,42.8,46.2,47.8,50.8,1.6,4.0,6.2,7.6,8.6,9.6,12.0,13.2,14.8,15.8,17.0,18.4,19.0,19.0,19.0,19.0,20.6,21.0,21.0,21.0,95.43023255813954,175.65532582935927,162.95936997362057,67.18604651162791,88.6046511627907,105.6046511627907,140.6860465116279,216.43023255813952,277.83720930232556,0.003244997295835587,0.024337479718766902,0.10248783126014062,0.2133585722011898,223.86308594986502,104.07286223674353,11159.942316382065
11.0,1.8906880562419985,1.0477766989681294,1.1244732163248983,-2.0,-7.0,-10.410250994255486,-7.360063014305647,-4.998210577734859,-4.462058373137006,-4.972585607571851,-7.878823396640987,-11.287699684578602,-10.839933640178126,-9.871433346114,-11.788720633350732,-12.362389122716401,-12.647936989998964,-12.36885676670639,-12.961453791970854,-11.565830628816347,-11.655431211366817,-9.014329016317228,-9.709878807732654,0,70,13,10,1.0,3.6,5.0,6.6,7.0,7.0,7.8,8.0,9.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.6,3.0,3.6,4.0,4.4,6.2,7.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,40.44444444444444,84.71622985040055,93.65130641220901,30.444444444444443,42.888888888888886,56.22222222222222,76.05555555555556,106.5,169.33333333333334,0.012345679012345678,0.08024691358024691,0.30864197530864196,0.5864197530864197,115.95272261210413,55.668150246767546,3296.8109846459442
13.0,3.5935643546712965,0.8134415917308208,0.9645447191232863,-2.0,-7.0,-6.940758535172478,-6.297618289188853,-4.834389717702813,-1.9972722004459442,0.4844300371528668,0.29762175534498,1.3013207344443898,2.541351693836438,3.8782989385967968,6.247935389042048,7.122357421202028,6.525208380512623,5.54494594949499,5.291590583990347,4.795272454127868,5.693723051217757,5.927875218971988,5.526199471802741,64,9,17,7,0.0,3.0,4.2,6.6,8.2,9.0,10.8,12.0,12.0,15.0,18.0,18.8,19.8,21.2,22.8,24.8,26.8,27.4,28.6,29.0,0.0,0.8,2.2,3.4,4.0,5.4,6.0,6.2,7.0,7.0,7.6,9.0,9.0,9.0,9.0,9.0,9.0,9.2,10.0,10.2,66.14583333333333,130.4711457961329,123.43076173718282,48.854166666666664,66.22916666666667,88.0625,110.08333333333333,160.0,228.58333333333334,0.006076388888888888,0.041666666666666664,0.171875,0.3350694444444444,170.74634468481224,81.27347900858645,6850.968027150494
14.0,4.046269279317992,0.7604819604456231,0.9867118034100044,-2.0,-7.0,-12.0,-17.0,-22.0,-19.37197054518409,-5.559401286250524,-4.138494117095107,-3.4881320963176963,1.3518654274744493,1.758154134307972,0.9744568188119018,0.8250421772676475,0.20073621447593268,2.069049007615109,0.8783039611936772,1.2127449563967274,-0.2824274463840851,-2.114548240962853,-0.870282244421358,73,26,27,24,0.6,1.0,1.0,2.2,3.8,4.0,4.8,5.0,5.8,6.0,6.0,6.4,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,0.4,2.0,3.0,3.8,4.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.4,7.0,34.6,104.91469340373372,101.34632536138498,53.333333333333336,67.53333333333333,77.13333333333334,89.86666666666666,131.86666666666667,184.06666666666666,0.0,0.04444444444444444,0.2577777777777778,0.4711111111111111,135.92164098236137,63.355085597323395,4136.5500655706
15.0,1.3212345919447661,1.0539970385458137,1.0720016930670366,-2.0,-7.0,-12.0,0.5493429504327458,4.738420368678644,3.110531682351592,0.2893578366960071,8.220498896517897,8.724518556320666,8.949569505022957,6.814089219775761,7.11670973143641,5.2429664157418046,7.55265947402215,4.230483303173273,-0.1813380585504177,-2.7572244542681745,-4.805457044440985,-9.441095945889614,-12.357252710298184,45,12,14,11,0.0,0.0,1.0,2.2,3.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.6,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.8,5.4,6.4,54.857142857142854,176.0830174437443,203.54277060055423,65.38095238095238,93.80952380952381,135.52380952380952,164.52380952380952,234.04761904761904,287.04761904761904,0.009070294784580499,0.045351473922902494,0.10884353741496598,0.15873015873015872,242.13700552435245,115.6081153518436,14238.905119854408
16.0,1.99958485572377,0.8185466214913928,0.862322266850604,-2.0,-7.0,-12.0,-11.908471382650308,-6.241805976316905,-5.541417356256838,-5.026839077512383,-4.975192750972512,-2.4855730722281137,-1.7378744356828393,-1.6211949438564517,-2.528560164329748,-2.082029627951863,-1.7136024124335179,-2.58663764899095,-2.6448606108946136,-1.7799597022162232,-1.6335726269111688,-0.9178716783683598,-1.632942088199701,0,15,17,13,0.0,0.0,2.2,5.4,8.2,10.8,14.8,17.2,20.8,25.4,28.6,29.4,31.0,31.8,34.0,35.0,35.0,35.6,39.4,42.0,1.6,2.0,3.0,3.2,5.0,5.0,5.0,6.2,7.8,9.0,9.6,10.0,10.4,11.0,11.0,11.0,11.0,11.0,11.0,11.0,66.29508196721312,132.34396705674152,130.4047807068401,56.65573770491803,77.36065573770492,91.85245901639344,118.90163934426229,180.72131147540983,238.9016393442623,0.0026874496103198066,0.030099435635581834,0.13544746036011826,0.28379467884977155,180.29810577839893,80.50271077105012,6688.998688209753
