cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
3.0,3.1278625789951096,0.7488178341661698,0.8612424888098064,-2.0,-7.0,-8.39155422318072,-5.476387759771417,-3.0940739863178424,-3.6807203888783553,-1.985298076198046,-0.6372524053202028,-2.858273515936041,-2.818396115272128,-1.4369348292580824,-1.0731132756483575,-0.31380474372587486,1.8585225840982105,3.3345848476303077,3.3764842654294256,2.246755936073592,1.442526927955683,0.7926873178744358,0.8257087789752717,76,11,12,9,0.6,3.2,5.2,7.2,9.2,12.0,15.4,18.0,18.0,19.6,21.0,22.8,23.8,24.0,25.0,26.6,27.0,28.4,29.4,30.0,1.4,2.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,4.2,5.0,5.0,5.0,5.6,6.0,6.0,6.0,6.6,7.0,7.0,62.214285714285715,117.3996070947285,117.44460622366461,54.642857142857146,73.9047619047619,86.26190476190476,108.83333333333333,154.88095238095238,211.64285714285714,0.005668934240362812,0.0419501133786848,0.17233560090702948,0.34807256235827666,161.17556737123377,71.78729228324958,5300.238655640564
4.0,4.9858071266896955,0.5531010228653791,0.7888031920953692,-2.0,-7.0,-12.0,-9.118138528889988,-2.0277354762686506,1.6752786264221613,4.239425042819498,3.643269448861234,7.181474673009811,7.522058121094015,6.492280271887803,7.436408115513451,9.216428626431409,9.947217928969533,11.07021080484328,10.317333831048435,9.526046960895517,11.0481301278556,11.435167227916972,12.506981614132538,89,14,15,12,1.4,2.0,3.0,4.2,6.8,10.0,11.2,12.4,13.8,14.6,15.0,17.4,20.0,21.0,21.0,21.2,23.0,25.0,26.4,28.0,1.6,4.2,5.8,7.0,7.0,7.0,7.0,7.0,7.0,7.8,8.0,8.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,84.275,125.16411570680796,111.26795188947003,44.425,62.6,81.025,103.2,150.7,201.65,0.0025,0.04375,0.17375000000000002,0.3775,156.3783198833989,69.5713749657753,4950.069163151849
8.0,2.802913226084746,0.7444441836421724,0.8432301691124744,-2.0,-7.0,-12.0,-10.413793671723322,-8.294893467112493,-5.458012153434636,-8.279388499151322,-4.001553078677493,-6.219714274659504,-8.188219288710652,-5.91060012539818,-7.405066333462879,-5.41721988914445,-2.8631602518164088,-0.7310240948648641,-0.4868877562852475,-0.973956010684779,-1.9130683490821894,-1.2518739906457512,0.3224630198674447,74,15,16,13,0.4,3.2,4.4,6.8,8.0,8.8,9.8,10.0,10.0,10.0,11.4,12.0,12.0,12.2,13.2,14.0,14.8,15.0,15.6,16.0,0.2,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.2,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,51.95454545454545,109.01484857162774,105.51097670175905,63.22727272727273,72.4090909090909,85.5909090909091,103.0,148.22727272727272,198.6818181818182,0.004132231404958678,0.04132231404958678,0.19008264462809918,0.38016528925619836,148.99070144716703,62.587623951259616,4017.81903669881
9.0,5.989994369723161,0.5115801183775233,0.9890788451693283,-2.0,-7.0,-12.0,-7.6323452954806585,-3.7292224209994567,-3.665385874357489,-3.3660442884330655,-0.05032336132853743,-1.3780392631184868,0.1407418417355643,1.7112797644981086,-0.03153877167863328,0.04637896429428423,-2.0130603401234213,-3.525327466952666,0.7014813029969617,-1.1375520482301908,-4.5713858129068115,-8.681046370854489,-11.554012079180229,50,15,16,13,0.8,2.0,2.8,5.0,5.0,6.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.4,1.8,4.2,5.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22.0,95.27270377697896,82.16788657400318,36.46666666666667,46.2,52.86666666666667,64.86666666666666,111.46666666666667,156.86666666666667,0.02666666666666667,0.12444444444444444,0.41777777777777775,0.56,105.9796663623095,50.579287249555854,2688.5087944006086
10.0,2.9149901384098937,0.8189324603112961,0.9065385193858356,-2.0,-7.0,-7.172275460285346,1.3522631394534357,4.715392851255678,3.3512106095115017,4.0900570162114205,3.0183360578584355,2.763396736467186,6.2878041306824715,5.895955904726739,6.39941688143372,5.6967195402913235,5.572370839458264,6.875608344313062,5.699333426835932,4.845229084604969,4.062620545533752,2.677584100417988,2.15140902961019,73,11,12,9,0.0,0.8,2.0,3.8,4.8,5.6,6.0,7.6,8.8,10.0,11.4,12.0,13.0,13.0,14.8,16.0,16.0,16.0,16.0,16.0,0.0,1.0,2.0,2.0,3.6,5.4,6.2,7.0,7.2,8.0,8.0,8.0,8.2,9.0,9.0,9.6,10.0,10.0,10.0,10.0,67.1891891891892,146.65216293918866,144.4919235997237,51.13513513513514,77.78378378378379,100.29729729729729,136.1081081081081,196.05405405405406,256.6756756756757,0.01168736303871439,0.036523009495982466,0.13148283418553688,0.24543462381300218,196.13511428963173,86.72855917249272,7678.0788453338855
12.0,2.666172152625465,0.6228145749834052,0.6871159016076495,-2.0,0.16546508575912533,-3.4014418970890494,-0.08131432826124722,1.394390535725369,3.342354720727131,3.781224548509192,4.054448282588183,3.254247387617325,5.126853689124634,8.184864789060336,11.045365606160583,12.027765033043767,10.648967807878497,11.438186830927581,11.687079538536684,12.06360010499803,12.34867301895186,11.745724791665769,11.508504171202329,85,12,13,1,0.6,1.8,4.0,6.6,10.0,11.0,11.6,13.8,14.2,15.6,17.6,19.8,20.2,21.4,23.4,25.4,27.0,28.0,28.0,28.0,0.4,1.0,1.0,1.8,2.0,2.0,2.0,2.2,4.0,4.0,4.8,6.0,7.2,8.0,9.0,9.0,9.8,10.0,10.0,10.0,84.11904761904762,124.24190217732918,119.28429229193418,60.92857142857143,77.71428571428571,91.45238095238095,113.47619047619048,162.73809523809524,216.5952380952381,0.009070294784580499,0.04081632653061224,0.1689342403628118,0.3253968253968254,169.26731388302412,76.27978744940096,5955.365537413791
13.0,2.624966058121884,0.9687756792502625,1.0690686496867128,-2.0,-7.0,-12.0,-17.0,-5.816690133749627,-6.850441057768512,-9.388130079578897,-10.240979099969216,-11.611300743581042,-5.3981315592349,-4.442354232008036,-6.189599629610728,-7.804276161104932,-11.479967861838736,-11.211894419735186,-13.98217651463479,-13.849436995156955,-15.343842737728789,-16.55432735964719,-18.691668198726354,0,17,19,16,1.0,3.0,3.0,5.0,7.4,9.0,9.0,9.8,11.0,11.4,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.6,2.6,3.2,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,24.41176470588235,114.58427015663274,113.78695990605105,34.23529411764706,53.470588235294116,69.29411764705883,96.82352941176471,166.52941176470588,221.1764705882353,0.0,0.04844290657439446,0.20761245674740483,0.37370242214532867,155.97445848181388,76.96922277967433,6282.183511129404
14.0,4.311979378906474,0.8518016829452356,1.1077594487753148,-2.0,-7.0,-12.0,-1.4954671958275818,0.4058366643446597,0.21889698173848798,5.631434297876915,5.119986747409756,5.448132763027141,4.42173623466482,1.0722359391129175,-0.09868096128725483,2.737943442835662,4.394269427301078,1.574705983318904,-1.8035171046942082,-4.421460780992677,-1.6439837443238445,1.3119451059319232,2.493868165344523,45,12,14,11,0.8,2.2,4.6,5.0,5.6,7.0,7.6,8.0,8.0,8.6,10.4,12.0,12.4,13.0,13.0,13.0,13.6,14.0,15.0,15.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.2,6.0,6.0,40.80952380952381,123.42943204150912,110.87552859705787,59.285714285714285,73.0,83.80952380952381,103.23809523809524,156.66666666666666,217.61904761904762,0.009070294784580499,0.06349206349206349,0.18140589569160998,0.37188208616780044,155.9732883948062,74.37807121938074,5821.578604686816
15.0,3.9475937438643536,0.6192895642054366,0.7660777418228825,-2.0,-7.0,-12.0,-8.921838794093208,-6.10036082394056,-4.147444223671117,1.05897942117167,4.0347311249422475,4.813929457111757,5.133158469791681,7.425829752182968,7.693726211042772,5.7948925114942,7.754907816953141,8.1065263525203,8.499468064025319,9.51788123375388,8.39336077283341,8.383912079458412,9.483963852454902,81,14,15,12,0.8,3.0,3.4,4.6,5.0,5.8,6.8,9.0,9.6,10.0,11.0,12.6,13.4,14.2,16.0,17.0,17.0,19.2,22.2,23.2,1.2,2.0,4.0,5.0,5.0,5.6,8.0,8.0,8.0,8.0,8.8,9.0,9.0,9.0,9.0,9.0,9.0,9.8,10.0,10.8,77.4047619047619,126.14362332047263,117.23998091539059,61.023809523809526,78.47619047619048,91.16666666666667,113.69047619047619,157.88095238095238,215.73809523809524,0.0045351473922902496,0.044217687074829926,0.1621315192743764,0.3344671201814059,167.43101185370264,74.35596372912377,5625.340451365862
16.0,0.3423715885327517,0.8019441802787813,0.8036079331663838,-2.0,-7.0,-12.0,-7.124905623524131,-7.966439471208884,-3.5756692054929387,0.3608083181183218,0.07717005280535147,-0.32945056657201094,-1.763982235517004,-2.9423385024187096,-2.9726519970270617,-3.4450498353434598,-5.133185013255487,-4.874408521543501,-5.926087315397487,-6.175675813345995,-5.196511142233296,-5.582196369953141,-6.511896330830945,36,13,14,11,0.8,3.8,4.6,5.8,8.2,10.2,12.8,14.2,15.0,17.0,18.4,19.0,19.2,20.6,21.6,23.0,24.6,25.0,25.0,25.0,1.0,2.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,47.8125,98.51571321426363,99.22631741319375,41.3125,63.0,70.65625,90.71875,139.75,184.0625,0.005859375,0.056640625,0.197265625,0.408203125,138.0229338878706,58.1309661031164,3487.0827294089213
17.0,2.9168828352850733,0.6221774568834552,0.6938916385478886,-2.0,-7.0,-10.322373065495137,-8.611865327475687,-6.206461760581923,-1.1201254781636585,1.7201707085218843,3.882184057097207,6.641789519757319,5.76526947639146,6.216203867382207,4.9039265940263,3.033137569667595,2.9094051397621143,3.789925895928678,5.019968073302474,4.932154631975516,5.259596012524071,4.313052842837786,4.02879077281464,42,12,13,16,0.2,1.2,2.0,2.0,2.6,7.8,10.2,13.0,15.4,17.2,18.8,20.4,22.0,22.6,23.4,24.2,25.0,26.6,28.6,30.0,0.0,0.0,0.0,0.0,0.8,1.0,1.6,2.0,2.0,2.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,66.38235294117646,126.07111457497176,122.10959326263567,46.1764705882353,74.58823529411765,89.76470588235294,110.55882352941177,162.7941176470588,225.7058823529412,0.0017301038062283738,0.04671280276816609,0.1660899653979239,0.32698961937716264,175.11521330327636,88.46832853859665,8094.936551106448
19.0,1.9956677849836357,0.7467010879744133,0.8243757833592937,-2.0,-7.0,-12.0,-6.182512108267238,-6.168570981903795,-5.3864088569890125,-3.8036052450803175,-6.262201966269078,-5.139307823422834,-2.70057104269119,-1.845396571232112,-5.287218097541343,-4.9390445883062055,-5.741692299452167,-5.883872025379011,-4.830658165753263,-2.0879544334353257,-5.001712560345576,-4.515733084120515,-4.484018310464199,0,13,14,11,0.0,0.6,1.6,4.4,5.4,6.0,6.0,7.6,8.4,9.0,9.2,11.0,13.6,14.0,14.0,15.0,15.6,16.4,17.0,17.0,0.8,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,44.63157894736842,68.5556497439786,67.01271006903426,32.31578947368421,45.473684210526315,53.63157894736842,67.47368421052632,97.05263157894737,132.21052631578948,0.0110803324099723,0.07756232686980609,0.39335180055401664,0.6814404432132964,97.98415519467403,39.307733810174774,1579.7485511123068
20.0,2.6424789517999194,0.8850003875874632,0.9740106240403914,-2.0,-7.0,-5.242861089747045,-4.419530369795782,-4.920430540934262,-2.1749738805916032,-2.8439925622346656,-1.5297699559270654,-0.9455241854249081,-1.4441584539684698,-0.025099297802285037,0.4229133141916094,0.06332168037235278,-0.43961076106141095,-1.6863554508369163,-2.749078195861247,-3.619802235745027,-3.454781990087304,-3.061748992334839,-3.6520141577201626,55,9,10,7,1.2,2.4,4.4,5.4,8.0,8.4,10.0,12.8,15.2,17.0,17.8,19.6,21.0,21.8,23.4,25.0,26.6,28.0,29.0,29.0,0.4,1.0,2.6,4.0,5.0,5.0,5.6,6.0,6.0,6.0,7.6,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.2,64.72340425531915,125.83449054675891,121.67002802713019,57.46808510638298,72.7872340425532,93.76595744680851,114.91489361702128,165.0212765957447,222.7659574468085,0.004526935264825713,0.03802625622453599,0.14938886373924853,0.30964237211407875,170.1226052880222,75.43304895566071,5828.695624939314
22.0,1.2248982020726455,0.6179132444524573,0.6326908057161538,-2.0,-7.0,-12.0,-11.389537356519398,-9.216023447610983,-3.703190719593868,-0.8391732306454557,1.243187045435792,1.3432594228292358,3.106096447635899,6.496835832931852,6.929037742826381,6.434287282522749,5.77993209848862,5.990265287915807,6.48121191435371,8.363198867571683,9.170885772441792,7.346681832109229,7.224315417830198,86,14,15,12,0.6,2.8,4.4,6.0,7.8,8.4,11.0,12.2,13.8,14.8,17.2,19.0,20.2,21.8,22.6,23.4,24.0,24.2,25.4,27.6,0.0,0.0,0.0,1.2,2.0,2.8,3.6,4.0,4.0,4.0,4.6,5.0,5.0,7.6,8.0,8.0,8.8,10.0,10.0,10.0,97.37209302325581,113.07532244954736,116.3044033294666,51.116279069767444,67.18604651162791,81.81395348837209,106.13953488372093,158.37209302325581,214.51162790697674,0.002163331530557058,0.03677663601946998,0.16224986479177933,0.34288804759329367,157.75726710086656,67.02529389196378,4622.49818099731
23.0,2.1682705526579586,0.7978298906164443,0.8407903667225614,-2.0,-1.6388809151815416,-3.9077568197309396,-5.072646187782863,-2.7714370297878945,-1.0183981873578738,-0.014960344140091309,-0.5351227770681376,-0.6922519922988315,-0.9951183273384772,-0.38767208282833393,-0.1271441143086804,-0.46432625597853416,-0.5542996968916896,-0.18943045252302113,0.7843138357962147,0.6052518049992329,0.4745721527038967,-0.3661409431218431,0.5120121558976308,76,15,5,2,1.4,2.0,4.0,9.0,13.6,16.4,19.6,20.6,21.8,23.6,24.8,25.2,27.2,28.8,30.4,31.0,31.0,32.6,34.0,36.2,0.4,1.0,1.0,1.2,3.0,6.4,8.0,9.2,12.8,14.4,15.8,18.2,19.0,19.2,20.4,21.8,22.0,22.0,22.0,22.4,114.51388888888889,150.24550312276972,147.85425826607403,62.55555555555556,89.16666666666667,105.52777777777777,137.26388888888889,201.97222222222223,259.0,0.003858024691358025,0.024691358024691357,0.10416666666666667,0.22145061728395063,208.85067791650664,95.29945162204075,9338.016345516586
