cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,3.5098257187227335,0.5877315528996288,0.7992740190672452,-2.0,-7.0,-12.0,-8.628673668872812,2.3958327292218513,7.918546680768438,7.613541525633013,7.028494765243965,9.71061372111236,8.508679895878759,13.971876231737053,10.960457299684961,5.960457299684961,3.490684061205144,2.312701744321515,-2.687298255678485,-4.520061726010232,-5.600809200054741,-8.064757862464521,-12.430745028066966,51,15,17,14,0.0,0.0,0.0,0.4,1.8,2.0,2.2,3.0,3.0,3.6,4.4,5.8,6.0,6.8,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.75,72.46736198444384,63.56277875614294,39.625,39.625,53.75,53.75,91.125,127.0,0.03125,0.15625,0.375,0.59375,93.18808748629034,42.691970054951774,1902.1150432517995
4.0,4.1929480565902555,0.7846194428289095,1.012019060456222,-2.0,-7.0,-12.0,-17.0,-22.0,-4.918914173870814,-9.918914173870814,-14.918914173870814,-19.918914173870814,-24.918914173870814,-19.721532245981273,-13.62003287762376,-8.884630447654573,-3.5841607411000695,-4.583541620328631,-1.7851236718280403,1.5987345855055253,-3.4012654144944747,-5.645778234807196,-6.471193883000623,80,48,24,21,1.0,2.0,2.0,2.2,3.0,3.2,4.0,4.8,6.4,7.0,7.0,7.4,8.0,8.0,8.2,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.6,121.5928737666595,119.2805813550224,56.9,56.9,87.8,103.6,143.0,240.9,0.0,0.02,0.24,0.36,158.9856337423792,71.19054630144494,5382.8625934211595
5.0,1.1795322528280616,0.7605841536172273,0.7791286658934995,-2.0,-7.0,-12.0,-17.0,-8.30821586470082,-8.149149060511698,-2.123118255667985,-1.5161448862188465,-1.8296626138807965,1.496383712408712,0.8109773897923332,1.1792038284212765,1.2798151111791114,0.26912154603044486,-1.3645316945744441,-3.9198053283245797,-4.111876038458467,-5.307707269765612,-8.631732768657153,-7.517036081439412,64,18,19,16,1.2,2.0,3.8,6.0,6.0,6.0,7.2,9.8,10.0,10.2,11.0,11.2,12.0,12.2,13.0,13.6,14.4,15.4,16.0,16.0,0.0,0.4,2.0,2.0,2.0,2.0,2.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,51.05263157894737,102.23990096567677,104.24494321438718,39.526315789473685,52.21052631578947,64.73684210526316,85.0,150.52631578947367,198.78947368421052,0.0,0.055401662049861494,0.20498614958448752,0.37119113573407203,140.3499119727493,61.680370758067895,3971.6228898260742
6.0,7.363805010512383,0.4597031373011143,0.9512076475467854,-2.0,-7.0,-12.0,-3.8132665153182104,10.966833711704474,5.966833711704474,6.428957564459095,9.622143343591027,4.622143343591027,4.967746591673067,13.063356081605985,22.41081928188864,29.14685629126499,30.106794089507865,36.85056431442102,34.06863120931847,32.90004614269659,34.80567648856811,29.80567648856811,28.311610125127128,72,15,17,14,0.0,0.0,1.4,2.0,2.0,2.0,2.8,4.2,5.4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,70.88888888888889,135.1182260696464,110.19118537593259,47.666666666666664,47.666666666666664,63.333333333333336,106.55555555555556,168.11111111111111,244.55555555555554,0.024691358024691357,0.04938271604938271,0.2469135802469136,0.3950617283950617,155.74758602298476,78.93737501597487,6573.3808045562455
9.0,2.4303854688102193,0.6715574365537385,0.758053547708314,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-27.19353011404733,-2.932169727269648,-5.662565253706575,-2.4817824268913213,-1.6556623804545367,-6.655662380454537,-4.868968028510929,-6.46872401395953,-11.46872401395953,-13.900033745485548,-14.936929077910438,-9.084164054839244,-9.991118858653351,-11.105459241295346,36,31,33,30,0.6,2.0,2.8,3.0,3.8,4.4,5.0,5.0,5.0,5.8,6.0,6.0,6.8,7.0,7.0,8.0,8.0,8.0,8.0,8.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,35.4,82.82384409032954,81.96863881574092,52.8,52.8,68.2,83.8,122.3,161.1,0.0,0.06000000000000001,0.2,0.48,118.90268257315601,46.15795174698582,2170.4193482209307
11.0,1.6708034868653994,0.5898905432558507,0.6143611139721276,-2.0,-7.0,-7.993558494607884,1.8766656376889557,0.8452503434292659,3.792609781961528,5.969236257125705,8.609774152047729,8.538598280285226,9.424973978106904,10.156586822029329,9.061277790225478,9.978178725402802,9.355169637158351,8.355535187965396,5.990765377962532,5.747641526135178,6.253967271257901,7.943037374550099,7.8525164326303125,50,11,13,9,0.8,1.0,1.0,2.0,2.4,3.6,5.6,6.6,7.0,7.4,9.6,12.0,14.8,16.6,18.4,19.6,20.4,21.8,23.0,24.0,0.6,2.0,2.0,2.8,3.0,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,90.48717948717949,122.24621702225818,121.42572977833578,42.23076923076923,69.17948717948718,88.17948717948718,113.38461538461539,172.12820512820514,222.87179487179486,0.007889546351084813,0.04470742932281394,0.1380670611439842,0.29980276134122286,169.04588667062484,73.26788728038737,5487.116099945939
12.0,2.133069839366951,1.007215220871062,1.0954326022303735,-2.0,-7.0,-12.0,-17.0,4.397183193088231,7.161806253997769,4.492871320151144,2.655572084311217,-0.37680789585193253,-3.080016228685379,-4.16511199878142,-4.596873737542398,-3.8419114938650267,-7.4180258062047075,-5.9714160510561785,-3.9585327171257547,-3.8461635291069145,-3.412518815567026,-7.2982380137276355,-11.579727832950635,27,18,19,16,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,2.4,4.0,5.0,5.8,6.0,6.0,6.4,7.0,7.0,7.0,7.0,7.0,34.083333333333336,91.40312514470124,113.83798269948379,43.333333333333336,53.0,53.0,65.25,116.75,178.08333333333334,0.0,0.125,0.3194444444444445,0.4861111111111111,123.9228765207592,60.12103844729413,3837.1612908389798
13.0,6.2243130692501385,0.40411199699615113,0.6211970726573074,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-20.050865907134202,3.8831158380370994,12.924238261527535,7.924238261527535,2.9242382615275346,6.0048373943231015,6.391903482853479,1.391903482853479,-3.608096517146521,-8.608096517146521,-2.254329535671019,-7.254329535671019,-2.251460021482117,46,35,37,40,0.0,0.0,0.0,0.0,0.0,1.0,1.4,3.0,3.0,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.4,6.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.6,2.0,2.8,3.0,3.0,3.0,156.63636363636363,166.4283295208474,148.88104411337915,93.54545454545455,125.27272727272727,125.27272727272727,156.36363636363637,219.54545454545453,275.6363636363636,0.0,0.01652892561983471,0.04958677685950413,0.14876033057851237,217.69322273348345,82.9550887025119,6990.310653201575
14.0,6.423959636192805,0.6264854034128172,1.0231871720898227,-2.0,-7.0,-12.0,-9.566066257370945,-1.8755475544373972,0.46431531238506807,5.1696687131452705,2.8020392683800934,-0.4430470281300245,-2.166299702942081,3.7781972893355147,9.140026804491345,13.088797544246981,14.118593128997285,12.589450867744631,16.532473303558707,18.744115568154452,19.141981128915283,19.76405050214461,20.64512302642226,88,15,17,20,0.8,1.0,1.6,2.4,3.0,3.0,3.4,4.4,5.6,7.0,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.8,10.0,10.0,0.0,0.0,0.0,0.8,2.0,2.2,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,65.0625,146.87553339965228,119.84578914449088,51.125,76.125,96.375,106.375,150.1875,199.0,0.0078125,0.0390625,0.1953125,0.3828125,172.49011785011336,87.93528258290344,8137.065034244513
15.0,0.6436579509408723,0.6390443031670402,0.6430847531706273,-2.0,-7.0,-12.0,-7.323801574472464,-12.323801574472464,-2.7210827087128764,5.837562359765036,2.7876203159489776,0.7277368399830053,1.6515144054078277,3.9318284734194804,9.742362897716713,11.943414089798447,11.912503994338739,11.341202327187508,8.66042250930622,9.198186578757674,10.07235742141315,9.553493006897849,9.065572244853168,65,23,26,11,0.0,0.0,0.0,0.0,0.8,1.0,2.0,3.0,4.6,5.4,6.6,7.4,8.8,10.6,12.6,14.4,16.6,18.0,18.8,19.8,0.2,1.0,1.8,2.4,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,85.0,112.9152535094746,112.50823321859578,51.16129032258065,74.25806451612904,82.2258064516129,105.12903225806451,156.4516129032258,214.70967741935485,0.0020811654526534857,0.03537981269510926,0.17273673257023933,0.3642039542143601,160.2796523132107,72.59948286697693,5416.416069238735
16.0,1.737526526115687,0.6169892883268538,0.6427757375225305,-2.0,-7.0,-12.0,-2.2152757181594502,-1.0912424046742757,-6.091242404674276,-4.9550006163171725,-0.49717713181951523,-0.1714038971219196,-2.1556409251900748,2.55948793982616,6.222565396150008,5.557839916372188,3.9081494834590957,0.8633867135040247,-1.1906396288484984,-2.1650141990941734,-1.3826925212656505,-3.4335144280568755,-3.6990691949093017,58,12,14,11,0.0,0.0,0.0,0.0,0.0,0.8,3.6,4.0,4.0,4.2,5.2,6.8,7.8,9.0,9.0,9.6,11.0,11.0,11.0,12.6,1.4,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.2,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,58.8421052631579,128.94601102701174,132.61110042066267,41.8421052631579,63.473684210526315,79.47368421052632,109.63157894736842,177.78947368421052,250.68421052631578,0.00554016620498615,0.0443213296398892,0.14404432132963987,0.26592797783933514,176.83043456533602,82.2221260842817,7014.3538236796085
17.0,1.9490055640972017,0.6295044217247383,0.6701505935899195,-2.0,-7.0,-12.0,-14.340448046951078,-8.104519573108169,-4.845180373153662,-0.726667955964075,2.10813731614153,5.397990239815942,5.8710187332214705,5.547863491218339,4.030657523065194,4.947850573522454,6.395899841052281,11.70052406353128,11.835687208000664,11.034699609861368,11.423772059477429,12.52834685176794,12.091367870003216,74,17,18,21,0.8,1.0,1.0,2.0,2.0,3.4,4.0,4.0,6.0,9.2,10.0,10.6,12.0,13.0,14.2,15.2,16.0,16.6,18.0,18.0,1.4,2.0,2.4,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,73.41379310344827,107.45341415878082,109.75607095152512,49.793103448275865,60.10344827586207,76.93103448275862,99.27586206896552,145.93103448275863,203.24137931034483,0.0047562425683709865,0.047562425683709865,0.19976218787158145,0.37812128418549346,147.30964061232905,64.89041735099784,4346.219288629772
19.0,5.322082256117839,0.4160054866825382,0.6361854489637566,-2.0,-7.0,2.39564423113006,6.9927403852167656,1.9927403852167664,-3.0072596147832336,1.93085885127023,4.700896748343692,1.6434062226120574,-3.3565937773879426,-8.356593777387943,-13.356593777387943,-11.02575740381408,-4.381954068411069,-6.718447330723239,-6.778218496379426,-7.652780557301819,-3.8157486070551356,-0.4612381637308459,0.5719150960562643,14,59,11,8,1.2,3.8,4.0,4.0,4.0,5.0,5.0,5.0,5.6,6.0,6.4,7.0,7.2,8.0,8.8,9.0,9.4,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.54545454545455,119.3373959277838,123.29846946466951,47.72727272727273,79.63636363636364,79.63636363636364,109.18181818181819,152.45454545454547,222.54545454545453,0.01652892561983471,0.04958677685950413,0.1322314049586777,0.36363636363636365,151.4495780596251,66.46370836857416,4678.898801925096
20.0,3.314877216179389,0.7025529097684864,0.8287376565276957,-2.0,-7.0,-12.0,-17.0,-18.42801449036882,-5.0957876980175545,3.895507449497643,1.9015031286609356,1.4004764950308413,5.764057893476019,6.833455701376813,9.92290487920367,11.831805311479622,14.165456239763708,11.913877196236788,9.6095436181969,8.297565051726925,6.612912671503648,10.478063514358027,9.816313531459553,66,21,23,20,0.2,1.0,1.0,1.0,1.0,1.8,2.8,3.0,3.0,3.0,3.0,3.0,3.8,4.2,5.0,5.0,5.6,6.0,7.4,8.8,1.4,2.6,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,72.5,112.03403595006002,109.49295303706039,46.666666666666664,61.27777777777778,75.05555555555556,104.0,143.66666666666666,209.44444444444446,0.0,0.04938271604938271,0.19753086419753085,0.3703703703703704,154.7622558624513,70.92835759514567,5180.329954654287
21.0,7.6272268625745285,0.631922888562781,1.2689908991296608,-2.0,-7.0,-12.0,-17.0,-22.0,13.10919575672087,12.601813216131283,20.46618351540655,18.691940362304337,15.237242215466258,16.418449628113947,11.418449628113947,10.319215410357282,13.697690102904392,17.36463635948172,12.364636359481722,10.208853818774571,15.865547872135858,14.985901101698037,14.938132350507924,38,23,24,21,0.0,1.0,2.2,3.6,4.0,4.2,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.55555555555556,155.1729839019896,124.57249911026469,58.111111111111114,58.111111111111114,76.33333333333333,102.11111111111111,205.88888888888889,244.22222222222223,0.0,0.09876543209876543,0.19753086419753085,0.2962962962962963,174.1142247245503,80.78779956106493,6781.941654827176
22.0,6.63328430370312,0.4156228012785087,0.7321864245708345,-2.0,-7.0,-9.020060483883592,7.859897460326681,7.8094906335303875,7.768660774512938,9.215279495178219,12.221323725197045,14.742153203391172,12.42730231954668,16.868910467106474,16.368742453927503,19.01275691559558,21.86248092364757,24.892192911317412,28.084485364730188,30.553078323670597,30.907015663954883,31.244914159497135,32.041212979201035,87,12,14,10,0.0,0.8,2.0,3.6,4.0,5.8,9.2,10.0,10.0,10.0,10.2,11.6,13.8,14.8,15.0,15.8,17.0,18.0,18.6,20.0,0.0,0.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,74.91304347826087,147.73266306719464,122.40681015576264,59.78260869565217,72.26086956521739,88.3913043478261,108.43478260869566,175.2608695652174,217.30434782608697,0.011342155009451795,0.04536862003780718,0.18525519848771269,0.32136105860113423,166.60665158065902,75.68663235862526,5872.343321784817
24.0,1.38645840573549,0.8326992598365858,0.8560149800665443,-2.0,-7.0,-12.0,1.6052843509756545,5.285933909682836,6.82349662460201,4.225067955179443,8.925644027989948,7.659947825581227,8.064761117691477,7.019326539379541,3.7879460256364696,1.0471375815054926,-2.660035509477453,-5.943508328789287,-5.079306949464086,-6.511338572630587,-8.083732279679841,-9.550927665246599,-12.10628409250728,38,12,15,11,0.4,4.2,5.0,7.0,8.0,9.2,10.0,10.4,11.4,13.2,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.2,16.0,16.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.44444444444444,123.57157747011837,125.03367418975697,36.22222222222222,53.94444444444444,87.22222222222223,122.72222222222223,166.11111111111111,242.77777777777777,0.012345679012345678,0.0617283950617284,0.13580246913580246,0.2469135802469136,170.72030264229048,72.04358116945055,5422.844745163488
25.0,3.386542030439119,0.6150625834698966,0.7442694506955237,-2.0,-7.0,-8.600421750745495,-0.0021087537274766532,0.18348928296274353,-3.5201112078647014,-1.0073372955224855,1.6399496732487209,-0.0971296787794543,-0.8961346206563974,-5.896134620656397,-5.8748295599350175,0.4779889366215528,2.3634218683767814,6.154205510479048,9.36574202206452,8.951140762959549,9.438683400673856,7.845500685722007,5.772519692339199,79,11,13,10,0.0,1.2,2.0,2.0,2.0,3.0,3.0,3.4,5.6,6.8,7.6,8.2,10.0,10.0,10.2,11.0,11.4,12.0,12.4,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.875,102.45357019920142,98.67295776794845,39.1875,62.25,73.0625,85.6875,132.0,195.9375,0.0078125,0.046875,0.2265625,0.40625,142.164723685199,65.05487406918377,4537.492817079591
