cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,1.4956763082505853,1.135923606244932,1.1637189512505628,-2.0,-7.0,-9.080339515108728,-2.401697575543638,-4.982971634810094,-6.354882723709778,-9.49892903286013,-11.714998496585658,-12.112473980810803,-14.567724707312134,-9.566124398596497,-7.553527044329816,-7.520417296994904,-7.979828789976753,-8.444523912165028,-7.992954545146963,-11.406323608840296,-12.682954711811266,-10.538665515162268,-5.866219763566894,16,47,13,10,0.8,1.8,2.0,3.6,5.0,5.6,7.0,7.6,9.2,10.0,10.0,10.2,11.8,12.0,13.6,14.0,14.0,14.0,14.8,15.0,0.6,1.0,1.0,1.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.333333333333336,148.2030844023502,149.9399080616633,45.55555555555556,74.72222222222223,85.77777777777777,136.72222222222223,200.55555555555554,279.27777777777777,0.006172839506172839,0.018518518518518517,0.1234567901234568,0.22839506172839505,213.0969370901539,107.40492242510031,12256.893141847715
3.0,4.602219287992045,0.49295383342485977,0.7680227455781469,-2.0,-7.0,-12.0,-17.0,-22.0,-10.557673884459803,3.0975775647976604,4.26927780661398,0.8122028670680592,-1.5859754751334236,3.821311156060645,-1.178688843939355,1.5091266883968018,5.766653620295403,1.8542977324375016,4.200955116774108,3.7440664548599925,1.2005713447992576,8.214787334659917,5.967457314442271,67,24,27,23,0.0,0.2,2.6,3.8,5.0,6.0,6.0,6.0,6.0,6.8,7.0,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,88.25789808877707,87.76792656765173,55.75,55.75,74.25,74.25,98.5,150.5,0.0,0.09375,0.3125,0.53125,109.38847060015331,42.0996610307204,1875.1604360077727
4.0,3.1212345684735303,0.7672661498416913,0.8799432994482576,-2.0,-7.0,-5.863140694578942,-2.437839817707928,-0.12071882951153726,-1.733982213984455,-0.2721272060417469,2.1472926689427583,-1.4497392785541152,-1.828211675454169,-1.3615021807813377,-0.19284772340574535,-1.0373973797216904,-0.7817978573235621,-0.16112742991784046,-1.5143689586312774,0.16162779232952856,1.227493067330019,3.4912381367798675,3.8225627337845536,37,9,17,7,0.8,3.2,7.0,8.2,9.4,10.6,12.4,13.8,15.2,17.6,18.6,20.2,22.0,22.8,24.4,26.0,26.2,27.6,28.4,31.0,0.2,1.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.4054054054054,119.49761641021679,118.9255621426028,44.75675675675676,63.648648648648646,81.02702702702703,104.78378378378379,165.86486486486487,215.24324324324326,0.01168736303871439,0.04821037253469686,0.16508400292184078,0.31994156318480643,162.57444464866757,74.89907085489327,5831.441680367329
5.0,0.7723825851376802,0.5179122079879183,0.5287903919428496,-2.0,-7.0,-2.582708541060236,-1.3045142351003935,-6.3045142351003935,-6.103487777616176,-4.129541706223662,-1.9032411775168683,-5.563358278676314,-5.909518009151372,-10.248514028835345,-4.524489429402847,-0.12223213172117511,-2.891070101969885,-2.491763669507216,-4.845375664103628,-7.689396252989039,-9.162341429720296,-8.94297076264995,-7.080760248386213,14,53,11,8,0.0,0.2,1.0,1.6,2.0,4.0,5.0,5.0,5.8,6.8,7.2,8.0,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.888888888888886,51.901406194372804,51.687548574854205,32.666666666666664,32.666666666666664,44.111111111111114,60.111111111111114,79.22222222222223,103.0,0.024691358024691357,0.14814814814814814,0.4938271604938272,0.8148148148148148,76.42192375803242,27.731874285053408,816.6531091599395
6.0,2.9679419689848063,0.6246636409448288,0.7163568714730845,-2.0,-7.0,-12.0,-17.0,-6.183339175409472,-3.8370365010252243,-1.8758166990388019,2.4203159088805095,-1.8805703659123054,-5.594767524444552,-5.178864264868056,-3.7117422289470183,0.12816131767356467,-0.2754605286236739,1.8960014434220795,4.267442992707345,6.725552321911925,6.876548834628127,6.1717287916398735,4.53022262573757,86,18,20,17,1.2,3.0,3.0,3.0,3.2,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.8,7.0,7.0,10.2,11.0,11.0,0.8,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,85.6470588235294,106.02739683008058,104.59979813282574,54.588235294117645,74.23529411764706,88.6470588235294,108.52941176470588,153.23529411764707,200.7058823529412,0.0,0.04152249134948097,0.18685121107266434,0.3391003460207612,154.17547076108613,65.7999393833456,4418.387058269016
7.0,1.857668914366456,1.559011238908366,1.6604947013725744,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-13.61460362295947,-12.719861527756304,-8.877748384951552,-9.309896493677972,0.24226190515567367,-1.7949966396502361,-4.0379594786840585,-9.037959478684058,-14.037959478684058,-19.03795947868406,-24.03795947868406,-24.656480441957548,-26.735494417473205,57,32,34,31,1.8,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6,1.2,2.0,2.0,2.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13.285714285714286,99.85513396305412,98.69558504128987,46.42857142857143,46.42857142857143,69.85714285714286,69.85714285714286,175.42857142857142,218.85714285714286,0.0,0.04081632653061224,0.24489795918367346,0.32653061224489793,138.6323779746065,63.63405709897285,4158.963290373359
8.0,0.8609508162254865,0.7042678379717338,0.7108276179017072,-2.0,-7.0,-6.321550258176268,-3.615765603098133,-0.5519103854731803,0.744064200823324,2.342049384836057,2.54004540218275,2.2940205863716288,1.3852745603252985,3.6577681890746403,2.583358247362473,1.0405334501393255,1.0668079890865756,2.4135833822742883,4.554321347716294,2.916692209564519,1.3205756647434015,2.991343307437117,3.726067199150364,76,10,11,8,1.2,2.4,4.0,4.6,6.0,7.4,8.6,9.6,10.4,12.0,12.8,13.2,16.6,19.0,20.0,23.2,24.0,26.2,27.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.47222222222223,141.3062048061581,144.3475763615706,49.94444444444444,83.36111111111111,101.30555555555556,124.77777777777777,194.38888888888889,251.25,0.004629629629629629,0.0308641975308642,0.11574074074074076,0.23456790123456792,194.66380844097824,85.40301170840064,7553.013713791625
9.0,2.2669505471069935,0.7917878799803114,0.8639598186359516,-2.0,-7.0,-12.0,-17.0,-19.06614635508732,-4.672300015554349,5.968497790819789,5.791931769038726,0.791931769038726,-4.208068230961274,-8.255357308398775,-7.233427732476663,-10.878531201855376,-12.946690297727633,-17.946690297727635,-15.230881965319776,-13.162000534487788,-7.654244123800126,-9.331561034398664,-10.449351643670141,34,21,24,20,1.0,2.0,2.6,3.6,4.0,5.0,5.0,5.8,6.0,6.0,6.0,7.0,8.2,9.0,9.0,10.0,11.0,11.6,13.0,13.6,0.0,0.0,0.0,0.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,58.6875,103.62124060787872,102.21940334335396,38.6875,66.0625,89.25,101.125,140.0625,191.25,0.0,0.0625,0.140625,0.375,144.46681146519174,59.19810651592746,3630.6017026313384
13.0,4.5084241473204365,0.5342300454339632,0.7184810574440095,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-32.61319541666196,-7.9679662157616615,-5.39173119296867,-4.384643300284127,8.221980102018424,6.832932764616459,1.8329327646164586,7.943882889714712,4.331222316692006,3.2535788808049033,15.237828712539855,68,46,47,50,0.0,0.0,0.0,0.0,0.8,1.6,2.0,2.0,2.4,3.0,3.0,3.8,4.0,5.4,6.8,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.4,79.1,118.49698052299948,108.13653151767349,78.1,78.1,94.3,114.9,151.6,227.4,0.0,0.0,0.14,0.36,160.90868170114845,67.28385999431676,4679.135474186021
14.0,0.8758267853595284,0.7140384768281953,0.721179032757012,-2.0,-7.0,-12.0,-5.164934972268585,-7.270351282632601,-8.722897341664806,-6.139855408131355,-6.914571983415101,-4.296882866682675,-2.340847836901929,1.528708118267113,1.1534692841362841,0.9947014695808079,0.3935750411947453,-1.0904991474057766,-1.6016807604176904,-1.1085070019956818,-1.2579944238392216,-0.8182383942069749,-0.7411186646610617,52,13,15,11,2.2,3.2,5.2,7.8,8.0,9.0,13.4,15.6,16.6,18.8,21.6,24.2,25.6,28.0,29.0,29.6,30.0,31.6,33.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95238095238095,131.3833850944506,132.21652656551603,59.666666666666664,78.07142857142857,93.38095238095238,119.0952380952381,178.0,244.23809523809524,0.005668934240362812,0.02607709750566893,0.13151927437641722,0.2834467120181406,182.7493989584219,83.05320470315951,7175.5113908746525
