cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,1.722141502553102,0.7212482742991922,0.7450187475795585,-2.0,-7.0,-8.356343629969937,-5.626981247284483,-2.929547291215752,0.2720630562457977,0.034398585596908046,2.4680329004265373,3.659898424247879,3.6315698842882567,2.320648231999324,4.157691054664499,3.3443692592342584,2.649444273398996,4.33361152642199,4.4112555446377115,4.897174833156361,3.4637481326354136,3.7598983077802304,3.6067644375699217,79,11,12,9,0.8,2.4,4.6,6.2,7.2,8.8,11.0,12.2,13.2,14.0,14.6,16.4,18.4,21.4,22.0,23.4,24.8,27.4,28.2,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.705882352941174,145.07182477875162,147.24133741902537,48.205882352941174,73.41176470588235,97.23529411764706,126.05882352941177,190.47058823529412,262.8529411764706,0.0034602076124567475,0.03806228373702422,0.1384083044982699,0.27162629757785467,205.37525456470422,106.58707819670667,11995.13051346413
2.0,6.265524774127584,0.4017134588793083,0.7496095228412168,-2.0,-7.0,-12.0,-7.010865686957513,-5.351442811595856,-4.713291086041408,-1.2212771832656784,1.1976052575904519,2.515432856327429,-1.5608241334614448,-1.5412670951295837,-3.2796561550361716,-7.596718265690022,-4.353627354184837,-5.3358022982468185,-9.227716292863647,-10.747930654943545,-15.747930654943545,-17.568115979882123,-14.292737952489423,42,89,16,13,0.8,2.2,3.6,4.0,4.2,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.875,88.65843592889934,79.22986671351374,51.25,51.25,68.875,68.875,101.75,124.5,0.03125,0.1875,0.40625,0.65625,113.07225698919368,63.96660507041992,4414.205871006602
4.0,0.24622317311301276,0.7150871264339453,0.7158320681958461,-2.0,-7.0,-12.0,-5.602250052105637,-3.742101589457423,-1.2617515537599169,-2.5777112057418763,-1.1621036169577834,-1.6720210447760606,-1.1787749978304305,-1.4176158213251029,-4.218002756428483,-6.841730089569735,-7.487599900705639,-6.959393095360683,-6.968497787118977,-4.720616003453233,-2.1689346498188313,-3.2837292274212926,-4.11781946177924,44,14,15,12,0.0,1.8,2.0,2.0,2.4,3.8,5.0,5.6,7.4,8.8,9.6,11.0,11.0,11.4,12.0,12.0,12.2,13.0,13.0,13.0,0.2,1.6,2.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,40.11764705882353,97.37125870363089,99.7720394791713,38.8235294117647,63.88235294117647,75.41176470588235,101.76470588235294,136.94117647058823,202.52941176470588,0.01384083044982699,0.05536332179930796,0.20069204152249137,0.4221453287197232,141.0585667812195,62.37423941503857,4014.9747497730073
5.0,0.8912948266663283,0.8750039338789544,0.8851977443322613,-2.0,-4.901413741628803,-5.217262588878424,-5.091949461492755,-3.339585175173095,-2.08120538049243,-1.733830571480199,-1.2893452833205643,0.5815156020035388,-0.19307183964381097,-0.5757936915560506,-0.7682272916268232,-0.062071921559243036,-1.7582022712519432,-3.494834034970873,-4.765659867505411,-4.8592962625408855,-5.055435178224698,-4.356077695180349,-4.870893528000496,42,6,21,4,1.2,3.2,5.0,8.4,12.0,14.0,18.0,19.6,20.6,24.0,27.8,30.2,32.4,33.8,36.0,36.2,38.0,40.0,40.6,42.0,0.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,54.04,120.02461233844951,119.96207093360147,46.84,62.26,82.72,111.16,166.62,222.92,0.005600000000000001,0.0408,0.1464,0.3056,165.50580928752902,71.64362000182297,5290.1651505389045
6.0,2.443531712689153,0.8283778066581873,0.9021182011082957,-2.0,-7.0,-6.984858694674491,-4.951833003409386,-5.163998818342081,-6.285510568442597,-3.791561385301983,-3.113820537551095,-0.6486443035292055,-0.8640281489788763,-1.2996405513984939,-1.9053629161401446,-2.4706789954486394,-3.8597561008284087,-3.841886493792168,-3.8785192535647157,-3.894704219617523,-4.619457959985738,-6.117854449100517,-7.353381972183589,44,10,11,8,0.8,1.8,4.4,5.0,5.4,7.2,10.8,13.2,14.0,14.8,17.2,18.8,20.4,22.0,22.4,23.0,23.8,24.0,24.2,26.0,0.0,0.4,1.2,2.0,2.0,2.2,3.8,4.6,6.4,7.0,8.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,48.861111111111114,120.63252904662825,121.53785665890821,44.416666666666664,67.02777777777777,83.08333333333333,107.22222222222223,168.08333333333334,219.22222222222223,0.006172839506172839,0.037037037037037035,0.15123456790123457,0.3132716049382716,165.35042779114062,71.91286895863274,5335.717171172379
7.0,2.0825526726731116,1.0142046410733956,1.0831184883551161,-2.0,-7.0,-12.0,-17.0,-22.0,-12.182057769187901,-5.422578259647871,-6.68811996240966,-7.865703237389776,-12.143502699712194,-9.778087506285896,-8.36487262493369,-12.865095683633717,-17.86509568363372,-19.983309338179733,-19.20829388924077,-22.003989625432844,-23.360048356725862,-23.4166350869212,-21.28227636534999,0,89,25,22,0.0,0.0,1.0,2.0,2.0,2.0,2.6,4.8,6.2,7.0,7.0,7.6,8.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.2,1.6,2.0,2.0,3.0,4.0,4.0,4.0,5.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,48.333333333333336,115.93808616937118,117.26821626553267,48.86666666666667,75.26666666666667,88.93333333333334,106.0,166.8,220.46666666666667,0.0,0.035555555555555556,0.11555555555555556,0.3288888888888889,161.2803629899767,68.42667223788096,4890.121789574923
8.0,3.2416354984514864,0.4760954839136928,0.5701043457430175,-2.0,-7.0,-8.288761984178711,1.5561900791064431,-3.443809920893557,3.4178724546146055,5.112380158212886,6.431043987813071,8.96508082270378,8.29204491538737,7.371074712508522,10.510298935311587,11.520108523919015,7.988113364873729,6.415350394195707,6.68690930476055,4.7255088166127255,4.020085416825029,4.839918621011802,2.931241974873879,62,11,13,10,1.4,2.0,2.0,2.2,3.0,3.0,3.0,3.2,5.0,7.0,7.2,9.0,9.0,9.0,10.2,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,49.61538461538461,103.92864899492965,95.39750727906195,45.07692307692308,63.53846153846154,63.53846153846154,99.84615384615384,134.07692307692307,184.92307692307693,0.01183431952662722,0.08284023668639054,0.2366863905325444,0.4260355029585799,137.4662136143886,64.89163616259498,4479.382003800924
9.0,2.1943518590025755,1.0849628638445332,1.1707028101409622,-2.0,-7.0,-5.018847593641359,-2.292043585945352,1.9960885650754592,1.7232856303965278,1.662169398683801,0.47663786679813286,-1.6500833595899607,-1.2821171818970654,-1.502613295762096,-1.3472035259581745,-0.9503783036581979,-0.8540787135658917,-2.445218696018037,-2.609755726951332,-5.022616833977426,-6.700247610600963,-7.689064067143656,-8.961985768140883,25,9,10,13,2.8,5.0,5.8,6.0,7.0,8.8,9.8,12.0,13.0,14.0,14.8,15.8,18.2,20.0,20.8,23.0,24.0,25.2,26.2,27.0,0.4,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,51.5,104.59420470879003,103.58039168979553,48.28125,65.375,72.0625,93.84375,136.84375,189.9375,0.01953125,0.0625,0.23046875,0.427734375,145.30446921164182,69.0817182283728,4837.131915331338
11.0,5.085142913872467,0.37819533914808495,0.5761711425251728,-2.0,-7.0,-12.0,-17.0,-18.19660554517097,-7.983027725854853,-1.4793586468834974,1.0339445482902931,-3.068195815124304,-2.041575792926706,1.7326776044129304,5.446412861247033,8.416384786993792,12.061609958142578,7.729311687363946,7.361843807951641,16.68512415726619,17.735597284461896,19.836889329314054,21.33743778579231,89,21,23,26,0.6,1.0,1.0,1.0,3.0,3.0,3.0,4.6,5.0,5.0,6.0,6.0,6.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.8,2.0,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,89.92307692307692,111.28515525477906,91.62576695038041,45.69230769230769,71.76923076923077,71.76923076923077,97.23076923076923,124.61538461538461,174.76923076923077,0.0,0.04733727810650888,0.2366863905325444,0.46153846153846156,135.66267961968748,65.6414941086612,4479.0504998090655
12.0,4.862194341781989,0.5840155325764261,0.8514130692791646,-2.0,-7.0,-12.0,-17.0,-22.0,-4.666024246537242,8.622360554433252,9.986873665530034,4.986873665530034,1.417882158361992,5.090795789952909,9.761554555563526,5.516453118745233,0.5164531187452326,-3.7913312815680285,-1.8004976052015707,-3.925036320301018,-5.557391395560131,-6.6351554115896505,-11.63515541158965,34,24,25,22,1.4,2.0,2.6,3.6,4.0,4.6,5.8,8.0,9.0,9.0,9.0,9.0,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,108.86220835251808,101.55886117762985,52.4,52.4,68.8,82.3,144.1,223.9,0.0,0.08,0.22000000000000003,0.4,140.6998029757856,63.6515743123602,4560.262867444464
