cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
4.0,3.379183567907391,0.562894263414609,0.6714627616485884,-2.0,-7.0,-12.0,0.7304973971417859,10.132079698980903,11.345485961822895,11.973306096252227,15.40057242073191,12.172149024513075,7.172149024513075,9.469881178721572,12.138797228574461,8.45285911122887,5.423951935210482,2.108047609999386,0.6277810013066641,-0.3978594821976458,-2.1814061922722603,9.0711188644808,8.352645293343008,38,15,16,13,1.4,3.0,3.0,3.6,7.0,7.0,7.0,7.2,8.0,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,107.30482486473005,108.89237146327147,28.333333333333332,28.333333333333332,71.88888888888889,101.0,123.88888888888889,202.11111111111111,0.04938271604938271,0.1728395061728395,0.32098765432098764,0.5679012345679012,135.16136046470157,76.36952019307441,6006.84710426863
6.0,0.2815564869799768,0.4586490407650503,0.45977144631116085,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-15.572876420043272,-9.62146070007212,-14.62146070007212,-17.350897072790417,-13.268642563663605,-10.768646294605412,-3.416819044938663,-1.7343619236269603,-0.37286205680503315,-5.372862056805033,-4.087275893483112,-2.564712624689733,0.6178884547695788,0.9318069872866772,70,29,31,28,0.8,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.4,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.666666666666664,57.14022226318997,60.88623941684727,51.666666666666664,51.666666666666664,51.666666666666664,74.0,87.5,145.33333333333334,0.0,0.05555555555555555,0.3333333333333333,0.6666666666666666,90.90386560739773,31.86202583120081,1063.8821503360866
7.0,1.53293395375428,0.6167284856412528,0.6336073898872401,-2.0,-7.0,-12.0,-9.51536607023571,-4.303774708129121,-1.1004144894287413,2.289881974257321,0.3829513297780224,0.6510842653688315,1.0556731973640254,-1.1410960165036457,0.1980383214877463,2.0395059135062312,2.5988595442290174,1.5989737421584551,1.985251978757455,0.31129143563104833,0.2863597742299163,0.5782955229636485,-0.15659303616117484,75,14,15,12,0.4,2.4,4.8,7.8,9.0,11.0,13.4,16.2,17.4,20.2,23.6,24.0,24.0,24.0,25.8,28.0,28.4,29.8,30.0,30.0,0.8,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,63.073170731707314,142.7271161100814,139.0164621205051,62.390243902439025,85.82926829268293,108.04878048780488,134.8048780487805,191.09756097560975,244.53658536585365,0.0035693039857227844,0.0297441998810232,0.11659726353361094,0.2510410469958358,199.46325239344938,95.1205508308811,9290.757684527192
8.0,1.274493509906617,0.9704355381045979,0.9953818823563891,-2.0,-7.0,-1.8725155419253512,0.7534609392988809,0.3988520989064561,-2.603217528904511,-6.271263947445156,-11.271263947445156,-10.860168234570722,-9.209398054585698,-11.309167386254659,-10.51156186472879,-14.394891110374527,-12.021227144109748,-13.067359554673075,-13.40859766852032,-17.1456161606107,-19.400367460386235,-19.591859116717437,-20.921928621563787,20,89,10,7,1.0,3.6,4.0,4.2,5.8,6.0,6.4,7.0,7.0,7.0,7.0,8.4,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,54.42857142857143,105.27179497742715,102.52804260734021,33.857142857142854,60.714285714285715,83.14285714285714,103.0,142.42857142857142,225.28571428571428,0.030612244897959183,0.04081632653061224,0.21428571428571427,0.37755102040816324,147.59295020902738,70.29783470738334,5136.19203594055
9.0,4.408186878896958,0.8017439430562786,1.2024058926294503,-2.0,-7.0,-12.0,-17.0,-22.0,-17.009938800151787,-7.439123217883088,-10.461429522290615,-1.9856987866488112,-3.4265180478456685,-8.426518047845668,-13.426518047845667,-18.42651804784567,-16.977114759257923,-12.69137788102876,-8.159935918208802,-12.62464431825795,-17.62464431825795,-21.289082418900815,-18.531492018285526,43,24,26,23,1.6,3.8,6.0,6.0,7.8,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,83.08771923244535,80.60924371424326,46.0,46.0,65.55555555555556,79.55555555555556,123.44444444444444,146.33333333333334,0.0,0.04938271604938271,0.2962962962962963,0.4938271604938272,109.53049104803164,42.2222656727146,1905.976099974744
10.0,4.19809740941963,0.5975335421492469,0.8633086477287318,-2.0,-7.0,-12.0,-17.0,-19.279121355640363,-6.565335751638313,-4.821075775889766,-7.227561626221539,-10.97100905199369,-12.752994966037578,-5.686948262699412,-2.7491925917803117,-6.331570856364962,-8.712560251627508,-8.595515046748949,-9.279864868758633,-8.107661964482395,-4.052711065584523,-5.653829526475064,-10.229605989121922,0,22,23,20,0.0,1.4,2.2,3.0,3.0,3.0,4.2,6.0,6.8,7.2,8.0,8.0,8.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.2,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,29.416666666666668,82.43648707710078,76.46973085213436,42.916666666666664,56.666666666666664,56.666666666666664,72.16666666666667,105.91666666666667,139.58333333333334,0.0,0.06944444444444443,0.2777777777777778,0.5972222222222222,108.16778725899154,42.51456050569879,1860.8869596089792
11.0,1.6777298211805074,1.0161706911039872,1.079108216072502,-2.0,-7.0,-12.0,-6.257913221052155,-8.606344931674112,-11.838632738755415,-11.597517211841842,-6.21378720342937,-5.525128286790126,-3.534451564783319,-5.194925543074378,-7.835574642219292,-9.450422482456746,-9.323300589535698,-7.339886482287523,-6.297673901423988,-6.4724713935990845,-9.313299383395043,-10.236251575100118,-13.05827818090807,0,30,32,11,0.6,1.6,3.6,4.0,4.2,6.0,7.8,9.0,9.0,9.0,9.8,10.8,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,47.92857142857143,81.40855889547117,82.27366953359264,35.42857142857143,45.07142857142857,58.857142857142854,67.57142857142857,101.0,171.85714285714286,0.01020408163265306,0.09183673469387754,0.35714285714285715,0.5510204081632654,111.29187035356846,52.65099209296893,2965.288129729637
13.0,6.228113751762989,0.4045989755332552,0.9388042392837034,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-20.924215679812335,-25.924215679812335,-18.092884289946767,-14.052696162135316,-2.6374636222894807,-3.355038100096479,-8.355038100096479,-7.263322811685387,-5.174430459610662,-1.8254851646527328,-6.825485164652733,89,42,44,41,1.0,2.0,3.0,3.0,3.0,3.4,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.666666666666668,73.8083862326496,60.658027193291964,60.833333333333336,60.833333333333336,60.833333333333336,73.83333333333333,94.0,144.66666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,96.92597763195515,32.39898018955356,1160.551787846546
15.0,2.1086022044392903,0.5645177483587436,0.6019825295998231,-2.0,-7.0,-10.106034434123334,-7.530172170616663,-7.011930465678576,5.114766115084953,7.01796183730953,5.75317608569466,4.954871429053729,6.183601128354129,6.3677696768555,5.936916557739266,6.4331809972790355,4.077699308556342,8.069674692493802,9.345394215900232,10.313588902285243,11.123061721932785,9.53345214468707,10.334336581051875,85,12,23,10,0.0,0.8,3.0,3.0,3.8,5.8,10.4,12.4,14.0,15.6,16.6,19.0,20.0,20.0,20.8,21.8,22.0,22.4,25.6,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.2,3.0,3.0,3.0,3.0,95.62857142857143,120.18020008684081,122.73136173404528,53.51428571428571,74.71428571428571,91.8,115.77142857142857,164.68571428571428,222.9142857142857,0.0016326530612244896,0.03918367346938775,0.14857142857142858,0.316734693877551,169.0340167368367,73.13028232037342,5438.54411325149
16.0,2.444997643409059,0.6913258813107936,0.7558239540772481,-2.0,-7.0,-12.0,-8.920268473386187,-5.373026064759472,-4.344827914386402,-2.830428104092184,-3.1511765842045065,-1.4442242345692407,-2.5797115025152664,-1.8092998002485843,-0.6246117738050657,-0.4557439142730118,-0.38563431960111816,0.1250464865325398,1.2628762591128606,3.288790922478185,4.355387611020731,2.116445657982214,0.5173213848344915,86,14,15,12,0.0,0.6,1.2,2.2,3.0,3.4,5.0,7.8,8.6,11.8,15.0,15.0,16.0,19.0,20.6,24.6,26.0,26.0,26.8,28.0,0.8,1.8,3.0,4.0,4.0,4.0,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,73.41176470588235,120.67338991243417,119.3248618951037,50.470588235294116,67.5,85.05882352941177,109.47058823529412,165.85294117647058,216.97058823529412,0.0034602076124567475,0.032871972318339104,0.15570934256055363,0.2975778546712803,162.2358114777901,68.50266428067187,4767.530850722074
