cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
8.0,0.5681127114765382,0.9246359260243875,0.9285661268576848,-2.0,-7.0,-12.0,-17.0,-22.0,-18.205119563762914,-10.01279890940728,-15.01279890940728,-17.233986905352044,-18.065768899269184,-23.065768899269184,-22.48399606156515,-26.525626406979438,-17.29509615008606,-18.987541486768034,-21.477716128299804,-24.83107791209602,-23.244525047280888,-16.571474840942127,-18.738174805521798,0,62,27,24,0.0,0.0,0.2,1.6,2.0,2.2,3.0,3.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.4,2.0,2.8,4.2,5.2,6.0,6.0,6.0,6.0,6.0,6.8,8.0,8.8,9.6,10.0,10.0,10.0,10.0,42.785714285714285,133.73796210397566,140.73309332317828,63.142857142857146,95.14285714285714,114.5,132.35714285714286,190.92857142857142,251.92857142857142,0.0,0.01020408163265306,0.07142857142857142,0.21428571428571427,189.36295463949835,75.14490539599038,5876.527802284998
10.0,3.653126695308454,0.8699396081533587,1.0239612723835183,-1.1747740788287402,-0.6401964843904198,-1.113687483560362,0.02977754907963188,1.5859811713177572,1.5040177928422174,0.3240350008589779,0.2359715618108808,0.544249114901642,-0.8843662939409682,-1.2597742980717612,-0.2713789622371806,1.1193912298622535,1.2485631680181002,0.4847829910527054,-0.5199783229220202,-0.4848642945483704,-0.7780620002988143,-1.6104950016143647,-2.616084333514297,22,2,3,6,1.8,6.6,15.0,18.8,23.0,23.0,26.8,31.6,32.2,33.0,33.0,35.2,37.2,40.0,42.4,45.0,46.8,47.8,48.0,48.2,0.0,1.4,5.0,5.2,7.0,9.8,10.8,11.0,11.6,12.0,12.0,12.0,12.0,12.0,12.0,12.6,13.0,13.0,13.0,13.0,47.09230769230769,138.3590546852215,136.85504450600985,49.66153846153846,68.78461538461538,87.66153846153846,121.33846153846154,179.04615384615386,232.6,0.011360946745562131,0.03976331360946746,0.15053254437869823,0.28781065088757396,181.99153846714933,86.31107668868793,7782.348974795125
11.0,1.6239887731736558,0.8210848997663484,0.8625919922921186,-2.0,-7.0,-12.0,1.4919761767125301,1.6536520162592012,-1.6576530999057142,-4.124610774153087,-6.195359872097084,-5.7748627706207944,-7.759915638727513,-4.829246780907495,-4.059560105701512,-4.008793926975135,-6.41623444164946,-9.801660857429802,-13.609515510929265,-11.936128691736425,-6.1323074828503055,-4.961774326606752,-3.8087278852780146,16,77,14,11,0.4,1.0,2.0,2.4,3.0,3.0,4.0,5.2,6.0,6.4,7.0,7.0,7.0,7.4,8.0,8.8,9.4,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.4,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,46.785714285714285,89.5730204955403,100.23125042335062,44.642857142857146,68.92857142857143,78.42857142857143,87.07142857142857,124.57142857142857,186.42857142857142,0.01020408163265306,0.0510204081632653,0.19387755102040818,0.42857142857142855,130.92987737217567,54.86117489629498,3112.783925992518
12.0,2.7548095219014366,1.0201911705374886,1.1506084408897859,-2.0,-7.0,-8.20859541734949,-4.896937314293704,-6.897322878779329,-6.860403675527474,-7.52361103717069,-6.623291191340295,-6.255166625628481,-7.543953214803281,-9.42116420617944,-10.477181316201543,-9.47330379575685,-8.213865004558993,-7.4925873526742945,-7.3897881639037,-8.338695816987624,-11.007733480440223,-11.859971776222238,-11.829342373475928,0,87,12,9,0.4,2.2,3.0,3.6,4.0,5.2,6.0,6.8,7.6,8.0,8.4,9.0,9.8,10.0,10.0,10.0,10.0,10.0,10.2,11.0,1.6,2.8,4.0,4.0,4.4,5.0,6.6,9.0,9.0,9.8,12.0,13.6,14.8,15.4,16.0,16.0,16.0,16.0,16.0,16.0,43.857142857142854,111.16851769162724,121.3436190012854,52.07142857142857,63.57142857142857,84.64285714285714,102.03571428571429,150.28571428571428,203.21428571428572,0.007653061224489796,0.03826530612244898,0.16581632653061223,0.3392857142857143,151.35963794482038,62.29464384316503,4005.945698804718
13.0,1.2282496746970657,0.8738740548121088,0.8973463522093658,-2.0,-2.5545601730731153,-4.255824738384428,-0.4353548619913582,0.450094622498446,0.7190335303286922,0.3843831653058814,0.4187705615792169,0.11134066051767064,-1.954537524604757,-0.9852562624647746,-0.5694973987120505,-1.1676824020667211,-1.4640507726141139,-1.241900946002866,-1.042103510571883,-2.4238957685093228,-3.429230830805153,-4.524114438346899,-5.0287635530140165,30,11,12,7,0.6,2.0,6.0,8.2,10.8,13.2,14.4,18.2,23.0,25.0,26.2,28.4,30.8,32.6,33.0,34.0,36.0,36.6,37.0,37.0,1.2,3.6,5.8,7.0,7.0,7.0,7.0,7.0,7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,42.77777777777778,98.05553853573848,96.48059540661234,37.111111111111114,50.68888888888889,59.53333333333333,80.15555555555555,128.8,186.0222222222222,0.02074074074074074,0.07703703703703704,0.26469135802469135,0.48000000000000004,132.73657130177608,63.49519784736162,4265.969058603123
17.0,3.5365952043769275,0.9638435789890488,1.0957400355116997,-2.0,2.0867092641973564,-2.9132907358026436,-0.9186739126695294,0.045929521061469816,2.9484744956925946,2.1161091276423507,3.207636058987883,1.8802387125768008,0.9169696450430962,0.4148643749601632,-0.12718659965413082,-1.0041005548590634,-2.2870926113061842,-3.9555521546881183,-7.314250200900327,-10.410314404490112,-10.246233748368393,-9.394143292158677,-10.391054240545575,28,82,4,1,0.6,3.4,5.4,6.0,6.0,6.0,6.4,8.0,8.0,8.0,9.2,10.0,10.0,10.4,11.0,11.2,12.8,13.8,14.6,17.6,0.6,2.6,3.8,4.0,4.0,4.2,6.6,9.4,11.0,11.0,11.0,11.4,12.0,12.6,13.0,13.0,13.2,14.8,15.0,15.0,53.25714285714286,165.9279268823619,173.0582177563211,56.25714285714286,87.37142857142857,115.6,145.88571428571427,233.34285714285716,283.9142857142857,0.0065306122448979586,0.03428571428571429,0.08653061224489796,0.1926530612244898,225.4575275497502,100.67879801761033,10504.140507881379
21.0,3.7175334820699586,0.9604323309618742,1.1120733147219952,0.4351644252866224,2.25061683738381,2.879086466841284,2.301957673971445,4.834000601014928,6.222459967937409,5.364612351382581,6.40803419233292,6.512225213182188,4.785324147049151,3.3398809572943606,2.7723457211191103,3.83762548815731,2.42012010232186,0.5625002376914807,-0.3946749627094192,-0.9241203408270025,-2.035400052290541,-2.7431111631039187,-3.5390196854904588,28,89,3,47,2.2,5.8,7.8,9.0,11.0,14.6,16.8,17.8,18.6,19.0,19.4,22.6,23.4,25.0,25.2,26.6,28.6,31.0,31.2,32.4,1.2,4.2,6.2,7.8,8.0,8.0,8.8,9.2,10.0,10.6,12.4,14.4,16.6,17.0,17.0,17.4,18.0,18.8,19.0,19.0,54.833333333333336,158.65394021599798,164.21193840529926,47.21666666666667,73.93333333333334,95.55,136.26666666666668,205.43333333333334,268.05,0.01111111111111111,0.04277777777777778,0.11666666666666667,0.22666666666666666,211.27258687094732,101.24742545859623,10817.315917434695
23.0,1.038876229900023,0.9900517698895378,1.0066684982026672,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-27.381751189920227,-2.494600436007211,4.445065872182809,-0.5549341278171909,-5.554934127817191,-10.55493412781719,-15.55493412781719,-20.55493412781719,-25.55493412781719,-30.554934127817194,-19.202289710621997,-24.202289710621997,50,40,42,39,0.2,1.4,2.0,2.0,2.6,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,26.0,112.71018032909934,114.48776064663816,71.5,71.5,71.5,127.0,173.66666666666666,252.16666666666666,0.0,0.0,0.1111111111111111,0.27777777777777773,169.1962794751207,67.20820438150328,4879.455611340851
26.0,3.3350675982482665,0.8673185663678162,1.025386671866225,-2.0,-7.0,-12.0,-2.8832855388169802,2.262112926517787,2.361896789382061,2.502306510945354,2.9417765575795953,3.730401012640128,3.425165000972579,1.7519624844307118,0.05834297393383423,-0.3617482499544806,0.1736135827407054,-2.717496367881182,-4.281507670557258,-3.869174349707342,-5.581269532677794,-6.585820693858662,-8.165161810074405,44,13,14,11,0.0,1.4,2.6,3.0,3.6,5.6,7.0,7.0,7.0,7.4,8.0,8.0,9.6,10.0,11.4,13.0,13.4,15.0,15.0,15.6,0.6,1.0,1.0,1.4,3.0,3.2,4.0,4.4,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,41.90909090909091,109.08403263778631,111.33203926785863,49.18181818181818,59.81818181818182,67.5909090909091,104.18181818181819,147.5909090909091,224.0909090909091,0.008264462809917356,0.05371900826446281,0.2024793388429752,0.371900826446281,150.71588850620785,70.55521379173292,5317.914588628973
27.0,2.222424142966771,0.990225769253097,1.0865830972626995,-2.0,-2.5599458858495345,-4.5999098097492235,-8.516461409778103,-4.316783354503342,-2.3645320299976986,-2.743200324737985,-2.6538752861343866,-1.465263541913383,2.0054958932860343,0.33717137951503134,-1.378959308111662,-2.0152052474958966,-4.996127463179656,-7.44950531086702,-8.107515546433547,-7.882842004909156,-8.523672761828058,-9.91455041625089,-11.195140874359922,47,17,18,9,0.6,3.8,4.4,6.0,7.0,8.6,9.0,10.0,10.6,12.0,12.0,13.0,14.2,15.0,15.0,15.0,15.4,16.0,16.0,16.0,1.2,2.0,3.4,5.0,5.0,5.6,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,31.217391304347824,89.10372889180125,88.49154437294817,39.26086956521739,54.52173913043478,64.56521739130434,78.52173913043478,126.69565217391305,176.7826086956522,0.011342155009451795,0.07939508506616257,0.275992438563327,0.4877126654064272,123.74027800545394,55.172941396636254,3159.124675554391
