cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,8.789181061663031,0.42073595950069875,0.9017391336940789,-2.0,-7.0,0.7190796495988365,14.797699123997091,9.797699123997091,4.797699123997091,-0.20230087600290858,-5.202300876002909,-4.933885584235438,7.757965388212793,19.101816769343003,14.101816769343003,13.535096634834716,13.582992514434835,26.945086665123387,24.051242827927958,22.995802297449984,18.942104671025298,20.745796188832355,24.55382758997966,71,10,12,9,0.0,0.8,1.0,1.0,1.6,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.2,4.6,5.0,5.2,6.0,6.0,6.0,6.0,0.0,1.8,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,72.16666666666667,175.0816388745026,145.1389226239837,60.416666666666664,101.5,101.5,126.5,203.5,269.1666666666667,0.013888888888888888,0.013888888888888888,0.13888888888888887,0.20833333333333334,206.78691645274833,93.97115411851125,9123.885065854689
3.0,4.374842387333954,0.8424500668965487,1.1021563602970308,-2.0,-7.0,-12.0,-11.583779997941539,-3.085705250238335,-0.9676860487272002,3.471181530070615,2.8652314881925323,0.5114188409776901,-2.802732344877505,-6.42780531090745,-2.615302479257866,-1.6939311460526056,-6.693931146052606,-11.693931146052606,-10.18104921777373,-9.80003046103844,-9.596934902055883,-11.207564346322707,-13.0924179535613,33,16,17,14,0.0,1.0,1.4,2.4,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.2,6.0,6.6,7.0,7.0,7.0,7.0,7.0,0.6,1.8,2.0,2.4,4.0,5.0,5.0,5.0,5.0,5.2,6.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,31.666666666666668,118.48657770142086,120.07927136515517,41.53333333333333,62.733333333333334,79.8,98.2,163.0,239.6,0.008888888888888889,0.08,0.19555555555555554,0.3288888888888889,154.97655295070024,74.17185581682612,5970.982838182608
4.0,9.964988282742365,0.30478249118837475,1.179581596062623,-2.0,-7.0,2.9919467030823825,57.95973351541191,52.95973351541191,47.95973351541191,42.95973351541191,37.95973351541191,32.95973351541191,39.21281886704101,51.09244689448465,46.09244689448465,41.09244689448465,36.09244689448465,31.092446894484652,26.092446894484652,21.092446894484652,16.092446894484652,11.092446894484652,6.092446894484652,16,11,13,10,0.0,1.0,1.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.25,148.51149935587426,104.39381872771813,32.0,32.0,32.0,32.0,179.25,207.25,0.125,0.125,0.25,0.25,138.87356764662448,76.86437410942432,6038.834214852017
12.0,1.595982195272251,0.5982973551718224,0.6259550694519322,-2.0,-5.179247325636162,-1.5633531625295674,2.0750430096085344,3.325884957756812,1.805129777329143,0.6346267539671316,3.2477033247295224,1.422859138464247,2.5654432111903818,4.8368708458437935,7.202327538271651,8.546453534635997,10.132640528175292,8.847127196390058,6.6690333196422955,4.268596006977168,2.041146954981957,0.6065658520103028,-0.23543328747540215,64,7,8,5,2.6,5.0,5.0,5.4,8.2,10.0,13.4,14.4,15.0,15.8,17.2,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,3.8,4.0,4.0,4.0,31.565217391304348,95.93636030405791,92.4739037047523,48.608695652173914,62.30434782608695,70.08695652173913,80.56521739130434,131.8695652173913,176.47826086956522,0.01890359168241966,0.07183364839319471,0.275992438563327,0.4763705103969755,131.43602512965816,62.414315099805286,4047.1144186080655
13.0,1.7900326830602504,0.8594404603116144,0.9139885833777618,-2.0,-7.0,-5.156241813893435,-5.282831814746831,-3.426816673386335,-2.4110522577288505,-0.21238255152139018,-0.033471647148826375,-0.5719060804266292,-0.9936076333182726,-2.2293516341923705,-1.5938303317421245,-3.6121680954919015,-5.698167744498018,-5.723955469997011,-5.7925557815888995,-6.390600087532405,-6.970385402801557,-8.22496677064629,-9.218113800687084,36,8,9,6,1.0,3.2,5.4,7.0,8.6,10.6,11.6,12.6,14.0,14.6,16.6,19.0,20.4,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.4,1.0,1.0,2.8,3.0,3.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.8,6.0,6.0,6.0,6.0,6.0,6.0,39.75,89.96376923141354,93.32759984941438,37.535714285714285,45.464285714285715,65.35714285714286,84.17857142857143,124.92857142857143,166.42857142857142,0.01020408163265306,0.07397959183673468,0.24744897959183673,0.4489795918367347,124.21787162102575,53.83542519178884,2967.2491370133434
14.0,3.6303397571581897,0.5433064719040709,0.6626380776673743,-2.0,-0.42434889955271426,1.42847835193905,6.75259059711563,7.697281690393723,8.151844444277147,6.771729140722475,7.447121949717371,6.671805803243816,5.8576698214686775,7.041395378755472,8.06939099017165,8.909222700038848,8.296710758835053,9.305615328045121,8.636956620438834,8.855273775301692,9.787000443913039,10.711900224729941,10.535473582120025,89,3,4,1,0.6,1.0,2.4,3.0,3.2,4.8,6.4,7.8,9.0,9.8,10.8,12.6,15.6,17.4,19.8,22.2,24.4,25.8,27.0,28.4,1.0,5.0,6.2,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.51162790697674,114.67271427536248,110.97105701309695,47.604651162790695,65.48837209302326,81.09302325581395,100.86046511627907,152.30232558139534,203.34883720930233,0.02055164954029205,0.056246619794483504,0.18820984315846404,0.3699296917252569,152.9875708920748,68.50697235128237,4785.84079008543
17.0,3.4113629303853337,0.8886507675132461,1.0777624891997022,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-12.561893590832971,-4.243369689934636,-7.128620365282991,-10.238141495208573,-7.6762260149109025,-8.742226062575956,-11.119559427685992,-16.119559427685992,-21.119559427685992,-24.261227598741492,-24.05182201733627,-15.736180838694372,-19.04302387050574,-19.57962639380802,0,28,30,27,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6,1.0,1.0,1.0,1.0,1.8,3.0,3.0,3.0,3.0,4.4,5.0,5.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22.444444444444443,101.71374395528612,108.83596418961592,65.11111111111111,65.11111111111111,90.77777777777777,109.88888888888889,149.44444444444446,198.11111111111111,0.0,0.04938271604938271,0.1234567901234568,0.345679012345679,143.4728079854732,54.41388699820071,3077.204446433687
18.0,6.46862794443859,0.9523374452478123,1.6636063206977376,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0,-62.0,-4.312534368124766,-9.312534368124766,-14.312534368124767,-8.446032557853398,2.853720157553653,-2.146279842446347,-7.146279842446347,85,62,64,61,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,25.0,127.63778665343091,125.68960349296111,75.0,75.0,75.0,75.0,198.0,260.5,0.0,0.0,0.125,0.25,177.32285003068768,77.53064987193574,6267.467136842266
19.0,7.12372006024728,0.841904286356095,1.3154867900747518,-2.0,-7.0,-12.0,11.704546630954615,13.880683288693268,8.88068328869327,3.8806832886932696,-1.1193167113067304,-6.11931671130673,-6.423372569558974,7.360403997432051,10.8550242166842,11.518104362852299,6.5181043628522986,1.5181043628522986,-3.4818956371477014,-8.481895637147701,-13.481895637147701,-7.953718589339078,7.916465774358028,18,13,15,12,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,0.0,0.0,0.6,1.4,2.2,3.6,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.2,46.0,206.5207719186852,179.1945577461364,95.1,95.1,132.9,179.1,270.0,299.2,0.02,0.02,0.06000000000000001,0.16,257.8575095048816,105.87979828766238,11742.05637407556
20.0,2.615042689699781,0.8328396705965556,0.9536448147919494,-2.0,-7.0,-8.842957213437415,-2.7418257416241327,-1.2886685773855304,1.8259469843383527,1.833519572569213,1.6169803629705286,-0.9824886206925783,-2.363901706170027,-2.832073457091333,-2.2387044527132134,-3.266533206631145,-4.956743065159566,-5.2405032985165345,-6.422393828994669,-7.948781669972743,-8.464055968018048,-8.566424107176946,-11.539868469427626,29,11,12,9,0.2,2.0,2.2,3.6,5.6,9.4,11.0,13.0,15.0,16.2,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,34.3,85.0139733602778,84.1343845494952,24.4,33.8,44.35,59.85,104.85,157.65,0.030000000000000006,0.125,0.33999999999999997,0.5599999999999999,112.29849108810754,56.81599097275048,3411.8568779204643
