cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,0.49942215754501973,0.8890414048847991,0.8923839261851029,-2.0,-7.0,-12.0,-9.106900893966491,-1.5047033151403197,4.316951201650885,3.6942600324251202,3.9577201255200194,5.484344117820607,4.686921588987884,3.293138119924586,1.1165400595844814,-0.7193531626713267,-3.2037120805019397,-4.947083321106663,-6.3060014467960315,-6.903129917089885,-7.969420404326039,-7.506423034856615,-7.42538632271347,43,14,25,12,0.0,1.6,2.6,3.6,5.0,6.0,7.6,9.0,10.4,12.2,14.2,15.0,17.8,20.2,22.2,23.4,25.8,28.0,28.0,28.6,0.2,1.0,1.8,2.8,3.0,3.0,3.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,55.142857142857146,113.94091822669972,113.90547409821363,42.885714285714286,60.65714285714286,76.14285714285714,100.05714285714286,157.71428571428572,222.31428571428572,0.0065306122448979586,0.06204081632653061,0.16979591836734695,0.33795918367346933,158.04114036564968,71.70198057902373,5399.670991311254
5.0,1.8149678269995055,0.6259923179347372,0.6540340367353181,-2.0,-3.1635986640178815,-2.2678605891757533,-4.290363911328997,1.5380811080455643,2.4251060191865363,1.4815826882460015,3.230696386904401,3.002183407461068,2.470839165398007,3.142384134806716,4.416534367283445,4.173570836311512,5.245721659669499,5.934979521332051,5.947155254226447,5.621156629562657,4.735712750649793,4.415228381681763,4.835444788874943,79,5,20,3,0.2,1.8,3.0,7.0,8.2,9.8,11.0,12.0,15.6,17.0,17.6,19.4,21.8,22.4,23.8,26.4,27.8,28.8,30.0,30.0,1.0,2.8,5.4,6.0,6.6,7.0,7.2,9.0,10.0,10.8,12.0,12.0,13.8,14.0,14.0,14.0,14.0,14.0,14.8,15.0,64.54347826086956,124.62421787292125,136.70512700239607,52.108695652173914,67.19565217391305,81.8913043478261,114.26086956521739,169.43478260869566,223.7608695652174,0.007561436672967864,0.04158790170132325,0.1550094517958412,0.31758034026465026,174.71219296484523,82.36663307085082,7012.818148408635
7.0,5.955944217813821,0.62456312353112,0.8606468818475218,-2.0,-6.25137628493585,-3.7576770963317485,-1.458060646021842,2.6418586337343237,4.035436468881601,5.726036539817365,6.93490874076718,9.505184690835627,10.02692660598916,11.73382993036376,13.193814469789507,14.179264655710629,15.020527373771921,15.460407058643284,16.400866446251406,18.026404923931686,18.20929994322824,19.011012649985798,19.372474863031492,89,7,8,5,2.6,9.4,13.0,15.0,16.4,21.0,26.0,29.0,32.2,36.0,37.8,42.2,47.0,51.0,54.0,55.2,58.6,61.6,63.2,66.2,3.0,4.4,5.0,6.8,7.6,8.0,8.0,8.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.6,11.2,13.0,146.97435897435898,195.7874968066965,171.311326139359,71.92307692307692,100.56410256410257,122.22222222222223,157.69230769230768,220.93162393162393,278.3076923076923,0.003652567755131858,0.023522536343049162,0.09306742640075974,0.18949521513624076,241.30549943885708,112.22494497404448,12892.313538803059
8.0,1.2521645682554745,0.9277633549451755,0.9550705708508082,-2.0,-7.0,-9.26503415453907,2.2937978232128344,-0.11899632712870271,-3.394192427356394,-6.939046628321002,-7.191282865644313,-11.550021599613412,-14.810348661046046,-18.650566702001136,-17.77671698743584,-9.708069312905902,-7.798581126931927,-8.574679328912032,-8.824986039385456,-7.1368124418530785,-7.410551492243144,-7.683940654362726,-9.614794248247799,16,54,13,10,0.0,0.2,1.6,2.0,2.0,2.6,4.6,6.2,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,1.4,2.0,2.0,2.0,2.6,3.6,4.0,4.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,42.214285714285715,90.47682767587511,94.65658404451518,39.857142857142854,62.357142857142854,77.0,88.28571428571429,127.07142857142857,185.78571428571428,0.02040816326530612,0.0510204081632653,0.22448979591836735,0.45918367346938777,130.38464602691792,58.242927426584785,3543.662280869684
9.0,2.026920851988929,0.9033188567144498,0.9348796865169292,-2.0,-7.0,-12.0,0.2759670372476535,5.5924044819342695,2.0917659032779454,4.758977591197066,-0.2410224088029338,-5.241022408802934,-10.241022408802934,-9.524209246059058,-13.095005955373091,-18.09500595537309,-15.57067373833488,-15.390412975559684,-20.390412975559684,-21.450630154779226,-23.82410827425891,-28.82410827425891,-27.405176993976728,22,89,15,12,0.0,0.0,0.8,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17.125,225.54855832760316,217.2489668185595,50.375,50.375,80.375,80.375,192.25,300.0,0.03125,0.09375,0.1875,0.3125,286.6320349899488,187.45470309520636,35781.935230001014
10.0,6.049053335326276,0.4196970015477098,0.9546406178833264,-2.0,-7.0,15.143656179048639,21.82076366805942,21.481048388793766,16.481048388793766,11.481048388793766,6.481048388793766,3.5339450193363717,5.175982135312968,8.697194748217767,8.441946779262679,16.391983965697957,19.383245994847897,15.905107848951749,16.584057296108206,13.15332456901595,8.15332456901595,4.386566393091078,4.319533689391591,20,7,10,6,0.8,1.8,2.0,2.0,2.0,2.0,2.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.6,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,48.75,78.55762490341351,97.61559185184821,39.0,39.0,50.875,50.875,79.5,107.25,0.125,0.125,0.53125,0.65625,87.48618487579586,43.275425630699495,2073.68301083344
11.0,3.1366704814714685,0.5327087018550345,0.6676490749766688,-2.0,-7.0,-2.61566543768204,-1.9368463574035029,-1.058821154048087,-0.0975998629068691,1.9156842846568978,3.367738772830458,2.442114860891448,0.13327486424537796,1.1305921810378436,4.032504515918807,2.934312688878053,1.7005340974905863,2.6473512279565425,1.7446661406672461,3.9080896389593676,4.820155825587326,1.8694231318871375,-0.06522577156160878,86,8,9,12,0.8,3.2,4.0,4.4,5.8,7.0,9.0,10.6,13.2,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,38.0,74.70687205482031,75.339064284356,28.833333333333332,39.611111111111114,49.27777777777778,66.61111111111111,94.16666666666667,134.44444444444446,0.018518518518518517,0.1234567901234568,0.3888888888888889,0.691358024691358,98.36917809080359,45.46948783681811,2171.7554246540744
12.0,0.9964087421504267,0.6454349524979671,0.6534256819619154,-2.0,-7.0,0.15151418879968973,2.4919360353142994,2.7232887081363897,-0.06190772156720712,0.9985354396644581,2.0089508949903263,5.799409426038989,6.314355405718243,9.736039413072174,10.806188661401825,9.749698529609166,10.021521259112053,8.874456650731762,10.165979172706542,10.441409041377762,10.485464926424285,10.225868733903914,8.506538073287544,89,8,10,6,1.4,4.0,4.0,4.0,4.4,5.0,5.0,5.4,7.0,7.0,7.6,8.0,9.0,9.0,9.2,10.0,10.0,10.0,10.0,10.0,2.0,4.6,6.4,9.0,9.8,11.2,13.2,14.4,15.0,15.6,16.2,19.6,21.2,22.6,24.0,24.0,24.0,24.0,24.6,25.0,68.63157894736842,139.24790692673315,141.0140990723101,51.1578947368421,72.65789473684211,94.21052631578948,129.1578947368421,195.60526315789474,246.0,0.009695290858725761,0.030470914127423823,0.13296398891966757,0.24238227146814406,193.55073351728933,86.85558727422787,7696.816849715813
13.0,4.00445488534488,0.6998585068336858,0.9032512242452565,-2.0,-7.0,-8.46987973538138,-2.9932503678778306,-1.3964967281325855,-0.1953872712518688,0.6022460051192994,2.262486313330567,3.054484702504733,3.834681997544891,2.4031842690835843,3.5443168387888617,1.6071320922015786,1.8365607498592624,1.618411227638839,2.569684598800859,1.8143177915980402,1.435627853711992,1.4968130124047518,2.2931780161293234,48,11,12,9,0.6,3.0,6.2,8.6,10.4,11.6,15.6,16.6,17.0,17.0,17.0,18.0,18.6,19.0,19.8,20.0,20.0,20.0,20.0,20.0,0.8,1.0,2.8,3.0,3.0,3.0,3.0,3.6,4.4,5.0,5.4,6.0,6.0,6.0,6.0,6.8,7.0,7.0,7.0,7.0,52.407407407407405,110.3142795405937,105.2816822215408,46.074074074074076,54.888888888888886,75.25925925925925,91.22222222222223,145.5185185185185,205.03703703703704,0.010973936899862825,0.05486968449931413,0.2085048010973937,0.3731138545953361,143.54869026506057,63.74139064787758,4258.507910487562
15.0,4.374963679150841,0.5964572282970722,0.8214236074574697,-2.0,-7.0,-12.0,-7.798289881543295,-4.122834383845154,4.6197769912371625,1.5295652342656467,-0.7977249256635162,-1.4984610141296386,-3.690304166540261,-2.672550053481524,-0.8608563622678218,-2.323391811025566,-2.7624142843944455,-2.272545842399964,-3.662547306704485,0.4552961379298523,4.806133431464931,4.8407228403546725,7.126432788004567,86,14,16,19,0.0,0.0,0.8,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.6,1.0,1.0,2.2,3.0,3.6,4.0,4.6,5.0,5.8,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,48.42857142857143,97.95644935897637,118.41232830692459,37.0,64.85714285714286,75.64285714285714,90.07142857142857,119.92857142857143,180.35714285714286,0.01020408163265306,0.0510204081632653,0.22448979591836735,0.4693877551020408,132.05092949299734,62.48853813926443,4061.6921324015857
16.0,1.761439459553386,0.9534554480957992,0.9854353810137659,-2.0,-7.0,-7.917068754070388,-6.94386955643909,-4.935152676319085,-6.831501096164509,-5.467433383626058,-4.1326482885644245,-2.812601450882224,-0.7239834760151126,1.3241794755049625,0.49705023219553224,-0.6927779771006897,-2.1787707797932088,-1.2532204087296066,-1.0441014187144504,-0.30308295638776883,-1.9376902105292515,-0.7371850584267634,-1.003674163449952,50,10,11,8,0.2,2.0,3.0,3.8,8.4,11.0,14.0,15.4,17.4,18.4,20.0,20.8,22.4,23.4,24.8,25.0,26.0,26.2,27.0,27.8,1.4,2.2,5.2,7.0,7.0,7.6,8.8,10.0,10.4,11.8,12.4,13.0,13.0,13.0,13.6,14.0,14.0,14.6,15.0,15.0,64.57142857142857,165.35204297700278,173.71740179288292,65.63265306122449,85.73469387755102,110.3061224489796,143.30612244897958,228.6326530612245,280.59183673469386,0.0024989587671803413,0.022490628904623073,0.09995835068721366,0.20408163265306123,223.09765047693764,99.59751091355865,10227.711373272496
18.0,4.584773828276047,0.47741183072778043,0.6194764802862301,-2.0,-2.885147059448971,-0.7808157304316257,2.0459093397149224,5.000690425432851,5.941977291221577,5.929371974653296,7.757999773885302,9.173728915391226,9.985894628567808,9.857530266738491,10.594406284995092,11.695062214043654,13.229939448554997,14.137076434373498,15.12889410910977,16.09627034539601,16.7794981679975,16.96415433692241,17.53133092401118,89,5,14,2,2.6,5.8,11.4,14.0,18.2,21.0,28.6,30.2,32.6,34.0,36.6,39.0,44.6,47.0,48.8,54.2,58.8,60.0,62.8,66.6,1.4,6.4,9.8,11.6,13.6,15.4,18.6,19.6,20.8,21.0,21.0,21.0,21.0,21.8,22.0,22.0,22.6,23.0,23.0,23.0,82.05882352941177,141.05352124932145,131.96422283682722,54.14705882352941,74.42156862745098,90.13725490196079,119.6078431372549,177.51960784313727,238.44117647058823,0.009611687812379853,0.03652441368704345,0.13898500576701267,0.2818146866589773,182.7265494568967,84.19371497116109,7321.349483700081
20.0,2.824771295273859,0.5422846169372445,0.6050259652662545,-2.0,-3.504564469582435,-3.2614111739560876,-6.253547109380607,-0.967885100719414,1.0652989640334476,0.9371154313775776,1.283994302706914,-0.2419355268718803,0.545861748181062,1.327151913527969,1.8567247037988737,2.6591409874305527,0.5357331981198001,1.1558544705991154,0.14431895156174904,-0.15126099474352941,0.31969314074482325,1.2229317979775005,2.1156772840143647,61,17,18,15,1.4,3.8,4.4,5.4,7.0,8.0,10.0,12.0,12.6,13.6,16.0,17.4,18.4,20.8,22.4,23.0,23.0,23.0,23.6,24.6,0.0,0.4,1.0,3.0,3.8,5.4,6.0,6.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,68.0,130.6692355744016,126.316369299774,48.888888888888886,74.05555555555556,93.94444444444444,118.05555555555556,175.25,232.80555555555554,0.006172839506172839,0.0308641975308642,0.11728395061728396,0.2654320987654321,175.4317835395864,74.10994616346144,5639.877702321253
21.0,1.4657819826430152,0.7180459226698759,0.7532397555114029,-2.0,-7.0,-10.410093807702015,-6.802002138461292,0.9215887202305737,2.8521428126108668,3.7257016310497972,2.3452016683598758,1.375944082504367,0.8279689757093479,1.4774446005050905,-1.086900437015038,-1.3541123442386749,-1.9793107519485105,-2.6587341742412804,-0.8013726972578581,-0.9736394564682769,-0.13059552619694442,-0.34252880449329837,-0.33973021138699266,30,12,19,10,0.6,2.2,3.0,3.4,4.0,6.0,8.6,10.8,13.8,14.6,15.0,18.0,18.0,18.2,19.2,20.0,20.8,21.0,21.0,21.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,47.43478260869565,77.16632095806625,77.4120786890503,36.95652173913044,46.73913043478261,56.52173913043478,68.56521739130434,109.17391304347827,153.34782608695653,0.015122873345935728,0.09829867674858223,0.32514177693761814,0.5973534971644613,107.77197333477307,48.773337061054264,2456.3804458152963
23.0,3.2241548545770744,0.7555817743520609,0.8526908921884441,-2.0,-0.17199911086702785,0.44475974062652524,1.7380512472553753,2.4436345018454815,1.3707659994774324,2.003272738601221,2.577996486483741,2.226918345750488,2.571248913400582,3.230470535288646,2.8416964772606192,2.1897805009478617,1.6332944840948642,2.573665900014626,1.228586522809269,-1.5964413804588617,-0.2401677147438761,-0.9379892706423902,-1.6453204708401103,49,4,5,2,0.6,1.4,3.0,3.0,5.6,9.2,10.0,10.8,12.0,12.4,14.4,16.0,16.4,17.8,18.6,20.0,21.0,24.4,25.0,25.0,0.8,2.6,4.8,5.4,6.4,7.0,7.2,8.0,8.8,9.6,10.4,12.0,12.4,13.0,13.0,13.0,13.0,13.0,13.0,13.0,47.675,143.6177820889441,139.24390626411505,43.9,65.775,86.475,119.025,189.1,237.675,0.013750000000000002,0.0425,0.13874999999999998,0.25,193.2929113480217,92.39069171650183,8876.505284628005
24.0,1.1768514329088215,0.5546158792287108,0.5674113728846302,-2.0,-7.0,-5.639792774329052,-2.7077111737835224,4.5824881102302,5.43641477168981,4.569302159679808,5.541578851603307,6.642462617153624,5.5346036671972385,4.4843290065180925,5.699273804870323,5.0759478144377965,5.463572352378816,5.626397241776326,4.560460704558994,3.4692315803784255,4.508839110386191,4.923052759545018,5.864232202791794,40,10,11,14,0.0,0.8,2.2,3.6,4.2,5.0,5.2,7.8,10.2,14.4,16.0,16.6,18.8,22.4,25.4,27.8,29.2,30.0,30.2,32.4,0.8,2.8,3.6,4.8,5.6,6.0,6.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,73.34883720930233,109.52527476667561,108.90083334940554,46.883720930232556,63.325581395348834,75.37209302325581,99.13953488372093,152.1627906976744,201.95348837209303,0.011898323418063819,0.05516495402920497,0.16982152514872906,0.3699296917252569,149.64803206355674,65.34278637377689,4407.627815595647
