cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,1.7911059159775906,0.7932627689768638,0.8416336694410615,-2.0,-7.0,-12.0,-17.0,-22.0,-8.719840949790916,-10.324136500264036,-9.343215758704378,-12.06160374343338,-13.624708896153289,-13.055570905045698,-9.487463474232092,-8.125362122942251,-9.073983150285613,-12.716335732313585,-10.083866715150322,-9.971508731772355,-6.276328765555166,-4.681384808691979,-8.301618729261918,0,22,24,21,0.6,1.4,3.4,4.8,5.0,5.2,6.0,6.0,6.6,7.8,8.0,8.0,8.0,8.0,8.2,9.0,9.0,9.0,9.0,9.0,0.0,1.6,2.0,2.0,2.0,2.0,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,34.333333333333336,86.26805118455378,85.93020118506415,41.833333333333336,67.5,67.5,82.08333333333333,121.91666666666667,160.5,0.0,0.05555555555555555,0.2222222222222222,0.5138888888888888,126.82861143273492,56.423417429500994,3382.8678927778406
2.0,2.268715908309464,1.226994871876999,1.2839630292375261,-2.0,-6.413595017449396,-6.32654106963872,-1.791375617018731,-1.9689390338337283,-0.2624488698873435,2.0384304907780773,3.5971481747379586,4.289876590121521,4.121839375078456,3.671988365818572,3.1879992221030378,3.0429047777602762,2.7369124551621837,2.5716180678209724,1.7686757056063953,1.19911370111588,0.8634755662296414,0.3062391061812747,-0.5714264972177177,39,9,13,5,2.4,6.4,10.2,11.8,17.2,25.0,28.8,34.4,39.4,41.4,46.8,52.8,58.4,62.8,67.8,70.0,70.2,71.6,73.0,74.2,4.0,8.4,11.8,15.6,18.6,20.4,21.6,25.6,28.6,31.8,32.0,32.2,34.0,34.0,34.4,35.0,35.0,35.0,35.0,35.0,50.30172413793103,197.22009571918935,195.41479267745947,57.456896551724135,83.55172413793103,108.99137931034483,148.1293103448276,254.3448275862069,295.3534482758621,0.005648038049940547,0.030766944114149822,0.0982461355529132,0.1896551724137931,260.76212930050656,130.45581750388862,17977.08942637048
4.0,3.0227675729925054,0.7127479315480391,0.8968252069911961,-2.0,-7.0,-5.890630144319517,-4.855669541037493,-1.8943687719950006,1.3925173794359118,0.9580323967623088,1.9565179799588777,2.5888220950379734,0.8892897711684029,0.9671607818833265,0.8466600775397268,0.15293142111552527,-1.0863651824869236,-1.2535261601388044,-1.7750095556473355,-3.4427709847263173,-4.276989335849959,-4.9997352296796915,-6.543850675992391,40,9,23,7,1.2,3.6,4.6,8.2,11.2,13.0,13.4,14.8,16.4,18.8,20.0,20.0,20.4,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.8,3.4,4.8,6.0,7.2,10.0,10.0,10.0,10.0,10.0,10.0,10.6,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.8125,71.06710955766798,75.35919120464321,28.90625,38.25,44.1875,56.96875,93.59375,124.09375,0.017578125,0.14453125,0.416015625,0.6953125,91.60081691468481,39.1764473457608,1586.637978095953
5.0,2.3588439268839267,0.9282923941980141,1.007478937852584,-2.0,-4.700752113172548,-4.764533535258184,-1.6530211354731896,-0.3278916740430809,0.4673803608692381,0.8333738691027577,0.8334178834244398,0.7557999421957831,0.639484056949766,0.31062453277346264,-0.1723636852137176,-0.34244400145473863,-0.650749874497609,-1.2214664061419653,-1.5435916036621251,-2.2750905347550967,-2.4895791245673538,-3.19202362413277,-3.9426894434776556,39,11,14,2,3.8,7.8,16.0,23.4,31.0,33.4,39.6,43.0,46.4,49.0,52.8,56.4,59.0,60.0,63.6,69.0,71.8,73.2,76.0,78.0,4.2,14.4,22.2,25.6,28.4,31.6,34.6,35.8,39.8,40.0,42.0,44.2,46.4,49.6,50.8,51.0,52.4,53.0,54.0,55.6,39.11347517730496,115.76277231364902,119.26268770796216,43.262411347517734,61.177304964539005,75.822695035461,99.177304964539,157.56028368794327,212.66666666666666,0.012675418741511995,0.056033398722398264,0.1888234998239525,0.36004225139580504,156.2838147935908,71.25683470247154,5243.286000579815
7.0,4.9116223270085895,0.8078795382133653,1.1256528586870265,-2.0,-7.0,-7.907821428557679,0.06669111320506146,0.2924184443425659,1.4604686431481668,4.366009157822542,3.6156609201382066,1.1803185143576158,-0.4037647131509289,-1.704420464962898,-3.4389781089731484,-3.860201206684772,-4.579101969662645,-7.243742330252869,-5.707923564884609,-8.521983034001334,-9.070057688055147,-7.9827192369494755,-4.968089789497844,35,11,16,9,0.6,1.0,1.4,2.6,4.0,6.0,6.0,6.4,8.0,10.4,12.2,13.0,13.0,13.4,14.0,14.0,14.0,14.0,14.0,14.4,0.0,0.0,0.0,0.4,1.0,2.4,5.0,6.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,36.541666666666664,123.32444383101561,127.46544630436813,51.75,63.333333333333336,78.79166666666667,101.5,149.91666666666666,204.75,0.01736111111111111,0.0625,0.17013888888888887,0.375,156.81269921391174,73.66932626833957,5691.620845375889
9.0,0.46426409717960637,1.139025740541391,1.1429495586067118,-2.0,-7.0,-5.456713298962083,-0.6417832474052076,-2.931465153339796,-2.8261379024496343,-3.6667374632814536,-4.228214163641794,-3.050241803815358,-4.395346541033854,-7.909419653149811,-12.909419653149811,-15.438081366033476,-13.175062389798427,-16.063376340323273,-17.786766645598114,-22.786766645598114,-26.008336422830855,-22.17823316797175,-23.55928398830945,15,87,12,9,0.4,2.0,2.0,2.4,3.0,3.0,4.2,5.0,5.0,5.0,5.0,5.8,6.4,8.0,8.0,8.0,8.0,8.0,8.6,9.0,0.2,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,40.30769230769231,110.68511972554838,110.74772724336145,51.07692307692308,66.3076923076923,66.3076923076923,113.0,167.69230769230768,219.3846153846154,0.01183431952662722,0.0591715976331361,0.14201183431952663,0.3431952662721894,156.86268238896466,66.41467422147468,4708.191975133627
10.0,4.8999978078976545,0.7395335426471803,1.0748712180889255,-2.0,-4.466545915092663,-4.110221091102948,-0.872784107442228,3.155628543229375,4.641436780234855,5.7731097068151085,6.545992475200846,7.8400815335187515,8.713800530568069,9.36245413259115,9.190850719599428,9.692693026033009,10.050057951688439,10.456447460132775,9.68124336710928,9.216358446438374,8.426397039608654,8.164424280592499,7.666394624553741,71,5,17,3,2.0,5.6,9.0,12.4,16.0,19.8,26.6,30.2,32.8,36.2,38.2,40.0,41.4,43.4,44.6,46.8,47.4,48.0,48.4,49.6,2.2,4.0,6.0,8.4,9.4,11.4,13.0,14.0,14.8,15.0,16.6,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,40.28358208955224,113.70943243300522,111.42952910132453,39.3134328358209,52.59701492537314,67.46268656716418,85.91044776119404,134.955223880597,186.23880597014926,0.016930274003118733,0.0797505012252172,0.2552907106259746,0.4473156605034529,137.14828017387305,65.01823109457351,4395.845879129313
11.0,2.43419069128891,0.8646746787782336,0.9752098985068766,-2.0,-7.0,-9.798789597835837,-3.1965992305572337,-2.2648903917601446,-2.449033374662421,-2.5202060855205666,-6.194853808210442,-4.036614066374343,-5.3738033369351275,-5.544602739283948,-4.225530046235319,-3.77917562187985,-3.822340984092219,-6.627357870257721,-9.705376145934224,-10.119806554060954,-12.027647437971357,-12.504940021963582,-13.417741932874723,30,12,13,10,0.4,1.0,1.6,2.6,3.0,3.6,4.0,4.2,5.0,6.0,7.2,8.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.8,4.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,51.333333333333336,82.95810143342725,81.73941286946008,35.0,43.666666666666664,57.8,70.6,121.0,172.33333333333334,0.035555555555555556,0.08888888888888888,0.28444444444444444,0.5155555555555555,115.61409843929614,50.82134981454104,2715.76939563358
12.0,1.7135197426363895,0.6391953522356935,0.6723149152943808,-2.0,-7.0,-12.0,-17.0,-14.565922443165613,-12.441202391572943,-10.404026185357987,-6.78296593309216,-8.343069567949552,-2.7829118303745317,-6.990258863249291,-8.084730425278625,-6.678186473998737,-6.274956190046387,-1.3933984802218276,-1.314017807900683,-3.697758168071607,-0.80013157781799,-1.4221149185589865,-1.0540733335936323,75,20,21,24,0.0,0.8,1.2,2.0,3.8,5.0,5.0,5.0,7.2,8.6,10.0,10.2,11.0,11.0,12.0,12.0,13.0,14.0,14.0,14.0,0.8,1.0,1.0,1.0,1.0,2.0,2.0,2.6,3.0,3.6,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,49.526315789473685,99.85289131245224,111.83746063498725,41.26315789473684,60.31578947368421,79.05263157894737,97.42105263157895,146.6315789473684,193.26315789473685,0.0,0.03324099722991689,0.1828254847645429,0.3933518005540166,142.04713163965457,58.665830576723295,3533.6599141211054
13.0,1.9722172465029606,0.9560665613665902,1.0027492621478473,-2.0,-5.023139689283431,-6.417470004813554,-3.111092645281188,-1.3954390609863467,-1.653215209846941,-1.529209791550759,-1.4874219097663457,-1.0612326460516144,-0.9449998580366298,-1.3831056403452506,-1.1429026041653585,-1.306148376483695,-1.7230970871061815,-2.2098525073143973,-2.6305220634942685,-2.8471473660873214,-3.246671638743467,-3.5892123605850657,-4.466279609985494,0,10,17,1,2.6,9.2,17.6,22.4,26.0,32.2,37.4,45.6,51.6,58.6,64.0,68.2,72.8,76.8,79.0,80.8,84.8,85.0,86.6,87.0,3.4,9.0,15.4,18.0,19.6,21.6,25.0,26.6,28.0,30.0,32.2,35.0,36.0,36.2,38.8,40.2,41.8,42.2,43.0,43.0,40.36764705882353,134.80866628380133,141.41704297717408,44.845588235294116,65.15441176470588,83.8970588235294,112.63970588235294,175.74264705882354,242.2058823529412,0.010164359861591695,0.04368512110726644,0.16144031141868512,0.30893166089965396,182.51029371169466,89.23614871470369,8307.316984435167
