cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
2.0,1.8203021488734967,0.7181704137424028,0.7719516754450456,-2.0,-7.0,-8.873620135890313,-4.078037936914867,-1.9308480161585742,0.10005543058717663,1.4208674504022745,0.8045302528510803,1.7094016594411001,2.257391937680498,2.7240488889082544,2.485200216616242,2.6901116558613225,3.3074720462194818,2.5328463144240856,1.6134986416696022,1.6510367471217762,1.3529306450654162,0.8012325584843125,-0.4279291112548179,66,10,15,8,0.8,3.8,4.6,9.6,11.6,15.6,18.2,19.8,22.2,25.4,27.0,29.6,31.4,34.6,36.0,37.4,38.0,38.0,38.0,38.0,1.6,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,36.81818181818182,78.17432810123168,76.90935375660175,38.04545454545455,46.52272727272727,55.13636363636363,69.95454545454545,103.81818181818181,142.77272727272728,0.015495867768595043,0.09297520661157024,0.34297520661157027,0.6208677685950413,107.5489420450808,47.92035215241583,2363.7152628860417
4.0,1.731330846709973,0.8954115723362941,0.9494167313107124,-2.0,-7.0,-4.605523673918395,0.9215005802549058,2.761233060235006,2.162165766913869,2.841168374781887,1.3159168186917256,0.6251519185543216,-0.6604188610585766,-2.0453406316674445,-1.3980633534915512,-2.170744866544844,-2.8272583797112576,-3.988707686807629,-4.561008412097908,-5.319225663950684,-6.007638955182,-7.199099211219059,-10.653854926679028,21,9,10,7,0.6,2.6,3.0,6.0,8.0,8.0,8.4,10.4,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.8,2.8,4.2,5.0,5.0,6.0,6.0,6.0,7.6,8.0,8.8,9.6,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6,35.51724137931034,90.15752193114521,96.24565836291625,34.48275862068966,45.0,60.89655172413793,87.03448275862068,128.17241379310346,167.6551724137931,0.028537455410225922,0.08323424494649227,0.2592152199762188,0.4589774078478002,123.10698864959558,52.66416215766184,2848.3348003374117
7.0,1.6097770144176178,1.0919012425032701,1.1378806011408293,-2.0,-7.0,-9.878082731284957,-3.3359398185582334,-3.6576372104603996,-3.1942111485025384,-4.464952899392112,-5.974835581127981,-6.491798754938969,-5.7412677358406015,-5.6196712162475695,-5.759616074736866,-6.733738059926725,-8.158775770471758,-7.798645887235914,-9.132349305879549,-10.185594612474608,-9.38801127235914,-10.751330496258017,-10.20471087327229,0,12,13,10,0.6,5.8,7.8,11.2,13.0,15.0,17.0,19.4,20.0,23.2,25.0,25.0,25.0,25.0,25.8,28.4,30.0,30.6,31.4,32.0,1.0,3.0,5.0,6.0,6.0,6.4,7.0,7.2,8.0,8.0,8.0,8.0,8.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,37.853658536585364,110.86837740398329,112.85122495263892,51.292682926829265,63.048780487804876,77.51219512195122,101.65853658536585,153.4878048780488,200.90243902439025,0.01189767995240928,0.045211183819155266,0.1748958953004164,0.3700178465199286,150.64776423345285,65.52990596482482,4445.919211216016
10.0,1.5300806865743306,1.0122602982689464,1.0407691035724875,-2.0,-7.0,-12.0,-8.003866336005013,-4.975116047976312,-7.126482340710621,-4.53800501134033,-4.256799344722706,-2.0230002261797324,-1.4179787546689298,-0.5884096007027168,-1.5350272594401688,-3.1661392834816224,-3.6004525669888694,-2.2302262628496097,-2.459961048156285,-2.295738146319445,-2.8463552058393247,-2.8221877974395966,-2.7311310205521466,52,14,16,12,0.6,1.4,2.8,4.0,4.8,6.8,7.8,8.8,11.4,12.0,12.0,12.0,12.6,14.8,15.0,15.2,16.0,17.0,17.0,17.0,0.6,2.0,2.2,3.0,3.6,4.0,4.4,6.4,7.0,7.6,8.2,9.2,10.0,10.8,12.8,14.0,14.0,15.4,16.0,17.0,70.86046511627907,147.12920606029002,158.2574705012635,59.74418604651163,78.86046511627907,93.5813953488372,123.53488372093024,211.7906976744186,270.6511627906977,0.004326663061114116,0.025959978366684695,0.12114656571119525,0.23580313683071932,200.7049399667498,89.48487062573636,8319.347031783964
13.0,1.4751408883169235,0.8238267324263755,0.843118233515032,-2.0,-5.901539210243993,-3.126707665568046,0.9670200580623145,2.2717955542759602,2.138746669316402,2.1699672104072425,2.4760328489115806,2.3523622321850453,2.8165526392713973,4.098402534349697,4.6971561423603845,4.929661208739714,5.548931751474319,5.82061075881708,6.257675606000743,5.547292625158394,4.982726341230941,4.18974191209395,4.413544142020283,76,7,8,5,0.4,2.6,5.0,6.4,7.8,11.8,14.8,16.0,19.2,21.4,24.0,26.4,28.2,29.4,30.8,32.4,33.4,34.0,34.0,34.0,1.2,2.0,2.8,4.8,5.0,6.6,7.6,9.2,10.6,12.8,14.8,19.4,21.8,22.0,22.6,23.8,25.8,26.4,27.2,28.6,89.68888888888888,158.67264157663735,165.7500194951167,63.32222222222222,86.11111111111111,109.67777777777778,146.55555555555554,215.35555555555555,272.5888888888889,0.0074074074074074086,0.027407407407407408,0.10592592592592592,0.20617283950617282,220.54805689607295,99.86320295370675,10212.125790094151
15.0,1.4630974175643385,1.060268620887495,1.0963411740524036,-2.0,-7.0,-7.618828441011567,-4.563986235496115,-2.9975511754566413,-2.2300926210373317,-2.4847339013374734,-2.308967873673224,-2.638809910519271,-3.415356594656963,-3.856698554240681,-4.3964136903802835,-5.035855240145699,-5.48791636584731,-5.800106482528156,-6.6748954377628165,-8.308751523000073,-8.125938453905496,-8.112761763333799,-8.438205644992161,0,9,16,7,2.2,5.0,8.2,9.0,10.8,13.0,15.8,19.2,22.0,23.4,25.2,26.0,27.2,28.4,29.0,29.2,31.2,32.2,33.2,35.0,4.2,9.2,12.2,14.2,17.0,18.2,19.6,20.0,20.8,22.0,22.4,23.0,23.4,25.0,25.0,25.0,25.0,25.0,25.0,25.0,42.049180327868854,111.09943493293386,112.82204108322941,43.63934426229508,61.52459016393443,76.81967213114754,99.08196721311475,153.21311475409837,206.24590163934425,0.011287288363343187,0.054286482128460094,0.1832840634238108,0.37946788497715667,151.19645919288357,68.44818528149817,4884.676679356462
17.0,2.936369072636847,0.9305862478806943,1.0727982030217487,-2.0,-7.0,-7.544684450681575,-3.051543922023345,-2.8982882187578,-0.9396242627604167,0.5390363099077519,0.41656431823662954,1.467667963637132,0.2660369290921224,-0.3839395810809435,-0.2223868439641464,-1.3891059147012612,-2.2430620785717608,-2.254569967028979,-1.8489132702344961,-2.1426954350067233,-3.349728679475214,-3.504707347507721,-5.034953788580884,43,10,11,8,0.8,4.4,6.8,8.8,11.2,13.0,13.2,16.0,17.4,18.0,19.6,20.2,21.0,21.0,21.6,22.8,23.0,23.0,23.0,23.0,2.0,3.6,5.8,8.4,11.2,12.0,12.4,14.0,15.0,15.0,17.2,18.0,18.0,18.0,18.0,18.6,19.0,19.0,19.0,19.0,33.523809523809526,105.77150471175607,101.19973621402335,44.904761904761905,59.214285714285715,72.0952380952381,93.80952380952381,140.83333333333334,191.45238095238096,0.015873015873015872,0.0691609977324263,0.22448979591836735,0.4013605442176871,140.4159594676332,61.2881189330296,3846.8617168538713
20.0,2.136168408480305,0.895049363002617,0.9669959993116636,-2.0,-7.0,-12.0,-5.563851142983857,-3.46850797630191,-1.6059348748011018,-1.4534866330095617,-1.6386068760933512,-2.953532005071055,-4.3534559964878055,-2.965736608409357,-2.2257908962491584,-2.318428212582718,-3.109920686048916,-3.5577626591521296,-5.605858059974051,-5.05322666593832,-5.795179938865379,-6.682281027096929,-8.699927907963138,29,13,14,11,0.8,1.0,3.6,5.6,9.0,11.0,12.6,15.4,16.0,16.6,18.2,19.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.6,3.0,3.8,5.0,7.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,33.06896551724138,99.78786589668182,101.76148193169755,36.93103448275862,49.724137931034484,67.13793103448276,86.44827586206897,126.48275862068965,190.58620689655172,0.011890606420927468,0.07847800237812129,0.26872770511296074,0.4684898929845422,133.5603351643266,64.94260533330889,4370.5185873508635
21.0,0.24345869037583942,0.8946893162001526,0.8953189062318762,-2.0,-7.0,-9.746223424464011,-5.060697532243647,-4.0200831760776135,-1.0935814071993994,-0.11983750554742585,1.3325023226227644,2.0506481888398893,1.7692640273603302,1.0137666133007115,-0.4072198303826127,-0.9123667706526077,-1.2419352439962452,-1.3709753349160507,-1.6658527318796559,-1.9577263789602342,-2.4147874674110086,-2.5625447193491566,-3.0968855321468,45,11,13,9,1.6,4.8,5.2,7.2,10.4,12.6,13.4,15.2,16.6,19.4,20.8,25.0,26.8,28.8,31.8,35.2,37.4,40.6,44.0,46.8,2.0,7.4,8.8,12.4,15.2,18.0,18.0,20.8,23.4,25.2,26.8,28.8,30.0,30.8,32.0,32.0,32.0,32.2,33.4,34.0,73.22093023255815,146.69029716497968,147.6476515921668,57.674418604651166,80.73255813953489,99.6046511627907,134.48837209302326,203.46511627906978,262.6162790697674,0.0037858301784748517,0.0319091400757166,0.11005949161709033,0.2266089778258518,202.06727983968256,88.65924510340497,8058.35243982639
22.0,1.0301337775994541,0.8860769630133966,0.9035942785356424,-2.0,-7.0,-9.467269273610018,-6.822833156103523,-2.636766406926987,-1.8471929980209723,-3.1079637365055577,-4.767956516191214,-3.5060857081269377,-1.688437801119599,-1.9260140127311929,-1.7353148600645738,-2.611843870304736,-2.5221459146304026,-2.3489403930918344,-3.889265195390192,-5.714763862073065,-5.613258508068185,-6.245207326695558,-7.1055603687385425,0,11,12,9,0.8,1.0,1.4,3.8,6.0,9.6,11.6,13.4,14.4,16.0,17.2,21.4,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2.4,5.2,7.4,11.2,14.2,15.2,16.0,17.0,17.0,17.4,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,34.0,92.42875365259485,92.59104574707197,39.951219512195124,53.146341463414636,65.09756097560975,84.2439024390244,132.0,174.0,0.010707911957168352,0.06067816775728733,0.25580011897679955,0.45568114217727546,128.4260644627057,56.75109026446031,3325.5244106753257
