cell,PI,DI,PDI,rH 5,rH 10,rH 15,rH 20,rH 25,rH 30,rH 35,rH 40,rH 45,rH 50,rH 55,rH 60,rH 65,rH 70,rH 75,rH 80,rH 85,rH 90,rH 95,rH 100,rH max loc,rH min loc,rH diff max loc,rH diff min loc,bound inner num 5,bound inner num 10,bound inner num 15,bound inner num 20,bound inner num 25,bound inner num 30,bound inner num 35,bound inner num 40,bound inner num 45,bound inner num 50,bound inner num 55,bound inner num 60,bound inner num 65,bound inner num 70,bound inner num 75,bound inner num 80,bound inner num 85,bound inner num 90,bound inner num 95,bound inner num 100,bound outer num 5,bound outer num 10,bound outer num 15,bound outer num 20,bound outer num 25,bound outer num 30,bound outer num 35,bound outer num 40,bound outer num 45,bound outer num 50,bound outer num 55,bound outer num 60,bound outer num 65,bound outer num 70,bound outer num 75,bound outer num 80,bound outer num 85,bound outer num 90,bound outer num 95,bound outer num 100,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
1.0,2.9987922816542523,1.0006083940760313,1.117117713944094,-2.0,-7.0,-7.251748823156268,-0.614042116861404,1.2936028743017616,2.6909837166208646,3.014665821151408,2.166649112778009,-0.6022491618211049,-1.0511390928195454,-0.702645190191879,-1.5266543863413489,0.19098481599303058,-0.12564717896638342,-1.156780443988498,-1.0989384633668238,-2.006454949269113,-2.062302037062017,-3.029741337866054,-3.6504789837052187,24,11,12,9,1.6,5.8,7.2,9.8,10.6,12.0,12.0,14.4,16.0,16.4,18.8,20.0,21.0,21.0,21.8,23.8,24.8,25.0,26.0,26.0,1.0,2.0,2.0,2.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,41.90625,143.33179180321414,140.64879883798835,48.90625,75.71875,83.1875,120.5625,198.96875,247.0,0.009765625,0.041015625,0.140625,0.259765625,191.28022313918294,84.29752715453151,7333.273985573694
2.0,2.2331038093666518,0.7119764572047829,0.7804542127821047,-2.0,-7.0,-12.0,-14.521722201587327,-7.555538457075295,-9.475929630783298,-14.475929630783298,-12.296232523023997,-8.141024911823138,-10.809694923534034,-8.478341431577364,-9.50940827591081,-7.980453155753322,-7.02237906652793,-6.189013561011234,-4.461526367071343,-6.780848301872652,-7.743558383447305,-8.259619820386945,-10.287557339061431,0,17,18,15,0.4,1.0,1.0,1.0,2.8,3.0,3.8,4.6,5.4,6.0,6.0,7.0,7.2,10.0,11.0,11.0,11.2,12.0,12.0,12.0,0.2,2.0,2.8,3.0,3.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50.470588235294116,93.81091684047378,91.40539747458789,42.23529411764706,60.76470588235294,73.0,94.11764705882354,137.23529411764707,177.35294117647058,0.006920415224913495,0.03460207612456748,0.22145328719723184,0.40830449826989623,131.15944053550496,52.4645485482803,2869.6475275252437
5.0,7.137436193832093,0.4516401677002463,0.9165867987542886,-2.0,-7.0,-0.5101147243807531,10.059083318937546,11.600252980918626,15.600121630794993,15.421919835726225,12.165937364360403,11.549037078050395,12.45573184664417,13.102502493899099,13.468690544712135,13.588849942175774,14.90018703390406,17.886245682027734,20.358634587106895,22.946926792319893,23.629315900984995,22.42576153153655,22.118321530340804,85,9,11,8,0.0,0.8,2.2,3.4,4.0,4.4,6.0,7.0,7.6,9.8,10.6,11.2,12.0,12.8,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.4,2.2,3.0,3.0,4.0,4.2,5.8,6.0,6.0,6.0,6.0,49.22727272727273,136.48744668786142,124.69136719224835,42.90909090909091,59.27272727272727,67.63636363636364,97.04545454545455,132.3181818181818,218.86363636363637,0.024793388429752063,0.0743801652892562,0.26859504132231404,0.4586776859504132,142.5521162357402,71.68030096556289,5347.742219607002
10.0,3.170005033203541,0.6985022951472449,0.8216609056498778,-2.0,-7.0,-0.8768079836675255,1.5113670104606374,0.31473478916302255,5.807740759180371,2.0576809387676676,4.306210222187445,2.390871669111081,-2.1668555723747644,-0.3869612141866526,0.8472582230324435,3.4584988089970636,5.319639061481229,5.256254286242097,6.898569635052359,5.116523304301791,2.8698583714939216,-0.24926200089069256,-2.7226653613867313,78,9,10,7,0.0,2.6,4.0,4.0,4.2,5.6,6.6,7.6,8.8,9.0,9.0,9.8,10.0,10.8,11.0,11.6,12.0,12.0,12.0,12.0,1.4,2.0,2.8,3.0,3.0,3.0,3.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,52.23529411764706,105.84571390046139,97.59636320260319,44.705882352941174,65.41176470588235,75.29411764705883,101.41176470588235,147.47058823529412,205.11764705882354,0.01384083044982699,0.06228373702422146,0.24221453287197234,0.3806228373702422,144.79048192312325,62.99573559597053,4046.334274720812
11.0,2.4408963733071336,0.9081289291426831,0.9634957831643375,-2.0,-7.0,-12.0,-17.0,-17.80123247344903,-6.006162367245157,-11.006162367245157,-8.816252773774277,-12.018775375406559,-13.34751937123967,-7.662770094538226,-6.223378187447816,-5.073873694823925,-3.276488858742394,-7.632202913504159,-12.632202913504159,-17.63220291350416,-18.259081367869868,-21.856934693630564,-15.823261021498435,0,21,23,20,0.0,0.0,1.4,2.0,2.8,4.4,5.2,6.0,6.0,6.0,6.6,7.0,7.0,8.0,9.0,10.2,11.0,11.8,12.0,12.0,0.0,1.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.8,3.0,3.2,4.0,4.0,57.8235294117647,170.12263407567772,168.40312217673093,66.88235294117646,110.70588235294117,128.05882352941177,173.76470588235293,231.1764705882353,284.47058823529414,0.0,0.01384083044982699,0.06920415224913495,0.1522491349480969,240.16200290336846,101.28655939640925,10624.240029454772
12.0,0.5770119930167575,1.0926077127361948,1.0979031855122194,-2.0,-7.0,-12.0,0.30311058230260957,1.0093186353932495,-3.9906813646067505,-5.444855856776989,-8.684706604864203,-6.102663390611657,-2.376483254422965,-5.215110337354761,-3.3062909769248905,-4.659160650892268,-4.282765070213547,-6.363552827058925,-10.017726320604709,-12.45661698707573,-12.168243956298411,-10.015657097825173,-10.631408481127162,18,14,15,12,0.6,2.0,3.0,4.6,5.0,5.4,6.0,6.0,6.6,7.0,7.0,7.0,7.0,7.2,8.0,8.0,8.8,9.6,10.6,11.0,1.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,49.0625,119.33638653334434,120.89260193400706,41.4375,70.5,84.0625,106.1875,171.625,233.4375,0.015625,0.03125,0.140625,0.2734375,169.90859760481294,73.71190411258439,5829.0891038703785
14.0,0.8889785793032954,1.5519438722268708,1.566165435439194,-2.0,-7.0,-12.0,-7.458352242110941,-1.5819970233638494,2.5183049295701414,2.105988562159632,1.1496085614998635,2.2684799485620033,0.1008140806805585,-3.2124306783635177,-4.949428941665708,-6.287582101448878,-8.895761842285786,-11.721475859299515,-13.815060755080063,-14.796624686178749,-14.296754004911378,-15.750000388761638,-17.826167235361307,41,85,18,11,0.0,0.0,0.0,0.8,2.0,3.0,4.0,4.0,5.0,5.4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,1.8,4.2,5.0,5.0,5.2,6.8,7.0,7.0,7.8,9.0,9.8,11.0,11.0,13.0,14.0,14.0,14.0,14.0,14.4,25.727272727272727,126.33926719458283,130.14887104386892,51.45454545454545,87.13636363636364,102.27272727272727,116.4090909090909,152.36363636363637,224.36363636363637,0.01652892561983471,0.08677685950413223,0.20661157024793386,0.40082644628099173,182.77232865647395,102.49836096097921,10756.204765970142
16.0,1.7577977557079232,0.94217442341602,0.9843006867762629,-2.0,-7.0,-9.538498935514275,-1.9122705546496355,1.016994781023803,0.4534974201378759,7.639201746699887,7.751437293403869,6.07650253214941,5.4624499724110205,6.749913860349696,4.42051390478923,1.5855838912389246,-1.0856259795889058,-0.735230132859968,-3.752123017043786,-4.027041086197019,-6.13033090313858,-7.96701643719056,-9.61588499158403,33,12,13,10,0.8,1.8,2.0,3.0,4.8,5.0,6.0,6.0,6.6,7.0,7.2,8.0,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.2,3.0,3.0,4.4,6.0,6.0,6.8,8.0,8.0,8.4,9.0,9.0,9.0,9.0,9.6,10.0,10.0,10.0,10.0,10.0,39.7,123.38922857284108,124.61435791773174,32.65,51.45,67.15,93.1,159.05,232.9,0.01,0.06999999999999999,0.175,0.355,164.42806458286117,81.74919530517789,7061.165707884131
17.0,4.903706614620742,0.46895656589739926,0.7060779285549633,-2.0,-1.5717422855265284,2.830275872519235,9.608731640390918,9.81305159320431,11.131114023389213,15.06416915394606,12.620793683904107,13.651592796106064,12.385005739596021,11.399593556310034,10.839618790849238,9.143761846727893,9.330105775766018,9.422049637642456,9.129423624836093,9.081490618347232,10.348824090025284,9.228647536289674,10.174232700383692,32,5,6,3,0.6,3.0,6.0,6.0,6.8,7.0,7.6,9.6,12.8,14.4,16.0,18.0,18.6,19.4,20.0,20.0,20.0,20.0,20.0,20.0,0.4,2.0,2.0,2.0,2.0,3.0,3.6,4.0,4.0,4.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,53.32,95.15778798885714,87.91040590230324,38.16,45.36,57.24,82.2,122.36,165.48,0.0352,0.10880000000000001,0.2816,0.5472,125.17135027730372,61.45039543588563,3868.957785265793
18.0,3.526800728214642,1.1628659224154752,1.4494610111987678,-2.0,-7.0,-12.0,-17.0,-22.0,-27.0,-32.0,-26.734956715910215,-16.337391789775534,-21.337391789775534,-26.337391789775534,-31.337391789775534,-36.33739178977554,-27.40592788035492,-10.865288486679297,-15.8652884866793,-20.865288486679297,-25.865288486679297,-30.865288486679297,-27.136224447380535,0,64,67,34,0.0,1.0,1.0,1.8,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,19.0,96.30299578389516,96.48021106847956,59.0,59.0,59.0,111.83333333333333,150.16666666666666,212.16666666666666,0.0,0.05555555555555555,0.16666666666666666,0.3333333333333333,140.11091889102215,53.501982435231895,3012.2567339663365
